Date	MeanAirT
24/06/2015	13.055375
25/06/2015	12.444173913
26/06/2015	10.6542916667
27/06/2015	10.0467083333
28/06/2015	6.9503333333
29/06/2015	9.3782916667
30/06/2015	13.055375
01/07/2015	12.444173913
02/07/2015	10.6542916667
03/07/2015	10.0467083333
04/07/2015	6.9503333333
05/07/2015	9.3782916667
06/07/2015	5.749875
07/07/2015	1.9194166667
08/07/2015	2.9324583333
09/07/2015	4.7134583333
10/07/2015	4.1178333333
11/07/2015	0.6190833333
12/07/2015	0.3188333333
13/07/2015	4.305875
14/07/2015	8.6857083333
15/07/2015	12.3339166667
16/07/2015	7.863625
17/07/2015	6.426625
18/07/2015	5.0724166667
19/07/2015	5.09
20/07/2015	4.5315833333
21/07/2015	5.24725
22/07/2015	6.4114166667
23/07/2015	9.0108333333
24/07/2015	5.8154615385
25/07/2015	9.6852546296
26/07/2015	13.8175925926
27/07/2015	11.4899537037
28/07/2015	9.6662037037
29/07/2015	6.2013194444
30/07/2015	4.191412037
31/07/2015	6.5055787037
01/08/2015	8.979537037
02/08/2015	10.0084490741
03/08/2015	13.6512268519
04/08/2015	12.0421296296
05/08/2015	6.3422685185
06/08/2015	5.7859027778
07/08/2015	6.8030324074
08/08/2015	4.121412037
09/08/2015	1.4969444444
10/08/2015	3.4985185185
11/08/2015	3.3258564815
12/08/2015	4.2310648148
13/08/2015	8.6413888889
14/08/2015	10.3022222222
15/08/2015	10.6825
16/08/2015	7.5619444444
17/08/2015	7.3713425926
18/08/2015	11.3245138889
19/08/2015	9.0951388889
20/08/2015	6.8550694444
21/08/2015	1.4031481481
21/08/2015	8.3169
22/08/2015	6.8840833333
23/08/2015	6.3113333333
24/08/2015	8.77475
25/08/2015	5.4051666667
26/08/2015	6.3142916667
27/08/2015	6.7309583333
28/08/2015	3.6660416667
29/08/2015	8.4300833333
30/08/2015	6.6089583333
31/08/2015	6.535
01/09/2015	6.3730416667
02/09/2015	10.640375
03/09/2015	8.2950416667
04/09/2015	7.310125
05/09/2015	7.8610833333
06/09/2015	6.1893333333
07/09/2015	6.68675
08/09/2015	5.4125416667
09/09/2015	6.3651666667
10/09/2015	10.7624166667
11/09/2015	7.3729583333
12/09/2015	7.2034583333
13/09/2015	8.0815833333
14/09/2015	8.0129166667
15/09/2015	13.5565
16/09/2015	14.8451666667
17/09/2015	14.3835416667
18/09/2015	11.56875
19/09/2015	6.9034166667
20/09/2015	6.018375
21/09/2015	5.536
22/09/2015	5.9405833333
23/09/2015	9.7506666667
24/09/2015	8.9554166667
25/09/2015	7.424625
26/09/2015	8.0880416667
27/09/2015	8.1173333333
28/09/2015	8.0849166667
29/09/2015	10.9089166667
30/09/2015	11.5543333333
01/10/2015	14.2205833333
02/10/2015	12.466875
03/10/2015	11.7507083333
04/10/2015	16.7270833333
05/10/2015	10.63125
06/10/2015	16.9137083333
07/10/2015	20.8508333333
08/10/2015	9.7650416667
09/10/2015	9.9367916667
10/10/2015	11.3145833333
11/10/2015	14.6059166667
12/10/2015	16.6730833333
13/10/2015	10.9835416667
14/10/2015	10.5518333333
15/10/2015	10.8755833333
16/10/2015	16.6984583333
17/10/2015	12.891125
18/10/2015	15.407125
19/10/2015	10.754625
20/10/2015	11.45
21/10/2015	17.9345416667
22/10/2015	10.8767916667
23/10/2015	11.6078333333
24/10/2015	11.3750416667
25/10/2015	10.2742916667
26/10/2015	14.5462916667
27/10/2015	10.2841666667
28/10/2015	10.5249166667
29/10/2015	8.6214166667
30/10/2015	7.42
