SowDate	Date	Cultivar	Block/Rep	BurrStage	NumberBurr	BurrWeight	seedsinburr	seedweight
17/06/16	25/11/16	Antas	1	young	10	0.52	40	0.24
17/06/16	25/11/16	Denmark	1	young	10	0.3	34	0.06
17/06/16	25/11/16	Narrrikup	1	young	10	1.5	40	0.18
17/06/16	25/11/16	Antas	2	young	10	0.52	40	0.26
17/06/16	25/11/16	Denmark	2	young	10	0.32	34	0.08
17/06/16	25/11/16	Narrrikup	2	young	10	1.48	38	0.16
17/06/16	25/11/16	Antas	3	young	10	0.56	42	0.24
17/06/16	25/11/16	Denmark	3	young	10	0.3	36	0.06
17/06/16	25/11/16	Narrrikup	3	young	10	1.54	42	0.22
17/06/16	25/11/16	Antas	4	young	10	0.52	40	0.2
17/06/16	25/11/16	Denmark	4	young	10	0.28	32	0.06
17/06/16	25/11/16	Narrrikup	4	young	10	1.46	34	0.14
17/06/16	25/11/16	Antas	1	old	10	0.56	40	0.24
17/06/16	25/11/16	Denmark	1	old	10	0.494	36	0.2
17/06/16	25/11/16	Narrrikup	1	old	10	0.58	42	0.26
17/06/16	25/11/16	Antas	2	old	10	0.7	42	0.28
17/06/16	25/11/16	Denmark	2	old	10	0.46	32	0.2
17/06/16	25/11/16	Narrrikup	2	old	10	0.46	28	0.18
17/06/16	25/11/16	Antas	3	old	10	0.6	48	0.24
17/06/16	25/11/16	Denmark	3	old	10	0.384	26	0.18
17/06/16	25/11/16	Narrrikup	3	old	10	0.66	40	0.24
17/06/16	25/11/16	Antas	4	old	10	0.6	44	0.26
17/06/16	25/11/16	Denmark	4	old	10	0.32	28	0.22
17/06/16	25/11/16	Narrrikup	4	old	10	0.48	38	0.24
