Date	Plot	Block	Cultivar	SowTreat	SowingD	DAS	sample_area_m2	Layer	bur_total_weight_g	bur_no_subSample	bur_weight_subSample_g	seedNo	seed_weight_g	IndividualBurrWeight_g	TotalNumberofBurrs	Percent_Burrsburied 
9/02/2015	1	1	Antas 	S1	24/06/2015	-135	2	Up	24.1	50	5.00	128	1.206	0.10	241.00	1.5
9/02/2015	1	1	Antas 	S1	24/06/2015	-135	2	Down	0.3	10	0.80	27	0.354	0.08	3.75	*
9/02/2015	2	1	Monti	S1	24/06/2015	-135	2	Up	27.8	50	3.10	125	1.18	0.06	448.39	55.6
9/02/2015	2	1	Monti	S1	24/06/2015	-135	2	Down	33.7	50	3.00	87	0.732	0.06	561.67	*
9/02/2015	3	1	Denmark	S1	24/06/2015	-135	2	Up	16.5	50	3.00	134	0.836	0.06	275.00	54.0
9/02/2015	3	1	Denmark	S1	24/06/2015	-135	2	Down	20.7	50	3.20	122	0.914	0.06	323.44	*
9/02/2015	4	1	Leura	S1	24/06/2015	-135	2	Up	60.0	50	3.80	140	1.2	0.08	789.47	55.5
9/02/2015	4	1	Leura	S1	24/06/2015	-135	2	Down	51.1	50	2.60	104	0.632	0.05	982.69	*
9/02/2015	5	1	Narrikup	S1	24/06/2015	-135	2	Up	46.9	50	2.80	114	0.89	0.06	837.50	42.1
9/02/2015	5	1	Narrikup	S1	24/06/2015	-135	2	Down	31.7	50	2.60	96	0.692	0.05	609.62	*
9/02/2015	6	1	Woogenellup	S1	24/06/2015	-135	2	Up	27.1	50	2.40	118	0.38	0.05	564.58	54.1
9/02/2015	6	1	Woogenellup	S1	24/06/2015	-135	2	Down	29.3	50	2.20	158	0.74	0.04	665.91	*
9/02/2015	7	2	Antas 	S1	24/06/2015	-135	2	Up	256.4	50	5.40	154	1.336	0.11	2374.07	2.9
9/02/2015	7	2	Antas 	S1	24/06/2015	-135	2	Down	5.7	8	0.65	34	0.556	0.08	70.15	*
9/02/2015	8	2	Woogenellup	S1	24/06/2015	-135	2	Up	59.9	50	2.60	148	0.86	0.05	1151.92	64.6
9/02/2015	8	2	Woogenellup	S1	24/06/2015	-135	2	Down	109.1	50	2.60	142	0.898	0.05	2098.08	*
9/02/2015	9	2	Denmark	S1	24/06/2015	-135	2	Up	33.8	50	3.80	120	0.992	0.08	444.74	53.7
9/02/2015	9	2	Denmark	S1	24/06/2015	-135	2	Down	37.1	50	3.60	110	0.98	0.07	515.28	*
9/02/2015	10	2	Monti	S1	24/06/2015	-135	2	Up	35.0	50	3.00	102	0.789	0.06	583.33	54.9
9/02/2015	10	2	Monti	S1	24/06/2015	-135	2	Down	38.3	50	2.70	80	0.769	0.05	709.26	*
9/02/2015	11	2	Narrikup	S1	24/06/2015	-135	2	Up	85.0	50	3.80	120	0.842	0.08	1118.42	38.9
9/02/2015	11	2	Narrikup	S1	24/06/2015	-135	2	Down	45.5	50	3.20	134	1.19	0.06	710.94	*
9/02/2015	12	2	Leura	S1	24/06/2015	-135	2	Up	24.1	50	2.80	126	0.87	0.06	430.36	86.7
9/02/2015	12	2	Leura	S1	24/06/2015	-135	2	Down	178.9	50	3.20	114	0.944	0.06	2795.31	*
9/02/2015	13	3	Woogenellup	S1	24/06/2015	-135	2	Up	65.2	50	2.00	144	0.742	0.04	1630.00	32.3
9/02/2015	13	3	Woogenellup	S1	24/06/2015	-135	2	Down	40.5	50	2.60	170	1.036	0.05	778.85	*
9/02/2015	14	3	Antas 	S1	24/06/2015	-135	2	Up	272.2	50	6.20	150	1.29	0.12	2195.16	6.5
9/02/2015	14	3	Antas 	S1	24/06/2015	-135	2	Down	11.0	50	3.60	124	1.126	0.07	152.78	*
9/02/2015	15	3	Monti	S1	24/06/2015	-135	2	Up	62.1	50	2.80	127	1.15	0.06	1108.93	54.1
9/02/2015	15	3	Monti	S1	24/06/2015	-135	2	Down	78.4	50	3.00	88	0.75	0.06	1306.67	*
9/02/2015	16	3	Narrikup	S1	24/06/2015	-135	2	Up	39.0	50	2.40	136	0.864	0.05	812.50	52.0
9/02/2015	16	3	Narrikup	S1	24/06/2015	-135	2	Down	52.9	50	3.00	124	0.898	0.06	881.67	*
9/02/2015	17	3	Denmark	S1	24/06/2015	-135	2	Up	25.5	50	2.80	124	0.894	0.06	455.36	69.1
9/02/2015	17	3	Denmark	S1	24/06/2015	-135	2	Down	65.2	50	3.20	166	1.24	0.06	1018.75	*
9/02/2015	18	3	Leura	S1	24/06/2015	-135	2	Up	26.3	50	2.80	168	1.12	0.06	469.64	88.1
9/02/2015	18	3	Leura	S1	24/06/2015	-135	2	Down	152.8	50	2.20	126	0.891	0.04	3472.73	*
