Cultivar	Block 	Plot	SowTreat	SowingD	ReadingDate 	DAS 
Antas 	1	1	S1	24/06/2015	15/01/2016	205.00
Monti	1	2	S1	24/06/2015	05/01/2016	195.00
Denmark	1	3	S1	24/06/2015	25/01/2016	215.00
Leura	1	4	S1	24/06/2015	26/01/2016	216.00
Narrikup	1	5	S1	24/06/2015	12/01/2016	202.00
Woogenellup	1	6	S1	24/06/2015	17/01/2016	207.00
Antas 	2	7	S1	24/06/2015	15/01/2016	205.00
Woogenellup	2	8	S1	24/06/2015	17/01/2016	207.00
Denmark	2	9	S1	24/06/2015	25/01/2016	215.00
Monti	2	10	S1	24/06/2015	05/01/2016	195.00
Narrikup	2	11	S1	24/06/2015	12/01/2016	202.00
Leura	2	12	S1	24/06/2015	26/01/2016	216.00
Woogenellup	3	13	S1	24/06/2015	17/01/2016	207.00
Antas 	3	14	S1	24/06/2015	15/01/2016	205.00
Monti	3	15	S1	24/06/2015	05/01/2016	195.00
Narrikup	3	16	S1	24/06/2015	12/01/2016	202.00
Denmark	3	17	S1	24/06/2015	25/01/2016	215.00
Leura	3	18	S1	24/06/2015	26/01/2016	216.00
Narrikup	1	19	S2	28/07/2015	05/02/2016	192.00
Monti	1	20	S2	28/07/2015	05/02/2016	192.00
Woogenellup	1	21	S2	28/07/2015	11/02/2016	198.00
Leura	1	22	S2	28/07/2015	18/02/2016	205.00
Denmark	1	23	S2	28/07/2015	18/02/2016	205.00
Antas 	1	24	S2	28/07/2015	09/02/2016	196.00
Leura	2	25	S2	28/07/2015	18/02/2016	205.00
Woogenellup	2	26	S2	28/07/2015	11/02/2016	198.00
Denmark	2	27	S2	28/07/2015	18/02/2016	205.00
Narrikup	2	28	S2	28/07/2015	05/02/2016	192.00
Antas 	2	29	S2	28/07/2015	09/02/2016	196.00
Monti	2	30	S2	28/07/2015	05/02/2016	192.00
Denmark	3	31	S2	28/07/2015	18/02/2016	205.00
Antas 	3	32	S2	28/07/2015	09/02/2016	196.00
Monti	3	33	S2	28/07/2015	05/02/2016	192.00
Woogenellup	3	34	S2	28/07/2015	11/02/2016	198.00
Leura	3	35	S2	28/07/2015	18/02/2016	205.00
Narrikup	3	36	S2	28/07/2015	05/02/2016	192.00
Denmark	1	37	S3	15/09/2015	21/03/2016	188.00
Antas 	1	38	S3	15/09/2015	15/03/2016	182.00
Woogenellup	1	39	S3	15/09/2015	10/03/2016	177.00
Leura	1	40	S3	15/09/2015	23/03/2016	190.00
Narrikup	1	41	S3	15/09/2015	29/02/2016	167.00
Monti	1	42	S3	15/09/2015	29/02/2016	167.00
Woogenellup	2	43	S3	15/09/2015	10/03/2016	177.00
Leura	2	44	S3	15/09/2015	23/03/2016	190.00
Narrikup	2	45	S3	15/09/2015	29/02/2016	167.00
Antas 	2	46	S3	15/09/2015	15/03/2016	182.00
Denmark	2	47	S3	15/09/2015	21/03/2016	188.00
Monti	2	48	S3	15/09/2015	29/02/2016	167.00
Leura	3	49	S3	15/09/2015	23/03/2016	190.00
Woogenellup	3	50	S3	15/09/2015	10/03/2016	177.00
Antas 	3	51	S3	15/09/2015	15/03/2016	182.00
Monti	3	52	S3	15/09/2015	29/02/2016	167.00
Narrikup	3	53	S3	15/09/2015	29/02/2016	167.00
Denmark	3	54	S3	15/09/2015	21/03/2016	188.00
Narrikup	1	55	S4	05/11/2015	03/05/2016	180.00
Antas 	1	56	S4	05/11/2015	09/05/2016	186.00
Denmark	1	57	S4	05/11/2015	09/05/2016	186.00
Leura	1	58	S4	05/11/2015	09/05/2016	186.00
Monti	1	59	S4	05/11/2015	03/05/2016	180.00
Woogenellup	1	60	S4	05/11/2015	09/05/2016	186.00
Antas 	2	61	S4	05/11/2015	09/05/2016	186.00
Woogenellup	2	62	S4	05/11/2015	09/05/2016	186.00
Narrikup	2	63	S4	05/11/2015	03/05/2016	180.00
Leura	2	64	S4	05/11/2015	09/05/2016	186.00
Denmark	2	65	S4	05/11/2015	09/05/2016	186.00
Monti	2	66	S4	05/11/2015	03/05/2016	180.00
Leura	3	67	S4	05/11/2015	09/05/2016	186.00
Monti	3	68	S4	05/11/2015	03/05/2016	180.00
Narrikup	3	69	S4	05/11/2015	03/05/2016	180.00
Antas 	3	70	S4	05/11/2015	09/05/2016	186.00
Woogenellup	3	71	S4	05/11/2015	09/05/2016	186.00
Denmark	3	72	S4	05/11/2015	09/05/2016	186.00
