SowingDate	Date	DAS	Sowtreat	Cultivar	Block 	Plot	Parameter 	DWBulk_grams_0.1m2	DWSubclover_g	DWWeed_g	DWWenesced_g	TotalBulk+subsample	Sumsubsample	Perc_Subclover	Perc_Weeds	Perc_Senesced	Perc_Total	DWBulk_kgha	DWSubcloverkgha	DWWeedskgha
28/07/2015	12/09/2015	46.00	S2	Narrikup	1	19	yieldcutQuadrat0.1m2	32.1	3.7	5.7	0.5	42	9.90	37.37	57.58	5.05	100.00	4200.00	1569.70	903.76
28/07/2015	12/09/2015	46.00	S2	Monti	1	20	yieldcutQuadrat0.1m2	51.9	4.1	0.4	0.9	57.3	5.40	75.93	7.41	16.67	100.00	5190.00	3940.56	291.89
28/07/2015	12/09/2015	46.00	S2	Woogenellup	1	21	yieldcutQuadrat0.1m2	87.5	3.2	2.2	0.5	93.4	5.90	54.24	37.29	8.47	100.00	8750.00	4745.76	1769.61
28/07/2015	12/09/2015	46.00	S2	Leura	1	22	yieldcutQuadrat0.1m2	30.1	2.7	0.1	0.3	33.2	3.10	87.10	3.23	9.68	100.00	3010.00	2621.61	84.57
28/07/2015	12/09/2015	46.00	S2	Denmark	1	23	yieldcutQuadrat0.1m2	27.4	1.9	1.2	0.2	30.7	3.30	57.58	36.36	6.06	100.00	2740.00	1577.58	573.66
28/07/2015	12/09/2015	46.00	S2	Antas 	1	24	yieldcutQuadrat0.1m2	75.1	8.2	0.1	1.5	84.9	9.80	83.67	1.02	15.31	100.00	7510.00	6283.88	64.12
28/07/2015	12/09/2015	46.00	S2	Leura	2	25	yieldcutQuadrat0.1m2	70.4	3.2	1.1	0.1	74.8	4.40	72.73	25.00	2.27	100.00	7040.00	5120.00	1280.00
28/07/2015	12/09/2015	46.00	S2	Woogenellup	2	26	yieldcutQuadrat0.1m2	43.9	4.1	0.5	0.4	48.9	5.00	82.00	10.00	8.00	100.00	4390.00	3599.80	359.98
28/07/2015	12/09/2015	46.00	S2	Denmark	2	27	yieldcutQuadrat0.1m2	38.1	1.9	0.6	0.4	41	2.90	65.52	20.69	13.79	100.00	3810.00	2496.21	516.46
28/07/2015	12/09/2015	46.00	S2	Narrikup	2	28	yieldcutQuadrat0.1m2	61	3.5	0.2	0.6	65.3	4.30	81.40	4.65	13.95	100.00	6530.00	5315.12	247.21
28/07/2015	12/09/2015	46.00	S2	Antas 	2	29	yieldcutQuadrat0.1m2	118.8	11.2	0.57	2.05	132.62	13.82	81.04	4.12	14.83	100.00	11880.00	9627.79	397.09
28/07/2015	12/09/2015	46.00	S2	Monti	2	30	yieldcutQuadrat0.1m2	33.2	2.1	2.24	1.06	38.6	5.40	38.89	41.48	19.63	100.00	3320.00	1291.11	535.57
28/07/2015	12/09/2015	46.00	S2	Denmark	3	31	yieldcutQuadrat0.1m2	37.9	2.3	1.75	0.36	42.31	4.41	52.15	39.68	8.16	100.00	3790.00	1976.64	784.38
28/07/2015	12/09/2015	46.00	S2	Antas 	3	32	yieldcutQuadrat0.1m2	84.7	7.4	0.59	1.1	93.79	9.09	81.41	6.49	12.10	100.00	8470.00	6895.27	447.55
28/07/2015	12/09/2015	46.00	S2	Monti	3	33	yieldcutQuadrat0.1m2	60.9	2.4	2.01	0.59	65.9	5.00	48.00	40.20	11.80	100.00	6090.00	2923.20	1175.13
28/07/2015	12/09/2015	46.00	S2	Woogenellup	3	34	yieldcutQuadrat0.1m2	47.3	2.2	0.88	0.39	50.77	3.47	63.40	25.36	11.24	100.00	4730.00	2998.85	760.51
