Cultivar	Block 	SowTreat	PlotNumber 	SowingD	ReadingDate 	DAS 	NumberPlantsUnifoliate(outof10)	NumberPlantsFirstTrifoliate
Antas 	1	S1	1	24/06/2015	24/06/2015	0.00	0	0
Monti	1	S1	2	24/06/2015	24/06/2015	0.00	0	0
Denmark	1	S1	3	24/06/2015	24/06/2015	0.00	0	0
Leura	1	S1	4	24/06/2015	24/06/2015	0.00	0	0
Narrikup	1	S1	5	24/06/2015	24/06/2015	0.00	0	0
Woogenellup	1	S1	6	24/06/2015	24/06/2015	0.00	0	0
Antas 	2	S1	7	24/06/2015	24/06/2015	0.00	0	0
Woogenellup	2	S1	8	24/06/2015	24/06/2015	0.00	0	0
Denmark	2	S1	9	24/06/2015	24/06/2015	0.00	0	0
Monti	2	S1	10	24/06/2015	24/06/2015	0.00	0	0
Narrikup	2	S1	11	24/06/2015	24/06/2015	0.00	0	0
Leura	2	S1	12	24/06/2015	24/06/2015	0.00	0	0
Woogenellup	3	S1	13	24/06/2015	24/06/2015	0.00	0	0
Antas 	3	S1	14	24/06/2015	24/06/2015	0.00	0	0
Monti	3	S1	15	24/06/2015	24/06/2015	0.00	0	0
Narrikup	3	S1	16	24/06/2015	24/06/2015	0.00	0	0
Denmark	3	S1	17	24/06/2015	24/06/2015	0.00	0	0
Leura	3	S1	18	24/06/2015	24/06/2015	0.00	0	0
Antas 	1	S1	1	24/06/2015	19/08/2015	56.00	5	5
Monti	1	S1	2	24/06/2015	19/08/2015	56.00	6	4
Denmark	1	S1	3	24/06/2015	19/08/2015	56.00	4	6
Leura	1	S1	4	24/06/2015	19/08/2015	56.00	6	4
Narrikup	1	S1	5	24/06/2015	19/08/2015	56.00	5	5
Woogenellup	1	S1	6	24/06/2015	19/08/2015	56.00	4	6
Antas 	2	S1	7	24/06/2015	19/08/2015	56.00	3	7
Woogenellup	2	S1	8	24/06/2015	19/08/2015	56.00	4	5
Denmark	2	S1	9	24/06/2015	19/08/2015	56.00	2	8
Monti	2	S1	10	24/06/2015	19/08/2015	56.00	0	10
Narrikup	2	S1	11	24/06/2015	19/08/2015	56.00	0	10
