Date	TempSoil10mm
24/06/15	5.66
25/06/15	4.62
26/06/15	6.36
27/06/15	5.34
28/06/15	5.88
29/06/15	6.22
30/06/15	13.05
01/07/15	12.12
02/07/15	8.88
03/07/15	6.72
04/07/15	5.78
05/07/15	6.50
06/07/15	4.48
07/07/15	2.42
08/07/15	2.02
09/07/15	4.29
10/07/15	4.30
11/07/15	2.43
12/07/15	1.89
13/07/15	3.23
14/07/15	4.75
15/07/15	8.06
16/07/15	7.48
17/07/15	6.81
18/07/15	4.70
19/07/15	3.45
20/07/15	2.99
21/07/15	3.19
22/07/15	5.15
23/07/15	6.77
24/07/15	6.84
25/07/15	7.43
26/07/15	8.64
27/07/15	7.76
28/07/15	8.71
29/07/15	6.37
30/07/15	4.96
31/07/15	4.97
01/08/15	7.57
02/08/15	8.61
03/08/15	9.91
04/08/15	9.09
05/08/15	6.13
06/08/15	5.75
07/08/15	6.96
08/08/15	5.00
09/08/15	2.42
10/08/15	4.00
11/08/15	5.04
12/08/15	5.46
13/08/15	7.21
14/08/15	8.75
15/08/15	10.52
16/08/15	7.87
17/08/15	6.96
18/08/15	7.22
19/08/15	8.68
20/08/15	7.10
21/08/15	5.45
22/08/15	6.13
23/08/15	6.08
24/08/15	6.11
25/08/15	5.44
26/08/15	5.89
27/08/15	6.16
28/08/15	5.06
29/08/15	7.07
30/08/15	7.41
31/08/15	8.34
01/09/15	7.00
02/09/15	9.36
03/09/15	9.13
04/09/15	6.54
05/09/15	7.19
06/09/15	6.10
07/09/15	5.89
08/09/15	6.85
09/09/15	7.50
10/09/15	8.96
11/09/15	7.94
12/09/15	8.66
13/09/15	8.40
14/09/15	9.78
15/09/15	11.73
16/09/15	11.69
17/09/15	10.70
18/09/15	11.32
19/09/15	7.82
20/09/15	8.11
21/09/15	8.69
22/09/15	9.22
23/09/15	11.45
24/09/15	11.24
25/09/15	10.75
26/09/15	11.45
27/09/15	9.76
28/09/15	11.12
29/09/15	12.08
30/09/15	12.08
01/10/15	12.72
02/10/15	12.34
03/10/15	12.85
04/10/15	12.38
05/10/15	11.29
06/10/15	13.80
07/10/15	15.21
08/10/15	12.23
09/10/15	11.62
10/10/15	12.14
11/10/15	13.26
12/10/15	13.06
13/10/15	12.68
14/10/15	12.81
15/10/15	12.57
16/10/15	14.66
17/10/15	13.11
18/10/15	13.71
19/10/15	13.17
20/10/15	12.63
21/10/15	14.37
22/10/15	12.73
23/10/15	12.76
24/10/15	13.06
25/10/15	12.49
26/10/15	14.33
27/10/15	12.63
28/10/15	11.98
29/10/15	11.37
30/10/15	12.20
31/10/15	12.54
01/11/15	14.01
02/11/15	15.77
03/11/15	13.10
04/11/15	10.51
05/11/15	11.37
06/11/15	13.13
07/11/15	14.64
08/11/15	14.83
09/11/15	15.25
10/11/15	18.61
11/11/15	13.81
12/11/15	12.84
13/11/15	17.21
14/11/15	14.77
15/11/15	14.56
16/11/15	17.65
17/11/15	15.66
18/11/15	15.47
19/11/15	15.73
20/11/15	15.46
21/11/15	17.13
22/11/15	18.25
23/11/15	16.14
24/11/15	18.24
25/11/15	20.60
26/11/15	20.75
27/11/15	17.91
28/11/15	18.08
29/11/15	18.47
30/11/15	20.08
01/12/15	20.08
02/12/15	21.77
03/12/15	18.15
04/12/15	21.39
05/12/15	19.44
06/12/15	16.15
07/12/15	16.48
08/12/15	17.05
09/12/15	18.69
10/12/15	19.62
11/12/15	18.53
12/12/15	19.07
13/12/15	14.61
14/12/15	17.50
15/12/15	18.90
16/12/15	15.53
17/12/15	14.85
18/12/15	16.96
19/12/15	16.44
20/12/15	15.57
21/12/15	20.70
22/12/15	15.57
23/12/15	15.90
24/12/15	19.33
25/12/15	20.72
26/12/15	20.35
27/12/15	19.48
28/12/15	20.11
29/12/15	19.18
30/12/15	15.82
31/12/15	17.90
01/01/16	20.49
02/01/16	18.55
03/01/16	16.07
04/01/16	15.70
05/01/16	17.37
06/01/16	17.38
07/01/16	18.19
08/01/16	18.67
09/01/16	16.51
10/01/16	16.29
11/01/16	16.22
12/01/16	19.40
13/01/16	17.61
14/01/16	16.31
15/01/16	16.16
16/01/16	16.05
17/01/16	16.41
18/01/16	16.50
19/01/16	17.09
20/01/16	19.12
21/01/16	19.64
22/01/16	20.55
23/01/16	20.27
24/01/16	19.33
25/01/16	19.13
26/01/16	17.59
27/01/16	16.56
28/01/16	16.48
29/01/16	17.11
30/01/16	17.21
31/01/16	16.89
01/02/16	19.14
02/02/16	22.25
