"SowTreat" "Cultivar" "Block" "Plot" "PlantPop" "FinalPop"
"1" "S1" "Antas" "1" "1" 233.333333333333 233.33
"2" "S1" "Antas" "2" "7" 133.333333333333 133.33
"3" "S1" "Antas" "3" "14" 333.333333333333 333.33
"4" "S1" "Denmark" "1" "3" 166.666666666667 166.67
"5" "S1" "Denmark" "2" "9" 200 200
"6" "S1" "Denmark" "3" "17" 366.666666666667 366.67
"7" "S1" "Leura" "1" "4" 233.333333333333 233.33
"8" "S1" "Leura" "2" "12" 366.666666666667 366.67
"9" "S1" "Leura" "3" "18" 333.333333333333 333.33
"10" "S1" "Monti" "1" "2" 200 200
"11" "S1" "Monti" "2" "10" 233.333333333333 233.33
"12" "S1" "Monti" "3" "15" 66.6666666666667 66.67
"13" "S1" "Narrikup" "1" "5" 200 200
"14" "S1" "Narrikup" "2" "11" 266.666666666667 266.67
"15" "S1" "Narrikup" "3" "16" 266.666666666667 266.67
"16" "S1" "Woogenellup" "1" "6" 233.333333333333 233.33
"17" "S1" "Woogenellup" "2" "8" 266.666666666667 266.67
"18" "S1" "Woogenellup" "3" "13" 533.333333333333 533.33
"19" "S2" "Antas" "1" "24" 1533.33333333333 1533.33
"20" "S2" "Antas" "2" "29" 1866.66666666667 1866.67
"21" "S2" "Antas" "3" "32" 2066.66666666667 2066.67
"22" "S2" "Denmark" "1" "23" 1700 1700
"23" "S2" "Denmark" "2" "27" 1366.66666666667 1366.67
"24" "S2" "Denmark" "3" "31" 1666.66666666667 1666.67
"25" "S2" "Leura" "1" "22" 1866.66666666667 1866.67
"26" "S2" "Leura" "2" "25" 1700 1700
"27" "S2" "Leura" "3" "35" 1800 1800
"28" "S2" "Monti" "1" "20" 1866.66666666667 1866.67
"29" "S2" "Monti" "2" "30" 1566.66666666667 1566.67
"30" "S2" "Monti" "3" "33" 966.666666666667 966.67
"31" "S2" "Narrikup" "1" "19" 2100 2100
"32" "S2" "Narrikup" "2" "28" 1166.66666666667 1166.67
"33" "S2" "Narrikup" "3" "36" 1533.33333333333 1533.33
"34" "S2" "Woogenellup" "1" "21" 2066.66666666667 2066.67
"35" "S2" "Woogenellup" "2" "26" 1600 1600
"36" "S2" "Woogenellup" "3" "34" 1200 1200
"37" "S3" "Antas" "1" "38" 2200 2200
"38" "S3" "Antas" "2" "46" 2166.66666666667 2166.67
"39" "S3" "Antas" "3" "51" 2233.33333333333 2233.33
"40" "S3" "Denmark" "1" "37" 1433.33333333333 1433.33
"41" "S3" "Denmark" "2" "47" 1933.33333333333 1933.33
"42" "S3" "Denmark" "3" "54" 2133.33333333333 2133.33
"43" "S3" "Leura" "1" "40" 2166.66666666667 2166.67
"44" "S3" "Leura" "2" "44" 2166.66666666667 2166.67
"45" "S3" "Leura" "3" "49" 2033.33333333333 2033.33
"46" "S3" "Monti" "1" "42" 2166.66666666667 2166.67
"47" "S3" "Monti" "2" "48" 2066.66666666667 2066.67
"48" "S3" "Monti" "3" "52" 2200 2200
