"SowingDate" "ReadingDate" "Plot" "FinalPop" "SowTreat" "Cultivar" "Block" "DAS" "Sub1" "Sub2" "Sub3" "PlantPop" "PercFinalEmerg" "TT.x" "TT.y" "TT_to_emerg"
"1" 2015-06-24 2015-06-24 "1" 233.33 "S1" "Antas" "1" 0 0 0 0 0 0 5.66 5.66 0
"2" 2015-06-24 2015-06-24 "18" 333.33 "S1" "Leura" "3" 0 0 0 0 0 0 5.66 5.66 0
"3" 2015-06-24 2015-06-24 "8" 266.67 "S1" "Woogenellup" "2" 0 0 0 0 0 0 5.66 5.66 0
"4" 2015-06-24 2015-06-24 "3" 166.67 "S1" "Denmark" "1" 0 0 0 0 0 0 5.66 5.66 0
"5" 2015-06-24 2015-06-24 "4" 233.33 "S1" "Leura" "1" 0 0 0 0 0 0 5.66 5.66 0
"6" 2015-06-24 2015-06-24 "16" 266.67 "S1" "Narrikup" "3" 0 0 0 0 0 0 5.66 5.66 0
"7" 2015-06-24 2015-06-24 "15" 66.67 "S1" "Monti" "3" 0 0 0 0 0 0 5.66 5.66 0
"8" 2015-06-24 2015-06-24 "9" 200 "S1" "Denmark" "2" 0 0 0 0 0 0 5.66 5.66 0
"9" 2015-06-24 2015-06-24 "12" 366.67 "S1" "Leura" "2" 0 0 0 0 0 0 5.66 5.66 0
"10" 2015-06-24 2015-06-24 "7" 133.33 "S1" "Antas" "2" 0 0 0 0 0 0 5.66 5.66 0
"11" 2015-06-24 2015-06-24 "11" 266.67 "S1" "Narrikup" "2" 0 0 0 0 0 0 5.66 5.66 0
"12" 2015-06-24 2015-06-24 "10" 233.33 "S1" "Monti" "2" 0 0 0 0 0 0 5.66 5.66 0
"13" 2015-06-24 2015-06-24 "6" 233.33 "S1" "Woogenellup" "1" 0 0 0 0 0 0 5.66 5.66 0
"14" 2015-06-24 2015-06-24 "5" 200 "S1" "Narrikup" "1" 0 0 0 0 0 0 5.66 5.66 0
"15" 2015-06-24 2015-06-24 "13" 533.33 "S1" "Woogenellup" "3" 0 0 0 0 0 0 5.66 5.66 0
"16" 2015-06-24 2015-06-24 "2" 200 "S1" "Monti" "1" 0 0 0 0 0 0 5.66 5.66 0
"17" 2015-06-24 2015-06-24 "17" 366.67 "S1" "Denmark" "3" 0 0 0 0 0 0 5.66 5.66 0
"18" 2015-06-24 2015-06-24 "14" 333.33 "S1" "Antas" "3" 0 0 0 0 0 0 5.66 5.66 0
"19" 2015-06-24 2015-06-27 "18" 333.33 "S1" "Leura" "3" 3 0 0 0 0 0 21.98 5.66 16.32
"20" 2015-06-24 2015-06-27 "14" 333.33 "S1" "Antas" "3" 3 0 0 0 0 0 21.98 5.66 16.32
"21" 2015-06-24 2015-06-27 "4" 233.33 "S1" "Leura" "1" 3 0 0 0 0 0 21.98 5.66 16.32
"22" 2015-06-24 2015-06-27 "13" 533.33 "S1" "Woogenellup" "3" 3 0 0 0 0 0 21.98 5.66 16.32
"23" 2015-06-24 2015-06-27 "9" 200 "S1" "Denmark" "2" 3 0 0 0 0 0 21.98 5.66 16.32
"24" 2015-06-24 2015-06-27 "15" 66.67 "S1" "Monti" "3" 3 0 0 0 0 0 21.98 5.66 16.32
"25" 2015-06-24 2015-06-27 "12" 366.67 "S1" "Leura" "2" 3 0 0 0 0 0 21.98 5.66 16.32
"26" 2015-06-24 2015-06-27 "8" 266.67 "S1" "Woogenellup" "2" 3 0 0 0 0 0 21.98 5.66 16.32
"27" 2015-06-24 2015-06-27 "16" 266.67 "S1" "Narrikup" "3" 3 0 0 0 0 0 21.98 5.66 16.32
"28" 2015-06-24 2015-06-27 "1" 233.33 "S1" "Antas" "1" 3 0 0 0 0 0 21.98 5.66 16.32
"29" 2015-06-24 2015-06-27 "6" 233.33 "S1" "Woogenellup" "1" 3 0 0 0 0 0 21.98 5.66 16.32
"30" 2015-06-24 2015-06-27 "10" 233.33 "S1" "Monti" "2" 3 0 0 0 0 0 21.98 5.66 16.32
"31" 2015-06-24 2015-06-27 "2" 200 "S1" "Monti" "1" 3 0 0 0 0 0 21.98 5.66 16.32
"32" 2015-06-24 2015-06-27 "17" 366.67 "S1" "Denmark" "3" 3 0 0 0 0 0 21.98 5.66 16.32
"33" 2015-06-24 2015-06-27 "3" 166.67 "S1" "Denmark" "1" 3 0 0 0 0 0 21.98 5.66 16.32
"34" 2015-06-24 2015-06-27 "7" 133.33 "S1" "Antas" "2" 3 0 0 0 0 0 21.98 5.66 16.32
"35" 2015-06-24 2015-06-27 "11" 266.67 "S1" "Narrikup" "2" 3 0 0 0 0 0 21.98 5.66 16.32
"36" 2015-06-24 2015-06-27 "5" 200 "S1" "Narrikup" "1" 3 0 0 0 0 0 21.98 5.66 16.32
"37" 2015-06-24 2015-07-01 "6" 233.33 "S1" "Woogenellup" "1" 7 0 0 0 0 0 59.25 5.66 53.59
"38" 2015-06-24 2015-07-01 "3" 166.67 "S1" "Denmark" "1" 7 0 0 0 0 0 59.25 5.66 53.59
"39" 2015-06-24 2015-07-01 "9" 200 "S1" "Denmark" "2" 7 0 0 0 0 0 59.25 5.66 53.59
"40" 2015-06-24 2015-07-01 "12" 366.67 "S1" "Leura" "2" 7 0 0 0 0 0 59.25 5.66 53.59
"41" 2015-06-24 2015-07-01 "17" 366.67 "S1" "Denmark" "3" 7 0 0 0 0 0 59.25 5.66 53.59
"42" 2015-06-24 2015-07-01 "2" 200 "S1" "Monti" "1" 7 0 0 0 0 0 59.25 5.66 53.59
"43" 2015-06-24 2015-07-01 "18" 333.33 "S1" "Leura" "3" 7 0 0 0 0 0 59.25 5.66 53.59
"44" 2015-06-24 2015-07-01 "15" 66.67 "S1" "Monti" "3" 7 0 0 0 0 0 59.25 5.66 53.59
"45" 2015-06-24 2015-07-01 "13" 533.33 "S1" "Woogenellup" "3" 7 0 0 0 0 0 59.25 5.66 53.59
"46" 2015-06-24 2015-07-01 "16" 266.67 "S1" "Narrikup" "3" 7 0 0 0 0 0 59.25 5.66 53.59
