"Cultivar" "PercFinalEmerg" "SowTreat" "Plot" "Block" "DAS50E" "TT50E"
"1" "Woogenellup" 12.5000781254883 "S1" "13" "3" 46.2591462962963 278.016264851852
"2" "Monti" 14.2859183702624 "S1" "10" "2" 36.1248875 211.408138125
"3" "Narrikup" 12.4998437519531 "S1" "16" "3" 38.00045 223.133028166667
"4" "Woogenellup" 14.2859183702624 "S1" "6" "1" 42.750025 257.34302775
"5" "Monti" 49.9975001249937 "S1" "15" "3" 23.0020666666667 127.258716083334
"6" "Denmark" 9.0908264470323 "S1" "17" "3" 34.9251325 204.364606875
"7" "Antas" 10.000100001 "S1" "14" "3" 38.9998 233.95356675
"8" "Leura" 9.0908264470323 "S1" "12" "2" 41.0002 248.28893325
"9" "Narrikup" 16.6666666666667 "S1" "5" "1" 36.3333333333333 217.495
"10" "Antas" 25.0006250156254 "S1" "7" "2" 27.499775 155.116106375
"11" "Leura" 10.000100001 "S1" "18" "3" 33.9998 199.258373
"12" "Narrikup" 12.4998437519531 "S1" "11" "2" 32.00075 182.9951025
"13" "Antas" 14.2859183702624 "S1" "1" "1" 34.6666 203.2379355
"14" "Denmark" 19.9996000079998 "S1" "3" "1" 44.750425 268.55506775
"15" "Leura" 14.2859183702624 "S1" "4" "1" 42.49955 254.0819045
"16" "Monti" 33.3333333333333 "S1" "2" "1" 32 182.99
"17" "Denmark" 16.6666666666667 "S1" "9" "2" 43 262.62
"18" "Woogenellup" 37.4995312558593 "S1" "8" "2" 38.5002 230.94105625
"19" "Denmark" 21.9511659727659 "S2" "27" "2" 16.9286071428571 110.795978428571
"20" "Monti" 19.1488954278821 "S2" "30" "2" 19.8750625 132.906722875
"21" "Woogenellup" 2.77777777777778 "S2" "34" "3" 9.57894736842105 67.38
"22" "Leura" 1.78571109694447 "S2" "22" "1" 12.700015 80.5980571
"23" "Woogenellup" 31.25 "S2" "26" "2" 13.5555555555555 85.8488888888888
"24" "Woogenellup" 1.61290062435383 "S2" "21" "1" 13.62503125 86.3981495625001
"25" "Monti" 19.6428220663892 "S2" "20" "1" 18.5555833333333 122.9235435
"26" "Monti" 24.1378478005248 "S2" "33" "3" 15.083375 97.1486415
"27" "Narrikup" 19.5652599244781 "S2" "36" "3" 19.666625 131.32968475
"28" "Narrikup" 28.5713469390087 "S2" "28" "2" 13.4167083333333 84.8219748333333
"29" "Antas" 22.5806087409536 "S2" "32" "3" 16.000025 103.9281849
"30" "Leura" 21.5686274509804 "S2" "25" "2" 17.1666666666667 112.556666666667
"31" "Antas" 26.0870132326375 "S2" "24" "1" 15.1428214285714 97.5883072857143
"32" "Antas" 37.4999330358339 "S2" "29" "2" 11.6153961538462 76.4692746923077
"33" "Narrikup" 1.58730158730159 "S2" "19" "1" 18.5 122.035
"34" "Leura" 29.6296296296296 "S2" "35" "3" 14 89.136
"35" "Denmark" 27.4509803921569 "S2" "23" "1" 15.1875 97.91875
"36" "Denmark" 15.999968000064 "S2" "31" "3" 23.7500375 160.937719375
"37" "Leura" 18.0328164472401 "S3" "49" "3" 5.44444074074074 53.6633022222222
"38" "Woogenellup" 16.1290062435383 "S3" "50" "3" 5.61538846153846 55.0992630769231
"39" "Monti" 14.5161056191845 "S3" "48" "2" 5.69231153846154 55.7454169230769
"40" "Denmark" 12.5000195312805 "S3" "54" "3" 7.38460384615385 73.0575695769231
"41" "Antas" 12.3076733728102 "S3" "46" "2" 5.06521956521739 50.4778443478261
"42" "Denmark" 6.97676041107072 "S3" "37" "1" 8.06248125 80.2679255625
"43" "Woogenellup" 10.9375170898705 "S3" "39" "1" 7.9999875 79.603200375
"44" "Leura" 10.7692142012089 "S3" "40" "1" 7.87501249999999 78.2738829583332
"45" "Antas" 6.06060606060606 "S3" "38" "1" 5.38095238095238 53.13
"46" "Woogenellup" 15.6250244141006 "S3" "43" "2" 5.571425 54.72997
"47" "Monti" 13.8461325444115 "S3" "42" "1" 5.80769615384615 56.7146476923077
"48" "Narrikup" 18.4615100592153 "S3" "45" "2" 5.46428928571429 53.83003
"49" "Denmark" 12.0689863258385 "S3" "47" "2" 5.69230384615385 55.7453523076923
"50" "Leura" 16.923050887614 "S3" "44" "2" 5.343753125 52.81752625
"51" "Narrikup" 15.1515151515152 "S3" "53" "3" 5.7037037037037 55.8411111111111
"52" "Narrikup" 12.3076733728102 "S3" "41" "1" 5.63333666666667 55.250028
"53" "Monti" 12.1212121212121 "S3" "52" "3" 6 58.33
"54" "Antas" 10.4477767877265 "S3" "51" "3" 5.0816306122449 50.6156971428571
"55" "Monti" 3.12499023440552 "S4" "59" "1" 6.00003749999999 90.2705602499999
"56" "Leura" 6.66666666666667 "S4" "58" "1" 6 90.27
"57" "Woogenellup" 18.4210041552522 "S4" "71" "3" 5.84616153846154 87.7762785384615
"58" "Woogenellup" 18.1818181818182 "S4" "60" "1" 5.90909090909091 88.7963636363637
"59" "Monti" 7.69232248523555 "S4" "68" "3" 5.99999545454545 90.2699263181818
"60" "Monti" 10.2564102564103 "S4" "66" "2" 6.375 95.8725
"61" "Woogenellup" 18.9655499406033 "S4" "62" "2" 6.999975 105.2096265
"62" "Leura" 10.4166666666667 "S4" "64" "2" 6 90.27
"63" "Denmark" 5.26314404435778 "S4" "72" "3" 6.500025 97.7403735
"64" "Narrikup" 8.33333333333333 "S4" "69" "3" 6.49999999999999 97.7399999999999
"65" "Leura" 8.7719298245614 "S4" "67" "3" 6.24999999999999 94.0049999999999
"66" "Narrikup" 2.63157202217889 "S4" "63" "2" 6.0000375 90.27056025
"67" "Denmark" 9.52380952380952 "S4" "65" "2" 6 90.27
"68" "Antas" 23.8095238095238 "S4" "70" "3" 6 90.27
"69" "Antas" 16.6666666666667 "S4" "61" "2" 7.5 112.68
"70" "Narrikup" 6.89656361476485 "S4" "55" "1" 5.92307307692308 89.0230145769231
"71" "Antas" 23.7287733410621 "S4" "56" "1" 6.75002499999999 101.4753735
"72" "Denmark" 2.27272210744976 "S4" "57" "1" 6.00003000000001 90.2704482000001
"73" "Leura" 13.999972000056 "S5" "85" "3" 4.05882647058823 64.2865176617647
"74" "Antas" 11.8643866705311 "S5" "86" "3" 4.25000277777778 67.3462944583334
"75" "Antas" 5.97015816441517 "S5" "75" "1" 4.843746875 76.8491687343751
"76" "Narrikup" 12.3076733728102 "S5" "89" "3" 4.960004 78.7098640200001
"77" "Denmark" 10.9091107438377 "S5" "78" "1" 5.11248875 81.4090440750002
"78" "Denmark" 6.55738779899639 "S5" "88" "3" 5.44116764705883 87.0219053823531
"79" "Antas" 13.207522249958 "S5" "83" "2" 4.00000256410256 63.3450410384615
"80" "Leura" 14.8935853327972 "S5" "81" "2" 4.178575 66.203092875
"81" "Monti" 8.62070451845607 "S5" "80" "2" 4.41176176470588 69.9352470441177
"82" "Narrikup" 10.7692142012089 "S5" "76" "1" 4.96154230769231 78.7344846346154
"83" "Narrikup" 19.6078431372549 "S5" "84" "2" 4.19230769230769 66.4228846153846
"84" "Woogenellup" 13.4615643491622 "S5" "82" "2" 4.02702432432432 63.7775243108108
"85" "Monti" 11.1111111111111 "S5" "87" "3" 4.5 71.3475
"86" "Monti" 12.857161224516 "S5" "77" "1" 4.4054027027027 69.8334702567568
"87" "Leura" 7.57575757575758 "S5" "74" "1" 4.6 72.9480000000001
"88" "Woogenellup" 8.69565217391304 "S5" "73" "1" 4.58333333333333 72.6812500000001
"89" "Denmark" 12.4999776786113 "S5" "79" "2" 4.35484193548387 69.0242451774194
