SowTreat	Cultivar	Block 	Plot	SowingDate	ReadingDate 	DAS	Sub1	Sub2	Sub3
S1	Antas 	1	1	19/02/2016	19/02/16	0	0	0	0
S1	Monti	1	2	19/02/2016	19/02/16	0	0	0	0
S1	Denmark	1	3	19/02/2016	19/02/16	0	0	0	0
S1	Leura	1	4	19/02/2016	19/02/16	0	0	0	0
S1	Narrikup	1	5	19/02/2016	19/02/16	0	0	0	0
S1	Woogenellup	1	6	19/02/2016	19/02/16	0	0	0	0
S1	Antas 	2	7	19/02/2016	19/02/16	0	0	0	0
S1	Woogenellup	2	8	19/02/2016	19/02/16	0	0	0	0
S1	Denmark	2	9	19/02/2016	19/02/16	0	0	0	0
S1	Monti	2	10	19/02/2016	19/02/16	0	0	0	0
S1	Narrikup	2	11	19/02/2016	19/02/16	0	0	0	0
S1	Leura	2	12	19/02/2016	19/02/16	0	0	0	0
S1	Woogenellup	3	13	19/02/2016	19/02/16	0	0	0	0
S1	Antas 	3	14	19/02/2016	19/02/16	0	0	0	0
S1	Monti	3	15	19/02/2016	19/02/16	0	0	0	0
S1	Narrikup	3	16	19/02/2016	19/02/16	0	0	0	0
S1	Denmark	3	17	19/02/2016	19/02/16	0	0	0	0
S1	Leura	3	18	19/02/2016	19/02/16	0	0	0	0
S1	Antas 	1	1	19/02/2016	1/03/16	11	0	0	2
S1	Monti	1	2	19/02/2016	1/03/16	11	0	0	0
S1	Denmark	1	3	19/02/2016	1/03/16	11	0	0	0
S1	Leura	1	4	19/02/2016	1/03/16	11	0	1	0
S1	Narrikup	1	5	19/02/2016	1/03/16	11	1	1	0
S1	Woogenellup	1	6	19/02/2016	1/03/16	11	0	4	0
S1	Antas 	2	7	19/02/2016	1/03/16	11	2	2	4
S1	Woogenellup	2	8	19/02/2016	1/03/16	11	1	1	1
S1	Denmark	2	9	19/02/2016	1/03/16	11	0	0	0
S1	Monti	2	10	19/02/2016	1/03/16	11	0	0	0
S1	Narrikup	2	11	19/02/2016	1/03/16	11	0	0	0
S1	Leura	2	12	19/02/2016	1/03/16	11	0	0	0
S1	Woogenellup	3	13	19/02/2016	1/03/16	11	0	0	0
S1	Antas 	3	14	19/02/2016	1/03/16	11	0	0	0
S1	Monti	3	15	19/02/2016	1/03/16	11	0	0	0
S1	Narrikup	3	16	19/02/2016	1/03/16	11	0	0	0
S1	Denmark	3	17	19/02/2016	1/03/16	11	0	0	0
S1	Leura	3	18	19/02/2016	1/03/16	11	0	0	0
S1	Antas 	1	1	19/02/2016	4/03/16	14	0	0	0
S1	Monti	1	2	19/02/2016	4/03/16	14	0	0	0
S1	Denmark	1	3	19/02/2016	4/03/16	14	0	0	0
S1	Leura	1	4	19/02/2016	4/03/16	14	0	0	0
S1	Narrikup	1	5	19/02/2016	4/03/16	14	0	1	1
S1	Woogenellup	1	6	19/02/2016	4/03/16	14	5	1	0
S1	Antas 	2	7	19/02/2016	4/03/16	14	2	3	6
S1	Woogenellup	2	8	19/02/2016	4/03/16	14	1	2	0
S1	Denmark	2	9	19/02/2016	4/03/16	14	0	1	0
S1	Monti	2	10	19/02/2016	4/03/16	14	0	1	0
S1	Narrikup	2	11	19/02/2016	4/03/16	14	0	0	0
S1	Leura	2	12	19/02/2016	4/03/16	14	0	0	0
S1	Woogenellup	3	13	19/02/2016	4/03/16	14	0	0	0
S1	Antas 	3	14	19/02/2016	4/03/16	14	0	0	1
S1	Monti	3	15	19/02/2016	4/03/16	14	1	0	0
S1	Narrikup	3	16	19/02/2016	4/03/16	14	0	0	0
S1	Denmark	3	17	19/02/2016	4/03/16	14	0	0	0
S1	Leura	3	18	19/02/2016	4/03/16	14	0	0	0
S1	Antas 	1	1	19/02/2016	7/03/16	17	1	1	3
S1	Monti	1	2	19/02/2016	7/03/16	17	0	0	1
S1	Denmark	1	3	19/02/2016	7/03/16	17	0	0	0
S1	Leura	1	4	19/02/2016	7/03/16	17	2	1	0
