"SowTreat" "Cultivar" "Block" "Plot" "SowingDate" "ReadingDate" "DAS" "Sub1" "Sub2" "Sub3" "PlantPop" "FinalPop"
"1" "S1" "Antas" "1" "1" 2016-02-19 2016-02-19 0 0 0 0 0 966.67
"2" "S1" "Monti" "1" "2" 2016-02-19 2016-02-19 0 0 0 0 0 1000
"3" "S1" "Denmark" "1" "3" 2016-02-19 2016-02-19 0 0 0 0 0 800
"4" "S1" "Leura" "1" "4" 2016-02-19 2016-02-19 0 0 0 0 0 900
"5" "S1" "Narrikup" "1" "5" 2016-02-19 2016-02-19 0 0 0 0 0 933.33
"6" "S1" "Woogenellup" "1" "6" 2016-02-19 2016-02-19 0 0 0 0 0 833.33
"7" "S1" "Antas" "2" "7" 2016-02-19 2016-02-19 0 0 0 0 0 1800
"8" "S1" "Woogenellup" "2" "8" 2016-02-19 2016-02-19 0 0 0 0 0 833.33
"9" "S1" "Denmark" "2" "9" 2016-02-19 2016-02-19 0 0 0 0 0 1000
"10" "S1" "Monti" "2" "10" 2016-02-19 2016-02-19 0 0 0 0 0 1633.33
"11" "S1" "Narrikup" "2" "11" 2016-02-19 2016-02-19 0 0 0 0 0 1500
"12" "S1" "Leura" "2" "12" 2016-02-19 2016-02-19 0 0 0 0 0 1600
"13" "S1" "Woogenellup" "3" "13" 2016-02-19 2016-02-19 0 0 0 0 0 1366.67
"14" "S1" "Antas" "3" "14" 2016-02-19 2016-02-19 0 0 0 0 0 1433.33
"15" "S1" "Monti" "3" "15" 2016-02-19 2016-02-19 0 0 0 0 0 1100
"16" "S1" "Narrikup" "3" "16" 2016-02-19 2016-02-19 0 0 0 0 0 933.33
"17" "S1" "Denmark" "3" "17" 2016-02-19 2016-02-19 0 0 0 0 0 900
"18" "S1" "Leura" "3" "18" 2016-02-19 2016-02-19 0 0 0 0 0 1433.33
"19" "S1" "Antas" "1" "1" 2016-02-19 2016-03-01 11 0 0 2 66.6666666666667 966.67
"20" "S1" "Monti" "1" "2" 2016-02-19 2016-03-01 11 0 0 0 0 1000
"21" "S1" "Denmark" "1" "3" 2016-02-19 2016-03-01 11 0 0 0 0 800
"22" "S1" "Leura" "1" "4" 2016-02-19 2016-03-01 11 0 1 0 33.3333333333333 900
"23" "S1" "Narrikup" "1" "5" 2016-02-19 2016-03-01 11 1 1 0 66.6666666666667 933.33
"24" "S1" "Woogenellup" "1" "6" 2016-02-19 2016-03-01 11 0 4 0 133.333333333333 833.33
"25" "S1" "Antas" "2" "7" 2016-02-19 2016-03-01 11 2 2 4 266.666666666667 1800
"26" "S1" "Woogenellup" "2" "8" 2016-02-19 2016-03-01 11 1 1 1 100 833.33
"27" "S1" "Denmark" "2" "9" 2016-02-19 2016-03-01 11 0 0 0 0 1000
"28" "S1" "Monti" "2" "10" 2016-02-19 2016-03-01 11 0 0 0 0 1633.33
"29" "S1" "Narrikup" "2" "11" 2016-02-19 2016-03-01 11 0 0 0 0 1500
"30" "S1" "Leura" "2" "12" 2016-02-19 2016-03-01 11 0 0 0 0 1600
"31" "S1" "Woogenellup" "3" "13" 2016-02-19 2016-03-01 11 0 0 0 0 1366.67
"32" "S1" "Antas" "3" "14" 2016-02-19 2016-03-01 11 0 0 0 0 1433.33
"33" "S1" "Monti" "3" "15" 2016-02-19 2016-03-01 11 0 0 0 0 1100
"34" "S1" "Narrikup" "3" "16" 2016-02-19 2016-03-01 11 0 0 0 0 933.33
"35" "S1" "Denmark" "3" "17" 2016-02-19 2016-03-01 11 0 0 0 0 900
"36" "S1" "Leura" "3" "18" 2016-02-19 2016-03-01 11 0 0 0 0 1433.33
"37" "S1" "Antas" "1" "1" 2016-02-19 2016-03-04 14 0 0 0 0 966.67
"38" "S1" "Monti" "1" "2" 2016-02-19 2016-03-04 14 0 0 0 0 1000
"39" "S1" "Denmark" "1" "3" 2016-02-19 2016-03-04 14 0 0 0 0 800
"40" "S1" "Leura" "1" "4" 2016-02-19 2016-03-04 14 0 0 0 0 900
"41" "S1" "Narrikup" "1" "5" 2016-02-19 2016-03-04 14 0 1 1 66.6666666666667 933.33
"42" "S1" "Woogenellup" "1" "6" 2016-02-19 2016-03-04 14 5 1 0 200 833.33
"43" "S1" "Antas" "2" "7" 2016-02-19 2016-03-04 14 2 3 6 366.666666666667 1800
"44" "S1" "Woogenellup" "2" "8" 2016-02-19 2016-03-04 14 1 2 0 100 833.33
"45" "S1" "Denmark" "2" "9" 2016-02-19 2016-03-04 14 0 1 0 33.3333333333333 1000
"46" "S1" "Monti" "2" "10" 2016-02-19 2016-03-04 14 0 1 0 33.3333333333333 1633.33
"47" "S1" "Narrikup" "2" "11" 2016-02-19 2016-03-04 14 0 0 0 0 1500
"48" "S1" "Leura" "2" "12" 2016-02-19 2016-03-04 14 0 0 0 0 1600
"49" "S1" "Woogenellup" "3" "13" 2016-02-19 2016-03-04 14 0 0 0 0 1366.67
"50" "S1" "Antas" "3" "14" 2016-02-19 2016-03-04 14 0 0 1 33.3333333333333 1433.33
"51" "S1" "Monti" "3" "15" 2016-02-19 2016-03-04 14 1 0 0 33.3333333333333 1100
"52" "S1" "Narrikup" "3" "16" 2016-02-19 2016-03-04 14 0 0 0 0 933.33
"53" "S1" "Denmark" "3" "17" 2016-02-19 2016-03-04 14 0 0 0 0 900
"54" "S1" "Leura" "3" "18" 2016-02-19 2016-03-04 14 0 0 0 0 1433.33
"55" "S1" "Antas" "1" "1" 2016-02-19 2016-03-07 17 1 1 3 166.666666666667 966.67
"56" "S1" "Monti" "1" "2" 2016-02-19 2016-03-07 17 0 0 1 33.3333333333333 1000
"57" "S1" "Denmark" "1" "3" 2016-02-19 2016-03-07 17 0 0 0 0 800
"58" "S1" "Leura" "1" "4" 2016-02-19 2016-03-07 17 2 1 0 100 900
"59" "S1" "Narrikup" "1" "5" 2016-02-19 2016-03-07 17 0 1 5 200 933.33
"60" "S1" "Woogenellup" "1" "6" 2016-02-19 2016-03-07 17 11 5 1 566.666666666667 833.33
"61" "S1" "Antas" "2" "7" 2016-02-19 2016-03-07 17 10 12 10 1066.66666666667 1800
"62" "S1" "Woogenellup" "2" "8" 2016-02-19 2016-03-07 17 1 6 4 366.666666666667 833.33
"63" "S1" "Denmark" "2" "9" 2016-02-19 2016-03-07 17 1 0 0 33.3333333333333 1000
"64" "S1" "Monti" "2" "10" 2016-02-19 2016-03-07 17 0 1 1 66.6666666666667 1633.33
"65" "S1" "Narrikup" "2" "11" 2016-02-19 2016-03-07 17 0 0 2 66.6666666666667 1500
"66" "S1" "Leura" "2" "12" 2016-02-19 2016-03-07 17 1 0 0 33.3333333333333 1600
"67" "S1" "Woogenellup" "3" "13" 2016-02-19 2016-03-07 17 1 8 3 400 1366.67
"68" "S1" "Antas" "3" "14" 2016-02-19 2016-03-07 17 0 0 0 0 1433.33
"69" "S1" "Monti" "3" "15" 2016-02-19 2016-03-07 17 0 1 0 33.3333333333333 1100
"70" "S1" "Narrikup" "3" "16" 2016-02-19 2016-03-07 17 0 1 0 33.3333333333333 933.33
"71" "S1" "Denmark" "3" "17" 2016-02-19 2016-03-07 17 0 0 0 0 900
"72" "S1" "Leura" "3" "18" 2016-02-19 2016-03-07 17 2 0 0 66.6666666666667 1433.33
"73" "S1" "Antas" "1" "1" 2016-02-19 2016-03-09 19 2 1 4 233.333333333333 966.67
"74" "S1" "Monti" "1" "2" 2016-02-19 2016-03-09 19 0 0 1 33.3333333333333 1000
"75" "S1" "Denmark" "1" "3" 2016-02-19 2016-03-09 19 2 1 1 133.333333333333 800
"76" "S1" "Leura" "1" "4" 2016-02-19 2016-03-09 19 2 1 2 166.666666666667 900
"77" "S1" "Narrikup" "1" "5" 2016-02-19 2016-03-09 19 0 1 2 100 933.33
"78" "S1" "Woogenellup" "1" "6" 2016-02-19 2016-03-09 19 10 7 2 633.333333333333 833.33
"79" "S1" "Antas" "2" "7" 2016-02-19 2016-03-09 19 11 15 17 1433.33333333333 1800
"80" "S1" "Woogenellup" "2" "8" 2016-02-19 2016-03-09 19 2 4 3 300 833.33
"81" "S1" "Denmark" "2" "9" 2016-02-19 2016-03-09 19 6 0 0 200 1000
"82" "S1" "Monti" "2" "10" 2016-02-19 2016-03-09 19 0 2 0 66.6666666666667 1633.33
"83" "S1" "Narrikup" "2" "11" 2016-02-19 2016-03-09 19 0 1 1 66.6666666666667 1500
"84" "S1" "Leura" "2" "12" 2016-02-19 2016-03-09 19 0 2 0 66.6666666666667 1600
"85" "S1" "Woogenellup" "3" "13" 2016-02-19 2016-03-09 19 2 10 1 433.333333333333 1366.67
"86" "S1" "Antas" "3" "14" 2016-02-19 2016-03-09 19 0 0 1 33.3333333333333 1433.33
"87" "S1" "Monti" "3" "15" 2016-02-19 2016-03-09 19 1 0 0 33.3333333333333 1100
"88" "S1" "Narrikup" "3" "16" 2016-02-19 2016-03-09 19 0 1 0 33.3333333333333 933.33
