Date	Plot	Variable	S1	S2	S3	S4	S5	Percent	Cultivar	SowingDate	SowingD	DAS
12/10/2015	1	Bud	0	0	0	0	0	0	Antas 	S1	24/06/2015	110
12/10/2015	2	Bud	0	0	0	0	0	0	Monti	S1	24/06/2015	110
12/10/2015	3	Bud	0	0	0	0	0	0	Denmark	S1	24/06/2015	110
12/10/2015	4	Bud	0	0	0	0	0	0	Leura	S1	24/06/2015	110
12/10/2015	5	Bud	0	0	0	0	0	0	Narrikup	S1	24/06/2015	110
12/10/2015	6	Bud	0	0	0	0	0	0	Woogenellup	S1	24/06/2015	110
12/10/2015	7	Bud	0	0	0	0	0	0	Antas 	S1	24/06/2015	110
12/10/2015	8	Bud	0	0	0	0	0	0	Woogenellup	S1	24/06/2015	110
12/10/2015	9	Bud	0	0	0	0	0	0	Denmark	S1	24/06/2015	110
12/10/2015	10	Bud	0	0	0	0	0	0	Monti	S1	24/06/2015	110
12/10/2015	11	Bud	0	0	0	0	0	0	Narrikup	S1	24/06/2015	110
12/10/2015	12	Bud	0	0	0	0	0	0	Leura	S1	24/06/2015	110
12/10/2015	13	Bud	0	0	0	0	0	0	Woogenellup	S1	24/06/2015	110
12/10/2015	14	Bud	0	0	0	0	0	0	Antas 	S1	24/06/2015	110
12/10/2015	15	Bud	0	0	0	0	0	0	Monti	S1	24/06/2015	110
12/10/2015	16	Bud	0	0	0	0	0	0	Narrikup	S1	24/06/2015	110
12/10/2015	17	Bud	0	0	0	0	0	0	Denmark	S1	24/06/2015	110
12/10/2015	18	Bud	0	0	0	0	0	0	Leura	S1	24/06/2015	110
16/10/2015	1	Bud	0	0	0	0	0	0	Antas 	S1	24/06/2015	114
16/10/2015	2	Bud	0	0	0	0	0	0	Monti	S1	24/06/2015	114
16/10/2015	3	Bud	0	0	0	0	0	0	Denmark	S1	24/06/2015	114
16/10/2015	4	Bud	0	0	0	0	0	0	Leura	S1	24/06/2015	114
16/10/2015	5	Bud	0	1	0	1	0	40	Narrikup	S1	24/06/2015	114
16/10/2015	6	Bud	0	0	0	0	0	0	Woogenellup	S1	24/06/2015	114
16/10/2015	7	Bud	0	0	0	0	0	0	Antas 	S1	24/06/2015	114
16/10/2015	8	Bud	0	0	0	0	0	0	Woogenellup	S1	24/06/2015	114
16/10/2015	9	Bud	0	0	0	0	0	0	Denmark	S1	24/06/2015	114
