SowTreat	Cultivar	Block 	Plot	SowingDate 	BuriedDate 	ReadingDate 	DAB 	MeshBagburrs	NumberSeedsPerBurr	Germinated	NumberSeedsPerBag	CumGerminated	PercCumGerm	TTSoilSum
S1	Antas 	1	1	24/06/2015	29/02/2016	2016-02-29	0	100	2.6	33	247	33.37	13.51	0.00
S1	Monti	1	2	24/06/2015	29/02/2016	2016-02-29	0	100	2.1	25	212	25.44	12.00	0.00
S1	Denmark	1	3	24/06/2015	29/02/2016	2016-02-29	0	100	2.6	29	241	28.88	12.00	0.00
S1	Leura	1	4	24/06/2015	29/02/2016	2016-02-29	0	100	2.4	14	229	13.76	6.00	0.00
S1	Narrikup	1	5	24/06/2015	29/02/2016	2016-02-29	0	100	2.1	8	202	8.10	4.00	0.00
S1	Woogenellup	1	6	24/06/2015	29/02/2016	2016-02-29	0	100	2.8	33	273	32.79	12.00	0.00
S1	Antas 	2	7	24/06/2015	29/02/2016	2016-02-29	0	100	3.7	28	353	28.26	8.00	0.00
S1	Woogenellup	2	8	24/06/2015	29/02/2016	2016-02-29	0	100	2.9	22	273	21.81	8.00	0.00
S1	Denmark	2	9	24/06/2015	29/02/2016	2016-02-29	0	100	2.3	26	216	25.94	12.00	0.00
S1	Monti	2	10	24/06/2015	29/02/2016	2016-02-29	0	100	1.8	10	169	10.13	6.00	0.00
S1	Narrikup	2	11	24/06/2015	29/02/2016	2016-02-29	0	100	2.5	38	236	37.71	16.00	0.00
S1	Leura	2	12	24/06/2015	29/02/2016	2016-02-29	0	100	2.4	59	226	58.66	26.00	0.00
S1	Woogenellup	3	13	24/06/2015	29/02/2016	2016-02-29	0	100	3.1	44	273	43.61	16.00	0.00
S1	Antas 	3	14	24/06/2015	29/02/2016	2016-02-29	0	100	2.7	20	254	20.34	8.00	0.00
S1	Monti	3	15	24/06/2015	29/02/2016	2016-02-29	0	100	2.2	16	205	16.37	8.00	0.00
S1	Narrikup	3	16	24/06/2015	29/02/2016	2016-02-29	0	100	2.6	19	241	19.30	8.00	0.00
S1	Denmark	3	17	24/06/2015	29/02/2016	2016-02-29	0	100	2.9	60	273	59.97	22.00	0.00
S1	Leura	3	18	24/06/2015	29/02/2016	2016-02-29	0	100	2.9	120	273	120.05	44.00	0.00
S1	Antas 	1	1	24/06/2015	29/02/2016	2016-06-19	111	100	2.6	45	247	78.37	31.74	74.20
S1	Monti	1	2	24/06/2015	29/02/2016	2016-06-19	111	100	2.1	32	212	57.44	27.09	74.20
S1	Denmark	1	3	24/06/2015	29/02/2016	2016-06-19	111	100	2.6	35	241	63.88	26.54	74.20
S1	Leura	1	4	24/06/2015	29/02/2016	2016-06-19	111	100	2.4	106	229	119.76	52.22	74.20
S1	Narrikup	1	5	24/06/2015	29/02/2016	2016-06-19	111	100	2.1	48	202	56.10	27.71	74.20
S1	Woogenellup	1	6	24/06/2015	29/02/2016	2016-06-19	111	100	2.8	101	273	133.79	48.96	74.20
S1	Antas 	2	7	24/06/2015	29/02/2016	2016-06-19	111	100	3.7	38	353	66.26	18.76	74.20
S1	Woogenellup	2	8	24/06/2015	29/02/2016	2016-06-19	111	100	2.9	93	273	114.81	42.12	74.20
S1	Denmark	2	9	24/06/2015	29/02/2016	2016-06-19	111	100	2.3	41	216	66.94	30.96	74.20
S1	Monti	2	10	24/06/2015	29/02/2016	2016-06-19	111	100	1.8	16	169	26.13	15.47	74.20
S1	Narrikup	2	11	24/06/2015	29/02/2016	2016-06-19	111	100	2.5	44	236	81.71	34.67	74.20
S1	Leura	2	12	24/06/2015	29/02/2016	2016-06-19	111	100	2.4	103	226	161.66	71.66	74.20
S1	Woogenellup	3	13	24/06/2015	29/02/2016	2016-06-19	111	100	3.1	77	273	120.61	44.25	74.20
S1	Antas 	3	14	24/06/2015	29/02/2016	2016-06-19	111	100	2.7	49	254	69.34	27.27	74.20
S1	Monti	3	15	24/06/2015	29/02/2016	2016-06-19	111	100	2.2	33	205	49.37	24.12	74.20
S1	Narrikup	3	16	24/06/2015	29/02/2016	2016-06-19	111	100	2.6	48	241	67.30	27.89	74.20
S1	Denmark	3	17	24/06/2015	29/02/2016	2016-06-19	111	100	2.9	34	273	93.97	34.47	74.20
S1	Leura	3	18	24/06/2015	29/02/2016	2016-06-19	111	100	2.9	131	273	251.05	92.01	74.20
S1	Antas 	1	1	24/06/2015	29/02/2016	2016-07-19	141	100	2.6	4	247	82.37	33.36	74.20
S1	Monti	1	2	24/06/2015	29/02/2016	2016-07-19	141	100	2.1	2	212	59.44	28.04	74.20
S1	Denmark	1	3	24/06/2015	29/02/2016	2016-07-19	141	100	2.6	2	241	65.88	27.38	74.20
S1	Leura	1	4	24/06/2015	29/02/2016	2016-07-19	141	100	2.4	10	229	129.76	56.58	74.20
S1	Narrikup	1	5	24/06/2015	29/02/2016	2016-07-19	141	100	2.1	4	202	60.10	29.69	74.20
S1	Woogenellup	1	6	24/06/2015	29/02/2016	2016-07-19	141	100	2.8	1	273	134.79	49.33	74.20
S1	Antas 	2	7	24/06/2015	29/02/2016	2016-07-19	141	100	3.7	2	353	68.26	19.32	74.20
S1	Woogenellup	2	8	24/06/2015	29/02/2016	2016-07-19	141	100	2.9	5	273	119.81	43.95	74.20
S1	Denmark	2	9	24/06/2015	29/02/2016	2016-07-19	141	100	2.3	5	216	71.94	33.28	74.20
S1	Monti	2	10	24/06/2015	29/02/2016	2016-07-19	141	100	1.8	2	169	28.13	16.66	74.20
S1	Narrikup	2	11	24/06/2015	29/02/2016	2016-07-19	141	100	2.5	2	236	83.71	35.52	74.20
S1	Leura	2	12	24/06/2015	29/02/2016	2016-07-19	141	100	2.4	6	226	167.66	74.32	74.20
S1	Woogenellup	3	13	24/06/2015	29/02/2016	2016-07-19	141	100	3.1	6	273	126.61	46.45	74.20
S1	Antas 	3	14	24/06/2015	29/02/2016	2016-07-19	141	100	2.7	4	254	73.34	28.84	74.20
S1	Monti	3	15	24/06/2015	29/02/2016	2016-07-19	141	100	2.2	2	205	51.37	25.10	74.20
S1	Narrikup	3	16	24/06/2015	29/02/2016	2016-07-19	141	100	2.6	3	241	70.30	29.14	74.20
S1	Denmark	3	17	24/06/2015	29/02/2016	2016-07-19	141	100	2.9	6	273	99.97	36.67	74.20
S1	Leura	3	18	24/06/2015	29/02/2016	2016-07-19	141	100	2.9	4	273	255.05	93.48	74.20
S1	Antas 	1	1	24/06/2015	29/02/2016	2016-09-19	203	100	2.6	9	247	91.37	37.00	74.20
S1	Monti	1	2	24/06/2015	29/02/2016	2016-09-19	203	100	2.1	1	212	60.44	28.51	74.20
S1	Denmark	1	3	24/06/2015	29/02/2016	2016-09-19	203	100	2.6	6	241	71.88	29.87	74.20
S1	Leura	1	4	24/06/2015	29/02/2016	2016-09-19	203	100	2.4	11	229	140.76	61.37	74.20
S1	Narrikup	1	5	24/06/2015	29/02/2016	2016-09-19	203	100	2.1	2	202	62.10	30.67	74.20
S1	Woogenellup	1	6	24/06/2015	29/02/2016	2016-09-19	203	100	2.8	8	273	142.79	52.26	74.20
S1	Antas 	2	7	24/06/2015	29/02/2016	2016-09-19	203	100	3.7	6	353	74.26	21.02	74.20
S1	Woogenellup	2	8	24/06/2015	29/02/2016	2016-09-19	203	100	2.9	6	273	125.81	46.15	74.20
S1	Denmark	2	9	24/06/2015	29/02/2016	2016-09-19	203	100	2.3	4	216	75.94	35.13	74.20
S1	Monti	2	10	24/06/2015	29/02/2016	2016-09-19	203	100	1.8	3	169	31.13	18.43	74.20
S1	Narrikup	2	11	24/06/2015	29/02/2016	2016-09-19	203	100	2.5	4	236	87.71	37.21	74.20
S1	Leura	2	12	24/06/2015	29/02/2016	2016-09-19	203	100	2.4	5	226	172.66	76.53	74.20
S1	Woogenellup	3	13	24/06/2015	29/02/2016	2016-09-19	203	100	3.1	10	273	136.61	50.12	74.20
S1	Antas 	3	14	24/06/2015	29/02/2016	2016-09-19	203	100	2.7	4	254	77.34	30.42	74.20
S1	Monti	3	15	24/06/2015	29/02/2016	2016-09-19	203	100	2.2	1	205	52.37	25.59	74.20
S1	Narrikup	3	16	24/06/2015	29/02/2016	2016-09-19	203	100	2.6	2	241	72.30	29.97	74.20
S1	Denmark	3	17	24/06/2015	29/02/2016	2016-09-19	203	100	2.9	7	273	106.97	39.24	74.20
S1	Leura	3	18	24/06/2015	29/02/2016	2016-09-19	203	100	2.9	4	273	259.05	94.95	74.20
S1	Antas 	1	1	24/06/2015	29/02/2016	2016-11-19	264	100	2.6	4	247	95.37	38.62	75.00
S1	Monti	1	2	24/06/2015	29/02/2016	2016-11-19	264	100	2.1	1	212	61.44	28.98	75.00
S1	Denmark	1	3	24/06/2015	29/02/2016	2016-11-19	264	100	2.6	3	241	74.88	31.12	75.00
S1	Leura	1	4	24/06/2015	29/02/2016	2016-11-19	264	100	2.4	3	229	143.76	62.68	75.00
S1	Narrikup	1	5	24/06/2015	29/02/2016	2016-11-19	264	100	2.1	2	202	64.10	31.66	75.00
S1	Woogenellup	1	6	24/06/2015	29/02/2016	2016-11-19	264	100	2.8	2	273	144.79	52.99	75.00
S1	Antas 	2	7	24/06/2015	29/02/2016	2016-11-19	264	100	3.7	0	353	74.26	21.02	75.00
S1	Woogenellup	2	8	24/06/2015	29/02/2016	2016-11-19	264	100	2.9	5	273	130.81	47.99	75.00
S1	Denmark	2	9	24/06/2015	29/02/2016	2016-11-19	264	100	2.3	5	216	80.94	37.44	75.00
S1	Monti	2	10	24/06/2015	29/02/2016	2016-11-19	264	100	1.8	1	169	32.13	19.03	75.00
S1	Narrikup	2	11	24/06/2015	29/02/2016	2016-11-19	264	100	2.5	4	236	91.71	38.91	75.00
S1	Leura	2	12	24/06/2015	29/02/2016	2016-11-19	264	100	2.4	6	226	178.66	79.19	75.00
S1	Woogenellup	3	13	24/06/2015	29/02/2016	2016-11-19	264	100	3.1	2	273	138.61	50.86	75.00
S1	Antas 	3	14	24/06/2015	29/02/2016	2016-11-19	264	100	2.7	4	254	81.34	31.99	75.00
S1	Monti	3	15	24/06/2015	29/02/2016	2016-11-19	264	100	2.2	1	205	53.37	26.08	75.00
S1	Narrikup	3	16	24/06/2015	29/02/2016	2016-11-19	264	100	2.6	1	241	73.30	30.38	75.00
S1	Denmark	3	17	24/06/2015	29/02/2016	2016-11-19	264	100	2.9	7	273	113.97	41.81	75.00
S1	Leura	3	18	24/06/2015	29/02/2016	2016-11-19	264	100	2.9	4	273	263.05	96.41	75.00
S1	Antas 	1	1	24/06/2015	29/02/2016	2017-01-19	325	100	2.6	4	247	99.37	40.24	156.50
S1	Monti	1	2	24/06/2015	29/02/2016	2017-01-19	325	100	2.1	2	212	63.44	29.92	156.50
S1	Denmark	1	3	24/06/2015	29/02/2016	2017-01-19	325	100	2.6	3	241	77.88	32.36	156.50
S1	Leura	1	4	24/06/2015	29/02/2016	2017-01-19	325	100	2.4	4	229	147.76	64.42	156.50
S1	Narrikup	1	5	24/06/2015	29/02/2016	2017-01-19	325	100	2.1	10	202	74.10	36.60	156.50
S1	Woogenellup	1	6	24/06/2015	29/02/2016	2017-01-19	325	100	2.8	6	273	150.79	55.19	156.50
S1	Antas 	2	7	24/06/2015	29/02/2016	2017-01-19	325	100	3.7	3	353	77.26	21.87	156.50
S1	Woogenellup	2	8	24/06/2015	29/02/2016	2017-01-19	325	100	2.9	3	273	133.81	49.09	156.50
S1	Denmark	2	9	24/06/2015	29/02/2016	2017-01-19	325	100	2.3	1	216	81.94	37.90	156.50
S1	Monti	2	10	24/06/2015	29/02/2016	2017-01-19	325	100	1.8	5	169	37.13	21.99	156.50
S1	Narrikup	2	11	24/06/2015	29/02/2016	2017-01-19	325	100	2.5	5	236	96.71	41.03	156.50
S1	Leura	2	12	24/06/2015	29/02/2016	2017-01-19	325	100	2.4	4	226	182.66	80.96	156.50
S1	Woogenellup	3	13	24/06/2015	29/02/2016	2017-01-19	325	100	3.1	2	273	140.61	51.59	156.50
S1	Antas 	3	14	24/06/2015	29/02/2016	2017-01-19	325	100	2.7	2	254	83.34	32.78	156.50
S1	Monti	3	15	24/06/2015	29/02/2016	2017-01-19	325	100	2.2	2	205	55.37	27.05	156.50
S1	Narrikup	3	16	24/06/2015	29/02/2016	2017-01-19	325	100	2.6	1	241	74.30	30.80	156.50
S1	Denmark	3	17	24/06/2015	29/02/2016	2017-01-19	325	100	2.9	1	273	114.97	42.18	156.50
S1	Leura	3	18	24/06/2015	29/02/2016	2017-01-19	325	100	2.9	2	273	265.05	97.15	156.50
S1	Antas 	1	1	24/06/2015	29/02/2016	2017-03-08	373	100	2.6	0	247	99.37	40.24	378.80
S1	Monti	1	2	24/06/2015	29/02/2016	2017-03-08	373	100	2.1	0	212	63.44	29.92	378.80
S1	Denmark	1	3	24/06/2015	29/02/2016	2017-03-08	373	100	2.6	13	241	90.88	37.76	378.80
S1	Leura	1	4	24/06/2015	29/02/2016	2017-03-08	373	100	2.4	0	229	147.76	64.42	378.80
S1	Narrikup	1	5	24/06/2015	29/02/2016	2017-03-08	373	100	2.1	1	202	75.10	37.10	378.80
S1	Woogenellup	1	6	24/06/2015	29/02/2016	2017-03-08	373	100	2.8	0	273	150.79	55.19	378.80
S1	Antas 	2	7	24/06/2015	29/02/2016	2017-03-08	373	100	3.7	0	353	77.26	21.87	378.80
S1	Woogenellup	2	8	24/06/2015	29/02/2016	2017-03-08	373	100	2.9	4	273	137.81	50.55	378.80
S1	Denmark	2	9	24/06/2015	29/02/2016	2017-03-08	373	100	2.3	15	216	96.94	44.84	378.80
S1	Monti	2	10	24/06/2015	29/02/2016	2017-03-08	373	100	1.8	0	169	37.13	21.99	378.80
S1	Narrikup	2	11	24/06/2015	29/02/2016	2017-03-08	373	100	2.5	0	236	96.71	41.03	378.80
S1	Leura	2	12	24/06/2015	29/02/2016	2017-03-08	373	100	2.4	1	226	183.66	81.41	378.80
S1	Woogenellup	3	13	24/06/2015	29/02/2016	2017-03-08	373	100	3.1	1	273	141.61	51.96	378.80
S1	Antas 	3	14	24/06/2015	29/02/2016	2017-03-08	373	100	2.7	0	254	83.34	32.78	378.80
S1	Monti	3	15	24/06/2015	29/02/2016	2017-03-08	373	100	2.2	0	205	55.37	27.05	378.80
S1	Narrikup	3	16	24/06/2015	29/02/2016	2017-03-08	373	100	2.6	0	241	74.30	30.80	378.80
S1	Denmark	3	17	24/06/2015	29/02/2016	2017-03-08	373	100	2.9	0	273	114.97	42.18	378.80
S1	Leura	3	18	24/06/2015	29/02/2016	2017-03-08	373	100	2.9	7	273	272.05	99.71	378.80
S1	Antas 	1	1	24/06/2015	29/02/2016	2017-04-17	413	100	2.6	9	247	108.37	43.88	408.90
S1	Monti	1	2	24/06/2015	29/02/2016	2017-04-17	413	100	2.1	5	212	68.44	32.28	408.90
S1	Denmark	1	3	24/06/2015	29/02/2016	2017-04-17	413	100	2.6	0	241	90.88	37.76	408.90
S1	Leura	1	4	24/06/2015	29/02/2016	2017-04-17	413	100	2.4	13	229	160.76	70.09	408.90
S1	Narrikup	1	5	24/06/2015	29/02/2016	2017-04-17	413	100	2.1	0	202	75.10	37.10	408.90
S1	Woogenellup	1	6	24/06/2015	29/02/2016	2017-04-17	413	100	2.8	1	273	151.79	55.55	408.90
S1	Antas 	2	7	24/06/2015	29/02/2016	2017-04-17	413	100	3.7	21	353	98.26	27.81	408.90
S1	Woogenellup	2	8	24/06/2015	29/02/2016	2017-04-17	413	100	2.9	0	273	137.81	50.55	408.90
S1	Denmark	2	9	24/06/2015	29/02/2016	2017-04-17	413	100	2.3	2	216	98.94	45.77	408.90
S1	Monti	2	10	24/06/2015	29/02/2016	2017-04-17	413	100	1.8	4	169	41.13	24.35	408.90
S1	Narrikup	2	11	24/06/2015	29/02/2016	2017-04-17	413	100	2.5	4	236	100.71	42.73	408.90
S1	Leura	2	12	24/06/2015	29/02/2016	2017-04-17	413	100	2.4	2	226	185.66	82.29	408.90
S1	Woogenellup	3	13	24/06/2015	29/02/2016	2017-04-17	413	100	3.1	20	273	161.61	59.29	408.90
S1	Antas 	3	14	24/06/2015	29/02/2016	2017-04-17	413	100	2.7	6	254	89.34	35.14	408.90
S1	Monti	3	15	24/06/2015	29/02/2016	2017-04-17	413	100	2.2	1	205	56.37	27.54	408.90
S1	Narrikup	3	16	24/06/2015	29/02/2016	2017-04-17	413	100	2.6	14	241	88.30	36.60	408.90
S1	Denmark	3	17	24/06/2015	29/02/2016	2017-04-17	413	100	2.9	0	273	114.97	42.18	408.90
S1	Leura	3	18	24/06/2015	29/02/2016	2017-04-17	413	100	2.9	0	273	272.05	99.71	408.90
S1	Antas 	1	1	24/06/2015	29/02/2016	2017-05-16	442	100	2.6	9	247	117.37	47.53	408.90
S1	Monti	1	2	24/06/2015	29/02/2016	2017-05-16	442	100	2.1	10	212	78.44	37.00	408.90
S1	Denmark	1	3	24/06/2015	29/02/2016	2017-05-16	442	100	2.6	1	241	91.88	38.18	408.90
S1	Leura	1	4	24/06/2015	29/02/2016	2017-05-16	442	100	2.4	12	229	172.76	75.32	408.90
S1	Narrikup	1	5	24/06/2015	29/02/2016	2017-05-16	442	100	2.1	0	202	75.10	37.10	408.90
S1	Woogenellup	1	6	24/06/2015	29/02/2016	2017-05-16	442	100	2.8	3	273	154.79	56.65	408.90
S1	Antas 	2	7	24/06/2015	29/02/2016	2017-05-16	442	100	3.7	1	353	99.26	28.10	408.90
S1	Woogenellup	2	8	24/06/2015	29/02/2016	2017-05-16	442	100	2.9	0	273	137.81	50.55	408.90
S1	Denmark	2	9	24/06/2015	29/02/2016	2017-05-16	442	100	2.3	1	216	99.94	46.23	408.90
S1	Monti	2	10	24/06/2015	29/02/2016	2017-05-16	442	100	1.8	18	169	59.13	35.01	408.90
S1	Narrikup	2	11	24/06/2015	29/02/2016	2017-05-16	442	100	2.5	0	236	100.71	42.73	408.90
S1	Leura	2	12	24/06/2015	29/02/2016	2017-05-16	442	100	2.4	1	226	186.66	82.74	408.90
S1	Woogenellup	3	13	24/06/2015	29/02/2016	2017-05-16	442	100	3.1	1	273	162.61	59.66	408.90
S1	Antas 	3	14	24/06/2015	29/02/2016	2017-05-16	442	100	2.7	1	254	90.34	35.53	408.90
S1	Monti	3	15	24/06/2015	29/02/2016	2017-05-16	442	100	2.2	2	205	58.37	28.52	408.90
S1	Narrikup	3	16	24/06/2015	29/02/2016	2017-05-16	442	100	2.6	12	241	100.30	41.57	408.90
S1	Denmark	3	17	24/06/2015	29/02/2016	2017-05-16	442	100	2.9	0	273	114.97	42.18	408.90
S1	Leura	3	18	24/06/2015	29/02/2016	2017-05-16	442	100	2.9	0	273	272.05	99.71	408.90
S1	Antas 	1	1	24/06/2015	29/02/2016	2017-06-26	483	100	2.6	4	247	121.37	49.15	408.90
S1	Monti	1	2	24/06/2015	29/02/2016	2017-06-26	483	100	2.1	3	212	81.44	38.42	408.90
S1	Denmark	1	3	24/06/2015	29/02/2016	2017-06-26	483	100	2.6	0	241	91.88	38.18	408.90
S1	Leura	1	4	24/06/2015	29/02/2016	2017-06-26	483	100	2.4	1	229	173.76	75.76	408.90
S1	Narrikup	1	5	24/06/2015	29/02/2016	2017-06-26	483	100	2.1	0	202	75.10	37.10	408.90
S1	Woogenellup	1	6	24/06/2015	29/02/2016	2017-06-26	483	100	2.8	1	273	155.79	57.02	408.90
S1	Antas 	2	7	24/06/2015	29/02/2016	2017-06-26	483	100	3.7	0	353	99.26	28.10	408.90
S1	Woogenellup	2	8	24/06/2015	29/02/2016	2017-06-26	483	100	2.9	1	273	138.81	50.92	408.90
S1	Denmark	2	9	24/06/2015	29/02/2016	2017-06-26	483	100	2.3	1	216	100.94	46.69	408.90
S1	Monti	2	10	24/06/2015	29/02/2016	2017-06-26	483	100	1.8	1	169	60.13	35.60	408.90
S1	Narrikup	2	11	24/06/2015	29/02/2016	2017-06-26	483	100	2.5	2	236	102.71	43.58	408.90
S1	Leura	2	12	24/06/2015	29/02/2016	2017-06-26	483	100	2.4	0	226	186.66	82.74	408.90
S1	Woogenellup	3	13	24/06/2015	29/02/2016	2017-06-26	483	100	3.1	0	273	162.61	59.66	408.90
S1	Antas 	3	14	24/06/2015	29/02/2016	2017-06-26	483	100	2.7	2	254	92.34	36.32	408.90
S1	Monti	3	15	24/06/2015	29/02/2016	2017-06-26	483	100	2.2	2	205	60.37	29.50	408.90
S1	Narrikup	3	16	24/06/2015	29/02/2016	2017-06-26	483	100	2.6	1	241	101.30	41.99	408.90
S1	Denmark	3	17	24/06/2015	29/02/2016	2017-06-26	483	100	2.9	0	273	114.97	42.18	408.90
S1	Leura	3	18	24/06/2015	29/02/2016	2017-06-26	483	100	2.9	0	273	272.05	99.71	408.90
S1	Antas 	1	1	24/06/2015	29/02/2016	2017-08-20	538	100	2.6	4	247	125.37	50.77	408.90
S1	Monti	1	2	24/06/2015	29/02/2016	2017-08-20	538	100	2.1	2	212	83.44	39.36	408.90
S1	Denmark	1	3	24/06/2015	29/02/2016	2017-08-20	538	100	2.6	7	241	98.88	41.09	408.90
S1	Leura	1	4	24/06/2015	29/02/2016	2017-08-20	538	100	2.4	5	229	178.76	77.94	408.90
S1	Narrikup	1	5	24/06/2015	29/02/2016	2017-08-20	538	100	2.1	1	202	76.10	37.59	408.90
S1	Woogenellup	1	6	24/06/2015	29/02/2016	2017-08-20	538	100	2.8	4	273	159.79	58.48	408.90
S1	Antas 	2	7	24/06/2015	29/02/2016	2017-08-20	538	100	3.7	3	353	102.26	28.95	408.90
S1	Woogenellup	2	8	24/06/2015	29/02/2016	2017-08-20	538	100	2.9	7	273	145.81	53.49	408.90
S1	Denmark	2	9	24/06/2015	29/02/2016	2017-08-20	538	100	2.3	9	216	109.94	50.85	408.90
S1	Monti	2	10	24/06/2015	29/02/2016	2017-08-20	538	100	1.8	2	169	62.13	36.79	408.90
S1	Narrikup	2	11	24/06/2015	29/02/2016	2017-08-20	538	100	2.5	4	236	106.71	45.27	408.90
S1	Leura	2	12	24/06/2015	29/02/2016	2017-08-20	538	100	2.4	5	226	191.66	84.95	408.90
S1	Woogenellup	3	13	24/06/2015	29/02/2016	2017-08-20	538	100	3.1	4	273	166.61	61.13	408.90
S1	Antas 	3	14	24/06/2015	29/02/2016	2017-08-20	538	100	2.7	7	254	99.34	39.07	408.90
S1	Monti	3	15	24/06/2015	29/02/2016	2017-08-20	538	100	2.2	5	205	65.37	31.94	408.90
S1	Narrikup	3	16	24/06/2015	29/02/2016	2017-08-20	538	100	2.6	3	241	104.30	43.23	408.90
S1	Denmark	3	17	24/06/2015	29/02/2016	2017-08-20	538	100	2.9	6	273	120.97	44.38	408.90
S1	Leura	3	18	24/06/2015	29/02/2016	2017-08-20	538	100	2.9	4	273	276.05	101.18	408.90
