SowTreat	Cultivar	Block 	SowTreat	Plot 	SowingDate	ReadingDate 	DAS 	Unifoliate	Trifoliate
S1	Antas 	1	S1	1	24/06/15	24/06/15	0.00	0	0
S1	Monti	1	S1	2	24/06/15	24/06/15	0.00	0	0
S1	Denmark	1	S1	3	24/06/15	24/06/15	0.00	0	0
S1	Leura	1	S1	4	24/06/15	24/06/15	0.00	0	0
S1	Narrikup	1	S1	5	24/06/15	24/06/15	0.00	0	0
S1	Woogenellup	1	S1	6	24/06/15	24/06/15	0.00	0	0
S1	Antas 	2	S1	7	24/06/15	24/06/15	0.00	0	0
S1	Woogenellup	2	S1	8	24/06/15	24/06/15	0.00	0	0
S1	Denmark	2	S1	9	24/06/15	24/06/15	0.00	0	0
S1	Monti	2	S1	10	24/06/15	24/06/15	0.00	0	0
S1	Narrikup	2	S1	11	24/06/15	24/06/15	0.00	0	0
S1	Leura	2	S1	12	24/06/15	24/06/15	0.00	0	0
S1	Woogenellup	3	S1	13	24/06/15	24/06/15	0.00	0	0
S1	Antas 	3	S1	14	24/06/15	24/06/15	0.00	0	0
S1	Monti	3	S1	15	24/06/15	24/06/15	0.00	0	0
S1	Narrikup	3	S1	16	24/06/15	24/06/15	0.00	0	0
S1	Denmark	3	S1	17	24/06/15	24/06/15	0.00	0	0
S1	Leura	3	S1	18	24/06/15	24/06/15	0.00	0	0
S1	Antas 	1	S1	1	24/06/15	19/08/15	56.00	5	5
S1	Monti	1	S1	2	24/06/15	19/08/15	56.00	6	4
S1	Denmark	1	S1	3	24/06/15	19/08/15	56.00	4	6
S1	Leura	1	S1	4	24/06/15	19/08/15	56.00	6	4
S1	Narrikup	1	S1	5	24/06/15	19/08/15	56.00	5	5
S1	Woogenellup	1	S1	6	24/06/15	19/08/15	56.00	4	6
S1	Antas 	2	S1	7	24/06/15	19/08/15	56.00	3	7
S1	Woogenellup	2	S1	8	24/06/15	19/08/15	56.00	4	5
S1	Denmark	2	S1	9	24/06/15	19/08/15	56.00	2	8
S1	Monti	2	S1	10	24/06/15	19/08/15	56.00	0	10
S1	Narrikup	2	S1	11	24/06/15	19/08/15	56.00	0	10
S1	Leura	2	S1	12	24/06/15	19/08/15	56.00	4	6
S1	Woogenellup	3	S1	13	24/06/15	19/08/15	56.00	4	6
S1	Antas 	3	S1	14	24/06/15	19/08/15	56.00	2	8
S1	Monti	3	S1	15	24/06/15	19/08/15	56.00	3	7
S1	Narrikup	3	S1	16	24/06/15	19/08/15	56.00	4	6
S1	Denmark	3	S1	17	24/06/15	19/08/15	56.00	2	8
S1	Leura	3	S1	18	24/06/15	19/08/15	56.00	7	3
S1	Antas 	1	S1	1	24/06/15	28/08/15	65.00	7	3
S1	Monti	1	S1	2	24/06/15	28/08/15	65.00	4	5
S1	Denmark	1	S1	3	24/06/15	28/08/15	65.00	3	6
S1	Leura	1	S1	4	24/06/15	28/08/15	65.00	4	5
S1	Narrikup	1	S1	5	24/06/15	28/08/15	65.00	2	7
