Cultivar	FlowerStage	Rep	DaysTest	Round	NumberSeeds	Soft
Antas	Old	1	14	1	50	5
Antas	Old	2	14	1	50	5
Antas	Old	3	14	1	50	5
Denmark	Old	1	14	1	50	5
Denmark	Old	2	14	1	50	6
Denmark	Old	3	14	1	50	5
Narrikup	Old	1	14	1	50	7
Narrikup	Old	2	14	1	50	5
Narrikup	Old	3	14	1	50	6
Antas	Young	1	14	1	50	15
Antas	Young	2	14	1	50	11
Antas	Young	3	14	1	50	11
Denmark	Young	1	14	1	50	6
Denmark	Young	2	14	1	50	9
Denmark	Young	3	14	1	50	8
Narrikup	Young	1	14	1	50	6
Narrikup	Young	2	14	1	50	8
Narrikup	Young	3	14	1	50	9
Antas	Old	1	28	2	45	1
Antas	Old	2	28	2	45	0
Antas	Old	3	28	2	45	2
Denmark	Old	1	28	2	45	2
Denmark	Old	2	28	2	44	1
Denmark	Old	3	28	2	45	0
Narrikup	Old	1	28	2	43	0
Narrikup	Old	2	28	2	45	0
Narrikup	Old	3	28	2	44	0
Antas	Young	1	28	2	35	1
Antas	Young	2	28	2	39	2
Antas	Young	3	28	2	39	3
Denmark	Young	1	28	2	44	1
Denmark	Young	2	28	2	41	2
Denmark	Young	3	28	2	42	1
Narrikup	Young	1	28	2	44	1
Narrikup	Young	2	28	2	42	3
Narrikup	Young	3	28	2	41	1
Antas	Old	1	42	3	44	0
Antas	Old	2	42	3	45	0
Antas	Old	3	42	3	43	0
Denmark	Old	1	42	3	43	1
Denmark	Old	2	42	3	43	1
Denmark	Old	3	42	3	45	0
Narrikup	Old	1	42	3	43	0
Narrikup	Old	2	42	3	45	3
Narrikup	Old	3	42	3	44	1
Antas	Young	1	42	3	34	0
Antas	Young	2	42	3	37	0
Antas	Young	3	42	3	36	0
Denmark	Young	1	42	3	43	0
Denmark	Young	2	42	3	39	0
Denmark	Young	3	42	3	41	0
Narrikup	Young	1	42	3	43	2
Narrikup	Young	2	42	3	39	3
Narrikup	Young	3	42	3	40	0
Antas	Old	1	56	4	44	1
Antas	Old	2	56	4	45	2
Antas	Old	3	56	4	43	1
Denmark	Old	1	56	4	42	0
Denmark	Old	2	56	4	42	0
Denmark	Old	3	56	4	45	0
Narrikup	Old	1	56	4	43	2
Narrikup	Old	2	56	4	42	6
Narrikup	Old	3	56	4	43	2
Antas	Young	1	56	4	34	3
Antas	Young	2	56	4	37	1
Antas	Young	3	56	4	36	1
Denmark	Young	1	56	4	43	0
Denmark	Young	2	56	4	39	1
Denmark	Young	3	56	4	41	0
Narrikup	Young	1	56	4	41	0
Narrikup	Young	2	56	4	36	0
Narrikup	Young	3	56	4	40	0
