Block	Cultivar	SowingD	DAS	Date	Pot	Variable	S1	S2
1	Antas	17/06/2016	55	11/08/2016	1	Bud	0	0
1	Antas	17/06/2016	55	11/08/2016	1	Early	0	0
1	Antas	17/06/2016	55	11/08/2016	1	Open	0	0
1	Antas	17/06/2016	55	11/08/2016	1	Petal	0	0
1	Antas	17/06/2016	55	11/08/2016	1	Bur8	0	0
1	Antas	17/06/2016	55	11/08/2016	1	Bur9	0	0
1	Antas	17/06/2016	55	11/08/2016	1	Bur10	0	0
1	Antas	17/06/2016	55	11/08/2016	1	Bur12	0	0
1	Antas	17/06/2016	55	11/08/2016	2	Bud	0	0
1	Antas	17/06/2016	55	11/08/2016	2	Early	0	0
1	Antas	17/06/2016	55	11/08/2016	2	Open	0	0
1	Antas	17/06/2016	55	11/08/2016	2	Petal	0	0
1	Antas	17/06/2016	55	11/08/2016	2	Bur8	0	0
1	Antas	17/06/2016	55	11/08/2016	2	Bur9	0	0
1	Antas	17/06/2016	55	11/08/2016	2	Bur10	0	0
1	Antas	17/06/2016	55	11/08/2016	2	Bur12	0	0
1	Antas	17/06/2016	55	11/08/2016	3	Bud	0	0
1	Antas	17/06/2016	55	11/08/2016	3	Early	0	0
1	Antas	17/06/2016	55	11/08/2016	3	Open	0	0
1	Antas	17/06/2016	55	11/08/2016	3	Petal	0	0
1	Antas	17/06/2016	55	11/08/2016	3	Bur8	0	0
1	Antas	17/06/2016	55	11/08/2016	3	Bur9	0	0
1	Antas	17/06/2016	55	11/08/2016	3	Bur10	0	0
1	Antas	17/06/2016	55	11/08/2016	3	Bur12	0	0
1	Antas	17/06/2016	55	11/08/2016	4	Bud	0	0
1	Antas	17/06/2016	55	11/08/2016	4	Early	0	0
1	Antas	17/06/2016	55	11/08/2016	4	Open	0	0
1	Antas	17/06/2016	55	11/08/2016	4	Petal	0	0
1	Antas	17/06/2016	55	11/08/2016	4	Bur8	0	0
1	Antas	17/06/2016	55	11/08/2016	4	Bur9	0	0
1	Antas	17/06/2016	55	11/08/2016	4	Bur10	0	0
1	Antas	17/06/2016	55	11/08/2016	4	Bur12	0	0
1	Antas	17/06/2016	55	11/08/2016	5	Bud	0	0
1	Antas	17/06/2016	55	11/08/2016	5	Early	0	0
1	Antas	17/06/2016	55	11/08/2016	5	Open	0	0
1	Antas	17/06/2016	55	11/08/2016	5	Petal	0	0
1	Antas	17/06/2016	55	11/08/2016	5	Bur8	0	0
1	Antas	17/06/2016	55	11/08/2016	5	Bur9	0	0
1	Antas	17/06/2016	55	11/08/2016	5	Bur10	0	0
1	Antas	17/06/2016	55	11/08/2016	5	Bur12	0	0
1	Denmark	17/06/2016	55	11/08/2016	6	Bud	0	0
1	Denmark	17/06/2016	55	11/08/2016	6	Early	0	0
1	Denmark	17/06/2016	55	11/08/2016	6	Open	0	0
1	Denmark	17/06/2016	55	11/08/2016	6	Petal	0	0
1	Denmark	17/06/2016	55	11/08/2016	6	Bur8	0	0
1	Denmark	17/06/2016	55	11/08/2016	6	Bur9	0	0
1	Denmark	17/06/2016	55	11/08/2016	6	Bur10	0	0
1	Denmark	17/06/2016	55	11/08/2016	6	Bur12	0	0
1	Denmark	17/06/2016	55	11/08/2016	7	Bud	0	0
1	Denmark	17/06/2016	55	11/08/2016	7	Early	0	0
1	Denmark	17/06/2016	55	11/08/2016	7	Open	0	0
1	Denmark	17/06/2016	55	11/08/2016	7	Petal	0	0
1	Denmark	17/06/2016	55	11/08/2016	7	Bur8	0	0
1	Denmark	17/06/2016	55	11/08/2016	7	Bur9	0	0
1	Denmark	17/06/2016	55	11/08/2016	7	Bur10	0	0
1	Denmark	17/06/2016	55	11/08/2016	7	Bur12	0	0
1	Denmark	17/06/2016	55	11/08/2016	8	Bud	0	0
1	Denmark	17/06/2016	55	11/08/2016	8	Early	0	0
1	Denmark	17/06/2016	55	11/08/2016	8	Open	0	0
1	Denmark	17/06/2016	55	11/08/2016	8	Petal	0	0
1	Denmark	17/06/2016	55	11/08/2016	8	Bur8	0	0
1	Denmark	17/06/2016	55	11/08/2016	8	Bur9	0	0
1	Denmark	17/06/2016	55	11/08/2016	8	Bur10	0	0
1	Denmark	17/06/2016	55	11/08/2016	8	Bur12	0	0
1	Denmark	17/06/2016	55	11/08/2016	9	Bud	0	0
1	Denmark	17/06/2016	55	11/08/2016	9	Early	0	0
1	Denmark	17/06/2016	55	11/08/2016	9	Open	0	0
1	Denmark	17/06/2016	55	11/08/2016	9	Petal	0	0
1	Denmark	17/06/2016	55	11/08/2016	9	Bur8	0	0
1	Denmark	17/06/2016	55	11/08/2016	9	Bur9	0	0
1	Denmark	17/06/2016	55	11/08/2016	9	Bur10	0	0
1	Denmark	17/06/2016	55	11/08/2016	9	Bur12	0	0
1	Denmark	17/06/2016	55	11/08/2016	10	Bud	0	0
1	Denmark	17/06/2016	55	11/08/2016	10	Early	0	0
1	Denmark	17/06/2016	55	11/08/2016	10	Open	0	0
1	Denmark	17/06/2016	55	11/08/2016	10	Petal	0	0
1	Denmark	17/06/2016	55	11/08/2016	10	Bur8	0	0
1	Denmark	17/06/2016	55	11/08/2016	10	Bur9	0	0
1	Denmark	17/06/2016	55	11/08/2016	10	Bur10	0	0
1	Denmark	17/06/2016	55	11/08/2016	10	Bur12	0	0
1	Narrikup	17/06/2016	55	11/08/2016	11	Bud	0	0
1	Narrikup	17/06/2016	55	11/08/2016	11	Early	0	0
1	Narrikup	17/06/2016	55	11/08/2016	11	Open	0	0
1	Narrikup	17/06/2016	55	11/08/2016	11	Petal	0	0
1	Narrikup	17/06/2016	55	11/08/2016	11	Bur8	0	0
1	Narrikup	17/06/2016	55	11/08/2016	11	Bur9	0	0
1	Narrikup	17/06/2016	55	11/08/2016	11	Bur10	0	0
1	Narrikup	17/06/2016	55	11/08/2016	11	Bur12	0	0
1	Narrikup	17/06/2016	55	11/08/2016	12	Bud	0	0
1	Narrikup	17/06/2016	55	11/08/2016	12	Early	0	0
1	Narrikup	17/06/2016	55	11/08/2016	12	Open	0	0
1	Narrikup	17/06/2016	55	11/08/2016	12	Petal	0	0
1	Narrikup	17/06/2016	55	11/08/2016	12	Bur8	0	0
1	Narrikup	17/06/2016	55	11/08/2016	12	Bur9	0	0
1	Narrikup	17/06/2016	55	11/08/2016	12	Bur10	0	0
1	Narrikup	17/06/2016	55	11/08/2016	12	Bur12	0	0
1	Narrikup	17/06/2016	55	11/08/2016	13	Bud	0	0
1	Narrikup	17/06/2016	55	11/08/2016	13	Early	0	0
1	Narrikup	17/06/2016	55	11/08/2016	13	Open	0	0
1	Narrikup	17/06/2016	55	11/08/2016	13	Petal	0	0
1	Narrikup	17/06/2016	55	11/08/2016	13	Bur8	0	0
1	Narrikup	17/06/2016	55	11/08/2016	13	Bur9	0	0
1	Narrikup	17/06/2016	55	11/08/2016	13	Bur10	0	0
1	Narrikup	17/06/2016	55	11/08/2016	13	Bur12	0	0
1	Narrikup	17/06/2016	55	11/08/2016	14	Bud	0	0
1	Narrikup	17/06/2016	55	11/08/2016	14	Early	0	0
1	Narrikup	17/06/2016	55	11/08/2016	14	Open	0	0
1	Narrikup	17/06/2016	55	11/08/2016	14	Petal	0	0
1	Narrikup	17/06/2016	55	11/08/2016	14	Bur8	0	0
1	Narrikup	17/06/2016	55	11/08/2016	14	Bur9	0	0
1	Narrikup	17/06/2016	55	11/08/2016	14	Bur10	0	0
1	Narrikup	17/06/2016	55	11/08/2016	14	Bur12	0	0
1	Narrikup	17/06/2016	55	11/08/2016	15	Bud	0	0
1	Narrikup	17/06/2016	55	11/08/2016	15	Early	0	0
1	Narrikup	17/06/2016	55	11/08/2016	15	Open	0	0
1	Narrikup	17/06/2016	55	11/08/2016	15	Petal	0	0
1	Narrikup	17/06/2016	55	11/08/2016	15	Bur8	0	0
1	Narrikup	17/06/2016	55	11/08/2016	15	Bur9	0	0
1	Narrikup	17/06/2016	55	11/08/2016	15	Bur10	0	0
1	Narrikup	17/06/2016	55	11/08/2016	15	Bur12	0	0
2	Antas	17/06/2016	55	11/08/2016	16	Bud	0	0
2	Antas	17/06/2016	55	11/08/2016	16	Early	0	0
2	Antas	17/06/2016	55	11/08/2016	16	Open	0	0
2	Antas	17/06/2016	55	11/08/2016	16	Petal	0	0
2	Antas	17/06/2016	55	11/08/2016	16	Bur8	0	0
2	Antas	17/06/2016	55	11/08/2016	16	Bur9	0	0
2	Antas	17/06/2016	55	11/08/2016	16	Bur10	0	0
2	Antas	17/06/2016	55	11/08/2016	16	Bur12	0	0
2	Antas	17/06/2016	55	11/08/2016	17	Bud	0	0
2	Antas	17/06/2016	55	11/08/2016	17	Early	0	0
