Date	TT	Pp
17/06/2016	13.29	16.00
18/06/2016	26.58	16.00
19/06/2016	39.87	16.00
20/06/2016	53.15	16.00
21/06/2016	66.44	16.00
22/06/2016	79.73	16.00
23/06/2016	93.02	16.00
24/06/2016	107.11	16.00
25/06/2016	121.20	16.00
26/06/2016	135.30	16.00
27/06/2016	149.39	16.00
28/06/2016	163.48	16.00
29/06/2016	177.57	16.00
30/06/2016	191.66	16.00
1/07/2016	205.14	16.00
2/07/2016	218.62	16.00
3/07/2016	232.10	16.00
4/07/2016	245.57	16.00
5/07/2016	259.05	16.00
6/07/2016	272.53	16.00
7/07/2016	286.01	16.00
8/07/2016	300.57	16.00
9/07/2016	315.13	16.00
10/07/2016	329.69	16.00
11/07/2016	344.25	16.00
12/07/2016	358.81	16.00
13/07/2016	373.38	16.00
14/07/2016	387.94	16.00
15/07/2016	402.48	16.00
16/07/2016	417.03	16.00
17/07/2016	431.57	16.00
18/07/2016	446.12	16.00
19/07/2016	460.66	16.00
20/07/2016	475.21	16.00
21/07/2016	489.75	16.00
22/07/2016	509.44	15.00
23/07/2016	529.13	15.00
24/07/2016	548.81	15.00
25/07/2016	568.50	15.00
26/07/2016	588.19	15.00
27/07/2016	607.87	15.00
28/07/2016	627.56	15.00
29/07/2016	641.59	15.00
30/07/2016	655.61	15.00
31/07/2016	669.63	15.00
1/08/2016	683.66	15.00
2/08/2016	697.68	15.00
3/08/2016	711.70	15.00
4/08/2016	725.73	15.00
5/08/2016	743.80	15.00
6/08/2016	761.88	15.00
7/08/2016	779.96	15.00
8/08/2016	798.04	15.00
9/08/2016	816.11	15.00
10/08/2016	834.19	15.00
11/08/2016	852.27	15.00
12/08/2016	870.00	14.00
13/08/2016	887.73	14.00
14/08/2016	905.46	14.00
15/08/2016	923.19	14.00
16/08/2016	940.93	14.00
17/08/2016	958.66	14.00
18/08/2016	976.39	14.00
19/08/2016	995.65	14.00
20/08/2016	1014.91	14.00
21/08/2016	1034.17	14.00
22/08/2016	1053.43	14.00
23/08/2016	1072.69	14.00
24/08/2016	1091.95	14.00
25/08/2016	1111.21	14.00
26/08/2016	1130.54	14.00
27/08/2016	1149.86	14.00
28/08/2016	1169.19	14.00
29/08/2016	1188.51	14.00
30/08/2016	1207.84	14.00
31/08/2016	1227.16	14.00
1/09/2016	1246.49	14.00
2/09/2016	1262.64	13.00
3/09/2016	1278.80	13.00
4/09/2016	1294.96	13.00
5/09/2016	1311.12	13.00
6/09/2016	1327.28	13.00
7/09/2016	1343.44	13.00
8/09/2016	1359.60	13.00
9/09/2016	1373.84	13.00
10/09/2016	1388.08	13.00
11/09/2016	1402.33	13.00
12/09/2016	1416.57	13.00
13/09/2016	1430.81	13.00
14/09/2016	1445.06	13.00
15/09/2016	1459.30	13.00
16/09/2016	1475.94	13.00
17/09/2016	1492.57	13.00
18/09/2016	1509.21	13.00
19/09/2016	1525.84	13.00
20/09/2016	1542.48	13.00
21/09/2016	1559.11	13.00
22/09/2016	1575.75	13.00
23/09/2016	1591.21	12.00
24/09/2016	1606.66	12.00
25/09/2016	1622.12	12.00
26/09/2016	1637.58	12.00
27/09/2016	1653.03	12.00
28/09/2016	1668.49	12.00
29/09/2016	1683.94	12.00
30/09/2016	1698.56	12.00
1/10/2016	1713.17	12.00
2/10/2016	1727.78	12.00
3/10/2016	1742.39	12.00
4/10/2016	1757.01	12.00
5/10/2016	1771.62	12.00
6/10/2016	1786.23	12.00
7/10/2016	1800.84	12.00
8/10/2016	1815.45	12.00
9/10/2016	1830.07	12.00
10/10/2016	1844.68	12.00
11/10/2016	1859.29	12.00
12/10/2016	1873.90	12.00
13/10/2016	1888.52	12.00
14/10/2016	1903.13	11.00
15/10/2016	1917.74	11.00
16/10/2016	1932.35	11.00
17/10/2016	1946.97	11.00
18/10/2016	1961.58	11.00
19/10/2016	1976.19	11.00
20/10/2016	1990.80	11.00
21/10/2016	2005.42	11.00
22/10/2016	2020.03	11.00
23/10/2016	2034.64	11.00
24/10/2016	2049.25	11.00
25/10/2016	2063.86	11.00
26/10/2016	2078.48	11.00
27/10/2016	2093.09	11.00
28/10/2016	2107.70	11.00
29/10/2016	2122.31	11.00
30/10/2016	2136.93	11.00
31/10/2016	2151.54	11.00
1/11/2016	2166.15	11.00
2/11/2016	2180.76	11.00
3/11/2016	2195.38	11.00
4/11/2016	2209.99	10.00
5/11/2016	2224.60	10.00
6/11/2016	2239.21	10.00
7/11/2016	2253.82	10.00
8/11/2016	2268.44	10.00
9/11/2016	2283.05	10.00
10/11/2016	2297.66	10.00
11/11/2016	2312.27	10.00
12/11/2016	2326.89	10.00
13/11/2016	2341.50	10.00
14/11/2016	2356.11	10.00
15/11/2016	2370.72	10.00
16/11/2016	2385.34	10.00
17/11/2016	2399.95	10.00
