"SowingD" "Date" "Block" "Cultivar" "DAS" "Pot" "Variable" "S1" "S2" "Percent" "TT_meas" "Pp.x" "TT_sow" "Pp.y" "TTAS"
"1" 2016-06-17 2016-08-11 1 "Antas" 55 1 "Bud" 0 0 0 852.27 15 13.29 16 838.98
"2" 2016-06-17 2016-08-11 1 "Antas" 55 1 "Early" 0 0 0 852.27 15 13.29 16 838.98
"3" 2016-06-17 2016-08-11 1 "Antas" 55 1 "Open" 0 0 0 852.27 15 13.29 16 838.98
"4" 2016-06-17 2016-08-11 1 "Antas" 55 1 "Petal" 0 0 0 852.27 15 13.29 16 838.98
"5" 2016-06-17 2016-08-11 1 "Antas" 55 1 "Bur8" 0 0 0 852.27 15 13.29 16 838.98
"6" 2016-06-17 2016-08-11 1 "Antas" 55 1 "Bur9" 0 0 0 852.27 15 13.29 16 838.98
"7" 2016-06-17 2016-08-11 1 "Antas" 55 1 "Bur10" 0 0 0 852.27 15 13.29 16 838.98
"8" 2016-06-17 2016-08-11 1 "Antas" 55 1 "Bur12" 0 0 0 852.27 15 13.29 16 838.98
"9" 2016-06-17 2016-08-11 1 "Antas" 55 2 "Bud" 0 0 0 852.27 15 13.29 16 838.98
"10" 2016-06-17 2016-08-11 1 "Antas" 55 2 "Early" 0 0 0 852.27 15 13.29 16 838.98
"11" 2016-06-17 2016-08-11 1 "Antas" 55 2 "Open" 0 0 0 852.27 15 13.29 16 838.98
"12" 2016-06-17 2016-08-11 1 "Antas" 55 2 "Petal" 0 0 0 852.27 15 13.29 16 838.98
"13" 2016-06-17 2016-08-11 1 "Antas" 55 2 "Bur8" 0 0 0 852.27 15 13.29 16 838.98
"14" 2016-06-17 2016-08-11 1 "Antas" 55 2 "Bur9" 0 0 0 852.27 15 13.29 16 838.98
"15" 2016-06-17 2016-08-11 1 "Antas" 55 2 "Bur10" 0 0 0 852.27 15 13.29 16 838.98
"16" 2016-06-17 2016-08-11 1 "Antas" 55 2 "Bur12" 0 0 0 852.27 15 13.29 16 838.98
"17" 2016-06-17 2016-08-11 1 "Antas" 55 3 "Bud" 0 0 0 852.27 15 13.29 16 838.98
"18" 2016-06-17 2016-08-11 1 "Antas" 55 3 "Early" 0 0 0 852.27 15 13.29 16 838.98
"19" 2016-06-17 2016-08-11 1 "Antas" 55 3 "Open" 0 0 0 852.27 15 13.29 16 838.98
"20" 2016-06-17 2016-08-11 1 "Antas" 55 3 "Petal" 0 0 0 852.27 15 13.29 16 838.98
"21" 2016-06-17 2016-08-11 1 "Antas" 55 3 "Bur8" 0 0 0 852.27 15 13.29 16 838.98
"22" 2016-06-17 2016-08-11 1 "Antas" 55 3 "Bur9" 0 0 0 852.27 15 13.29 16 838.98
"23" 2016-06-17 2016-08-11 1 "Antas" 55 3 "Bur10" 0 0 0 852.27 15 13.29 16 838.98
"24" 2016-06-17 2016-08-11 1 "Antas" 55 3 "Bur12" 0 0 0 852.27 15 13.29 16 838.98
"25" 2016-06-17 2016-08-11 1 "Antas" 55 4 "Bud" 0 0 0 852.27 15 13.29 16 838.98
"26" 2016-06-17 2016-08-11 1 "Antas" 55 4 "Early" 0 0 0 852.27 15 13.29 16 838.98
"27" 2016-06-17 2016-08-11 1 "Antas" 55 4 "Open" 0 0 0 852.27 15 13.29 16 838.98
"28" 2016-06-17 2016-08-11 1 "Antas" 55 4 "Petal" 0 0 0 852.27 15 13.29 16 838.98
"29" 2016-06-17 2016-08-11 1 "Antas" 55 4 "Bur8" 0 0 0 852.27 15 13.29 16 838.98
"30" 2016-06-17 2016-08-11 1 "Antas" 55 4 "Bur9" 0 0 0 852.27 15 13.29 16 838.98
"31" 2016-06-17 2016-08-11 1 "Antas" 55 4 "Bur10" 0 0 0 852.27 15 13.29 16 838.98
"32" 2016-06-17 2016-08-11 1 "Antas" 55 4 "Bur12" 0 0 0 852.27 15 13.29 16 838.98
"33" 2016-06-17 2016-08-11 1 "Antas" 55 5 "Bud" 0 0 0 852.27 15 13.29 16 838.98
"34" 2016-06-17 2016-08-11 1 "Antas" 55 5 "Early" 0 0 0 852.27 15 13.29 16 838.98
"35" 2016-06-17 2016-08-11 1 "Antas" 55 5 "Open" 0 0 0 852.27 15 13.29 16 838.98
"36" 2016-06-17 2016-08-11 1 "Antas" 55 5 "Petal" 0 0 0 852.27 15 13.29 16 838.98
"37" 2016-06-17 2016-08-11 1 "Antas" 55 5 "Bur8" 0 0 0 852.27 15 13.29 16 838.98
"38" 2016-06-17 2016-08-11 1 "Antas" 55 5 "Bur9" 0 0 0 852.27 15 13.29 16 838.98
"39" 2016-06-17 2016-08-11 1 "Antas" 55 5 "Bur10" 0 0 0 852.27 15 13.29 16 838.98
"40" 2016-06-17 2016-08-11 1 "Antas" 55 5 "Bur12" 0 0 0 852.27 15 13.29 16 838.98
"41" 2016-06-17 2016-08-11 1 "Denmark" 55 6 "Bud" 0 0 0 852.27 15 13.29 16 838.98
"42" 2016-06-17 2016-08-11 1 "Denmark" 55 6 "Early" 0 0 0 852.27 15 13.29 16 838.98
"43" 2016-06-17 2016-08-11 1 "Denmark" 55 6 "Open" 0 0 0 852.27 15 13.29 16 838.98
"44" 2016-06-17 2016-08-11 1 "Denmark" 55 6 "Petal" 0 0 0 852.27 15 13.29 16 838.98
"45" 2016-06-17 2016-08-11 1 "Denmark" 55 6 "Bur8" 0 0 0 852.27 15 13.29 16 838.98
"46" 2016-06-17 2016-08-11 1 "Denmark" 55 6 "Bur9" 0 0 0 852.27 15 13.29 16 838.98
"47" 2016-06-17 2016-08-11 1 "Denmark" 55 6 "Bur10" 0 0 0 852.27 15 13.29 16 838.98
"48" 2016-06-17 2016-08-11 1 "Denmark" 55 6 "Bur12" 0 0 0 852.27 15 13.29 16 838.98
"49" 2016-06-17 2016-08-11 1 "Denmark" 55 7 "Bud" 0 0 0 852.27 15 13.29 16 838.98
"50" 2016-06-17 2016-08-11 1 "Denmark" 55 7 "Early" 0 0 0 852.27 15 13.29 16 838.98
"51" 2016-06-17 2016-08-11 1 "Denmark" 55 7 "Open" 0 0 0 852.27 15 13.29 16 838.98
"52" 2016-06-17 2016-08-11 1 "Denmark" 55 7 "Petal" 0 0 0 852.27 15 13.29 16 838.98
"53" 2016-06-17 2016-08-11 1 "Denmark" 55 7 "Bur8" 0 0 0 852.27 15 13.29 16 838.98
"54" 2016-06-17 2016-08-11 1 "Denmark" 55 7 "Bur9" 0 0 0 852.27 15 13.29 16 838.98
"55" 2016-06-17 2016-08-11 1 "Denmark" 55 7 "Bur10" 0 0 0 852.27 15 13.29 16 838.98
"56" 2016-06-17 2016-08-11 1 "Denmark" 55 7 "Bur12" 0 0 0 852.27 15 13.29 16 838.98
"57" 2016-06-17 2016-08-11 1 "Denmark" 55 8 "Bud" 0 0 0 852.27 15 13.29 16 838.98
"58" 2016-06-17 2016-08-11 1 "Denmark" 55 8 "Early" 0 0 0 852.27 15 13.29 16 838.98
"59" 2016-06-17 2016-08-11 1 "Denmark" 55 8 "Open" 0 0 0 852.27 15 13.29 16 838.98
"60" 2016-06-17 2016-08-11 1 "Denmark" 55 8 "Petal" 0 0 0 852.27 15 13.29 16 838.98
