WaterPot	Temp	Cv	rep	startDate 	DateRead	RadicleLenghtMm	HoursofTest
0_Freewater 	10	Antas	1	15/07/2015	15/07/2015	0	0.00
0_Freewater 	10	Antas	2	15/07/2015	15/07/2015	0	0.00
0_Freewater 	10	Antas	3	15/07/2015	15/07/2015	0	0.00
0_Freewater 	10	Antas	4	15/07/2015	15/07/2015	0	0.00
0_Freewater 	10	Denmark	1	15/07/2015	15/07/2015	0	0.00
0_Freewater 	10	Denmark	2	15/07/2015	15/07/2015	0	0.00
0_Freewater 	10	Denmark	3	15/07/2015	15/07/2015	0	0.00
0_Freewater 	10	Denmark	4	15/07/2015	15/07/2015	0	0.00
0_Freewater 	10	Monti	1	15/07/2015	15/07/2015	0	0.00
0_Freewater 	10	Monti	2	15/07/2015	15/07/2015	0	0.00
0_Freewater 	10	Monti	3	15/07/2015	15/07/2015	0	0.00
0_Freewater 	10	Monti	4	15/07/2015	15/07/2015	0	0.00
0_Freewater 	10	Narrikup	1	15/07/2015	15/07/2015	0	0.00
0_Freewater 	10	Narrikup	2	15/07/2015	15/07/2015	0	0.00
0_Freewater 	10	Narrikup	3	15/07/2015	15/07/2015	0	0.00
0_Freewater 	10	Narrikup	4	15/07/2015	15/07/2015	0	0.00
0_Freewater 	10	Antas	1	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Antas	1	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Antas	1	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Antas	1	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Antas	1	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Antas	1	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Antas	1	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Antas	1	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Antas	1	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Antas	1	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Antas	2	15/07/2015	19/07/2015	3	83.00
0_Freewater 	10	Antas	2	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Antas	2	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Antas	2	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Antas	2	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Antas	2	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Antas	2	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Antas	2	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Antas	3	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Antas	3	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Antas	3	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Antas	3	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Antas	3	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Antas	3	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Antas	3	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Antas	3	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Antas	3	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Antas	3	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Antas	3	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Antas	3	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Antas	4	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Antas	4	15/07/2015	19/07/2015	3	83.00
0_Freewater 	10	Antas	4	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Antas	4	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Antas	4	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Antas	4	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Antas	4	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Antas	4	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Antas	4	15/07/2015	19/07/2015	3	83.00
0_Freewater 	10	Antas	4	15/07/2015	19/07/2015	3	83.00
0_Freewater 	10	Denmark	1	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Denmark	1	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Denmark	1	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Denmark	1	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Denmark	1	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Denmark	1	15/07/2015	19/07/2015	3	83.00
0_Freewater 	10	Denmark	1	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Denmark	1	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Denmark	1	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Denmark	1	15/07/2015	19/07/2015	3	83.00
0_Freewater 	10	Denmark	2	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Denmark	2	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Denmark	2	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Denmark	2	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Denmark	2	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Denmark	2	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Denmark	2	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Denmark	2	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Denmark	2	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Denmark	2	15/07/2015	19/07/2015	3	83.00
0_Freewater 	10	Denmark	3	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Denmark	3	15/07/2015	19/07/2015	3	83.00
0_Freewater 	10	Denmark	3	15/07/2015	19/07/2015	3	83.00
0_Freewater 	10	Denmark	3	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Denmark	3	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Denmark	3	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Denmark	3	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Denmark	3	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Denmark	3	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Denmark	3	15/07/2015	19/07/2015	3	83.00
0_Freewater 	10	Denmark	4	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Denmark	4	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Denmark	4	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Denmark	4	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Denmark	4	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Denmark	4	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Denmark	4	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Denmark	4	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Denmark	4	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Denmark	4	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Monti	1	15/07/2015	19/07/2015	3	83.00
0_Freewater 	10	Monti	1	15/07/2015	19/07/2015	3	83.00
0_Freewater 	10	Monti	1	15/07/2015	19/07/2015	3	83.00
0_Freewater 	10	Monti	1	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Monti	1	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Monti	1	15/07/2015	19/07/2015	3	83.00
0_Freewater 	10	Monti	1	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Monti	1	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Monti	1	15/07/2015	19/07/2015	3	83.00
0_Freewater 	10	Monti	1	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Monti	2	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Monti	2	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Monti	2	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Monti	2	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Monti	2	15/07/2015	19/07/2015	3	83.00
0_Freewater 	10	Monti	2	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Monti	2	15/07/2015	19/07/2015	3	83.00
0_Freewater 	10	Monti	2	15/07/2015	19/07/2015	3	83.00
0_Freewater 	10	Monti	2	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Monti	2	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Monti	3	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Monti	3	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Monti	3	15/07/2015	19/07/2015	3	83.00
0_Freewater 	10	Monti	3	15/07/2015	19/07/2015	3	83.00
0_Freewater 	10	Monti	3	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Monti	3	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Monti	3	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Monti	3	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Monti	3	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Monti	3	15/07/2015	19/07/2015	3	83.00
0_Freewater 	10	Monti	4	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Monti	4	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Monti	4	15/07/2015	19/07/2015	3	83.00
0_Freewater 	10	Monti	4	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Monti	4	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Monti	4	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Monti	4	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Monti	4	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Monti	4	15/07/2015	19/07/2015	3	83.00
0_Freewater 	10	Monti	4	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Narrikup	1	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Narrikup	1	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Narrikup	1	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Narrikup	1	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Narrikup	1	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Narrikup	1	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Narrikup	1	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Narrikup	1	15/07/2015	19/07/2015	3	83.00
0_Freewater 	10	Narrikup	1	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Narrikup	1	15/07/2015	19/07/2015	3	83.00
0_Freewater 	10	Narrikup	2	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Narrikup	2	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Narrikup	2	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Narrikup	2	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Narrikup	2	15/07/2015	19/07/2015	3	83.00
0_Freewater 	10	Narrikup	2	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Narrikup	2	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Narrikup	2	15/07/2015	19/07/2015	3	83.00
0_Freewater 	10	Narrikup	2	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Narrikup	2	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Narrikup	3	15/07/2015	19/07/2015	3	83.00
0_Freewater 	10	Narrikup	3	15/07/2015	19/07/2015	4	83.00
0_Freewater 	10	Narrikup	3	15/07/2015	19/07/2015	5	83.00
0_Freewater 	10	Narrikup	3	15/07/2015	19/07/2015	3	83.00
0_Freewater 	10	Narrikup	3	15/07/2015	20/07/2015	4	107.00
0_Freewater 	10	Narrikup	3	15/07/2015	20/07/2015	4	107.00
0_Freewater 	10	Narrikup	3	15/07/2015	20/07/2015	4	107.00
0_Freewater 	10	Narrikup	3	15/07/2015	20/07/2015	5	107.00
0_Freewater 	10	Narrikup	3	15/07/2015	20/07/2015	5	107.00
0_Freewater 	10	Narrikup	3	15/07/2015	20/07/2015	4	107.00
0_Freewater 	10	Narrikup	4	15/07/2015	20/07/2015	5	107.00
0_Freewater 	10	Narrikup	4	15/07/2015	20/07/2015	3	107.00
0_Freewater 	10	Narrikup	4	15/07/2015	20/07/2015	5	107.00
0_Freewater 	10	Narrikup	4	15/07/2015	20/07/2015	4	107.00
0_Freewater 	10	Narrikup	4	15/07/2015	20/07/2015	4	107.00
0_Freewater 	10	Narrikup	4	15/07/2015	20/07/2015	3	107.00
0_Freewater 	10	Narrikup	4	15/07/2015	20/07/2015	4	107.00
0_Freewater 	10	Narrikup	4	15/07/2015	20/07/2015	4	107.00
0_Freewater 	10	Narrikup	4	15/07/2015	20/07/2015	4	107.00
0_Freewater 	10	Narrikup	4	15/07/2015	20/07/2015	4	107.00
0_Freewater 	10	Antas	1	15/07/2015	20/07/2015	7	107.00
0_Freewater 	10	Antas	1	15/07/2015	20/07/2015	7	107.00
0_Freewater 	10	Antas	1	15/07/2015	20/07/2015	7	107.00
0_Freewater 	10	Antas	1	15/07/2015	20/07/2015	6	107.00
0_Freewater 	10	Antas	1	15/07/2015	20/07/2015	7	107.00
0_Freewater 	10	Antas	1	15/07/2015	20/07/2015	10	107.00
0_Freewater 	10	Antas	1	15/07/2015	20/07/2015	7	107.00
0_Freewater 	10	Antas	1	15/07/2015	20/07/2015	6	107.00
0_Freewater 	10	Antas	1	15/07/2015	20/07/2015	7	107.00
0_Freewater 	10	Antas	1	15/07/2015	20/07/2015	7	107.00
0_Freewater 	10	Antas	2	15/07/2015	20/07/2015	4	107.00
0_Freewater 	10	Antas	2	15/07/2015	20/07/2015	6	107.00
0_Freewater 	10	Antas	2	15/07/2015	20/07/2015	7	107.00
0_Freewater 	10	Antas	2	15/07/2015	20/07/2015	7	107.00
0_Freewater 	10	Antas	2	15/07/2015	20/07/2015	5	107.00
0_Freewater 	10	Antas	2	15/07/2015	20/07/2015	4	107.00
0_Freewater 	10	Antas	2	15/07/2015	20/07/2015	7	107.00
0_Freewater 	10	Antas	2	15/07/2015	20/07/2015	7	107.00
0_Freewater 	10	Antas	2	15/07/2015	20/07/2015	7	107.00
0_Freewater 	10	Antas	2	15/07/2015	20/07/2015	7	107.00
0_Freewater 	10	Antas	3	15/07/2015	20/07/2015	5	107.00
0_Freewater 	10	Antas	3	15/07/2015	20/07/2015	7	107.00
0_Freewater 	10	Antas	3	15/07/2015	20/07/2015	4	107.00
0_Freewater 	10	Antas	3	15/07/2015	20/07/2015	5	107.00
0_Freewater 	10	Antas	3	15/07/2015	20/07/2015	5	107.00
0_Freewater 	10	Antas	3	15/07/2015	20/07/2015	10	107.00
0_Freewater 	10	Antas	3	15/07/2015	20/07/2015	7	107.00
0_Freewater 	10	Antas	3	15/07/2015	20/07/2015	7	107.00
0_Freewater 	10	Antas	3	15/07/2015	20/07/2015	6	107.00
0_Freewater 	10	Antas	3	15/07/2015	20/07/2015	7	107.00
0_Freewater 	10	Antas	3	15/07/2015	20/07/2015	7	107.00
0_Freewater 	10	Antas	3	15/07/2015	20/07/2015	5	107.00
0_Freewater 	10	Antas	4	15/07/2015	20/07/2015	5	107.00
0_Freewater 	10	Antas	4	15/07/2015	20/07/2015	5	107.00
0_Freewater 	10	Antas	4	15/07/2015	20/07/2015	8	107.00
0_Freewater 	10	Antas	4	15/07/2015	20/07/2015	7	107.00
0_Freewater 	10	Antas	4	15/07/2015	20/07/2015	7	107.00
0_Freewater 	10	Antas	4	15/07/2015	20/07/2015	8	107.00
0_Freewater 	10	Antas	4	15/07/2015	20/07/2015	7	107.00
0_Freewater 	10	Antas	4	15/07/2015	20/07/2015	7	107.00
0_Freewater 	10	Antas	4	15/07/2015	20/07/2015	4	107.00
0_Freewater 	10	Antas	4	15/07/2015	20/07/2015	5	107.00
0_Freewater 	10	Denmark	1	15/07/2015	20/07/2015	6	107.00
0_Freewater 	10	Denmark	1	15/07/2015	20/07/2015	5	107.00
