Cultivar	SowingDate	Block	Depth	buriedhseed	buriedtransf_logit	surfacehseed	surfacetransf_logit	diffhseed	Avgehseed
Antas	42179	1	buried	90	2.197224577	86	1.815289967	4	88
Denmark	42179	1	buried	84	1.658228077	86	1.815289967	-2	85
Leura	42179	1	buried	86	1.815289967	96	3.17805383	-10	91
Monti	42179	1	buried	86	1.815289967	88	1.992430165	-2	87
Narrikup	42179	1	buried	90	2.197224577	96	3.17805383	-6	93
Woogenellup	42179	1	buried	88	1.992430165	82	1.516347489	6	85
Antas	42179	2	buried	88	1.992430165	88	1.992430165	0	88
Denmark	42179	2	buried	96	3.17805383	80	1.386294361	16	88
Leura	42179	2	buried	58	0.322773392	80	1.386294361	-22	69
Monti	42179	2	buried	94	2.751535313	86	1.815289967	8	90
Narrikup	42179	2	buried	84	1.658228077	80	1.386294361	4	82
Woogenellup	42179	2	buried	90	2.197224577	90	2.197224577	0	90
Antas	42179	3	buried	88	1.992430165	96	3.17805383	-8	92
Denmark	42179	3	buried	68	0.753771802	76	1.15267951	-8	72
Leura	42179	3	buried	58	0.322773392	48	-0.080042708	10	53
Monti	42179	3	buried	96	3.17805383	90	2.197224577	6	93
Narrikup	42179	3	buried	92	2.442347035	90	2.197224577	2	91
Woogenellup	42179	3	buried	84	1.658228077	80	1.386294361	4	82
