Block	Cultivar	SowTreat	SowingD	Plot	Depth	Date	Round	InitialSeedlotR1Number	SeedNumber	Soft
1	Antas 	S1	24/06/2015	1	Above	16/02/2016	14	50	50	7
1	Monti	S1	24/06/2015	2	Above	16/02/2016	14	50	50	6
1	Denmark	S1	24/06/2015	3	Above	16/02/2016	14	50	50	7
1	Leura	S1	24/06/2015	4	Above	16/02/2016	14	50	50	2
1	Narrikup	S1	24/06/2015	5	Above	16/02/2016	14	50	50	2
1	Woogenellup	S1	24/06/2015	6	Above	16/02/2016	14	50	50	9
2	Antas 	S1	24/06/2015	7	Above	16/02/2016	14	50	50	6
2	Woogenellup	S1	24/06/2015	8	Above	16/02/2016	14	50	50	5
2	Denmark	S1	24/06/2015	9	Above	16/02/2016	14	50	50	10
2	Monti	S1	24/06/2015	10	Above	16/02/2016	14	50	50	7
2	Narrikup	S1	24/06/2015	11	Above	16/02/2016	14	50	50	10
2	Leura	S1	24/06/2015	12	Above	16/02/2016	14	50	50	10
3	Woogenellup	S1	24/06/2015	13	Above	16/02/2016	14	50	50	10
3	Antas 	S1	24/06/2015	14	Above	16/02/2016	14	50	50	2
3	Monti	S1	24/06/2015	15	Above	16/02/2016	14	50	50	5
3	Narrikup	S1	24/06/2015	16	Above	16/02/2016	14	50	50	5
3	Denmark	S1	24/06/2015	17	Above	16/02/2016	14	50	50	12
3	Leura	S1	24/06/2015	18	Above	16/02/2016	14	50	50	26
1	Antas 	S1	24/06/2015	1	Below	16/02/2016	14	24	24	5
1	Monti	S1	24/06/2015	2	Below	16/02/2016	14	50	50	7
1	Denmark	S1	24/06/2015	3	Below	16/02/2016	14	50	50	8
1	Leura	S1	24/06/2015	4	Below	16/02/2016	14	50	50	7
1	Narrikup	S1	24/06/2015	5	Below	16/02/2016	14	50	50	5
1	Woogenellup	S1	24/06/2015	6	Below	16/02/2016	14	50	50	6
2	Antas 	S1	24/06/2015	7	Below	16/02/2016	14	50	50	6
2	Woogenellup	S1	24/06/2015	8	Below	16/02/2016	14	50	50	5
2	Denmark	S1	24/06/2015	9	Below	16/02/2016	14	50	50	2
2	Monti	S1	24/06/2015	10	Below	16/02/2016	14	50	50	3
2	Narrikup	S1	24/06/2015	11	Below	16/02/2016	14	50	50	8
2	Leura	S1	24/06/2015	12	Below	16/02/2016	14	50	50	21
3	Woogenellup	S1	24/06/2015	13	Below	16/02/2016	14	50	50	8
3	Antas 	S1	24/06/2015	14	Below	16/02/2016	14	50	50	6
3	Monti	S1	24/06/2015	15	Below	16/02/2016	14	50	50	2
3	Narrikup	S1	24/06/2015	16	Below	16/02/2016	14	50	50	4
3	Denmark	S1	24/06/2015	17	Below	16/02/2016	14	50	50	16
3	Leura	S1	24/06/2015	18	Below	16/02/2016	14	50	50	21
1	Antas 	S1	24/06/2015	1	Above	09/03/16	35	50	43	7
1	Monti	S1	24/06/2015	2	Above	09/03/16	35	50	44	5
1	Denmark	S1	24/06/2015	3	Above	09/03/16	35	50	43	6
1	Leura	S1	24/06/2015	4	Above	09/03/16	35	50	48	8
1	Narrikup	S1	24/06/2015	5	Above	09/03/16	35	50	48	2
1	Woogenellup	S1	24/06/2015	6	Above	09/03/16	35	50	41	10
2	Antas 	S1	24/06/2015	7	Above	09/03/16	35	50	44	3
2	Woogenellup	S1	24/06/2015	8	Above	09/03/16	35	50	45	5
2	Denmark	S1	24/06/2015	9	Above	09/03/16	35	50	40	3
2	Monti	S1	24/06/2015	10	Above	09/03/16	35	50	43	1
2	Narrikup	S1	24/06/2015	11	Above	09/03/16	35	50	40	2
2	Leura	S1	24/06/2015	12	Above	09/03/16	35	50	40	5
3	Woogenellup	S1	24/06/2015	13	Above	09/03/16	35	50	40	1
3	Antas 	S1	24/06/2015	14	Above	09/03/16	35	50	48	3
3	Monti	S1	24/06/2015	15	Above	09/03/16	35	50	45	3
3	Narrikup	S1	24/06/2015	16	Above	09/03/16	35	50	45	0
3	Denmark	S1	24/06/2015	17	Above	09/03/16	35	50	38	1
3	Leura	S1	24/06/2015	18	Above	09/03/16	35	50	24	2
1	Antas 	S1	24/06/2015	1	Below	09/03/16	35	24	19	4
1	Monti	S1	24/06/2015	2	Below	09/03/16	35	50	43	3
1	Denmark	S1	24/06/2015	3	Below	09/03/16	35	50	42	8
1	Leura	S1	24/06/2015	4	Below	09/03/16	35	50	43	13
1	Narrikup	S1	24/06/2015	5	Below	09/03/16	35	50	45	3
1	Woogenellup	S1	24/06/2015	6	Below	09/03/16	35	50	44	11
2	Antas 	S1	24/06/2015	7	Below	09/03/16	35	50	44	7
2	Woogenellup	S1	24/06/2015	8	Below	09/03/16	35	50	45	7
2	Denmark	S1	24/06/2015	9	Below	09/03/16	35	50	48	6
2	Monti	S1	24/06/2015	10	Below	09/03/16	35	50	47	2
2	Narrikup	S1	24/06/2015	11	Below	09/03/16	35	50	42	2
2	Leura	S1	24/06/2015	12	Below	09/03/16	35	50	29	0
3	Woogenellup	S1	24/06/2015	13	Below	09/03/16	35	50	42	8
3	Antas 	S1	24/06/2015	14	Below	09/03/16	35	50	44	10
3	Monti	S1	24/06/2015	15	Below	09/03/16	35	50	48	2
3	Narrikup	S1	24/06/2015	16	Below	09/03/16	35	50	46	1
3	Denmark	S1	24/06/2015	17	Below	09/03/16	35	50	34	0
3	Leura	S1	24/06/2015	18	Below	09/03/16	35	50	29	0
1	Narrikup	S2	28/07/2015	19	Above	16/03/2016	14	50	50	23
1	Monti	S2	28/07/2015	20	Above	16/03/2016	14	50	50	2
1	Woogenellup	S2	28/07/2015	21	Above	16/03/2016	14	50	50	10
1	Leura	S2	28/07/2015	22	Above	16/03/2016	14	50	50	6
1	Denmark	S2	28/07/2015	23	Above	16/03/2016	14	50	50	22
1	Antas 	S2	28/07/2015	24	Above	16/03/2016	14	50	50	14
2	Leura	S2	28/07/2015	25	Above	16/03/2016	14	50	50	20
2	Woogenellup	S2	28/07/2015	26	Above	16/03/2016	14	50	50	26
2	Denmark	S2	28/07/2015	27	Above	16/03/2016	14	50	50	10
2	Narrikup	S2	28/07/2015	28	Above	16/03/2016	14	50	50	21
2	Antas 	S2	28/07/2015	29	Above	16/03/2016	14	50	50	34
2	Monti	S2	28/07/2015	30	Above	16/03/2016	14	50	50	5
3	Denmark	S2	28/07/2015	31	Above	16/03/2016	14	50	50	6
3	Antas 	S2	28/07/2015	32	Above	16/03/2016	14	50	50	13
3	Monti	S2	28/07/2015	33	Above	16/03/2016	14	50	50	8
3	Woogenellup	S2	28/07/2015	34	Above	16/03/2016	14	50	50	27
3	Leura	S2	28/07/2015	35	Above	16/03/2016	14	50	50	10
3	Narrikup	S2	28/07/2015	36	Above	16/03/2016	14	50	50	34
1	Narrikup	S2	28/07/2015	19	Below	16/03/2016	14	50	50	19
1	Monti	S2	28/07/2015	20	Below	16/03/2016	14	50	50	8
1	Woogenellup	S2	28/07/2015	21	Below	16/03/2016	14	50	50	11
1	Leura	S2	28/07/2015	22	Below	16/03/2016	14	50	50	6
1	Denmark	S2	28/07/2015	23	Below	16/03/2016	14	50	50	18
1	Antas 	S2	28/07/2015	24	Below	16/03/2016	14	50	50	21
2	Leura	S2	28/07/2015	25	Below	16/03/2016	14	50	50	27
2	Woogenellup	S2	28/07/2015	26	Below	16/03/2016	14	50	50	14
2	Denmark	S2	28/07/2015	27	Below	16/03/2016	14	50	50	17
2	Narrikup	S2	28/07/2015	28	Below	16/03/2016	14	50	50	22
2	Antas 	S2	28/07/2015	29	Below	16/03/2016	14	50	50	37
2	Monti	S2	28/07/2015	30	Below	16/03/2016	14	50	50	7
3	Denmark	S2	28/07/2015	31	Below	16/03/2016	14	50	50	6
3	Antas 	S2	28/07/2015	32	Below	16/03/2016	14	50	50	16
3	Monti	S2	28/07/2015	33	Below	16/03/2016	14	50	50	8
3	Woogenellup	S2	28/07/2015	34	Below	16/03/2016	14	50	50	42
3	Leura	S2	28/07/2015	35	Below	16/03/2016	14	50	50	17
3	Narrikup	S2	28/07/2015	36	Below	16/03/2016	14	50	50	36
1	Antas 	S1	24/06/2015	1	Above	13/05/2016	56	50	36	2
1	Monti	S1	24/06/2015	2	Above	13/05/2016	56	50	39	3
1	Denmark	S1	24/06/2015	3	Above	13/05/2016	56	50	37	1
1	Leura	S1	24/06/2015	4	Above	13/05/2016	56	50	40	2
1	Narrikup	S1	24/06/2015	5	Above	13/05/2016	56	50	46	2
1	Woogenellup	S1	24/06/2015	6	Above	13/05/2016	56	50	31	1
2	Antas 	S1	24/06/2015	7	Above	13/05/2016	56	50	41	1
2	Woogenellup	S1	24/06/2015	8	Above	13/05/2016	56	50	40	2
2	Denmark	S1	24/06/2015	9	Above	13/05/2016	56	50	37	0
2	Monti	S1	24/06/2015	10	Above	13/05/2016	56	50	42	3
2	Narrikup	S1	24/06/2015	11	Above	13/05/2016	56	50	38	3
2	Leura	S1	24/06/2015	12	Above	13/05/2016	56	50	35	1
3	Woogenellup	S1	24/06/2015	13	Above	13/05/2016	56	50	39	1
3	Antas 	S1	24/06/2015	14	Above	13/05/2016	56	50	45	1
3	Monti	S1	24/06/2015	15	Above	13/05/2016	56	50	42	4
3	Narrikup	S1	24/06/2015	16	Above	13/05/2016	56	50	45	3
3	Denmark	S1	24/06/2015	17	Above	13/05/2016	56	50	37	0
3	Leura	S1	24/06/2015	18	Above	13/05/2016	56	50	22	0
1	Antas 	S1	24/06/2015	1	Below	13/05/2016	56	24	15	1
1	Monti	S1	24/06/2015	2	Below	13/05/2016	56	50	40	1
1	Denmark	S1	24/06/2015	3	Below	13/05/2016	56	50	34	3
1	Leura	S1	24/06/2015	4	Below	13/05/2016	56	50	30	5
1	Narrikup	S1	24/06/2015	5	Below	13/05/2016	56	50	42	1
1	Woogenellup	S1	24/06/2015	6	Below	13/05/2016	56	50	33	1
2	Antas 	S1	24/06/2015	7	Below	13/05/2016	56	50	37	1
2	Woogenellup	S1	24/06/2015	8	Below	13/05/2016	56	50	38	2
2	Denmark	S1	24/06/2015	9	Below	13/05/2016	56	50	42	1
2	Monti	S1	24/06/2015	10	Below	13/05/2016	56	50	45	5
2	Narrikup	S1	24/06/2015	11	Below	13/05/2016	56	50	40	0
2	Leura	S1	24/06/2015	12	Below	13/05/2016	56	50	29	0
3	Woogenellup	S1	24/06/2015	13	Below	13/05/2016	56	50	34	2
3	Antas 	S1	24/06/2015	14	Below	13/05/2016	56	50	34	3
3	Monti	S1	24/06/2015	15	Below	13/05/2016	56	50	46	5
3	Narrikup	S1	24/06/2015	16	Below	13/05/2016	56	50	45	0
3	Denmark	S1	24/06/2015	17	Below	13/05/2016	56	50	34	1
3	Leura	S1	24/06/2015	18	Below	13/05/2016	56	50	29	1
1	Narrikup	S2	28/07/2015	19	Above	27/05/2016	35	50	27	1
1	Monti	S2	28/07/2015	20	Above	27/05/2016	35	50	48	0
1	Woogenellup	S2	28/07/2015	21	Above	27/05/2016	35	50	40	1
1	Leura	S2	28/07/2015	22	Above	27/05/2016	35	50	44	1
1	Denmark	S2	28/07/2015	23	Above	27/05/2016	35	50	28	1
1	Antas 	S2	28/07/2015	24	Above	27/05/2016	35	50	36	3
2	Leura	S2	28/07/2015	25	Above	27/05/2016	35	50	30	5
2	Woogenellup	S2	28/07/2015	26	Above	27/05/2016	35	50	24	0
2	Denmark	S2	28/07/2015	27	Above	27/05/2016	35	50	40	2
2	Narrikup	S2	28/07/2015	28	Above	27/05/2016	35	50	29	0
2	Antas 	S2	28/07/2015	29	Above	27/05/2016	35	50	16	6
2	Monti	S2	28/07/2015	30	Above	27/05/2016	35	50	45	4
3	Denmark	S2	28/07/2015	31	Above	27/05/2016	35	50	44	2
3	Antas 	S2	28/07/2015	32	Above	27/05/2016	35	50	37	3
3	Monti	S2	28/07/2015	33	Above	27/05/2016	35	50	42	2
3	Woogenellup	S2	28/07/2015	34	Above	27/05/2016	35	50	23	3
3	Leura	S2	28/07/2015	35	Above	27/05/2016	35	50	40	4
3	Narrikup	S2	28/07/2015	36	Above	27/05/2016	35	50	16	3
1	Narrikup	S2	28/07/2015	19	Below	27/05/2016	35	50	31	0
1	Monti	S2	28/07/2015	20	Below	27/05/2016	35	50	42	3
1	Woogenellup	S2	28/07/2015	21	Below	27/05/2016	35	50	39	0
1	Leura	S2	28/07/2015	22	Below	27/05/2016	35	50	44	1
1	Denmark	S2	28/07/2015	23	Below	27/05/2016	35	50	32	1
1	Antas 	S2	28/07/2015	24	Below	27/05/2016	35	50	29	1
2	Leura	S2	28/07/2015	25	Below	27/05/2016	35	50	23	1
2	Woogenellup	S2	28/07/2015	26	Below	27/05/2016	35	50	36	0
2	Denmark	S2	28/07/2015	27	Below	27/05/2016	35	50	33	1
2	Narrikup	S2	28/07/2015	28	Below	27/05/2016	35	50	28	0
2	Antas 	S2	28/07/2015	29	Below	27/05/2016	35	50	13	5
2	Monti	S2	28/07/2015	30	Below	27/05/2016	35	50	43	3
3	Denmark	S2	28/07/2015	31	Below	27/05/2016	35	50	44	1
3	Antas 	S2	28/07/2015	32	Below	27/05/2016	35	50	34	6
3	Monti	S2	28/07/2015	33	Below	27/05/2016	35	50	42	2
3	Woogenellup	S2	28/07/2015	34	Below	27/05/2016	35	50	8	1
3	Leura	S2	28/07/2015	35	Below	27/05/2016	35	50	33	1
3	Narrikup	S2	28/07/2015	36	Below	27/05/2016	35	50	14	0
1	Denmark	S3	15/09/2015	37	Above	20/05/2016	14	50	50	8
1	Antas 	S3	15/09/2015	38	Above	20/05/2016	14	50	50	20
1	Woogenellup	S3	15/09/2015	39	Above	20/05/2016	14	50	50	8
1	Leura	S3	15/09/2015	40	Above	20/05/2016	14	50	50	1
1	Narrikup	S3	15/09/2015	41	Above	20/05/2016	14	50	50	10
1	Monti	S3	15/09/2015	42	Above	20/05/2016	14	50	50	2
2	Woogenellup	S3	15/09/2015	43	Above	20/05/2016	14	50	50	10
2	Leura	S3	15/09/2015	44	Above	20/05/2016	14	50	50	5
2	Narrikup	S3	15/09/2015	45	Above	20/05/2016	14	50	50	5
2	Antas 	S3	15/09/2015	46	Above	20/05/2016	14	50	50	11
