Block	Cultivar	SowTreat	SowingD	Plot	Depth	Date	Round	InitialSeedlotR1Number	SeedNumber	Soft	SoftGerm	SoftUngerm	SoftAbn	SoftDead	HardUngermFinal
1	Antas 	S1	24/06/2015	1	up	16/02/2016	1	50	50	7	4	3	0	0	0
1	Monti	S1	24/06/2015	2	up	16/02/2016	1	50	50	6	5	1	0	0	0
1	Denmark	S1	24/06/2015	3	up	16/02/2016	1	50	50	7	3	1	2	1	0
1	Leura	S1	24/06/2015	4	up	16/02/2016	1	50	50	2	2	0	0	0	0
1	Narrikup	S1	24/06/2015	5	up	16/02/2016	1	50	50	2	1	1	0	0	0
1	Woogenellup	S1	24/06/2015	6	up	16/02/2016	1	50	50	9	7	0	2	0	0
2	Antas 	S1	24/06/2015	7	up	16/02/2016	1	50	50	6	3	1	2	0	0
2	Woogenellup	S1	24/06/2015	8	up	16/02/2016	1	50	50	5	2	0	3	0	0
2	Denmark	S1	24/06/2015	9	up	16/02/2016	1	50	50	10	6	0	3	1	0
2	Monti	S1	24/06/2015	10	up	16/02/2016	1	50	50	7	5	1	0	1	0
2	Narrikup	S1	24/06/2015	11	up	16/02/2016	1	50	50	10	8	1	0	1	0
2	Leura	S1	24/06/2015	12	up	16/02/2016	1	50	50	10	8	2	0	0	0
3	Woogenellup	S1	24/06/2015	13	up	16/02/2016	1	50	50	10	6	1	3	0	0
3	Antas 	S1	24/06/2015	14	up	16/02/2016	1	50	50	2	2	0	0	0	0
3	Monti	S1	24/06/2015	15	up	16/02/2016	1	50	50	5	5	0	0	0	0
3	Narrikup	S1	24/06/2015	16	up	16/02/2016	1	50	50	5	4	0	1	0	0
3	Denmark	S1	24/06/2015	17	up	16/02/2016	1	50	50	12	3	1	7	1	0
3	Leura	S1	24/06/2015	18	up	16/02/2016	1	50	50	26	14	1	10	1	0
1	Antas 	S1	24/06/2015	1	down	16/02/2016	1	24	24	5	5	0	0	0	0
1	Monti	S1	24/06/2015	2	down	16/02/2016	1	50	50	7	7	0	0	0	0
