Cultivar	Block 	Plot	SowTreat	SowingD	HarvestDate 	DAS 	10DASbeforeHarvest	RH	MeanAirTemp
Antas 	1	1	S1	24/06/15	15/01/16	205.00	5/01/16	78.82	14.95
Monti	1	2	S1	24/06/15	5/01/16	195.00	26/12/15	82.30	14.01
Denmark	1	3	S1	24/06/15	25/01/16	215.00	15/01/16	81.07	18.68
Leura	1	4	S1	24/06/15	26/01/16	216.00	16/01/16	82.86	18.66
Narrikup	1	5	S1	24/06/15	12/01/16	202.00	2/01/16	81.59	14.67
Woogenellup	1	6	S1	24/06/15	17/01/16	207.00	7/01/16	81.36	15.31
Antas 	2	7	S1	24/06/15	15/01/16	205.00	5/01/16	78.82	14.95
Woogenellup	2	8	S1	24/06/15	17/01/16	207.00	7/01/16	81.36	15.31
Denmark	2	9	S1	24/06/15	25/01/16	215.00	15/01/16	81.07	18.68
Monti	2	10	S1	24/06/15	5/01/16	195.00	26/12/15	82.30	14.01
Narrikup	2	11	S1	24/06/15	12/01/16	202.00	2/01/16	81.59	14.67
Leura	2	12	S1	24/06/15	26/01/16	216.00	16/01/16	82.86	18.66
Woogenellup	3	13	S1	24/06/15	17/01/16	207.00	7/01/16	81.36	15.31
Antas 	3	14	S1	24/06/15	15/01/16	205.00	5/01/16	78.82	14.95
Monti	3	15	S1	24/06/15	5/01/16	195.00	26/12/15	82.30	14.01
Narrikup	3	16	S1	24/06/15	12/01/16	202.00	2/01/16	81.59	14.67
Denmark	3	17	S1	24/06/15	25/01/16	215.00	15/01/16	81.07	18.68
Leura	3	18	S1	24/06/15	26/01/16	216.00	16/01/16	82.86	18.66
Narrikup	1	19	S2	28/07/15	5/02/16	192.00	26/01/16	83.03	16.78
Monti	1	20	S2	28/07/15	5/02/16	192.00	26/01/16	83.03	16.78
Woogenellup	1	21	S2	28/07/15	11/02/16	198.00	1/02/16	80.96	18.00
Leura	1	22	S2	28/07/15	18/02/16	205.00	8/02/16	78.33	19.35
Denmark	1	23	S2	28/07/15	18/02/16	205.00	8/02/16	78.33	19.35
Antas 	1	24	S2	28/07/15	9/02/16	196.00	30/01/16	80.94	17.68
Leura	2	25	S2	28/07/15	18/02/16	205.00	8/02/16	78.33	19.35
Woogenellup	2	26	S2	28/07/15	11/02/16	198.00	1/02/16	80.96	18.00
Denmark	2	27	S2	28/07/15	18/02/16	205.00	8/02/16	78.33	19.35
Narrikup	2	28	S2	28/07/15	5/02/16	192.00	26/01/16	83.03	16.78
Antas 	2	29	S2	28/07/15	9/02/16	196.00	30/01/16	80.94	17.68
Monti	2	30	S2	28/07/15	5/02/16	192.00	26/01/16	83.03	16.78
Denmark	3	31	S2	28/07/15	18/02/16	205.00	8/02/16	78.33	19.35
Antas 	3	32	S2	28/07/15	9/02/16	196.00	30/01/16	80.94	17.68
Monti	3	33	S2	28/07/15	5/02/16	192.00	26/01/16	83.03	16.78
Woogenellup	3	34	S2	28/07/15	11/02/16	198.00	1/02/16	80.96	18.00
Leura	3	35	S2	28/07/15	18/02/16	205.00	8/02/16	78.33	19.35
Narrikup	3	36	S2	28/07/15	5/02/16	192.00	26/01/16	83.03	16.78
Denmark	1	37	S3	15/09/15	21/03/16	188.00	11/03/16	76.68	15.29
Antas 	1	38	S3	15/09/15	15/03/16	182.00	5/03/16	76.23	15.64
Woogenellup	1	39	S3	15/09/15	10/03/16	177.00	29/02/16	72.80	16.63
Leura	1	40	S3	15/09/15	23/03/16	190.00	13/03/16	78.29	16.75
Narrikup	1	41	S3	15/09/15	29/02/16	167.00	19/02/16	68.87	19.74
Monti	1	42	S3	15/09/15	29/02/16	167.00	19/02/16	68.87	19.74
Woogenellup	2	43	S3	15/09/15	10/03/16	177.00	29/02/16	72.80	16.63
Leura	2	44	S3	15/09/15	23/03/16	190.00	13/03/16	78.29	16.75
Narrikup	2	45	S3	15/09/15	29/02/16	167.00	19/02/16	68.87	19.74
Antas 	2	46	S3	15/09/15	15/03/16	182.00	5/03/16	76.23	15.64
Denmark	2	47	S3	15/09/15	21/03/16	188.00	11/03/16	76.68	15.29
Monti	2	48	S3	15/09/15	29/02/16	167.00	19/02/16	68.87	19.74
Leura	3	49	S3	15/09/15	23/03/16	190.00	13/03/16	78.29	16.75
Woogenellup	3	50	S3	15/09/15	10/03/16	177.00	29/02/16	72.80	16.63
Antas 	3	51	S3	15/09/15	15/03/16	182.00	5/03/16	76.23	15.64
Monti	3	52	S3	15/09/15	29/02/16	167.00	19/02/16	68.87	19.74
Narrikup	3	53	S3	15/09/15	29/02/16	167.00	19/02/16	68.87	19.74
Denmark	3	54	S3	15/09/15	21/03/16	188.00	11/03/16	76.68	15.29
Narrikup	1	55	S4	5/11/15	3/05/16	180.00	23/04/16	82.05	15.42
Antas 	1	56	S4	5/11/15	9/05/16	186.00	29/04/16	78.04	14.53
Denmark	1	57	S4	5/11/15	9/05/16	186.00	29/04/16	77.68	14.53
Leura	1	58	S4	5/11/15	9/05/16	186.00	29/04/16	77.68	14.53
Monti	1	59	S4	5/11/15	3/05/16	180.00	23/04/16	82.05	15.42
Woogenellup	1	60	S4	5/11/15	9/05/16	186.00	29/04/16	78.04	14.53
Antas 	2	61	S4	5/11/15	9/05/16	186.00	29/04/16	78.04	14.53
Woogenellup	2	62	S4	5/11/15	9/05/16	186.00	29/04/16	78.04	14.53
Narrikup	2	63	S4	5/11/15	3/05/16	180.00	23/04/16	82.05	15.42
Leura	2	64	S4	5/11/15	9/05/16	186.00	29/04/16	77.68	14.53
Denmark	2	65	S4	5/11/15	9/05/16	186.00	29/04/16	77.68	14.53
Monti	2	66	S4	5/11/15	3/05/16	180.00	23/04/16	82.05	15.42
Leura	3	67	S4	5/11/15	9/05/16	186.00	29/04/16	77.68	14.53
Monti	3	68	S4	5/11/15	3/05/16	180.00	23/04/16	82.05	15.42
Narrikup	3	69	S4	5/11/15	3/05/16	180.00	23/04/16	82.05	15.42
Antas 	3	70	S4	5/11/15	9/05/16	186.00	29/04/16	78.04	14.53
Woogenellup	3	71	S4	5/11/15	9/05/16	186.00	29/04/16	78.04	14.53
Denmark	3	72	S4	5/11/15	9/05/16	186.00	29/04/16	77.68	14.53
