"Block" "Cultivar" "SowTreat" "SowingD" "Plot" "Depth" "Date" "Round" "InitialSeedlotR1Number" "SeedNumber" "Soft" "PropSoft" "hardSeed" "transf_no" "transf_logit"
"1" "1" "Antas" "S1" "24/06/2015" "1" "surface" 2016-02-16 1 50 50 7 14 86 86 1.81528996663825
"2" "1" "Monti" "S1" "24/06/2015" "2" "surface" 2016-02-16 1 50 50 6 12 88 88 1.99243016469021
"3" "1" "Denmark" "S1" "24/06/2015" "3" "surface" 2016-02-16 1 50 50 7 14 86 86 1.81528996663825
"4" "1" "Leura" "S1" "24/06/2015" "4" "surface" 2016-02-16 1 50 50 2 4 96 96 3.17805383034794
"5" "1" "Narrikup" "S1" "24/06/2015" "5" "surface" 2016-02-16 1 50 50 2 4 96 96 3.17805383034794
"6" "1" "Woogenellup" "S1" "24/06/2015" "6" "surface" 2016-02-16 1 50 50 9 18 82 82 1.51634748936809
"7" "2" "Antas" "S1" "24/06/2015" "7" "surface" 2016-02-16 1 50 50 6 12 88 88 1.99243016469021
"8" "2" "Woogenellup" "S1" "24/06/2015" "8" "surface" 2016-02-16 1 50 50 5 10 90 90 2.19722457733622
"9" "2" "Denmark" "S1" "24/06/2015" "9" "surface" 2016-02-16 1 50 50 10 20 80 80 1.38629436111989
"10" "2" "Monti" "S1" "24/06/2015" "10" "surface" 2016-02-16 1 50 50 7 14 86 86 1.81528996663825
"11" "2" "Narrikup" "S1" "24/06/2015" "11" "surface" 2016-02-16 1 50 50 10 20 80 80 1.38629436111989
"12" "2" "Leura" "S1" "24/06/2015" "12" "surface" 2016-02-16 1 50 50 10 20 80 80 1.38629436111989
"13" "3" "Woogenellup" "S1" "24/06/2015" "13" "surface" 2016-02-16 1 50 50 10 20 80 80 1.38629436111989
"14" "3" "Antas" "S1" "24/06/2015" "14" "surface" 2016-02-16 1 50 50 2 4 96 96 3.17805383034794
"15" "3" "Monti" "S1" "24/06/2015" "15" "surface" 2016-02-16 1 50 50 5 10 90 90 2.19722457733622
"16" "3" "Narrikup" "S1" "24/06/2015" "16" "surface" 2016-02-16 1 50 50 5 10 90 90 2.19722457733622
"17" "3" "Denmark" "S1" "24/06/2015" "17" "surface" 2016-02-16 1 50 50 12 24 76 76 1.15267950993839
"18" "3" "Leura" "S1" "24/06/2015" "18" "surface" 2016-02-16 1 50 50 26 52 48 48 -0.0800427076735365
"19" "1" "Antas" "S1" "24/06/2015" "1" "buried" 2016-02-16 1 24 24 5 10 90 90 2.19722457733622
"20" "1" "Monti" "S1" "24/06/2015" "2" "buried" 2016-02-16 1 50 50 7 14 86 86 1.81528996663825
"21" "1" "Denmark" "S1" "24/06/2015" "3" "buried" 2016-02-16 1 50 50 8 16 84 84 1.65822807660353
"22" "1" "Leura" "S1" "24/06/2015" "4" "buried" 2016-02-16 1 50 50 7 14 86 86 1.81528996663825
"23" "1" "Narrikup" "S1" "24/06/2015" "5" "buried" 2016-02-16 1 50 50 5 10 90 90 2.19722457733622
"24" "1" "Woogenellup" "S1" "24/06/2015" "6" "buried" 2016-02-16 1 50 50 6 12 88 88 1.99243016469021
"25" "2" "Antas" "S1" "24/06/2015" "7" "buried" 2016-02-16 1 50 50 6 12 88 88 1.99243016469021
"26" "2" "Woogenellup" "S1" "24/06/2015" "8" "buried" 2016-02-16 1 50 50 5 10 90 90 2.19722457733622
"27" "2" "Denmark" "S1" "24/06/2015" "9" "buried" 2016-02-16 1 50 50 2 4 96 96 3.17805383034794
"28" "2" "Monti" "S1" "24/06/2015" "10" "buried" 2016-02-16 1 50 50 3 6 94 94 2.75153531304195
"29" "2" "Narrikup" "S1" "24/06/2015" "11" "buried" 2016-02-16 1 50 50 8 16 84 84 1.65822807660353
"30" "2" "Leura" "S1" "24/06/2015" "12" "buried" 2016-02-16 1 50 50 21 42 58 58 0.322773392263051
"31" "3" "Woogenellup" "S1" "24/06/2015" "13" "buried" 2016-02-16 1 50 50 8 16 84 84 1.65822807660353
"32" "3" "Antas" "S1" "24/06/2015" "14" "buried" 2016-02-16 1 50 50 6 12 88 88 1.99243016469021
"33" "3" "Monti" "S1" "24/06/2015" "15" "buried" 2016-02-16 1 50 50 2 4 96 96 3.17805383034794
"34" "3" "Narrikup" "S1" "24/06/2015" "16" "buried" 2016-02-16 1 50 50 4 8 92 92 2.44234703536921
"35" "3" "Denmark" "S1" "24/06/2015" "17" "buried" 2016-02-16 1 50 50 16 32 68 68 0.75377180237638
"36" "3" "Leura" "S1" "24/06/2015" "18" "buried" 2016-02-16 1 50 50 21 42 58 58 0.322773392263051
"37" "1" "Narrikup" "S2" "28/07/2015" "19" "surface" 2016-03-16 1 50 50 23 46 54 54 0.160342650075179
"38" "1" "Monti" "S2" "28/07/2015" "20" "surface" 2016-03-16 1 50 50 2 4 96 96 3.17805383034794
"39" "1" "Woogenellup" "S2" "28/07/2015" "21" "surface" 2016-03-16 1 50 50 10 20 80 80 1.38629436111989
"40" "1" "Leura" "S2" "28/07/2015" "22" "surface" 2016-03-16 1 50 50 6 12 88 88 1.99243016469021
"41" "1" "Denmark" "S2" "28/07/2015" "23" "surface" 2016-03-16 1 50 50 22 44 56 56 0.241162056816888
"42" "1" "Antas" "S2" "28/07/2015" "24" "surface" 2016-03-16 1 50 50 14 28 72 72 0.944461608840851
"43" "2" "Leura" "S2" "28/07/2015" "25" "surface" 2016-03-16 1 50 50 20 40 60 60 0.405465108108164
"44" "2" "Woogenellup" "S2" "28/07/2015" "26" "surface" 2016-03-16 1 50 50 26 52 48 48 -0.0800427076735365
"45" "2" "Denmark" "S2" "28/07/2015" "27" "surface" 2016-03-16 1 50 50 10 20 80 80 1.38629436111989
"46" "2" "Narrikup" "S2" "28/07/2015" "28" "surface" 2016-03-16 1 50 50 21 42 58 58 0.322773392263051
"47" "2" "Antas" "S2" "28/07/2015" "29" "surface" 2016-03-16 1 50 50 34 68 32 32 -0.75377180237638
"48" "2" "Monti" "S2" "28/07/2015" "30" "surface" 2016-03-16 1 50 50 5 10 90 90 2.19722457733622
"49" "3" "Denmark" "S2" "28/07/2015" "31" "surface" 2016-03-16 1 50 50 6 12 88 88 1.99243016469021
"50" "3" "Antas" "S2" "28/07/2015" "32" "surface" 2016-03-16 1 50 50 13 26 74 74 1.04596855518269
"51" "3" "Monti" "S2" "28/07/2015" "33" "surface" 2016-03-16 1 50 50 8 16 84 84 1.65822807660353
