"Cultivar" "SowingD" "Block" "Depth" "hardSeed" "transf_no" "transf_logit"
"1" "Antas" "2015-06-24" 1 "surface" 86 86 1.81528996663825
"2" "Monti" "2015-06-24" 1 "surface" 88 88 1.99243016469021
"3" "Denmark" "2015-06-24" 1 "surface" 86 86 1.81528996663825
"4" "Leura" "2015-06-24" 1 "surface" 96 96 3.17805383034794
"5" "Narrikup" "2015-06-24" 1 "surface" 96 96 3.17805383034794
"6" "Woogenellup" "2015-06-24" 1 "surface" 82 82 1.51634748936809
"7" "Antas" "2015-06-24" 2 "surface" 88 88 1.99243016469021
"8" "Woogenellup" "2015-06-24" 2 "surface" 90 90 2.19722457733622
"9" "Denmark" "2015-06-24" 2 "surface" 80 80 1.38629436111989
"10" "Monti" "2015-06-24" 2 "surface" 86 86 1.81528996663825
"11" "Narrikup" "2015-06-24" 2 "surface" 80 80 1.38629436111989
"12" "Leura" "2015-06-24" 2 "surface" 80 80 1.38629436111989
"13" "Woogenellup" "2015-06-24" 3 "surface" 80 80 1.38629436111989
"14" "Antas" "2015-06-24" 3 "surface" 96 96 3.17805383034794
"15" "Monti" "2015-06-24" 3 "surface" 90 90 2.19722457733622
"16" "Narrikup" "2015-06-24" 3 "surface" 90 90 2.19722457733622
"17" "Denmark" "2015-06-24" 3 "surface" 76 76 1.15267950993839
"18" "Leura" "2015-06-24" 3 "surface" 48 48 -0.0800427076735365
"19" "Antas" "2015-06-24" 1 "buried" 90 90 2.19722457733622
"20" "Monti" "2015-06-24" 1 "buried" 86 86 1.81528996663825
"21" "Denmark" "2015-06-24" 1 "buried" 84 84 1.65822807660353
"22" "Leura" "2015-06-24" 1 "buried" 86 86 1.81528996663825
"23" "Narrikup" "2015-06-24" 1 "buried" 90 90 2.19722457733622
"24" "Woogenellup" "2015-06-24" 1 "buried" 88 88 1.99243016469021
"25" "Antas" "2015-06-24" 2 "buried" 88 88 1.99243016469021
"26" "Woogenellup" "2015-06-24" 2 "buried" 90 90 2.19722457733622
"27" "Denmark" "2015-06-24" 2 "buried" 96 96 3.17805383034794
"28" "Monti" "2015-06-24" 2 "buried" 94 94 2.75153531304195
"29" "Narrikup" "2015-06-24" 2 "buried" 84 84 1.65822807660353
"30" "Leura" "2015-06-24" 2 "buried" 58 58 0.322773392263051
"31" "Woogenellup" "2015-06-24" 3 "buried" 84 84 1.65822807660353
"32" "Antas" "2015-06-24" 3 "buried" 88 88 1.99243016469021
