"Cultivar" "SowingD" "Block" "Depth" "hardSeed"
"Antas" 2015-06-24 "1" "surface" 86
"Monti" 2015-06-24 "1" "surface" 88
"Denmark" 2015-06-24 "1" "surface" 86
"Leura" 2015-06-24 "1" "surface" 96
"Narrikup" 2015-06-24 "1" "surface" 96
"Woogenellup" 2015-06-24 "1" "surface" 82
"Antas" 2015-06-24 "2" "surface" 88
"Woogenellup" 2015-06-24 "2" "surface" 90
"Denmark" 2015-06-24 "2" "surface" 80
"Monti" 2015-06-24 "2" "surface" 86
"Narrikup" 2015-06-24 "2" "surface" 80
"Leura" 2015-06-24 "2" "surface" 80
"Woogenellup" 2015-06-24 "3" "surface" 80
"Antas" 2015-06-24 "3" "surface" 96
"Monti" 2015-06-24 "3" "surface" 90
"Narrikup" 2015-06-24 "3" "surface" 90
"Denmark" 2015-06-24 "3" "surface" 76
"Leura" 2015-06-24 "3" "surface" 48
"Antas" 2015-06-24 "1" "buried" 90
"Monti" 2015-06-24 "1" "buried" 86
"Denmark" 2015-06-24 "1" "buried" 84
"Leura" 2015-06-24 "1" "buried" 86
"Narrikup" 2015-06-24 "1" "buried" 90
"Woogenellup" 2015-06-24 "1" "buried" 88
"Antas" 2015-06-24 "2" "buried" 88
"Woogenellup" 2015-06-24 "2" "buried" 90
"Denmark" 2015-06-24 "2" "buried" 96
"Monti" 2015-06-24 "2" "buried" 94
"Narrikup" 2015-06-24 "2" "buried" 84
"Leura" 2015-06-24 "2" "buried" 58
"Woogenellup" 2015-06-24 "3" "buried" 84
"Antas" 2015-06-24 "3" "buried" 88
"Monti" 2015-06-24 "3" "buried" 96
"Narrikup" 2015-06-24 "3" "buried" 92
"Denmark" 2015-06-24 "3" "buried" 68
"Leura" 2015-06-24 "3" "buried" 58
"Narrikup" 2015-07-28 "1" "surface" 54
"Monti" 2015-07-28 "1" "surface" 96
"Woogenellup" 2015-07-28 "1" "surface" 80
"Leura" 2015-07-28 "1" "surface" 88
"Denmark" 2015-07-28 "1" "surface" 56
"Antas" 2015-07-28 "1" "surface" 72
"Leura" 2015-07-28 "2" "surface" 60
"Woogenellup" 2015-07-28 "2" "surface" 48
"Denmark" 2015-07-28 "2" "surface" 80
"Narrikup" 2015-07-28 "2" "surface" 58
"Antas" 2015-07-28 "2" "surface" 32
"Monti" 2015-07-28 "2" "surface" 90
"Denmark" 2015-07-28 "3" "surface" 88
"Antas" 2015-07-28 "3" "surface" 74
"Monti" 2015-07-28 "3" "surface" 84
"Woogenellup" 2015-07-28 "3" "surface" 46
"Leura" 2015-07-28 "3" "surface" 80
"Narrikup" 2015-07-28 "3" "surface" 32
"Narrikup" 2015-07-28 "1" "buried" 62
"Monti" 2015-07-28 "1" "buried" 84
"Woogenellup" 2015-07-28 "1" "buried" 78
"Leura" 2015-07-28 "1" "buried" 88
"Denmark" 2015-07-28 "1" "buried" 64
"Antas" 2015-07-28 "1" "buried" 58
"Leura" 2015-07-28 "2" "buried" 46
"Woogenellup" 2015-07-28 "2" "buried" 72
"Denmark" 2015-07-28 "2" "buried" 66
"Narrikup" 2015-07-28 "2" "buried" 56
"Antas" 2015-07-28 "2" "buried" 26
"Monti" 2015-07-28 "2" "buried" 86
"Denmark" 2015-07-28 "3" "buried" 88
"Antas" 2015-07-28 "3" "buried" 68
"Monti" 2015-07-28 "3" "buried" 84
"Woogenellup" 2015-07-28 "3" "buried" 16
"Leura" 2015-07-28 "3" "buried" 66
"Narrikup" 2015-07-28 "3" "buried" 28
"Denmark" 2015-09-15 "1" "surface" 84
"Antas" 2015-09-15 "1" "surface" 60
"Woogenellup" 2015-09-15 "1" "surface" 84
"Leura" 2015-09-15 "1" "surface" 98
"Narrikup" 2015-09-15 "1" "surface" 80
"Monti" 2015-09-15 "1" "surface" 96
"Woogenellup" 2015-09-15 "2" "surface" 80
"Leura" 2015-09-15 "2" "surface" 90
"Narrikup" 2015-09-15 "2" "surface" 90
"Antas" 2015-09-15 "2" "surface" 78
"Denmark" 2015-09-15 "2" "surface" 94
"Monti" 2015-09-15 "2" "surface" 88
"Leura" 2015-09-15 "3" "surface" 94
"Woogenellup" 2015-09-15 "3" "surface" 86
"Antas" 2015-09-15 "3" "surface" 76
"Monti" 2015-09-15 "3" "surface" 96
"Narrikup" 2015-09-15 "3" "surface" 86
"Denmark" 2015-09-15 "3" "surface" 88
"Denmark" 2015-09-15 "1" "buried" 74
"Antas" 2015-09-15 "1" "buried" 32
"Woogenellup" 2015-09-15 "1" "buried" 68
"Leura" 2015-09-15 "1" "buried" 82
"Narrikup" 2015-09-15 "1" "buried" 86
"Monti" 2015-09-15 "1" "buried" 88
"Woogenellup" 2015-09-15 "2" "buried" 74
"Leura" 2015-09-15 "2" "buried" 74
"Narrikup" 2015-09-15 "2" "buried" 74
"Antas" 2015-09-15 "2" "buried" 60
"Denmark" 2015-09-15 "2" "buried" 80
"Monti" 2015-09-15 "2" "buried" 92
"Leura" 2015-09-15 "3" "buried" 92
"Woogenellup" 2015-09-15 "3" "buried" 82
"Antas" 2015-09-15 "3" "buried" 60
"Monti" 2015-09-15 "3" "buried" 88
"Narrikup" 2015-09-15 "3" "buried" 78
"Denmark" 2015-09-15 "3" "buried" 98
"Narrikup" 2015-11-05 "1" "surface" 86
"Antas" 2015-11-05 "1" "surface" 44
"Denmark" 2015-11-05 "1" "surface" 78
"Leura" 2015-11-05 "1" "surface" 82
"Monti" 2015-11-05 "1" "surface" 88
"Woogenellup" 2015-11-05 "1" "surface" 78
"Antas" 2015-11-05 "2" "surface" 32
"Woogenellup" 2015-11-05 "2" "surface" 88
"Narrikup" 2015-11-05 "2" "surface" 64
"Leura" 2015-11-05 "2" "surface" 72
"Denmark" 2015-11-05 "2" "surface" 96
