Block	Cultivar	SowTreat	SowingD	Plot	Depth	Date	Round	SeedNumber	Soft
1	Antas 	S1	24/06/2015	1	up	16/02/2016	1	50	7
1	Monti	S1	24/06/2015	2	up	16/02/2016	1	50	6
1	Denmark	S1	24/06/2015	3	up	16/02/2016	1	50	7
1	Leura	S1	24/06/2015	4	up	16/02/2016	1	50	2
1	Narrikup	S1	24/06/2015	5	up	16/02/2016	1	50	2
1	Woogenellup	S1	24/06/2015	6	up	16/02/2016	1	50	9
2	Antas 	S1	24/06/2015	7	up	16/02/2016	1	50	6
2	Woogenellup	S1	24/06/2015	8	up	16/02/2016	1	50	5
2	Denmark	S1	24/06/2015	9	up	16/02/2016	1	50	10
2	Monti	S1	24/06/2015	10	up	16/02/2016	1	50	7
2	Narrikup	S1	24/06/2015	11	up	16/02/2016	1	50	10
2	Leura	S1	24/06/2015	12	up	16/02/2016	1	50	7
3	Woogenellup	S1	24/06/2015	13	up	16/02/2016	1	50	10
3	Antas 	S1	24/06/2015	14	up	16/02/2016	1	50	2
3	Monti	S1	24/06/2015	15	up	16/02/2016	1	50	5
3	Narrikup	S1	24/06/2015	16	up	16/02/2016	1	50	5
3	Denmark	S1	24/06/2015	17	up	16/02/2016	1	50	12
3	Leura	S1	24/06/2015	18	up	16/02/2016	1	50	26
1	Antas 	S1	24/06/2015	1	down	16/02/2016	1	24	5
1	Monti	S1	24/06/2015	2	down	16/02/2016	1	50	7
1	Denmark	S1	24/06/2015	3	down	16/02/2016	1	50	8
1	Leura	S1	24/06/2015	4	down	16/02/2016	1	50	7
1	Narrikup	S1	24/06/2015	5	down	16/02/2016	1	50	5
1	Woogenellup	S1	24/06/2015	6	down	16/02/2016	1	50	6
2	Antas 	S1	24/06/2015	7	down	16/02/2016	1	50	6
2	Woogenellup	S1	24/06/2015	8	down	16/02/2016	1	50	2
2	Denmark	S1	24/06/2015	9	down	16/02/2016	1	50	2
2	Monti	S1	24/06/2015	10	down	16/02/2016	1	50	3
2	Narrikup	S1	24/06/2015	11	down	16/02/2016	1	50	4
2	Leura	S1	24/06/2015	12	down	16/02/2016	1	50	21
3	Woogenellup	S1	24/06/2015	13	down	16/02/2016	1	50	5
3	Antas 	S1	24/06/2015	14	down	16/02/2016	1	50	6
3	Monti	S1	24/06/2015	15	down	16/02/2016	1	50	2
3	Narrikup	S1	24/06/2015	16	down	16/02/2016	1	50	4
3	Denmark	S1	24/06/2015	17	down	16/02/2016	1	50	16
3	Leura	S1	24/06/2015	18	down	16/02/2016	1	50	21
1	Antas 	S1	24/06/2015	1	up	9/03/2016	2	43	1
1	Monti	S1	24/06/2015	2	up	9/03/2016	2	44	5
1	Denmark	S1	24/06/2015	3	up	9/03/2016	2	43	6
1	Leura	S1	24/06/2015	4	up	9/03/2016	2	48	1
1	Narrikup	S1	24/06/2015	5	up	9/03/2016	2	48	2
1	Woogenellup	S1	24/06/2015	6	up	9/03/2016	2	41	1
2	Antas 	S1	24/06/2015	7	up	9/03/2016	2	44	0
2	Woogenellup	S1	24/06/2015	8	up	9/03/2016	2	45	1
2	Denmark	S1	24/06/2015	9	up	9/03/2016	2	40	3
2	Monti	S1	24/06/2015	10	up	9/03/2016	2	43	1
2	Narrikup	S1	24/06/2015	11	up	9/03/2016	2	40	2
2	Leura	S1	24/06/2015	12	up	9/03/2016	2	43	5
3	Woogenellup	S1	24/06/2015	13	up	9/03/2016	2	40	1
3	Antas 	S1	24/06/2015	14	up	9/03/2016	2	48	3
3	Monti	S1	24/06/2015	15	up	9/03/2016	2	45	3
3	Narrikup	S1	24/06/2015	16	up	9/03/2016	2	45	0
3	Denmark	S1	24/06/2015	17	up	9/03/2016	2	38	1
3	Leura	S1	24/06/2015	18	up	9/03/2016	2	24	2
1	Antas 	S1	24/06/2015	1	down	9/03/2016	2	19	4
1	Monti	S1	24/06/2015	2	down	9/03/2016	2	43	3
1	Denmark	S1	24/06/2015	3	down	9/03/2016	2	42	8
1	Leura	S1	24/06/2015	4	down	9/03/2016	2	43	13
1	Narrikup	S1	24/06/2015	5	down	9/03/2016	2	47	3
1	Woogenellup	S1	24/06/2015	6	down	9/03/2016	2	44	11
2	Antas 	S1	24/06/2015	7	down	9/03/2016	2	44	7
2	Woogenellup	S1	24/06/2015	8	down	9/03/2016	2	48	7
2	Denmark	S1	24/06/2015	9	down	9/03/2016	2	49	6
2	Monti	S1	24/06/2015	10	down	9/03/2016	2	47	2
2	Narrikup	S1	24/06/2015	11	down	9/03/2016	2	46	2
2	Leura	S1	24/06/2015	12	down	9/03/2016	2	29	0
3	Woogenellup	S1	24/06/2015	13	down	9/03/2016	2	45	8
3	Antas 	S1	24/06/2015	14	down	9/03/2016	2	44	10
3	Monti	S1	24/06/2015	15	down	9/03/2016	2	48	2
3	Narrikup	S1	24/06/2015	16	down	9/03/2016	2	46	1
3	Denmark	S1	24/06/2015	17	down	9/03/2016	2	34	0
3	Leura	S1	24/06/2015	18	down	9/03/2016	2	29	0
1	Narrikup	S2	28/07/2015	19	up	16/03/2016	1	50	23
1	Monti	S2	28/07/2015	20	up	16/03/2016	1	50	2
1	Woogenellup	S2	28/07/2015	21	up	16/03/2016	1	50	2
1	Leura	S2	28/07/2015	22	up	16/03/2016	1	50	2
1	Denmark	S2	28/07/2015	23	up	16/03/2016	1	50	22
1	Antas 	S2	28/07/2015	24	up	16/03/2016	1	50	11
2	Leura	S2	28/07/2015	25	up	16/03/2016	1	50	43
2	Woogenellup	S2	28/07/2015	26	up	16/03/2016	1	50	26
2	Denmark	S2	28/07/2015	27	up	16/03/2016	1	50	3
2	Narrikup	S2	28/07/2015	28	up	16/03/2016	1	50	21
2	Antas 	S2	28/07/2015	29	up	16/03/2016	1	50	43
2	Monti	S2	28/07/2015	30	up	16/03/2016	1	50	5
3	Denmark	S2	28/07/2015	31	up	16/03/2016	1	50	6
3	Antas 	S2	28/07/2015	32	up	16/03/2016	1	50	13
3	Monti	S2	28/07/2015	33	up	16/03/2016	1	50	18
3	Woogenellup	S2	28/07/2015	34	up	16/03/2016	1	50	27
3	Leura	S2	28/07/2015	35	up	16/03/2016	1	50	6
3	Narrikup	S2	28/07/2015	36	up	16/03/2016	1	50	34
1	Narrikup	S2	28/07/2015	19	down	16/03/2016	1	50	19
1	Monti	S2	28/07/2015	20	down	16/03/2016	1	50	8
1	Woogenellup	S2	28/07/2015	21	down	16/03/2016	1	50	7
1	Leura	S2	28/07/2015	22	down	16/03/2016	1	50	6
1	Denmark	S2	28/07/2015	23	down	16/03/2016	1	50	18
1	Antas 	S2	28/07/2015	24	down	16/03/2016	1	50	21
2	Leura	S2	28/07/2015	25	down	16/03/2016	1	50	27
2	Woogenellup	S2	28/07/2015	26	down	16/03/2016	1	50	4
2	Denmark	S2	28/07/2015	27	down	16/03/2016	1	50	17
2	Narrikup	S2	28/07/2015	28	down	16/03/2016	1	50	22
2	Antas 	S2	28/07/2015	29	down	16/03/2016	1	50	37
2	Monti	S2	28/07/2015	30	down	16/03/2016	1	50	7
3	Denmark	S2	28/07/2015	31	down	16/03/2016	1	50	6
3	Antas 	S2	28/07/2015	32	down	16/03/2016	1	50	16
3	Monti	S2	28/07/2015	33	down	16/03/2016	1	50	8
3	Woogenellup	S2	28/07/2015	34	down	16/03/2016	1	50	42
3	Leura	S2	28/07/2015	35	down	16/03/2016	1	50	17
3	Narrikup	S2	28/07/2015	36	down	16/03/2016	1	50	36
1	Antas 	S1	24/06/2015	1	up	13/05/2016	3	42	2
1	Monti	S1	24/06/2015	2	up	13/05/2016	3	39	3
1	Denmark	S1	24/06/2015	3	up	13/05/2016	3	37	1
1	Leura	S1	24/06/2015	4	up	13/05/2016	3	47	2
1	Narrikup	S1	24/06/2015	5	up	13/05/2016	3	46	2
1	Woogenellup	S1	24/06/2015	6	up	13/05/2016	3	40	1
2	Antas 	S1	24/06/2015	7	up	13/05/2016	3	44	1
