StartDate	HardSeedAssessDate	Plot	Block	Cultivar	SowTreat	SowingD	depth 	round	Imbibed	GermAssessDate 	embGerminated	Dead	SeedNumber
1/02/2016	16/02/2016	1	1	Antas 	S1	24/06/2015	up	1	7	2/03/2016	4	NA	50
9/03/2016	9/03/2016	1	1	Antas 	S1	24/06/2015	up	2	1	NA	14	NA	NA
9/04/2015	NA	1	1	Antas 	S1	24/06/2015	up	3	10	NA	10	NA	NA
9/05/2015	NA	1	1	Antas 	S1	24/06/2015	up	4	10	NA	9	NA	NA
9/06/2015	NA	1	1	Antas 	S1	24/06/2015	up	5	2	NA	1	NA	NA
1/02/2016	16/02/2016	2	1	Monti	S1	24/06/2015	up	1	6	2/03/2016	5	NA	50
9/03/2016	9/03/2016	2	1	Monti	S1	24/06/2015	up	2	5	NA	0	NA	NA
9/04/2015	NA	2	1	Monti	S1	24/06/2015	up	3	1	NA	1	NA	NA
9/05/2015	NA	2	1	Monti	S1	24/06/2015	up	4	3	NA	2	NA	NA
9/06/2015	NA	2	1	Monti	S1	24/06/2015	up	5	2	NA	1	NA	NA
1/02/2016	16/02/2016	3	1	Denmark	S1	24/06/2015	up	1	7	2/03/2016	3	NA	50
9/03/2016	9/03/2016	3	1	Denmark	S1	24/06/2015	up	2	6	NA	14	NA	NA
9/04/2015	NA	3	1	Denmark	S1	24/06/2015	up	3	10	NA	10	NA	NA
9/05/2015	NA	3	1	Denmark	S1	24/06/2015	up	4	10	NA	9	NA	NA
9/06/2015	NA	3	1	Denmark	S1	24/06/2015	up	5	2	NA	1	NA	NA
1/02/2016	16/02/2016	4	1	Leura	S1	24/06/2015	up	1	2	2/03/2016	0	NA	50
9/03/2016	9/03/2016	4	1	Leura	S1	24/06/2015	up	2	1	NA	0	NA	NA
9/04/2015	NA	4	1	Leura	S1	24/06/2015	up	3	1	NA	1	NA	NA
9/05/2015	NA	4	1	Leura	S1	24/06/2015	up	4	3	NA	2	NA	NA
9/06/2015	NA	4	1	Leura	S1	24/06/2015	up	5	2	NA	1	NA	NA
1/02/2016	16/02/2016	5	1	Narrikup	S1	24/06/2015	up	1	2	2/03/2016	1	NA	50
9/03/2016	9/03/2016	5	1	Narrikup	S1	24/06/2015	up	2	2	NA	14	NA	NA
9/04/2015	NA	5	1	Narrikup	S1	24/06/2015	up	3	10	NA	10	NA	NA
9/05/2015	NA	5	1	Narrikup	S1	24/06/2015	up	4	10	NA	9	NA	NA
9/06/2015	NA	5	1	Narrikup	S1	24/06/2015	up	5	2	NA	1	NA	NA
1/02/2016	16/02/2016	6	1	Woogenellup	S1	24/06/2015	up	1	9	2/03/2016	1	NA	50
9/03/2016	9/03/2016	6	1	Woogenellup	S1	24/06/2015	up	2	1	NA	0	NA	NA
9/04/2015	NA	6	1	Woogenellup	S1	24/06/2015	up	3	1	NA	1	NA	NA
9/05/2015	NA	6	1	Woogenellup	S1	24/06/2015	up	4	3	NA	2	NA	NA
9/06/2015	NA	6	1	Woogenellup	S1	24/06/2015	up	5	2	NA	1	NA	NA
