Date	Air
24/06/2015	13.055375
25/06/2015	18.97186141
26/06/2015	23.40406613
27/06/2015	28.12362862
28/06/2015	30.05060779
29/06/2015	35.95373279
30/06/2015	15.467
1/07/2015	12.767
2/07/2015	9.5825
3/07/2015	9.595
4/07/2015	7.1545
5/07/2015	9.2065
6/07/2015	5.32
7/07/2015	3.4745
8/07/2015	3.437
9/07/2015	4.6435
10/07/2015	3.1375
11/07/2015	1.7315
12/07/2015	1.672
13/07/2015	3.316
14/07/2015	8.395
15/07/2015	11.2785
16/07/2015	7.815
17/07/2015	6.011
18/07/2015	5.3
19/07/2015	5.1295
20/07/2015	4.2925
21/07/2015	5.818
22/07/2015	7.8945
23/07/2015	7.6975
24/07/2015	8.3705
25/07/2015	9.958
26/07/2015	14.242
27/07/2015	11.1235
28/07/2015	8.7765
29/07/2015	6.552
30/07/2015	4.548
31/07/2015	6.5775
1/08/2015	9.331
2/08/2015	12.062
3/08/2015	12.7385
4/08/2015	10.6745
5/08/2015	6.0165
6/08/2015	6.5385
7/08/2015	5.3455
8/08/2015	4.899
9/08/2015	2.2005
10/08/2015	3.8145
11/08/2015	4.2965
12/08/2015	4.6425
13/08/2015	9.12
14/08/2015	10.3425
15/08/2015	10.8775
16/08/2015	7.5985
17/08/2015	7.043
18/08/2015	11.9235
19/08/2015	9.4555
20/08/2015	5.896
21/08/2015	5.213
22/08/2015	6.756
23/08/2015	6.957
24/08/2015	9.026
25/08/2015	5.19
26/08/2015	6.116
27/08/2015	6.268
28/08/2015	3.2445
29/08/2015	8.097
30/08/2015	6.5345
31/08/2015	6.055
1/09/2015	6.1625
2/09/2015	11.8475
3/09/2015	7.833
4/09/2015	6.6395
5/09/2015	9.69
6/09/2015	5.5075
7/09/2015	5.908
8/09/2015	4.95
9/09/2015	5.8925
10/09/2015	12.0295
11/09/2015	6.86
12/09/2015	7.2065
13/09/2015	8.087
14/09/2015	7.964
15/09/2015	14.448
16/09/2015	15.213
17/09/2015	14.916
18/09/2015	12.066
19/09/2015	7.3495
20/09/2015	6.7385
21/09/2015	5.6405
22/09/2015	5.1265
23/09/2015	10.045
24/09/2015	8.619
25/09/2015	6.837
26/09/2015	8.676
27/09/2015	7.6905
28/09/2015	6.6935
29/09/2015	11.411
30/09/2015	12.0975
1/10/2015	14.829
2/10/2015	12.329
3/10/2015	10.438
4/10/2015	17.5575
5/10/2015	11.572
6/10/2015	15.799
7/10/2015	19.6815
8/10/2015	8.635
9/10/2015	9.1745
10/10/2015	10.6675
11/10/2015	13.887
12/10/2015	14.876
13/10/2015	10.7625
14/10/2015	10.73
15/10/2015	10.294
16/10/2015	16.831
17/10/2015	14.5475
18/10/2015	14.4645
19/10/2015	10.551
20/10/2015	11.469
21/10/2015	16.803
