Block	Cultivar	plot	FoliageCm2 	RedCm2
1	Antas	1	1280.866	2.949
1	Napier	2	998.150	34.053
1	Monti	3	1236.135	15.649
1	Trikkala	4	1680.904	23.746
1	MountBarker 	5	2000.666	0.000
1	Campeda	6	1289.284	2.773
1	SeatonPark	7	2063.884	5.557
1	Woogenellup	8	2113.916	0.000
1	Narrikup	9	1960.946	1.359
1	Coolamon	10	1339.765	10.994
1	Denmark	11	1300.334	4.587
1	Rosabrook	12	1285.410	16.770
1	Leura	13	1099.292	1.934
1	Karridale	16	910.092	8.193
2	SeatonPark	17	1663.879	5.286
2	Coolamon	18	2064.052	10.841
2	Antas	19	2057.287	6.490
2	Campeda	20	1572.591	1.628
2	Napier	21	1389.846	18.335
2	Trikkala	22	1964.459	36.330
2	Monti	23	1168.106	53.947
2	Narrikup	24	1671.161	19.335
2	Woogenellup	25	2079.913	3.173
2	Karridale	27	875.943	92.346
2	Denmark	29	1186.608	21.495
2	Leura	30	1782.249	36.264
2	Rosabrook	31	1411.641	47.596
2	MountBarker 	32	1034.513	18.634
3	Campeda	33	1769.654	35.393
3	MountBarker 	34	1702.617	7.863
3	SeatonPark	35	1571.715	31.622
3	Coolamon	36	1795.491	1.292
3	Monti	37	1128.405	43.328
3	Woogenellup	38	1168.799	43.887
3	Trikkala	39	1133.010	32.016
3	Narrikup	40	1660.990	17.885
3	Leura	41	2052.318	2.659
3	Napier	42	1667.514	188.421
3	Rosabrook	43	1508.204	91.502
3	Antas	45	2188.769	5.590
3	Denmark	46	1852.500	3.801
3	Karridale	47	1266.834	59.387
4	Trikkala	49	1724.194	8.369
4	Narrikup	50	1910.720	10.868
4	Coolamon	51	1612.145	14.479
4	Monti	52	1278.216	25.989
4	Woogenellup	53	1782.875	27.215
4	SeatonPark	54	1201.255	34.991
4	Campeda	55	1664.251	1.258
4	MountBarker 	57	1163.532	17.601
4	Antas	59	1837.422	11.901
4	Leura	60	1724.052	26.545
4	Karridale	61	1597.381	30.284
4	Rosabrook	62	1822.581	10.379
4	Denmark	63	1540.462	1.195
4	Napier	64	1405.588	51.671
