date	hour	Air
30/06/2015	16	19.151
30/06/2015	17	12.34
30/06/2015	18	12.316
30/06/2015	19	12.364
30/06/2015	20	12.364
30/06/2015	21	12.05
30/06/2015	22	11.929
30/06/2015	23	11.929
1/07/2015	0	11.783
1/07/2015	1	11.783
1/07/2015	2	11.783
1/07/2015	3	11.759
1/07/2015	4	11.492
1/07/2015	5	11.321
1/07/2015	6	11.175
1/07/2015	7	11.029
1/07/2015	8	11.005
1/07/2015	9	11.151
1/07/2015	10	11.613
1/07/2015	11	12.364
1/07/2015	12	12.727
1/07/2015	13	12.968
1/07/2015	14	13.281
1/07/2015	16	14.529
1/07/2015	17	14.457
1/07/2015	18	14.002
1/07/2015	19	13.642
1/07/2015	20	13.425
1/07/2015	21	13.281
1/07/2015	22	13.088
1/07/2015	23	12.558
2/07/2015	0	12.195
2/07/2015	1	11.929
2/07/2015	2	11.734
2/07/2015	3	11.637
2/07/2015	4	11.54
2/07/2015	5	11.394
2/07/2015	6	11.248
2/07/2015	7	11.151
2/07/2015	8	6.535
2/07/2015	9	7.393
2/07/2015	10	9.41
2/07/2015	11	10.712
2/07/2015	12	11.565
2/07/2015	13	12.316
2/07/2015	14	12.63
2/07/2015	15	12.025
2/07/2015	16	12.171
2/07/2015	17	10.59
2/07/2015	18	10.907
2/07/2015	19	10.345
2/07/2015	20	9.534
2/07/2015	21	9.805
2/07/2015	22	8.394
2/07/2015	23	8.543
3/07/2015	0	8.444
3/07/2015	1	9.46
3/07/2015	2	11.565
3/07/2015	3	11.224
3/07/2015	4	11.273
3/07/2015	5	12.413
3/07/2015	6	12.268
3/07/2015	7	13.233
3/07/2015	8	11.637
3/07/2015	9	11.224
3/07/2015	10	12.171
3/07/2015	11	13.522
3/07/2015	12	13.209
3/07/2015	13	12.389
3/07/2015	14	10.467
3/07/2015	15	9.952
3/07/2015	16	8.593
3/07/2015	17	7.795
3/07/2015	18	7.77
3/07/2015	19	7.343
3/07/2015	20	6.661
3/07/2015	21	6.661
3/07/2015	22	6.102
3/07/2015	23	5.745
4/07/2015	0	5.668
4/07/2015	1	5.821
4/07/2015	2	5.719
4/07/2015	3	5.257
4/07/2015	4	4.584
4/07/2015	5	4.584
4/07/2015	6	4.48
4/07/2015	7	4.506
4/07/2015	8	4.74
4/07/2015	9	5.539
4/07/2015	10	7.142
4/07/2015	11	8.22
4/07/2015	12	8.891
4/07/2015	13	9.435
4/07/2015	14	9.608
4/07/2015	15	9.829
4/07/2015	16	9.509
4/07/2015	17	8.344
4/07/2015	18	7.87
4/07/2015	19	7.945
4/07/2015	20	7.745
4/07/2015	21	7.318
4/07/2015	22	7.469
4/07/2015	23	6.585
5/07/2015	0	5.719
5/07/2015	1	5.205
5/07/2015	2	5.77
5/07/2015	3	6.509
5/07/2015	4	5.796
5/07/2015	5	5.924
5/07/2015	6	8.419
5/07/2015	7	12.364
5/07/2015	8	11.929
5/07/2015	9	11.88
5/07/2015	10	11.953
5/07/2015	11	12.847
5/07/2015	12	14.122
5/07/2015	13	16.177
5/07/2015	14	14.816
5/07/2015	15	14.337
5/07/2015	16	10.687
5/07/2015	17	8.494
5/07/2015	18	8.095
5/07/2015	19	7.895
5/07/2015	20	7.192
5/07/2015	21	7.368
5/07/2015	22	6.737
5/07/2015	23	4.844
6/07/2015	0	2.236
6/07/2015	1	3.906
6/07/2015	2	8.717
6/07/2015	3	6.636
6/07/2015	4	3.722
6/07/2015	5	4.766
6/07/2015	6	5.385
6/07/2015	7	4.818
6/07/2015	8	4.037
6/07/2015	9	3.036
6/07/2015	10	5.231
6/07/2015	11	7.217
6/07/2015	12	8.369
6/07/2015	13	9.188
6/07/2015	14	9.952
6/07/2015	15	10.394
6/07/2015	16	10.345
6/07/2015	17	8.568
6/07/2015	18	6.026
