SowTreat	Cultivar	Block	Plot	MaxSeedlingPerm2	MeanSoilTemp
S1	Antas 	1	1	333.3333333	6.36
S1	Monti	1	2	266.6666667	6.36
S1	Denmark	1	3	166.6666667	6.36
S1	Leura	1	4	233.3333333	6.36
S1	Narrikup	1	5	233.3333333	6.36
S1	Woogenellup	1	6	233.3333333	6.36
S1	Antas 	2	7	200	6.36
S1	Woogenellup	2	8	266.6666667	6.36
S1	Denmark	2	9	200	6.36
S1	Monti	2	10	233.3333333	6.36
S1	Narrikup	2	11	266.6666667	6.36
S1	Leura	2	12	366.6666667	6.36
S1	Woogenellup	3	13	533.3333333	6.36
S1	Antas 	3	14	366.6666667	6.36
S1	Monti	3	15	266.6666667	6.36
S1	Narrikup	3	16	266.6666667	6.36
S1	Denmark	3	17	366.6666667	6.36
S1	Leura	3	18	333.3333333	6.36
S2	Narrikup	1	19	2100	6.96
S2	Monti	1	20	1866.666667	6.96
S2	Woogenellup	1	21	2066.666667	6.96
S2	Leura	1	22	1866.666667	6.96
S2	Denmark	1	23	1700	6.96
S2	Antas 	1	24	1533.333333	6.96
S2	Leura	2	25	1700	6.96
S2	Woogenellup	2	26	1600	6.96
S2	Denmark	2	27	1366.666667	6.96
S2	Narrikup	2	28	1166.666667	6.96
S2	Antas 	2	29	2066.666667	6.96
S2	Monti	2	30	1566.666667	6.96
S2	Denmark	3	31	1666.666667	6.96
S2	Antas 	3	32	2066.666667	6.96
S2	Monti	3	33	966.6666667	6.96
S2	Woogenellup	3	34	1900	6.96
S2	Leura	3	35	1800	6.96
S2	Narrikup	3	36	1533.333333	6.96
S3	Denmark	1	37	1433.333333	10.99
S3	Antas 	1	38	2466.666667	10.99
S3	Woogenellup	1	39	2566.666667	10.99
S3	Leura	1	40	2666.666667	10.99
S3	Narrikup	1	41	2700	10.99
S3	Monti	1	42	2600	10.99
S3	Woogenellup	2	43	2800	10.99
S3	Leura	2	44	2700	10.99
S3	Narrikup	2	45	2833.333333	10.99
S3	Antas 	2	46	2666.666667	10.99
S3	Denmark	2	47	2300	10.99
S3	Monti	2	48	2700	10.99
S3	Leura	3	49	2466.666667	10.99
S3	Woogenellup	3	50	2666.666667	10.99
S3	Antas 	3	51	2900	10.99
S3	Monti	3	52	2833.333333	10.99
S3	Narrikup	3	53	2833.333333	10.99
S3	Denmark	3	54	2333.333333	10.99
S4	Narrikup	1	55	2033.333333	16.4
S4	Antas 	1	56	1966.666667	16.4
S4	Denmark	1	57	1466.666667	16.4
S4	Leura	1	58	2033.333333	16.4
S4	Monti	1	59	1066.666667	16.4
S4	Woogenellup	1	60	1100	16.4
S4	Antas 	2	61	1200	16.4
S4	Woogenellup	2	62	1933.333333	16.4
S4	Narrikup	2	63	1266.666667	16.4
S4	Leura	2	64	1600	16.4
S4	Denmark	2	65	1400	16.4
S4	Monti	2	66	1300	16.4
S4	Leura	3	67	1900	16.4
S4	Monti	3	68	1733.333333	16.4
S4	Narrikup	3	69	1600	16.4
S4	Antas 	3	70	1400	16.4
S4	Woogenellup	3	71	1266.666667	16.4
S4	Denmark	3	72	1266.666667	16.4
S5	Woogenellup	1	73	2300	17.92
S5	Leura	1	74	2300	17.92
S5	Antas 	1	75	2233.333333	17.92
S5	Narrikup	1	76	2166.666667	17.92
S5	Monti	1	77	2333.333333	17.92
S5	Denmark	1	78	1866.666667	17.92
S5	Denmark	2	79	1866.666667	17.92
S5	Monti	2	80	2000	17.92
S5	Leura	2	81	1666.666667	17.92
S5	Woogenellup	2	82	1933.333333	17.92
S5	Antas 	2	83	2033.333333	17.92
S5	Narrikup	2	84	1800	17.92
S5	Leura	3	85	1833.333333	17.92
S5	Antas 	3	86	1966.666667	17.92
S5	Monti	3	87	1800	17.92
S5	Denmark	3	88	2033.333333	17.92
S5	Narrikup	3	89	2166.666667	17.92
S5	Woogenellup	3	90	2100	17.92
S6	Denmark	1	91	1866.666667	19.51
S6	Monti	1	92	1466.666667	19.51
S6	Woogenellup	1	93	1133.333333	19.51
S6	Leura	1	94	1400	19.51
S6	Antas 	1	95	1766.666667	19.51
S6	Narrikup	1	96	1700	19.51
S6	Leura	2	97	1733.333333	19.51
S6	Monti	2	98	2166.666667	19.51
S6	Woogenellup	2	99	1533.333333	19.51
S6	Denmark	2	100	1200	19.51
S6	Narrikup	2	101	1366.666667	19.51
S6	Antas 	2	102	1833.333333	19.51
