"date" "hour" "Air"
"1" 2015-06-30 16 19.151
"2" 2015-06-30 17 12.34
"3" 2015-06-30 18 12.316
"4" 2015-06-30 19 12.364
"5" 2015-06-30 20 12.364
"6" 2015-06-30 21 12.05
"7" 2015-06-30 22 11.929
"8" 2015-06-30 23 11.929
"9" 2015-07-01 0 11.783
"10" 2015-07-01 1 11.783
"11" 2015-07-01 2 11.783
"12" 2015-07-01 3 11.759
"13" 2015-07-01 4 11.492
"14" 2015-07-01 5 11.321
"15" 2015-07-01 6 11.175
"16" 2015-07-01 7 11.029
"17" 2015-07-01 8 11.005
"18" 2015-07-01 9 11.151
"19" 2015-07-01 10 11.613
"20" 2015-07-01 11 12.364
"21" 2015-07-01 12 12.727
"22" 2015-07-01 13 12.968
"23" 2015-07-01 14 13.281
"24" 2015-07-01 16 14.529
"25" 2015-07-01 17 14.457
"26" 2015-07-01 18 14.002
"27" 2015-07-01 19 13.642
"28" 2015-07-01 20 13.425
"29" 2015-07-01 21 13.281
"30" 2015-07-01 22 13.088
"31" 2015-07-01 23 12.558
"32" 2015-07-02 0 12.195
"33" 2015-07-02 1 11.929
"34" 2015-07-02 2 11.734
"35" 2015-07-02 3 11.637
"36" 2015-07-02 4 11.54
"37" 2015-07-02 5 11.394
"38" 2015-07-02 6 11.248
"39" 2015-07-02 7 11.151
"40" 2015-07-02 8 6.535
"41" 2015-07-02 9 7.393
"42" 2015-07-02 10 9.41
"43" 2015-07-02 11 10.712
"44" 2015-07-02 12 11.565
"45" 2015-07-02 13 12.316
"46" 2015-07-02 14 12.63
"47" 2015-07-02 15 12.025
"48" 2015-07-02 16 12.171
"49" 2015-07-02 17 10.59
"50" 2015-07-02 18 10.907
"51" 2015-07-02 19 10.345
"52" 2015-07-02 20 9.534
"53" 2015-07-02 21 9.805
"54" 2015-07-02 22 8.394
"55" 2015-07-02 23 8.543
"56" 2015-07-03 0 8.444
"57" 2015-07-03 1 9.46
"58" 2015-07-03 2 11.565
"59" 2015-07-03 3 11.224
"60" 2015-07-03 4 11.273
"61" 2015-07-03 5 12.413
"62" 2015-07-03 6 12.268
"63" 2015-07-03 7 13.233
"64" 2015-07-03 8 11.637
"65" 2015-07-03 9 11.224
"66" 2015-07-03 10 12.171
"67" 2015-07-03 11 13.522
"68" 2015-07-03 12 13.209
"69" 2015-07-03 13 12.389
"70" 2015-07-03 14 10.467
"71" 2015-07-03 15 9.952
"72" 2015-07-03 16 8.593
"73" 2015-07-03 17 7.795
"74" 2015-07-03 18 7.77
"75" 2015-07-03 19 7.343
"76" 2015-07-03 20 6.661
"77" 2015-07-03 21 6.661
"78" 2015-07-03 22 6.102
"79" 2015-07-03 23 5.745
"80" 2015-07-04 0 5.668
"81" 2015-07-04 1 5.821
"82" 2015-07-04 2 5.719
"83" 2015-07-04 3 5.257
"84" 2015-07-04 4 4.584
"85" 2015-07-04 5 4.584
"86" 2015-07-04 6 4.48
"87" 2015-07-04 7 4.506
"88" 2015-07-04 8 4.74
"89" 2015-07-04 9 5.539
"90" 2015-07-04 10 7.142
"91" 2015-07-04 11 8.22
"92" 2015-07-04 12 8.891
"93" 2015-07-04 13 9.435
"94" 2015-07-04 14 9.608
"95" 2015-07-04 15 9.829
"96" 2015-07-04 16 9.509
"97" 2015-07-04 17 8.344
"98" 2015-07-04 18 7.87
"99" 2015-07-04 19 7.945
"100" 2015-07-04 20 7.745
"101" 2015-07-04 21 7.318
"102" 2015-07-04 22 7.469
"103" 2015-07-04 23 6.585
"104" 2015-07-05 0 5.719
"105" 2015-07-05 1 5.205
"106" 2015-07-05 2 5.77
"107" 2015-07-05 3 6.509
"108" 2015-07-05 4 5.796
"109" 2015-07-05 5 5.924
"110" 2015-07-05 6 8.419
"111" 2015-07-05 7 12.364
"112" 2015-07-05 8 11.929
"113" 2015-07-05 9 11.88
"114" 2015-07-05 10 11.953
"115" 2015-07-05 11 12.847
"116" 2015-07-05 12 14.122
"117" 2015-07-05 13 16.177
"118" 2015-07-05 14 14.816
"119" 2015-07-05 15 14.337
"120" 2015-07-05 16 10.687
"121" 2015-07-05 17 8.494
"122" 2015-07-05 18 8.095
"123" 2015-07-05 19 7.895
"124" 2015-07-05 20 7.192
"125" 2015-07-05 21 7.368
"126" 2015-07-05 22 6.737
"127" 2015-07-05 23 4.844
"128" 2015-07-06 0 2.236
"129" 2015-07-06 1 3.906
"130" 2015-07-06 2 8.717
"131" 2015-07-06 3 6.636
"132" 2015-07-06 4 3.722
"133" 2015-07-06 5 4.766
"134" 2015-07-06 6 5.385
"135" 2015-07-06 7 4.818
"136" 2015-07-06 8 4.037
"137" 2015-07-06 9 3.036
"138" 2015-07-06 10 5.231
"139" 2015-07-06 11 7.217
"140" 2015-07-06 12 8.369
"141" 2015-07-06 13 9.188
"142" 2015-07-06 14 9.952
"143" 2015-07-06 15 10.394
"144" 2015-07-06 16 10.345
"145" 2015-07-06 17 8.568
"146" 2015-07-06 18 6.026
"147" 2015-07-06 19 6.179
"148" 2015-07-06 20 4.376
"149" 2015-07-06 21 2.477
"150" 2015-07-06 22 1.317
"151" 2015-07-06 23 1.099
"152" 2015-07-07 0 0.246
"153" 2015-07-07 1 -0.62
"154" 2015-07-07 2 -0.62
"155" 2015-07-07 3 -0.255
"156" 2015-07-07 4 -0.227
"157" 2015-07-07 5 0.079
"158" 2015-07-07 6 -0.395
"159" 2015-07-07 7 -0.591
"160" 2015-07-07 8 -0.143
"161" 2015-07-07 9 -0.395
"162" 2015-07-07 10 0.797
"163" 2015-07-07 11 4.662
"164" 2015-07-07 12 5.872
"165" 2015-07-07 13 6.433
"166" 2015-07-07 14 7.569
"167" 2015-07-07 15 7.293
"168" 2015-07-07 16 6.611
"169" 2015-07-07 17 3.512
"170" 2015-07-07 18 2.182
"171" 2015-07-07 19 -0.116
"172" 2015-07-07 20 1.262
"173" 2015-07-07 21 1.344
"174" 2015-07-07 22 1.071
"175" 2015-07-07 23 0.495
"176" 2015-07-08 0 0.687
"177" 2015-07-08 1 1.289
"178" 2015-07-08 2 1.615
"179" 2015-07-08 3 1.48
"180" 2015-07-08 4 1.425
"181" 2015-07-08 5 0.66
"182" 2015-07-08 6 0.273
"183" 2015-07-08 7 -0.116
"184" 2015-07-08 8 0.107
"185" 2015-07-08 9 1.561
"186" 2015-07-08 10 3.485
"187" 2015-07-08 11 5.488
"188" 2015-07-08 12 6.102
"189" 2015-07-08 13 6.99
"190" 2015-07-08 14 5.591
