Date	Pp
24/06/2015	10.03173957
25/06/2015	10.033705
26/06/2015	10.03668323
27/06/2015	10.04067231
28/06/2015	10.04566961
29/06/2015	10.05167184
30/06/2015	10.05867507
1/07/2015	10.06667474
2/07/2015	10.07566565
3/07/2015	10.08564202
4/07/2015	10.09659743
5/07/2015	10.10852491
6/07/2015	10.12141691
7/07/2015	10.13526536
8/07/2015	10.15006163
9/07/2015	10.16579661
10/07/2015	10.1824607
11/07/2015	10.20004383
12/07/2015	10.21853551
13/07/2015	10.23792482
14/07/2015	10.25820046
15/07/2015	10.27935076
16/07/2015	10.3013637
17/07/2015	10.32422697
18/07/2015	10.34792794
19/07/2015	10.37245374
20/07/2015	10.39779124
21/07/2015	10.42392711
22/07/2015	10.45084781
23/07/2015	10.47853965
24/07/2015	10.50698881
25/07/2015	10.53618131
26/07/2015	10.56610312
27/07/2015	10.59674011
28/07/2015	10.6280781
29/07/2015	10.66010288
30/07/2015	10.69280023
31/07/2015	10.72615595
1/08/2015	10.76015586
2/08/2015	10.7947858
3/08/2015	10.83003171
4/08/2015	10.86587958
5/08/2015	10.90231551
6/08/2015	10.93932569
7/08/2015	10.97689644
8/08/2015	11.0150142
9/08/2015	11.05366557
10/08/2015	11.09283729
11/08/2015	11.13251626
12/08/2015	11.17268956
13/08/2015	11.21334444
14/08/2015	11.25446833
15/08/2015	11.29604886
16/08/2015	11.33807385
17/08/2015	11.38053132
18/08/2015	11.42340949
19/08/2015	11.46669678
20/08/2015	11.51038183
21/08/2015	11.55445347
22/08/2015	11.59890074
23/08/2015	11.64371289
24/08/2015	11.68887938
25/08/2015	11.73438986
26/08/2015	11.78023418
27/08/2015	11.8264024
28/08/2015	11.87288476
29/08/2015	11.9196717
30/08/2015	11.96675383
31/08/2015	12.01412194
1/09/2015	12.06176701
2/09/2015	12.10968017
3/09/2015	12.1578527
4/09/2015	12.20627607
5/09/2015	12.25494184
6/09/2015	12.30384176
7/09/2015	12.35296767
8/09/2015	12.40231155
9/09/2015	12.45186548
10/09/2015	12.50162165
11/09/2015	12.55157233
12/09/2015	12.60170987
13/09/2015	12.65202672
14/09/2015	12.70251535
15/09/2015	12.75316831
16/09/2015	12.80397817
17/09/2015	12.85493754
18/09/2015	12.90603905
19/09/2015	12.95727533
20/09/2015	13.00863898
21/09/2015	13.06012263
22/09/2015	13.11171884
23/09/2015	13.16342013
24/09/2015	13.21521899
25/09/2015	13.26710782
26/09/2015	13.31907895
27/09/2015	13.3711246
28/09/2015	13.42323691
29/09/2015	13.47540788
30/09/2015	13.52762939
1/10/2015	13.57989316
2/10/2015	13.63219077
3/10/2015	13.68451362
4/10/2015	13.73685293
5/10/2015	13.78919971
6/10/2015	13.84154477
7/10/2015	13.89387868
8/10/2015	13.94619181
9/10/2015	13.99847423
10/10/2015	14.05071579
11/10/2015	14.10290603
12/10/2015	14.15503423
13/10/2015	14.20708935
14/10/2015	14.25906003
15/10/2015	14.31093462
16/10/2015	14.36270109
17/10/2015	14.41434708
18/10/2015	14.46585989
19/10/2015	14.51722641
20/10/2015	14.56843317
21/10/2015	14.61946633
22/10/2015	14.67031161
23/10/2015	14.72095434
24/10/2015	14.77137945
25/10/2015	14.82157143
26/10/2015	14.87151433
27/10/2015	14.9211918
28/10/2015	14.970587
29/10/2015	15.0196827
30/10/2015	15.06846118
31/10/2015	15.11690429
1/11/2015	15.16499345
2/11/2015	15.2127096
3/11/2015	15.26003326
4/11/2015	15.30694449
5/11/2015	15.35342294
6/11/2015	15.39944779
7/11/2015	15.44499785
8/11/2015	15.49005149
9/11/2015	15.53458668
10/11/2015	15.57858103
11/11/2015	15.62201175
12/11/2015	15.66485574
13/11/2015	15.70708953
14/11/2015	15.74868939
15/11/2015	15.78963127
16/11/2015	15.82989089
17/11/2015	15.86944373
18/11/2015	15.90826509
19/11/2015	15.9463301
20/11/2015	15.98361377
21/11/2015	16.02009104
22/11/2015	16.0557368
23/11/2015	16.09052594
24/11/2015	16.12443338
25/11/2015	16.15743417
26/11/2015	16.18950348
27/11/2015	16.22061667
28/11/2015	16.25074936
29/11/2015	16.27987749
30/11/2015	16.30797732
1/12/2015	16.33502555
2/12/2015	16.36099936
3/12/2015	16.38587646
4/12/2015	16.40963514
5/12/2015	16.43225436
6/12/2015	16.45371377
7/12/2015	16.47399381
8/12/2015	16.49307574
9/12/2015	16.51094171
10/12/2015	16.5275748
11/12/2015	16.54295909
12/12/2015	16.5570797
13/12/2015	16.56992286
14/12/2015	16.5814759
15/12/2015	16.59172738
16/12/2015	16.60066705
17/12/2015	16.60828592
18/12/2015	16.61457629
19/12/2015	16.61953178
20/12/2015	16.62314733
21/12/2015	16.62541926
22/12/2015	16.62634523
23/12/2015	16.62592431
24/12/2015	16.62415691
25/12/2015	16.62104486
26/12/2015	16.61659133
27/12/2015	16.61080086
28/12/2015	16.60367935
29/12/2015	16.595234
30/12/2015	16.58547331
31/12/2015	16.57440708
1/01/2016	16.55875523
2/01/2016	16.54479357
3/01/2016	16.52956644
4/01/2016	16.5130886
5/01/2016	16.49537584
6/01/2016	16.47644495
7/01/2016	16.45631366
8/01/2016	16.43500062
9/01/2016	16.41252528
10/01/2016	16.3889079
11/01/2016	16.36416943
12/01/2016	16.3383315
13/01/2016	16.31141633
14/01/2016	16.28344668
15/01/2016	16.25444581
16/01/2016	16.22443737
17/01/2016	16.19344541
18/01/2016	16.16149428
19/01/2016	16.12860858
20/01/2016	16.0948131
21/01/2016	16.06013281
22/01/2016	16.02459275
23/01/2016	15.98821805
24/01/2016	15.9510338
25/01/2016	15.91306509
26/01/2016	15.87433691
27/01/2016	15.83487415
28/01/2016	15.79470154
29/01/2016	15.75384361
30/01/2016	15.71232468
31/01/2016	15.67016881
1/02/2016	15.62739981
2/02/2016	15.58404116
3/02/2016	15.54011602
4/02/2016	15.4956472
5/02/2016	15.45065715
6/02/2016	15.40516796
7/02/2016	15.35920128
8/02/2016	15.31277839
9/02/2016	15.26592013
10/02/2016	15.21864693
11/02/2016	15.17097877
12/02/2016	15.12293518
13/02/2016	15.07453528
14/02/2016	15.02579772
15/02/2016	14.9767407
16/02/2016	14.92738198
17/02/2016	14.87773887
18/02/2016	14.82782824
19/02/2016	14.77766652
20/02/2016	14.7272697
21/02/2016	14.67665333
22/02/2016	14.62583256
23/02/2016	14.5748221
24/02/2016	14.52363627
25/02/2016	14.47228897
26/02/2016	14.42079373
27/02/2016	14.36916368
28/02/2016	14.31741159
29/02/2016	14.26554986
1/03/2016	14.21359054
2/03/2016	14.16154535
3/03/2016	14.10942567
4/03/2016	14.05724259
5/03/2016	14.00500687
6/03/2016	13.952729
7/03/2016	13.90041916
8/03/2016	13.84808731
9/03/2016	13.79574313
10/03/2016	13.74339606
11/03/2016	13.69105532
12/03/2016	13.63872993
13/03/2016	13.58642869
14/03/2016	13.53416022
15/03/2016	13.48193297
16/03/2016	13.42975524
17/03/2016	13.37763516
18/03/2016	13.32558074
19/03/2016	13.27359987
20/03/2016	13.22170033
21/03/2016	13.16988981
22/03/2016	13.1181759
23/03/2016	13.06656615
24/03/2016	13.01506803
25/03/2016	12.96368897
26/03/2016	12.91243637
27/03/2016	12.86131761
28/03/2016	12.81034007
29/03/2016	12.75951111
30/03/2016	12.70883813
31/03/2016	12.65832856
1/04/2016	12.60798983
2/04/2016	12.55782946
3/04/2016	12.507855
4/04/2016	12.4580741
5/04/2016	12.40849447
6/04/2016	12.3591239
7/04/2016	12.30997031
8/04/2016	12.2610417
9/04/2016	12.2123462
10/04/2016	12.16389208
11/04/2016	12.11568773
12/04/2016	12.06774167
13/04/2016	12.02006261
14/04/2016	11.97265939
15/04/2016	11.92554101
16/04/2016	11.87871667
17/04/2016	11.83219571
18/04/2016	11.7859877
19/04/2016	11.74010235
20/04/2016	11.69454959
21/04/2016	11.64933954
22/04/2016	11.60448252
23/04/2016	11.55998906
24/04/2016	11.51586987
25/04/2016	11.47213589
26/04/2016	11.42879826
27/04/2016	11.38586832
28/04/2016	11.34335762
29/04/2016	11.30127792
30/04/2016	11.25964117
1/05/2016	11.21845953
2/05/2016	11.17774534
3/05/2016	11.13751115
4/05/2016	11.09776969
5/05/2016	11.05853385
6/05/2016	11.01981671
7/05/2016	10.98163152
8/05/2016	10.94399166
9/05/2016	10.90691066
10/05/2016	10.8704022
11/05/2016	10.83448006
12/05/2016	10.79915814
13/05/2016	10.76445043
14/05/2016	10.730371
15/05/2016	10.69693399
16/05/2016	10.66415356
17/05/2016	10.63204393
18/05/2016	10.60061931
19/05/2016	10.56989392
20/05/2016	10.53988194
21/05/2016	10.5105975
22/05/2016	10.48205467
23/05/2016	10.4542674
24/05/2016	10.42724955
25/05/2016	10.40101484
26/05/2016	10.37557681
27/05/2016	10.35094883
28/05/2016	10.32714404
29/05/2016	10.30417537
30/05/2016	10.28205545
31/05/2016	10.26079666
1/06/2016	10.24041104
2/06/2016	10.22091031
3/06/2016	10.20230582
4/06/2016	10.18460854
5/06/2016	10.16782901
6/06/2016	10.15197736
7/06/2016	10.13706324
8/06/2016	10.12309583
9/06/2016	10.11008382
10/06/2016	10.09803535
11/06/2016	10.08695804
12/06/2016	10.07685893
13/06/2016	10.06774451
14/06/2016	10.05962063
15/06/2016	10.05249259
16/06/2016	10.046365
17/06/2016	10.0412419
18/06/2016	10.03712664
19/06/2016	10.03402192
20/06/2016	10.03192981
21/06/2016	10.03085169
22/06/2016	10.03078826
23/06/2016	10.03173957
24/06/2016	10.033705
25/06/2016	10.03668323
26/06/2016	10.04067231
27/06/2016	10.04566961
28/06/2016	10.05167184
29/06/2016	10.05867507
30/06/2016	10.06667474
1/07/2016	10.07566565
2/07/2016	10.08564202
3/07/2016	10.09659743
4/07/2016	10.10852491
5/07/2016	10.12141691
6/07/2016	10.13526536
7/07/2016	10.15006163
8/07/2016	10.16579661
9/07/2016	10.1824607
10/07/2016	10.20004383
11/07/2016	10.21853551
12/07/2016	10.23792482
13/07/2016	10.25820046
14/07/2016	10.27935076
15/07/2016	10.3013637
16/07/2016	10.32422697
17/07/2016	10.34792794
18/07/2016	10.37245374
19/07/2016	10.39779124
20/07/2016	10.42392711
21/07/2016	10.45084781
22/07/2016	10.47853965
23/07/2016	10.50698881
24/07/2016	10.53618131
25/07/2016	10.56610312
26/07/2016	10.59674011
27/07/2016	10.6280781
28/07/2016	10.66010288
29/07/2016	10.69280023
30/07/2016	10.72615595
31/07/2016	10.76015586
1/08/2016	10.7947858
2/08/2016	10.83003171
3/08/2016	10.86587958
4/08/2016	10.90231551
5/08/2016	10.93932569
6/08/2016	10.97689644
7/08/2016	11.0150142
8/08/2016	11.05366557
9/08/2016	11.09283729
10/08/2016	11.13251626
11/08/2016	11.17268956
12/08/2016	11.21334444
13/08/2016	11.25446833
14/08/2016	11.29604886
15/08/2016	11.33807385
16/08/2016	11.38053132
17/08/2016	11.42340949
18/08/2016	11.46669678
19/08/2016	11.51038183
20/08/2016	11.55445347
21/08/2016	11.59890074
22/08/2016	11.64371289
23/08/2016	11.68887938
24/08/2016	11.73438986
25/08/2016	11.78023418
26/08/2016	11.8264024
27/08/2016	11.87288476
28/08/2016	11.9196717
29/08/2016	11.96675383
30/08/2016	12.01412194
31/08/2016	12.06176701
1/09/2016	12.10968017
2/09/2016	12.1578527
3/09/2016	12.20627607
4/09/2016	12.25494184
5/09/2016	12.30384176
6/09/2016	12.35296767
7/09/2016	12.40231155
8/09/2016	12.45186548
9/09/2016	12.50162165
10/09/2016	12.55157233
11/09/2016	12.60170987
12/09/2016	12.65202672
13/09/2016	12.70251535
14/09/2016	12.75316831
15/09/2016	12.80397817
16/09/2016	12.85493754
17/09/2016	12.90603905
18/09/2016	12.95727533
19/09/2016	13.00863898
20/09/2016	13.06012263
21/09/2016	13.11171884
22/09/2016	13.16342013
23/09/2016	13.21521899
24/09/2016	13.26710782
25/09/2016	13.31907895
26/09/2016	13.3711246
27/09/2016	13.42323691
28/09/2016	13.47540788
29/09/2016	13.52762939
30/09/2016	13.57989316
1/10/2016	13.63219077
2/10/2016	13.68451362
3/10/2016	13.73685293
4/10/2016	13.78919971
5/10/2016	13.84154477
6/10/2016	13.89387868
7/10/2016	13.94619181
8/10/2016	13.99847423
9/10/2016	14.05071579
10/10/2016	14.10290603
11/10/2016	14.15503423
12/10/2016	14.20708935
13/10/2016	14.25906003
14/10/2016	14.31093462
15/10/2016	14.36270109
16/10/2016	14.41434708
17/10/2016	14.46585989
18/10/2016	14.51722641
19/10/2016	14.56843317
20/10/2016	14.61946633
21/10/2016	14.67031161
22/10/2016	14.72095434
23/10/2016	14.77137945
24/10/2016	14.82157143
25/10/2016	14.87151433
26/10/2016	14.9211918
27/10/2016	14.970587
28/10/2016	15.0196827
29/10/2016	15.06846118
30/10/2016	15.11690429
31/10/2016	15.16499345
1/11/2016	15.2127096
2/11/2016	15.26003326
3/11/2016	15.30694449
4/11/2016	15.35342294
5/11/2016	15.39944779
6/11/2016	15.44499785
7/11/2016	15.49005149
8/11/2016	15.53458668
9/11/2016	15.57858103
10/11/2016	15.62201175
11/11/2016	15.66485574
12/11/2016	15.70708953
13/11/2016	15.74868939
14/11/2016	15.78963127
15/11/2016	15.82989089
16/11/2016	15.86944373
17/11/2016	15.90826509
18/11/2016	15.9463301
19/11/2016	15.98361377
20/11/2016	16.02009104
21/11/2016	16.0557368
22/11/2016	16.09052594
23/11/2016	16.12443338
24/11/2016	16.15743417
25/11/2016	16.18950348
26/11/2016	16.22061667
27/11/2016	16.25074936
28/11/2016	16.27987749
29/11/2016	16.30797732
30/11/2016	16.33502555
1/12/2016	16.36099936
2/12/2016	16.38587646
3/12/2016	16.40963514
4/12/2016	16.43225436
5/12/2016	16.45371377
6/12/2016	16.47399381
7/12/2016	16.49307574
8/12/2016	16.51094171
9/12/2016	16.5275748
10/12/2016	16.54295909
11/12/2016	16.5570797
12/12/2016	16.56992286
13/12/2016	16.5814759
14/12/2016	16.59172738
15/12/2016	16.60066705
16/12/2016	16.60828592
17/12/2016	16.61457629
18/12/2016	16.61953178
19/12/2016	16.62314733
20/12/2016	16.62541926
21/12/2016	16.62634523
22/12/2016	16.62592431
23/12/2016	16.62415691
24/12/2016	16.62104486
25/12/2016	16.61659133
26/12/2016	16.61080086
27/12/2016	16.60367935
28/12/2016	16.595234
29/12/2016	16.58547331
30/12/2016	16.57440708
31/12/2016	16.56204629
1/01/2017	16.55875523
2/01/2017	16.54479357
3/01/2017	16.52956644
4/01/2017	16.5130886
5/01/2017	16.49537584
6/01/2017	16.47644495
7/01/2017	16.45631366
8/01/2017	16.43500062
9/01/2017	16.41252528
10/01/2017	16.3889079
11/01/2017	16.36416943
12/01/2017	16.3383315
13/01/2017	16.31141633
14/01/2017	16.28344668
15/01/2017	16.25444581
16/01/2017	16.22443737
17/01/2017	16.19344541
18/01/2017	16.16149428
19/01/2017	16.12860858
20/01/2017	16.0948131
21/01/2017	16.06013281
22/01/2017	16.02459275
23/01/2017	15.98821805
24/01/2017	15.9510338
25/01/2017	15.91306509
26/01/2017	15.87433691
27/01/2017	15.83487415
28/01/2017	15.79470154
29/01/2017	15.75384361
30/01/2017	15.71232468
31/01/2017	15.67016881
1/02/2017	15.62739981
2/02/2017	15.58404116
3/02/2017	15.54011602
4/02/2017	15.4956472
5/02/2017	15.45065715
6/02/2017	15.40516796
7/02/2017	15.35920128
8/02/2017	15.31277839
9/02/2017	15.26592013
10/02/2017	15.21864693
11/02/2017	15.17097877
12/02/2017	15.12293518
13/02/2017	15.07453528
14/02/2017	15.02579772
15/02/2017	14.9767407
16/02/2017	14.92738198
17/02/2017	14.87773887
18/02/2017	14.82782824
19/02/2017	14.77766652
20/02/2017	14.7272697
21/02/2017	14.67665333
22/02/2017	14.62583256
23/02/2017	14.5748221
24/02/2017	14.52363627
25/02/2017	14.47228897
26/02/2017	14.42079373
27/02/2017	14.36916368
28/02/2017	14.31741159
1/03/2017	14.26554986
2/03/2017	14.21359054
3/03/2017	14.16154535
4/03/2017	14.10942567
5/03/2017	14.05724259
6/03/2017	14.00500687
7/03/2017	13.952729
8/03/2017	13.90041916
9/03/2017	13.84808731
10/03/2017	13.79574313
11/03/2017	13.74339606
12/03/2017	13.69105532
13/03/2017	13.63872993
14/03/2017	13.58642869
15/03/2017	13.53416022
