SowTreat	Cultivar	Block 	Plot	SowingDate	ReadingDate 	DAS 	Sub1	Sub2	Sub3
S1	Antas 	1	1	24/06/2015	28/07/2015	34.00	0	0	1
S1	Monti	1	2	24/06/2015	28/07/2015	34.00	0	0	0
S1	Denmark	1	3	24/06/2015	28/07/2015	34.00	0	0	1
S1	Leura	1	4	24/06/2015	28/07/2015	34.00	0	0	0
S1	Narrikup	1	5	24/06/2015	28/07/2015	34.00	1	0	0
S1	Woogenellup	1	6	24/06/2015	28/07/2015	34.00	0	1	0
S1	Antas 	2	7	24/06/2015	28/07/2015	34.00	0	0	1
S1	Woogenellup	2	8	24/06/2015	28/07/2015	34.00	0	0	0
S1	Denmark	2	9	24/06/2015	28/07/2015	34.00	0	0	0
S1	Monti	2	10	24/06/2015	28/07/2015	34.00	2	1	0
S1	Narrikup	2	11	24/06/2015	28/07/2015	34.00	1	0	1
S1	Leura	2	12	24/06/2015	28/07/2015	34.00	1	1	0
S1	Woogenellup	3	13	24/06/2015	28/07/2015	34.00	1	0	1
S1	Antas 	3	14	24/06/2015	28/07/2015	34.00	0	2	0
S1	Monti	3	15	24/06/2015	28/07/2015	34.00	0	0	1
S1	Narrikup	3	16	24/06/2015	28/07/2015	34.00	0	0	1
S1	Denmark	3	17	24/06/2015	28/07/2015	34.00	0	1	0
S1	Leura	3	18	24/06/2015	28/07/2015	34.00	0	2	1
S2	Narrikup	1	19	28/07/2015	3/08/2015	6.00	0	1	0
S2	Monti	1	20	28/07/2015	3/08/2015	6.00	0	0	0
S2	Woogenellup	1	21	28/07/2015	3/08/2015	6.00	1	0	0
S2	Leura	1	22	28/07/2015	3/08/2015	6.00	0	1	0
S2	Denmark	1	23	28/07/2015	3/08/2015	6.00	0	0	0
S2	Antas 	1	24	28/07/2015	3/08/2015	6.00	0	0	0
S2	Leura	2	25	28/07/2015	3/08/2015	6.00	0	0	0
S2	Woogenellup	2	26	28/07/2015	3/08/2015	6.00	0	0	0
S2	Denmark	2	27	28/07/2015	3/08/2015	6.00	0	0	0
