Exp	Date	Tx	Tm	Pp
Poukawa	19/02/2016	29.3	19.8	14.48881308
Poukawa	20/02/2016	27.4	11.9	14.44539602
Poukawa	21/02/2016	29	11.1	14.40176761
Poukawa	22/02/2016	23.2	17.4	14.35794126
Poukawa	23/02/2016	29	14.9	14.31393008
Poukawa	24/02/2016	26.4	13	14.26974685
Poukawa	25/02/2016	30.5	12.6	14.22540403
Poukawa	26/02/2016	31.6	15.5	14.18091377
Poukawa	27/02/2016	28.5	14.9	14.13628791
Poukawa	28/02/2016	28.9	16	14.09153801
Poukawa	29/02/2016	24.4	20.8	14.04667531
Poukawa	1/03/2016	18.4	13.3	14.00171078
Poukawa	2/03/2016	19.3	13.4	13.95665512
Poukawa	3/03/2016	21.1	8.8	13.91151874
Poukawa	4/03/2016	27.8	9.7	13.86631183
Poukawa	5/03/2016	26.7	11.3	13.82104428
Poukawa	6/03/2016	28.1	12.6	13.77572577
Poukawa	7/03/2016	31.1	12.6	13.73036574
Poukawa	8/03/2016	33.1	13.8	13.68497341
Poukawa	9/03/2016	21.6	15.5	13.63955779
Poukawa	10/03/2016	32.8	11	13.59412768
Poukawa	11/03/2016	17.8	15.5	13.54869169
Poukawa	12/03/2016	18.3	11.2	13.50325824
Poukawa	13/03/2016	24.6	5.3	13.4578356
Poukawa	14/03/2016	20.5	9.4	13.41243186
Poukawa	15/03/2016	27.9	14.6	13.36705496
Poukawa	16/03/2016	19.2	15.4	13.32171272
Poukawa	17/03/2016	15.4	11.9	13.27641279
Poukawa	18/03/2016	20.5	12.5	13.23116275
Poukawa	19/03/2016	22.5	15.4	13.18597004
Poukawa	20/03/2016	23.1	13.2	13.140842
Poukawa	21/03/2016	24.5	12.8	13.0957859
Poukawa	22/03/2016	24.1	13.2	13.05080891
Poukawa	23/03/2016	23.8	17.4	13.00591817
Poukawa	24/03/2016	22	19.3	12.96112073
Poukawa	25/03/2016	19.7	16.3	12.9164236
Poukawa	26/03/2016	17.7	14.6	12.87183376
Poukawa	27/03/2016	22	13.4	12.82735817
Poukawa	28/03/2016	26.1	10.2	12.78300376
Poukawa	29/03/2016	23	12.8	12.73877746
Poukawa	30/03/2016	21.7	11.7	12.69468621
Poukawa	31/03/2016	20.3	13	12.65073694
Poukawa	1/04/2016	20.7	10.6	12.60693663
Poukawa	2/04/2016	23.4	12.5	12.56329228
Poukawa	3/04/2016	27.7	16.2	12.51981091
Poukawa	4/04/2016	19.4	15.9	12.47649962
Poukawa	5/04/2016	18.3	11.7	12.43336555
Poukawa	6/04/2016	19.3	8	12.39041591
Poukawa	7/04/2016	20.7	5	12.34765798
Poukawa	8/04/2016	24.3	9	12.30509912
Poukawa	9/04/2016	17.8	13.1	12.26274679
Poukawa	10/04/2016	19.6	14.5	12.22060851
Poukawa	11/04/2016	23.8	13	12.17869196
Poukawa	12/04/2016	25.6	11	12.13700487
Poukawa	13/04/2016	18.9	13	12.09555513
Poukawa	14/04/2016	18.7	5.2	12.05435072
Poukawa	15/04/2016	20.5	3.9	12.01339976
Poukawa	16/04/2016	19.4	4.6	11.97271051
Poukawa	17/04/2016	19.6	7.1	11.93229134
Poukawa	18/04/2016	19.8	11	11.89215079
Poukawa	19/04/2016	19.8	9.7	11.85229752
Poukawa	20/04/2016	20.6	3.7	11.81274036
Poukawa	21/04/2016	19	5.9	11.77348826
Poukawa	22/04/2016	18.9	5.5	11.73455036
Poukawa	23/04/2016	23.4	6.2	11.69593592
Poukawa	24/04/2016	17.1	11.4	11.65765437
Poukawa	25/04/2016	20.4	3.9	11.61971532
Poukawa	26/04/2016	23.2	3.8	11.58212849
Poukawa	27/04/2016	19.4	5.4	11.54490378
Poukawa	28/04/2016	19	5.5	11.50805127
Poukawa	29/04/2016	24.3	3.9	11.47158115
Poukawa	30/04/2016	17.4	6.3	11.43550379
Poukawa	1/05/2016	23.2	4.8	11.3998297
Poukawa	2/05/2016	24.9	6.3	11.36456953
Poukawa	3/05/2016	24.3	7.3	11.32973409
Poukawa	4/05/2016	23.9	9.4	11.29533429
Poukawa	5/05/2016	22.9	9.1	11.26138122
Poukawa	6/05/2016	18.5	13.6	11.22788604
Poukawa	7/05/2016	20.7	12.4	11.19486006
Poukawa	8/05/2016	19.5	12.3	11.1623147
Poukawa	9/05/2016	24.2	8.4	11.13026146
Poukawa	10/05/2016	18.1	10	11.09871194
Poukawa	11/05/2016	23.8	9.5	11.06767783
Poukawa	12/05/2016	22.5	17.4	11.03717088
Poukawa	13/05/2016	24.6	13.8	11.00720289
Poukawa	14/05/2016	23.8	12.5	10.97778572
Poukawa	15/05/2016	23.3	9.3	10.94893126
Poukawa	16/05/2016	22.8	10.3	10.92065141
Poukawa	17/05/2016	15.6	10.3	10.89295808
Poukawa	18/05/2016	18	1.9	10.86586317
Poukawa	19/05/2016	19.9	6.9	10.83937856
Poukawa	20/05/2016	22.5	10	10.81351607
Poukawa	21/05/2016	18.9	8.4	10.78828748
Poukawa	22/05/2016	18.1	4.2	10.76370448
Poukawa	23/05/2016	14.8	0.5	10.73977868
Poukawa	24/05/2016	17.8	3.5	10.71652155
Poukawa	25/05/2016	18.4	6.9	10.69394445
Poukawa	26/05/2016	20.1	8.1	10.6720586
Poukawa	27/05/2016	19.5	7.2	10.65087502
Poukawa	28/05/2016	20.3	9.6	10.63040456
Poukawa	29/05/2016	20.3	12.2	10.61065786
Poukawa	30/05/2016	16.6	6.9	10.59164533
Poukawa	31/05/2016	13.1	4.2	10.57337713
Poukawa	1/06/2016	12.9	5.9	10.55586315
Poukawa	2/06/2016	13.6	2.1	10.539113
Poukawa	3/06/2016	15.6	-1	10.52313598
Poukawa	4/06/2016	15.7	-1.6	10.50794105
Poukawa	5/06/2016	16	-1.6	10.49353685
Poukawa	6/06/2016	15.1	-1.6	10.47993164
Poukawa	7/06/2016	13.6	1.2	10.4671333
Poukawa	8/06/2016	15.2	-0.7	10.45514932
Poukawa	9/06/2016	18.8	2.3	10.44398678
Poukawa	10/06/2016	24.4	12.9	10.4336523
Poukawa	11/06/2016	23.2	12.4	10.42415208
Poukawa	12/06/2016	19.5	1.2	10.41549185
Poukawa	13/06/2016	13.7	3.9	10.40767688
Poukawa	14/06/2016	15.4	-2.3	10.40071194
Poukawa	15/06/2016	19.9	-0.5	10.39460131
Poukawa	16/06/2016	18.3	1.8	10.38934875
Poukawa	17/06/2016	17.6	3.7	10.38495751
Poukawa	18/06/2016	16.7	-0.3	10.38143033
Poukawa	19/06/2016	19	-0.6	10.37876941
Poukawa	20/06/2016	15.4	2.9	10.3769764
Poukawa	21/06/2016	18	5.8	10.37605243
Poukawa	22/06/2016	19	7	10.37599807
Poukawa	23/06/2016	21.5	14.1	10.37681336
Poukawa	24/06/2016	19.8	9.6	10.37849779
Poukawa	25/06/2016	12.7	1.6	10.3810503
Poukawa	26/06/2016	18.7	2.9	10.38446931
Poukawa	27/06/2016	13	6.1	10.38875268
Poukawa	28/06/2016	19.3	3.3	10.39389774
Poukawa	29/06/2016	11.7	6	10.39990131
Poukawa	30/06/2016	11.6	9.1	10.40675969
Poukawa	1/07/2016	11.1	6	10.41446865
Poukawa	2/07/2016	14.5	-2.8	10.4230235
Poukawa	3/07/2016	17.9	-1.2	10.43241902
Poukawa	4/07/2016	16.1	-1.3	10.44264955
Poukawa	5/07/2016	17.6	1.2	10.45370894
Poukawa	6/07/2016	16.2	5	10.46559062
Poukawa	7/07/2016	14	5.6	10.47828756
Poukawa	8/07/2016	12.7	7.2	10.49179234
Poukawa	9/07/2016	10.8	8.2	10.50609711
Poukawa	10/07/2016	12.7	5.9	10.52119366
Poukawa	11/07/2016	12.5	6.3	10.5370734
Poukawa	12/07/2016	13.6	5.9	10.55372742
Poukawa	13/07/2016	12.9	-0.7	10.57114644
Poukawa	14/07/2016	15.2	2.1	10.58932089
Poukawa	15/07/2016	17.6	6.2	10.60824093
Poukawa	16/07/2016	15.4	1.9	10.62789643
Poukawa	17/07/2016	16.3	-0.4	10.64827699
Poukawa	18/07/2016	11.8	5.5	10.66937202
Poukawa	19/07/2016	13.4	-0.5	10.69117069
Poukawa	20/07/2016	15.8	1.4	10.71366199
Poukawa	21/07/2016	15	4.2	10.73683473
Poukawa	22/07/2016	17	-1.3	10.76067758
Poukawa	23/07/2016	21.4	0.4	10.78517906
Poukawa	24/07/2016	18.7	13.5	10.81032759
Poukawa	25/07/2016	15.7	9	10.83611148
Poukawa	26/07/2016	15	4.3	10.86251898
Poukawa	27/07/2016	19.2	0.9	10.88953824
Poukawa	28/07/2016	18.9	7.1	10.91715742
Poukawa	29/07/2016	15.4	7	10.94536461
Poukawa	30/07/2016	17.4	-0.3	10.97414789
Poukawa	31/07/2016	12.9	4.6	11.00349538
Poukawa	1/08/2016	17.6	3.3	11.03339516
Poukawa	2/08/2016	14	7.6	11.06383539
Poukawa	3/08/2016	19	3	11.09480425
Poukawa	4/08/2016	14.3	3.1	11.12628998
Poukawa	5/08/2016	10.5	6.4	11.15828089
Poukawa	6/08/2016	8.5	6.3	11.19076537
Poukawa	7/08/2016	8.6	4.9	11.2237319
Poukawa	8/08/2016	10	1.7	11.25716905
Poukawa	9/08/2016	11.6	4.1	11.2910655
Poukawa	10/08/2016	11.6	4.2	11.32541006
Poukawa	11/08/2016	13	5.2	11.36019165
Poukawa	12/08/2016	15.9	1.7	11.39539932
Poukawa	13/08/2016	16.1	5.3	11.43102226
Poukawa	14/08/2016	17.8	3	11.46704979
Poukawa	15/08/2016	16.2	1.2	11.50347138
Poukawa	16/08/2016	16.3	2.5	11.54027666
Poukawa	17/08/2016	14.2	0.5	11.57745539
Poukawa	18/08/2016	12.6	-0.6	11.6149975
