Country	LocationYear	Date	DOY	Tx	Tm	MeanTt	Pp
NZ	Iversen2_2015	24/06/2015	175	7.30	-1.80	2.75	10.03173957
NZ	Iversen2_2015	25/06/2015	176	6.90	-3.90	1.50	10.033705
NZ	Iversen2_2015	26/06/2015	177	12.80	-0.70	6.05	10.03668323
NZ	Iversen2_2015	27/06/2015	178	17.40	-1.30	8.05	10.04067231
NZ	Iversen2_2015	28/06/2015	179	10.30	-1.70	4.30	10.04566961
NZ	Iversen2_2015	29/06/2015	180	17.30	3.70	10.50	10.05167184
NZ	Iversen2_2015	30/06/2015	181	18.50	1.30	9.90	10.05867507
NZ	Iversen2_2015	1/07/2015	182	14.70	6.40	10.55	10.06667474
NZ	Iversen2_2015	2/07/2015	183	12.63	6.54	9.58	10.07566565
NZ	Iversen2_2015	3/07/2015	184	13.52	5.67	9.60	10.08564202
NZ	Iversen2_2015	4/07/2015	185	9.83	4.48	7.15	10.09659743
NZ	Iversen2_2015	5/07/2015	186	16.18	2.24	9.21	10.10852491
NZ	Iversen2_2015	6/07/2015	187	10.39	0.25	5.32	10.12141691
NZ	Iversen2_2015	7/07/2015	188	7.57	-0.62	3.47	10.13526536
NZ	Iversen2_2015	8/07/2015	189	6.99	-0.12	3.44	10.15006163
NZ	Iversen2_2015	9/07/2015	190	6.36	2.93	4.64	10.16579661
NZ	Iversen2_2015	10/07/2015	191	7.75	-1.47	3.14	10.1824607
NZ	Iversen2_2015	11/07/2015	192	7.42	-3.96	1.73	10.20004383
NZ	Iversen2_2015	12/07/2015	193	8.00	-4.65	1.67	10.21853551
NZ	Iversen2_2015	13/07/2015	194	9.76	-3.12	3.32	10.23792482
NZ	Iversen2_2015	14/07/2015	195	12.05	4.74	8.40	10.25820046
NZ	Iversen2_2015	15/07/2015	196	13.67	8.89	11.28	10.27935076
NZ	Iversen2_2015	16/07/2015	197	10.30	5.33	7.82	10.3013637
NZ	Iversen2_2015	17/07/2015	198	9.71	2.32	6.01	10.32422697
NZ	Iversen2_2015	18/07/2015	199	7.17	3.43	5.30	10.34792794
NZ	Iversen2_2015	19/07/2015	200	9.19	1.07	5.13	10.37245374
NZ	Iversen2_2015	20/07/2015	201	9.06	-0.48	4.29	10.39779124
NZ	Iversen2_2015	21/07/2015	202	12.51	-0.87	5.82	10.42392711
NZ	Iversen2_2015	22/07/2015	203	14.15	1.64	7.89	10.45084781
NZ	Iversen2_2015	23/07/2015	204	12.15	3.25	7.70	10.47853965
NZ	Iversen2_2015	24/07/2015	205	13.55	3.20	8.37	10.50698881
NZ	Iversen2_2015	25/07/2015	206	11.25	8.67	9.96	10.53618131
NZ	Iversen2_2015	26/07/2015	207	19.25	9.24	14.24	10.56610312
NZ	Iversen2_2015	27/07/2015	208	16.27	5.98	11.12	10.59674011
NZ	Iversen2_2015	28/07/2015	209	13.28	4.27	8.78	10.6280781
NZ	Iversen2_2015	29/07/2015	210	10.76	2.34	6.55	10.66010288
NZ	Iversen2_2015	30/07/2015	211	10.03	-0.93	4.55	10.69280023
NZ	Iversen2_2015	31/07/2015	212	11.54	1.62	6.58	10.72615595
NZ	Iversen2_2015	1/08/2015	213	12.51	6.15	9.33	10.76015586
NZ	Iversen2_2015	2/08/2015	214	18.20	5.92	12.06	10.7947858
NZ	Iversen2_2015	3/08/2015	215	20.25	5.23	12.74	10.83003171
NZ	Iversen2_2015	4/08/2015	216	18.37	2.98	10.67	10.86587958
NZ	Iversen2_2015	5/08/2015	217	11.35	0.69	6.02	10.90231551
NZ	Iversen2_2015	6/08/2015	218	12.58	0.50	6.54	10.93932569
NZ	Iversen2_2015	7/08/2015	219	10.42	0.27	5.35	10.97689644
NZ	Iversen2_2015	8/08/2015	220	8.89	0.91	4.90	11.0150142
NZ	Iversen2_2015	9/08/2015	221	6.13	-1.73	2.20	11.05366557
NZ	Iversen2_2015	10/08/2015	222	6.91	0.72	3.81	11.09283729
NZ	Iversen2_2015	11/08/2015	223	8.79	-0.20	4.30	11.13251626
NZ	Iversen2_2015	12/08/2015	224	7.67	1.62	4.64	11.17268956
NZ	Iversen2_2015	13/08/2015	225	12.32	5.92	9.12	11.21334444
NZ	Iversen2_2015	14/08/2015	226	11.15	9.53	10.34	11.25446833
NZ	Iversen2_2015	15/08/2015	227	12.15	9.61	10.88	11.29604886
NZ	Iversen2_2015	16/08/2015	228	10.20	5.00	7.60	11.33807385
NZ	Iversen2_2015	17/08/2015	229	12.61	1.48	7.04	11.38053132
NZ	Iversen2_2015	18/08/2015	230	15.65	8.20	11.92	11.42340949
NZ	Iversen2_2015	19/08/2015	231	13.45	5.46	9.46	11.46669678
NZ	Iversen2_2015	20/08/2015	232	11.30	0.50	5.90	11.51038183
NZ	Iversen2_2015	21/08/2015	233	12.27	-1.84	5.21	11.55445347
NZ	Iversen2_2015	22/08/2015	234	11.73	1.78	6.76	11.59890074
NZ	Iversen2_2015	23/08/2015	235	15.13	-1.21	6.96	11.64371289
NZ	Iversen2_2015	24/08/2015	236	14.94	3.12	9.03	11.68887938
NZ	Iversen2_2015	25/08/2015	237	8.79	1.59	5.19	11.73438986
NZ	Iversen2_2015	26/08/2015	238	10.83	1.40	6.12	11.78023418
NZ	Iversen2_2015	27/08/2015	239	11.49	1.04	6.27	11.8264024
NZ	Iversen2_2015	28/08/2015	240	7.42	-0.93	3.24	11.87288476
NZ	Iversen2_2015	29/08/2015	241	12.34	3.85	8.10	11.9196717
NZ	Iversen2_2015	30/08/2015	242	9.16	3.91	6.53	11.96675383
NZ	Iversen2_2015	31/08/2015	243	8.00	4.12	6.06	12.01412194
NZ	Iversen2_2015	1/09/2015	244	9.61	2.72	6.16	12.06176701
NZ	Iversen2_2015	2/09/2015	245	17.03	6.66	11.85	12.10968017
NZ	Iversen2_2015	3/09/2015	246	10.59	5.08	7.83	12.1578527
NZ	Iversen2_2015	4/09/2015	247	9.58	3.70	6.64	12.20627607
NZ	Iversen2_2015	5/09/2015	248	16.11	3.27	9.69	12.25494184
NZ	Iversen2_2015	6/09/2015	249	9.78	1.24	5.51	12.30384176
NZ	Iversen2_2015	7/09/2015	250	10.17	1.64	5.91	12.35296767
NZ	Iversen2_2015	8/09/2015	251	11.37	-1.47	4.95	12.40231155
NZ	Iversen2_2015	9/09/2015	252	12.63	-0.85	5.89	12.45186548
NZ	Iversen2_2015	10/09/2015	253	19.58	4.48	12.03	12.50162165
NZ	Iversen2_2015	11/09/2015	254	12.05	1.67	6.86	12.55157233
NZ	Iversen2_2015	12/09/2015	255	11.86	2.56	7.21	12.60170987
NZ	Iversen2_2015	13/09/2015	256	12.85	3.33	8.09	12.65202672
NZ	Iversen2_2015	14/09/2015	257	11.37	4.56	7.96	12.70251535
NZ	Iversen2_2015	15/09/2015	258	21.63	7.27	14.45	12.75316831
NZ	Iversen2_2015	16/09/2015	259	21.49	8.94	15.21	12.80397817
NZ	Iversen2_2015	17/09/2015	260	20.13	9.71	14.92	12.85493754
NZ	Iversen2_2015	18/09/2015	261	16.92	7.22	12.07	12.90603905
NZ	Iversen2_2015	19/09/2015	262	9.26	5.44	7.35	12.95727533
NZ	Iversen2_2015	20/09/2015	263	8.84	4.64	6.74	13.00863898
NZ	Iversen2_2015	21/09/2015	264	9.29	1.99	5.64	13.06012263
NZ	Iversen2_2015	22/09/2015	265	9.73	0.52	5.13	13.11171884
NZ	Iversen2_2015	23/09/2015	266	12.20	7.90	10.05	13.16342013
NZ	Iversen2_2015	24/09/2015	267	10.91	6.33	8.62	13.21521899
NZ	Iversen2_2015	25/09/2015	268	11.73	1.94	6.84	13.26710782
NZ	Iversen2_2015	26/09/2015	269	11.22	6.13	8.68	13.31907895
NZ	Iversen2_2015	27/09/2015	270	11.37	4.01	7.69	13.3711246
NZ	Iversen2_2015	28/09/2015	271	12.92	0.47	6.69	13.42323691
NZ	Iversen2_2015	29/09/2015	272	14.58	8.25	11.41	13.47540788
NZ	Iversen2_2015	30/09/2015	273	15.65	8.54	12.10	13.52762939
NZ	Iversen2_2015	1/10/2015	274	21.41	8.25	14.83	13.57989316
NZ	Iversen2_2015	2/10/2015	275	20.13	4.53	12.33	13.63219077
NZ	Iversen2_2015	3/10/2015	276	15.06	5.82	10.44	13.68451362
NZ	Iversen2_2015	4/10/2015	277	22.92	12.20	17.56	13.73685293
NZ	Iversen2_2015	5/10/2015	278	14.60	8.54	11.57	13.78919971
NZ	Iversen2_2015	6/10/2015	279	25.60	6.00	15.80	13.84154477
NZ	Iversen2_2015	7/10/2015	280	25.89	13.47	19.68	13.89387868
NZ	Iversen2_2015	8/10/2015	281	13.23	4.04	8.64	13.94619181
NZ	Iversen2_2015	9/10/2015	282	15.61	2.74	9.17	13.99847423
NZ	Iversen2_2015	10/10/2015	283	16.73	4.61	10.67	14.05071579
NZ	Iversen2_2015	11/10/2015	284	21.75	6.03	13.89	14.10290603
NZ	Iversen2_2015	12/10/2015	285	23.04	6.71	14.88	14.15503423
NZ	Iversen2_2015	13/10/2015	286	14.41	7.12	10.76	14.20708935
NZ	Iversen2_2015	14/10/2015	287	15.10	6.36	10.73	14.25906003
NZ	Iversen2_2015	15/10/2015	288	15.15	5.44	10.29	14.31093462
NZ	Iversen2_2015	16/10/2015	289	24.90	8.77	16.83	14.36270109
