indexLocCult	SensGroup
Condobolin1986_Nungarin	Early
Condobolin1986_SeatonPark	Early
Condobolin1986_Dalkeith	Early
Katanning1990_Nungarin	Early
Katanning1990_Dalkeith	Early
Katanning1990_Trikkala	Early
Katanning1990_Woogenellup	Late
Katanning1990_Karridale	Late
Katanning1990_MtBarker	Late
Katanning1990_Larisa	Late
Katanning1990_Meteora	Late
Launceston1987_Nungarin	Early
Launceston1987_Dalkeith	Early
Launceston1987_Trikkala	Early
Launceston1987_Woogenellup	Late
Launceston1987_MtBarker	Late
Launceston1987_Karridale	Late
Launceston1987_Larisa	Late
Launceston1987_Meteora	Late
Melbourne1969_MtBarker	Late
