LocationYear	AuthorYear 	YearExperiment	Location	Country	Treatcultivar	SowingDate	StartFlowering	DaysToFlower 	FlowerPercent
Crowmwell1965	Smetham1968	1965	Cromwell	NZ	Dwang	17/02/1965	30/09/1965	225.0	50.00
Crowmwell1965	Smetham1968	1965	Cromwell	NZ	Geraldton	17/02/1965	30/09/1965	225.0	50.00
Crowmwell1965	Smetham1968	1965	Cromwell	NZ	Yarloop	17/02/1965	30/09/1965	225.0	50.00
Crowmwell1965	Smetham1968	1965	Cromwell	NZ	Burrelmedic	17/02/1965	30/09/1965	225.0	50.00
Crowmwell1965	Smetham1968	1965	Cromwell	NZ	Woogenellup	17/02/1965	15/10/1965	240.0	50.00
Crowmwell1965	Smetham1968	1965	Cromwell	NZ	Clare	17/02/1965	15/10/1965	240.0	50.00
Crowmwell1965	Smetham1968	1965	Cromwell	NZ	MtBarker	17/02/1965	22/10/1965	247.0	50.00
Crowmwell1965	Smetham1968	1965	Cromwell	NZ	EdenHope	17/02/1965	22/10/1965	247.0	50.00
Crowmwell1965	Smetham1968	1965	Cromwell	NZ	BacchusM	17/02/1965	22/10/1965	247.0	50.00
Crowmwell1965	Smetham1968	1965	Cromwell	NZ	Kilmore	17/02/1965	22/10/1965	247.0	50.00
Crowmwell1965	Smetham1968	1965	Cromwell	NZ	Nangeela	17/02/1965	30/10/1965	255.0	50.00
Crowmwell1965	Smetham1968	1965	Cromwell	NZ	Derrinal	17/02/1965	30/10/1965	255.0	50.00
Crowmwell1965	Smetham1968	1965	Cromwell	NZ	Wenigup	17/02/1965	30/10/1965	255.0	50.00
Crowmwell1965	Smetham1968	1965	Cromwell	NZ	TallarookvsWenig	17/02/1965	30/10/1965	255.0	50.00
Crowmwell1965	Smetham1968	1965	Cromwell	NZ	Boomerang	17/02/1965	30/10/1965	255.0	50.00
Crowmwell1965	Smetham1968	1965	Cromwell	NZ	Portugal294	17/02/1965	30/10/1965	255.0	50.00
Crowmwell1965	Smetham1968	1965	Cromwell	NZ	Bena	17/02/1965	15/11/1965	271.0	50.00
Crowmwell1965	Smetham1968	1965	Cromwell	NZ	Tallarook	17/02/1965	15/11/1965	271.0	50.00
NA	Aitken1955	1952	Melbourne	AU	Dwang	8/04/1952	16/09/1952	162	NA
NA	Aitken1955	1952	Melbourne	AU	Yarloop	8/04/1952	4/10/1952	179	NA
NA	Aitken1955	1952	Melbourne	AU	Clare	8/04/1952	6/10/1952	182	NA
NA	Aitken1955	1952	Melbourne	AU	BacchusM	8/04/1952	15/10/1952	191	NA
NA	Aitken1955	1952	Melbourne	AU	MtBarker	8/04/1952	3/11/1952	209	NA
NA	Aitken1955	1952	Melbourne	AU	Tallarook	8/04/1952	3/11/1952	209	NA
Launceston1987	Evansetal1992	1987	Launceston	AU	Nungarin	3/05/1987	9/09/1987	129	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Dalkeith	3/05/1987	15/09/1987	135	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Trikkala	3/05/1987	21/09/1987	141	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Woogenellup	3/05/1987	25/09/1987	145	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Karridale	3/05/1987	4/10/1987	154	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Larisa	3/05/1987	8/10/1987	158	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Meteora	3/05/1987	14/10/1987	164	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	MtBarker	3/05/1987	4/10/1987	154	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Nungarin	3/05/1990	11/08/1990	100	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Dalkeith	3/05/1990	4/09/1990	124	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Trikkala	3/05/1990	6/09/1990	126	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Woogenellup	3/05/1990	13/09/1990	133	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Karridale	3/05/1990	29/09/1990	149	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Larisa	3/05/1990	4/10/1990	154	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Meteora	3/05/1990	8/10/1990	158	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	MtBarker	3/05/1990	30/09/1990	150	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Nungarin	3/06/1987	18/09/1987	107	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Dalkeith	3/06/1987	27/09/1987	116	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Trikkala	3/06/1987	6/10/1987	125	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Woogenellup	3/06/1987	4/10/1987	123	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Karridale	3/06/1987	20/10/1987	139	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Larisa	3/06/1987	22/10/1987	141	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Meteora	3/06/1987	27/10/1987	146	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	MtBarker	3/06/1987	20/10/1987	139	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Nungarin	3/06/1990	7/09/1990	96	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Dalkeith	3/06/1990	9/09/1990	98	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Trikkala	3/06/1990	13/09/1990	102	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Woogenellup	3/06/1990	30/09/1990	119	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Karridale	3/06/1990	5/10/1990	124	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Larisa	3/06/1990	12/10/1990	131	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Meteora	3/06/1990	15/10/1990	134	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	MtBarker	3/06/1990	6/10/1990	125	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Nungarin	3/07/1987	3/10/1987	92	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Dalkeith	3/07/1987	8/10/1987	97	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Trikkala	3/07/1987	17/10/1987	106	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Woogenellup	3/07/1987	20/10/1987	109	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Karridale	3/07/1987	30/10/1987	119	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Larisa	3/07/1987	2/11/1987	122	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Meteora	3/07/1987	5/11/1987	125	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	MtBarker	3/07/1987	2/11/1987	122	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Nungarin	3/06/1990	16/08/1990	74	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Dalkeith	3/06/1990	29/08/1990	87	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Trikkala	3/06/1990	28/08/1990	86	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Woogenellup	3/06/1990	10/09/1990	99	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Karridale	3/06/1990	18/09/1990	107	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Larisa	3/06/1990	22/09/1990	111	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Meteora	3/06/1990	26/09/1990	115	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	MtBarker	3/06/1990	21/09/1990	110	50.00
