Country	LocationYear	Date	Tx	Tm	Pp
NZ	Crowmwell1965	16/12/1964	24.4	13.2	16.86
NZ	Crowmwell1965	17/12/1964	27.6	15.3	16.87
NZ	Crowmwell1965	18/12/1964	28.2	13.2	16.87
NZ	Crowmwell1965	19/12/1964	20.7	10.2	16.87
NZ	Crowmwell1965	20/12/1964	22.4	9.8	16.88
NZ	Crowmwell1965	21/12/1964	16.1	9.7	16.88
NZ	Crowmwell1965	22/12/1964	16.4	6.1	16.88
NZ	Crowmwell1965	23/12/1964	23.8	9.4	16.88
NZ	Crowmwell1965	24/12/1964	20	5.9	16.87
NZ	Crowmwell1965	25/12/1964	26.7	10.2	16.87
NZ	Crowmwell1965	26/12/1964	29.4	13.3	16.86
NZ	Crowmwell1965	27/12/1964	28.5	16.1	16.85
NZ	Crowmwell1965	28/12/1964	27.2	14.6	16.84
NZ	Crowmwell1965	29/12/1964	28.2	14.4	16.83
NZ	Crowmwell1965	30/12/1964	31.8	12.6	16.82
NZ	Crowmwell1965	31/12/1964	28.4	17.7	16.81
NZ	Crowmwell1965	1/01/1965	25	11.2	16.81
NZ	Crowmwell1965	2/01/1965	23.3	9.6	16.79
NZ	Crowmwell1965	3/01/1965	27.7	14.7	16.77
NZ	Crowmwell1965	4/01/1965	26.6	13.4	16.76
NZ	Crowmwell1965	5/01/1965	24.6	10.3	16.74
NZ	Crowmwell1965	6/01/1965	21.6	11.4	16.72
NZ	Crowmwell1965	7/01/1965	22.4	9	16.69
NZ	Crowmwell1965	8/01/1965	12.6	9	16.67
NZ	Crowmwell1965	9/01/1965	19	11	16.65
NZ	Crowmwell1965	10/01/1965	24.9	13.6	16.62
NZ	Crowmwell1965	11/01/1965	26.1	12.5	16.6
NZ	Crowmwell1965	12/01/1965	25	14	16.57
NZ	Crowmwell1965	13/01/1965	25.6	15.4	16.54
NZ	Crowmwell1965	14/01/1965	23.8	12	16.51
NZ	Crowmwell1965	15/01/1965	23.6	16.1	16.48
NZ	Crowmwell1965	16/01/1965	20.3	12	16.45
NZ	Crowmwell1965	17/01/1965	27.2	15.2	16.41
NZ	Crowmwell1965	18/01/1965	30.1	15.3	16.38
NZ	Crowmwell1965	19/01/1965	32.5	12.8	16.34
NZ	Crowmwell1965	20/01/1965	30.6	18.8	16.31
NZ	Crowmwell1965	21/01/1965	27.2	12.8	16.27
NZ	Crowmwell1965	22/01/1965	13.4	9.1	16.23
NZ	Crowmwell1965	23/01/1965	16.6	9.4	16.19
NZ	Crowmwell1965	24/01/1965	18.4	5.6	16.15
NZ	Crowmwell1965	25/01/1965	17.3	6.4	16.11
NZ	Crowmwell1965	26/01/1965	19.7	10.6	16.07
NZ	Crowmwell1965	27/01/1965	19.4	11.7	16.03
NZ	Crowmwell1965	28/01/1965	22.1	12.1	15.99
NZ	Crowmwell1965	29/01/1965	22.4	11.7	15.94
NZ	Crowmwell1965	30/01/1965	21.7	14.9	15.9
NZ	Crowmwell1965	31/01/1965	20.5	13.9	15.85
NZ	Crowmwell1965	1/02/1965	18.7	11.2	15.81
NZ	Crowmwell1965	2/02/1965	23.8	10.4	15.76
NZ	Crowmwell1965	3/02/1965	21.7	12.4	15.71
NZ	Crowmwell1965	4/02/1965	28.3	8.6	15.67
NZ	Crowmwell1965	5/02/1965	26.3	11.1	15.62
NZ	Crowmwell1965	6/02/1965	17.7	11.9	15.57
NZ	Crowmwell1965	7/02/1965	22.5	5.9	15.52
