AuthorYear 	YearExperiment	Location	Country	Treatcultivar	SowingDate	StartFlowering	DaysToFlower 	Ttsow	Ttflow	Tttoflower	PhotopAtSowing	PhotopAtTtTarget	PhotopAverage	TtFlowerAdjusted	FloweringObservedatPercentage	Sowingmonth 
Smetham1968	1965	Cromwell	NZ	Dwang	17/02/1965	30/09/1965	225.0	1110.9	2795.4	1684.5	15.0	14.1	10.0	1684.5	50.0	2
Smetham1968	1965	Cromwell	NZ	Geraldton	17/02/1965	30/09/1965	225.0	1110.9	2795.4	1684.5	15.0	14.1	10.0	1684.5	50.0	2
Smetham1968	1965	Cromwell	NZ	Yarloop	17/02/1965	30/09/1965	225.0	1110.9	2795.4	1684.5	15.0	14.1	10.0	1684.5	50.0	2
Smetham1968	1965	Cromwell	NZ	Burrelmedic	17/02/1965	30/09/1965	225.0	1110.9	2795.4	1684.5	15.0	14.1	10.0	1684.5	50.0	2
Smetham1968	1965	Cromwell	NZ	Woogenellup	17/02/1965	15/10/1965	240.0	1110.9	2922.6	1811.7	15.0	14.1	9.9	1811.7	50.0	2
Smetham1968	1965	Cromwell	NZ	Clare	17/02/1965	15/10/1965	240.0	1110.9	2922.6	1811.7	15.0	14.1	9.9	1811.7	50.0	2
Smetham1968	1965	Cromwell	NZ	MtBarker	17/02/1965	22/10/1965	247.0	1110.9	2999.2	1888.3	15.0	14.1	9.9	1888.3	50.0	2
Smetham1968	1965	Cromwell	NZ	EdenHope	17/02/1965	22/10/1965	247.0	1110.9	2999.2	1888.3	15.0	14.1	9.9	1888.3	50.0	2
Smetham1968	1965	Cromwell	NZ	BacchusM	17/02/1965	22/10/1965	247.0	1110.9	2999.2	1888.3	15.0	14.1	9.9	1888.3	50.0	2
Smetham1968	1965	Cromwell	NZ	Kilmore	17/02/1965	22/10/1965	247.0	1110.9	2999.2	1888.3	15.0	14.1	9.9	1888.3	50.0	2
Smetham1968	1965	Cromwell	NZ	Nangeela	17/02/1965	30/10/1965	255.0	1110.9	3101.1	1990.2	15.0	14.1	9.9	1990.2	50.0	2
Smetham1968	1965	Cromwell	NZ	Derrinal	17/02/1965	30/10/1965	255.0	1110.9	3101.1	1990.2	15.0	14.1	9.9	1990.2	50.0	2
Smetham1968	1965	Cromwell	NZ	Wenigup	17/02/1965	30/10/1965	255.0	1110.9	3101.1	1990.2	15.0	14.1	9.9	1990.2	50.0	2
Smetham1968	1965	Cromwell	NZ	TallarookvsWenig	17/02/1965	30/10/1965	255.0	1110.9	3101.1	1990.2	15.0	14.1	9.9	1990.2	50.0	2
Smetham1968	1965	Cromwell	NZ	Boomerang	17/02/1965	30/10/1965	255.0	1110.9	3101.1	1990.2	15.0	14.1	9.9	1990.2	50.0	2
Smetham1968	1965	Cromwell	NZ	Portugal294	17/02/1965	30/10/1965	255.0	1110.9	3101.1	1990.2	15.0	14.1	9.9	1990.2	50.0	2
Smetham1968	1965	Cromwell	NZ	Bena	17/02/1965	15/11/1965	271.0	1110.9	3291.9	2181.1	15.0	14.1	9.9	2181.1	50.0	2
Smetham1968	1965	Cromwell	NZ	Tallarook	17/02/1965	15/11/1965	271.0	1110.9	3291.9	2181.1	15.0	14.1	9.9	2181.1	50.0	2
Aitken1955	1952	Melbourne	AU	Dwang	8/04/1952	16/09/1952	162	NA	NA	NA	NA	NA	NA	NA	NA	4
Aitken1955	1952	Melbourne	AU	Yarloop	8/04/1952	4/10/1952	179	NA	NA	NA	NA	NA	NA	NA	NA	4
Aitken1955	1952	Melbourne	AU	Clare	8/04/1952	6/10/1952	182	NA	NA	NA	NA	NA	NA	NA	NA	4
Aitken1955	1952	Melbourne	AU	BacchusM	8/04/1952	15/10/1952	191	NA	NA	NA	NA	NA	NA	NA	NA	4
Aitken1955	1952	Melbourne	AU	MtBarker	8/04/1952	3/11/1952	209	NA	NA	NA	NA	NA	NA	NA	NA	4
Aitken1955	1952	Melbourne	AU	Tallarook	8/04/1952	3/11/1952	209	NA	NA	NA	NA	NA	NA	NA	NA	4
Evansetal1992	1987	Launceston	AU	Nungarin	3/05/1987	9/09/1987	129	1907.1	3047.5	1140.4	11.3	10.7	10.3	1140.4	50.0	5
Evansetal1992	1987	Launceston	AU	Dalkeith	3/05/1987	15/09/1987	135	1907.1	3101.9	1194.8	11.3	10.7	10.4	1194.8	50.0	5
Evansetal1992	1987	Launceston	AU	Trikkala	3/05/1987	21/09/1987	141	1907.1	3165.5	1258.4	11.3	10.7	10.4	1258.4	50.0	5
Evansetal1992	1987	Launceston	AU	Woogenellup	3/05/1987	25/09/1987	145	1907.1	3205.9	1298.8	11.3	10.7	10.5	1298.8	50.0	5
