"LocationYear" "Date" "Tx" "Tm" "Pp" "TTday" "TTday_s" "diff"
"1" "Crowmwell1965" 1964-12-16 24.4 13.2 16.86 17.7044 18.8 106.188292175956
"2" "Crowmwell1965" 1964-12-17 27.6 15.3 16.87 18.8349725 21.45 113.883893379722
"3" "Crowmwell1965" 1964-12-18 28.2 13.2 16.87 18.089875 20.7 114.42865138648
"4" "Crowmwell1965" 1964-12-19 20.7 10.2 16.87 15.493225 15.45 99.7210070853551
"5" "Crowmwell1965" 1964-12-20 22.4 9.8 16.88 15.782555 16.1 102.011366347211
"6" "Crowmwell1965" 1964-12-21 16.1 9.7 16.88 12.96368 12.9 99.5087814571171
"7" "Crowmwell1965" 1964-12-22 16.4 6.1 16.88 11.352485 11.25 99.0972461095522
"8" "Crowmwell1965" 1964-12-23 23.8 9.4 16.88 15.8878 16.6 104.482684827352
"9" "Crowmwell1965" 1964-12-24 20 5.9 16.87 13.090295 12.95 98.9282518079233
"10" "Crowmwell1965" 1964-12-25 26.7 10.2 16.87 16.7388625 18.45 110.222543497206
"11" "Crowmwell1965" 1964-12-26 29.4 13.3 16.86 18.2491325 21.35 116.991862489902
"12" "Crowmwell1965" 1964-12-27 28.5 16.1 16.85 19.13983 22.3 116.510961696107
"13" "Crowmwell1965" 1964-12-28 27.2 14.6 16.84 18.551495 20.9 112.659384055032
"14" "Crowmwell1965" 1964-12-29 28.2 14.4 16.83 18.570335 21.3 114.699061702441
"15" "Crowmwell1965" 1964-12-30 31.8 12.6 16.82 17.94716 22.2 123.696451137673
"16" "Crowmwell1965" 1964-12-31 28.4 17.7 16.81 19.638465 23.05 117.371698857319
"17" "Crowmwell1965" 1965-01-01 25 11.2 16.81 16.9081 18.1 107.049284070948
"18" "Crowmwell1965" 1965-01-02 23.3 9.6 16.79 15.89065 16.45 103.519994462152
"19" "Crowmwell1965" 1965-01-03 27.7 14.7 16.77 18.641225 21.2 113.726431605219
"20" "Crowmwell1965" 1965-01-04 26.6 13.4 16.76 18.01109 20 111.042696472007
"21" "Crowmwell1965" 1965-01-05 24.6 10.3 16.74 16.43285 17.45 106.189735803589
"22" "Crowmwell1965" 1965-01-06 21.6 11.4 16.72 16.328735 16.5 101.048856509705
"23" "Crowmwell1965" 1965-01-07 22.4 9 16.69 15.400495 15.7 101.944775151708
"24" "Crowmwell1965" 1965-01-08 12.6 9 16.67 10.83582 10.8 99.6694297247463
"25" "Crowmwell1965" 1965-01-09 19 11 16.65 15.0796 15 99.4721345393777
"26" "Crowmwell1965" 1965-01-10 24.9 13.6 16.62 17.9223725 19.25 107.407654873818
"27" "Crowmwell1965" 1965-01-11 26.1 12.5 16.6 17.60082 19.3 109.653982030383
"28" "Crowmwell1965" 1965-01-12 25 14 16.57 18.092575 19.5 107.779019846539
"29" "Crowmwell1965" 1965-01-13 25.6 15.4 16.54 18.713115 20.5 109.548837807067
"30" "Crowmwell1965" 1965-01-14 23.8 12 16.51 17.0591 17.9 104.929333903899
"31" "Crowmwell1965" 1965-01-15 23.6 16.1 16.48 18.7949375 19.85 105.613546200938
"32" "Crowmwell1965" 1965-01-16 20.3 12 16.45 16.215835 16.15 99.5940079558037
"33" "Crowmwell1965" 1965-01-17 27.2 15.2 16.41 18.7829 21.2 112.868619861683
"34" "Crowmwell1965" 1965-01-18 30.1 15.3 16.38 18.95641 22.7 119.748412278485
"35" "Crowmwell1965" 1965-01-19 32.5 12.8 16.34 17.877685 22.65 126.694255995673
"36" "Crowmwell1965" 1965-01-20 30.6 18.8 16.31 19.889165 24.7 124.188220068565
"37" "Crowmwell1965" 1965-01-21 27.2 12.8 16.27 17.83028 20 112.16873767546
"38" "Crowmwell1965" 1965-01-22 13.4 9.1 16.23 11.292785 11.25 99.6211297744533
"39" "Crowmwell1965" 1965-01-23 16.6 9.4 16.19 13.07164 13 99.4519432909719
"40" "Crowmwell1965" 1965-01-24 18.4 5.6 16.15 12.12736 12 98.9498126550214
"41" "Crowmwell1965" 1965-01-25 17.3 6.4 16.11 11.958455 11.85 99.0930684607669
"42" "Crowmwell1965" 1965-01-26 19.7 10.6 16.07 15.240545 15.15 99.4058939493305
"43" "Crowmwell1965" 1965-01-27 19.4 11.7 16.03 15.626615 15.55 99.5097146758911
"44" "Crowmwell1965" 1965-01-28 22.1 12.1 15.99 16.79925 17.1 101.790258493683
"45" "Crowmwell1965" 1965-01-29 22.4 11.7 15.94 16.67965 17.05 102.220370331512
"46" "Crowmwell1965" 1965-01-30 21.7 14.9 15.9 17.9991 18.3 101.671750254179
"47" "Crowmwell1965" 1965-01-31 20.5 13.9 15.85 17.21967 17.2 99.8857701686501
"48" "Crowmwell1965" 1965-02-01 18.7 11.2 15.81 15.024625 14.95 99.5033153905672
"49" "Crowmwell1965" 1965-02-02 23.8 10.4 15.76 16.3383 17.1 104.662051743449
"50" "Crowmwell1965" 1965-02-03 21.7 12.4 15.71 16.8335525 17.05 101.285809991682
"51" "Crowmwell1965" 1965-02-04 28.3 8.6 15.67 16.2567025 18.45 113.491650597653
"52" "Crowmwell1965" 1965-02-05 26.3 11.1 15.62 17.05974 18.7 109.614800694501
"53" "Crowmwell1965" 1965-02-06 17.7 11.9 15.57 14.85771 14.8 99.6115821347973
"54" "Crowmwell1965" 1965-02-07 22.5 5.9 15.52 13.947255 14.2 101.812148698794
"55" "Crowmwell1965" 1965-02-08 26.7 16.7 15.47 19.24825 21.7 112.737521592872
"56" "Crowmwell1965" 1965-02-09 21.1 6.1 15.42 13.64925 13.6 99.639174313607
"57" "Crowmwell1965" 1965-02-10 26.1 8.4 15.37 15.83865 17.25 108.910797321741
"58" "Crowmwell1965" 1965-02-11 26.1 14.8 15.32 18.5223725 20.45 110.407022642483
"59" "Crowmwell1965" 1965-02-12 24.9 8.6 15.27 15.71935 16.75 106.556568814868
"60" "Crowmwell1965" 1965-02-13 13.9 6.8 15.22 10.420645 10.35 99.3220669162034
"61" "Crowmwell1965" 1965-02-14 14.8 6.3 15.17 10.634575 10.55 99.2047166906059
"62" "Crowmwell1965" 1965-02-15 18.1 7.6 15.11 12.954475 12.85 99.1935219296807
"63" "Crowmwell1965" 1965-02-16 17.8 11.6 15.06 14.76169 14.7 99.5820939201406
"64" "Crowmwell1965" 1965-02-17 22.8 13.8 15.01 17.6955 18.3 103.41612274307
"65" "Crowmwell1965" 1965-02-18 24.9 9.7 14.96 16.2149 17.3 106.691993166779
"66" "Crowmwell1965" 1965-02-19 17.3 8.3 14.9 12.88955 12.8 99.3052511530659
"67" "Crowmwell1965" 1965-02-20 19.9 6.9 14.85 13.52935 13.4 99.0439304179432
"68" "Crowmwell1965" 1965-02-21 20.4 10.3 14.8 15.425745 15.35 99.5089702312595
"69" "Crowmwell1965" 1965-02-22 18.3 2.2 14.74 10.410195 10.25 98.4611719569134
"70" "Crowmwell1965" 1965-02-23 18.9 10.8 14.69 14.930595 14.85 99.4602023563026
"71" "Crowmwell1965" 1965-02-24 19.6 9.8 14.63 14.79751 14.7 99.341037782708
"72" "Crowmwell1965" 1965-02-25 21.6 9.3 14.58 15.3258275 15.45 100.810217262331
"73" "Crowmwell1965" 1965-02-26 20.8 3.1 14.53 12.070365 11.95 99.0028056318098
"74" "Crowmwell1965" 1965-02-27 20.1 3.1 14.47 11.76915 11.6 98.5627679144203
"75" "Crowmwell1965" 1965-02-28 20.3 13.1 14.42 16.75214 16.7 99.6887561827922
"76" "Crowmwell1965" 1965-03-01 22.5 9.3 14.36 15.57101 15.9 102.112836611113
"77" "Crowmwell1965" 1965-03-02 20.8 3.2 14.31 12.11912 12 99.0170903497944
"78" "Crowmwell1965" 1965-03-03 11.9 5.6 14.25 8.812685 8.75 99.2886957834077
"79" "Crowmwell1965" 1965-03-04 17.2 4.7 14.2 11.074375 10.95 98.8769117896044
"80" "Crowmwell1965" 1965-03-05 22.2 4.1 14.14 13.0058925 13.15 101.108017000756
"81" "Crowmwell1965" 1965-03-06 16.1 1.8 14.09 9.092285 8.95 98.4351018473354
"82" "Crowmwell1965" 1965-03-07 20.4 9.4 14.03 14.98695 14.9 99.4198285842016
"83" "Crowmwell1965" 1965-03-08 23.9 10.3 13.97 16.3107 17.1 104.839154665342
"84" "Crowmwell1965" 1965-03-09 27.8 14.4 13.92 18.530955 21.1 113.863532667367
"85" "Crowmwell1965" 1965-03-10 26.1 15.3 13.86 18.72271 20.7 110.560917730393
"86" "Crowmwell1965" 1965-03-11 18.8 11.3 13.81 15.124625 15.05 99.5065993371736
"87" "Crowmwell1965" 1965-03-12 24.6 8.9 13.75 15.80215 16.75 105.998234417468
"88" "Crowmwell1965" 1965-03-13 27.4 12.4 13.7 17.689875 19.9 112.493728757269
"89" "Crowmwell1965" 1965-03-14 24.7 15.8 13.64 18.7839925 20.25 107.804557524179
"90" "Crowmwell1965" 1965-03-15 23.4 17.5 13.59 19.3360175 20.45 105.761178588093
"91" "Crowmwell1965" 1965-03-16 23.1 9.3 13.53 15.7206 16.2 103.049501927407
"92" "Crowmwell1965" 1965-03-17 12.3 7.9 13.48 10.14378 10.1 99.5684054662069
"93" "Crowmwell1965" 1965-03-18 14.2 3.7 13.42 9.054475 8.95 98.8461506603088
"94" "Crowmwell1965" 1965-03-19 21.3 4.8 13.37 13.092925 13.05 99.6721511808859
"95" "Crowmwell1965" 1965-03-20 25.1 15.2 13.31 18.5833175 20.15 108.430585658347
"96" "Crowmwell1965" 1965-03-21 19.9 10.1 13.26 15.09751 15 99.3541319065197
"97" "Crowmwell1965" 1965-03-22 23.9 8.9 13.2 15.68 16.4 104.591836734694
"98" "Crowmwell1965" 1965-03-23 23.4 13.3 13.15 17.57495 18.35 104.409969871892
"99" "Crowmwell1965" 1965-03-24 20.6 12.9 13.09 16.770865 16.75 99.8755878125547
"100" "Crowmwell1965" 1965-03-25 19.7 10.7 13.04 15.28955 15.2 99.41430584942
"101" "Crowmwell1965" 1965-03-26 16.6 11.8 12.99 14.24776 14.2 99.6647894125112
"102" "Crowmwell1965" 1965-03-27 18.2 9.1 12.93 13.740545 13.65 99.341037782708
"103" "Crowmwell1965" 1965-03-28 19.4 3.6 12.88 11.65721 11.5 98.6513925716359
"104" "Crowmwell1965" 1965-03-29 18.6 8.3 12.82 13.552485 13.45 99.2437918212048
"105" "Crowmwell1965" 1965-03-30 17.6 1 12.77 9.46517 9.3 98.2549705921816
"106" "Crowmwell1965" 1965-03-31 16.4 0.6 12.72 8.65721 8.5 98.1840569883369
"107" "Crowmwell1965" 1965-04-01 12.9 2.4 12.66 7.754475 7.65 98.6527134332111
"108" "Crowmwell1965" 1965-04-02 20.3 4.8 12.61 12.704225 12.55 98.7860337801007
"109" "Crowmwell1965" 1965-04-03 13.9 7.2 12.56 10.616665 10.55 99.372072114925
"110" "Crowmwell1965" 1965-04-04 16.7 0.8 12.5 8.908205 8.75 98.224052993841
"111" "Crowmwell1965" 1965-04-05 16.7 0.6 12.45 8.810195 8.65 98.1817088044022
"112" "Crowmwell1965" 1965-04-06 18.4 2.1 12.4 10.412185 10.25 98.4423538383154
"113" "Crowmwell1965" 1965-04-07 21.4 7.2 12.35 14.268435 14.3 100.221222579771
"114" "Crowmwell1965" 1965-04-08 10.2 -0.6 12.3 4.90746 4.8 97.8102725238718
"115" "Crowmwell1965" 1965-04-09 14.3 1.3 12.24 7.92935 7.8 98.3687187474383
"116" "Crowmwell1965" 1965-04-10 16.2 1.1 12.19 8.800245 8.65 98.2927179868288
"117" "Crowmwell1965" 1965-04-11 15.3 6.2 12.14 10.840545 10.75 99.1647560154955
"118" "Crowmwell1965" 1965-04-12 14.9 1.8 12.09 8.480345 8.35 98.4629752681052
"119" "Crowmwell1965" 1965-04-13 17.7 2.1 12.04 10.05522 9.9 98.4563241778897
"120" "Crowmwell1965" 1965-04-14 14.1 1.7 11.99 8.02338 7.9 98.4622440916422
"121" "Crowmwell1965" 1965-04-15 14.5 -1.2 11.94 6.8435675 6.65 97.1715410127832
"122" "Crowmwell1965" 1965-04-16 16.8 1.9 11.89 9.498255 9.35 98.4391343462562
"123" "Crowmwell1965" 1965-04-17 18.2 5.1 11.84 11.780345 11.65 98.8935383471367
"124" "Crowmwell1965" 1965-04-18 21.6 8.6 11.79 14.991525 15.1 100.723575486817
"125" "Crowmwell1965" 1965-04-19 21.3 10.5 11.74 15.81719 15.9 100.523544321084
"126" "Crowmwell1965" 1965-04-20 19.3 6.5 11.69 13.02736 12.9 99.0223652374695
