"LocationYear" "StartFlowering" "SowingDate" "AuthorYear" "YearExperiment" "Location" "Country" "Treatcultivar" "PercentFlower" "DaysToFlower" "Tx" "Tm" "Pp" "TMeanSow" "TMeanFlow" "TmeanSowFlow"
"1" "Adelaide1978" "1978-06-08" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "Nungarin" 50 87 30 12.4 13.33 21.2 9.65 15.425
"2" "Adelaide1978" "1978-06-13" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "Northam" 50 92 30 12.4 13.33 21.2 11.3 16.25
"3" "Adelaide1978" "1978-06-21" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "Dwalganup" 50 100 30 12.4 13.33 21.2 10.75 15.975
"4" "Adelaide1978" "1978-07-20" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "Yarloop" 50 129 30 12.4 13.33 21.2 8.95 15.075
"5" "Adelaide1978" "1978-07-21" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "Trikkala" 50 130 30 12.4 13.33 21.2 6.2 13.7
"6" "Adelaide1978" "1978-07-21" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "Geraldton" 50 130 30 12.4 13.33 21.2 6.2 13.7
"7" "Adelaide1978" "1978-07-23" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "Dinninup" 50 132 30 12.4 13.33 21.2 6.2 13.7
"8" "Adelaide1978" "1978-07-23" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "Uniwager" 50 132 30 12.4 13.33 21.2 6.2 13.7
"9" "Adelaide1978" "1978-07-25" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "Daliak" 50 134 30 12.4 13.33 21.2 6.65 13.925
"10" "Adelaide1978" "1978-07-31" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "SeatonPark" 50 140 30 12.4 13.33 21.2 9.25 15.225
"11" "Adelaide1978" "1978-08-09" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "BacchusM" 50 149 30 12.4 13.33 21.2 7.55 14.375
"12" "Adelaide1978" "1978-08-15" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "Woogenellup" 50 155 30 12.4 13.33 21.2 12.2 16.7
"13" "Adelaide1978" "1978-08-22" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "Clare" 50 162 30 12.4 13.33 21.2 15.4 18.3
"14" "Adelaide1978" "1978-09-01" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "Howard" 50 172 30 12.4 13.33 21.2 11.75 16.475
"15" "Adelaide1978" "1978-09-16" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "MtBarker" 50 187 30 12.4 13.33 21.2 12.45 16.825
"16" "Adelaide1978" "1978-09-20" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "Larisa" 50 191 30 12.4 13.33 21.2 8.25 14.725
"17" "Adelaide1978" "1978-09-27" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "Nangeela" 50 198 30 12.4 13.33 21.2 10.7 15.95
"18" "Adelaide1978" "1978-10-12" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "Tallarook" 50 213 30 12.4 13.33 21.2 7.75 14.475
"19" "Ballantrae1982" "1982-09-03" "1982-04-24" "ChapmanAndWilliams_1990" 1982 "Ballantrae" "NZ" "SeatonPark" 1 132 11.5 2.2 11.67 6.85 11.4 9.125
"20" "Ballantrae1982" "1982-09-05" "1982-04-24" "ChapmanAndWilliams_1990" 1982 "Ballantrae" "NZ" "Trikkala" 1 134 11.5 2.2 11.67 6.85 17.1 11.975
