"LocationYear" "StartFlowering" "SowingDate" "AuthorYear" "YearExperiment" "Location" "Country" "Treatcultivar" "PercentFlower" "DaysToFlower" "Pp" "TTSumSow" "TTSumFlower" "TTtoFlower"
"1" "Adelaide1978" "1978-06-08" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "Nungarin" 50 87 13.33 843.070181346154 1919.97544096154 1076.90525961539
"2" "Adelaide1978" "1978-06-13" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "Northam" 50 92 13.33 843.070181346154 1972.65677596154 1129.58659461539
"3" "Adelaide1978" "1978-06-21" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "Dwalganup" 50 100 13.33 843.070181346154 2054.39373846154 1211.32355711539
"4" "Adelaide1978" "1978-07-20" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "Yarloop" 50 129 13.33 843.070181346154 2363.21316096154 1520.14297961539
"5" "Adelaide1978" "1978-07-21" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "Geraldton" 50 130 13.33 843.070181346154 2369.45694096154 1526.38675961539
"6" "Adelaide1978" "1978-07-21" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "Trikkala" 50 130 13.33 843.070181346154 2369.45694096154 1526.38675961539
"7" "Adelaide1978" "1978-07-23" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "Dinninup" 50 132 13.33 843.070181346154 2383.75992096154 1540.68973961539
"8" "Adelaide1978" "1978-07-23" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "Uniwager" 50 132 13.33 843.070181346154 2383.75992096154 1540.68973961539
"9" "Adelaide1978" "1978-07-25" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "Daliak" 50 134 13.33 843.070181346154 2397.89001596154 1554.81983461539
"10" "Adelaide1978" "1978-07-31" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "SeatonPark" 50 140 13.33 843.070181346154 2453.41811096154 1610.34792961539
"11" "Adelaide1978" "1978-08-09" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "BacchusM" 50 149 13.33 843.070181346154 2545.59371096154 1702.52352961539
"12" "Adelaide1978" "1978-08-15" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "Woogenellup" 50 155 13.33 843.070181346154 2609.11816596154 1766.04798461539
"13" "Adelaide1978" "1978-08-22" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "Clare" 50 162 13.33 843.070181346154 2695.38845096154 1852.31826961539
"14" "Adelaide1978" "1978-09-01" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "Howard" 50 172 13.33 843.070181346154 2806.62969596154 1963.55951461539
"15" "Adelaide1978" "1978-09-16" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "MtBarker" 50 187 13.33 843.070181346154 2959.91996846154 2116.84978711539
"16" "Adelaide1978" "1978-09-20" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "Larisa" 50 191 13.33 843.070181346154 3000.86344846154 2157.79326711539
"17" "Adelaide1978" "1978-09-27" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "Nangeela" 50 198 13.33 843.070181346154 3082.96002096154 2239.88983961539
"18" "Adelaide1978" "1978-10-12" "1978-03-13" "CocksAndPhillips1979" 1978 "Adelaide" "AU" "Tallarook" 50 213 13.33 843.070181346154 3251.79604384615 2408.7258625
"19" "Ballantrae1982" "1982-09-03" "1982-04-24" "ChapmanAndWilliams_1990" 1982 "Ballantrae" "NZ" "SeatonPark" 1 132 11.67 1579.56376592308 2895.60743269231 1316.04366676923
"20" "Ballantrae1982" "1982-09-05" "1982-04-24" "ChapmanAndWilliams_1990" 1982 "Ballantrae" "NZ" "Trikkala" 1 134 11.67 1579.56376592308 2922.52542019231 1342.96165426923
"21" "Ballantrae1982" "1982-09-07" "1982-04-24" "ChapmanAndWilliams_1990" 1982 "Ballantrae" "NZ" "Howard" 1 136 11.67 1579.56376592308 2950.48005269231 1370.91628676923
"22" "Ballantrae1982" "1982-09-16" "1982-04-24" "ChapmanAndWilliams_1990" 1982 "Ballantrae" "NZ" "Woogenellup" 1 145 11.67 1579.56376592308 3077.23834942308 1497.6745835
