"AuthorYear" "Location" "Treatcultivar" "VerntoFlower" "SowingDate"
"1" "CocksAndPhillips1979" "Adelaide" "Nungarin" 16.5909125 "1978-03-13"
"2" "CocksAndPhillips1979" "Adelaide" "Northam" 19.32685125 "1978-03-13"
"3" "CocksAndPhillips1979" "Adelaide" "Dwalganup" 23.91127375 "1978-03-13"
"4" "CocksAndPhillips1979" "Adelaide" "Yarloop" 39.5327275 "1978-03-13"
"5" "CocksAndPhillips1979" "Adelaide" "Trikkala" 40.5327275 "1978-03-13"
"6" "CocksAndPhillips1979" "Adelaide" "Geraldton" 40.5327275 "1978-03-13"
"7" "CocksAndPhillips1979" "Adelaide" "Dinninup" 42.1056025 "1978-03-13"
"8" "CocksAndPhillips1979" "Adelaide" "Uniwager" 42.1056025 "1978-03-13"
"9" "CocksAndPhillips1979" "Adelaide" "Daliak" 43.84221125 "1978-03-13"
"10" "CocksAndPhillips1979" "Adelaide" "SeatonPark" 47.5821875 "1978-03-13"
"11" "CocksAndPhillips1979" "Adelaide" "BacchusM" 52.53590375 "1978-03-13"
"12" "CocksAndPhillips1979" "Adelaide" "Woogenellup" 55.7023225 "1978-03-13"
"13" "CocksAndPhillips1979" "Adelaide" "Clare" 57.76269 "1978-03-13"
"14" "CocksAndPhillips1979" "Adelaide" "Howard" 62.59568 "1978-03-13"
"15" "CocksAndPhillips1979" "Adelaide" "MtBarker" 70.79032125 "1978-03-13"
"16" "CocksAndPhillips1979" "Adelaide" "Larisa" 73.23164 "1978-03-13"
"17" "CocksAndPhillips1979" "Adelaide" "Nangeela" 76.19625875 "1978-03-13"
"18" "CocksAndPhillips1979" "Adelaide" "Tallarook" 82.29692625 "1978-03-13"
"19" "ChapmanAndWilliams_1990" "Ballantrae" "SeatonPark" 72.5075728125 "1982-04-24"
"20" "ChapmanAndWilliams_1990" "Ballantrae" "Trikkala" 72.8823415625 "1982-04-24"
"21" "ChapmanAndWilliams_1990" "Ballantrae" "Howard" 72.9704965625 "1982-04-24"
"22" "ChapmanAndWilliams_1990" "Ballantrae" "Woogenellup" 73.5234253125 "1982-04-24"
"23" "ChapmanAndWilliams_1990" "Ballantrae" "Clare" 74.8142290625 "1982-04-24"
"24" "ChapmanAndWilliams_1990" "Ballantrae" "Larisa" 76.1664603125 "1982-04-24"
"25" "ChapmanAndWilliams_1990" "Ballantrae" "Nangeela" 76.1664603125 "1982-04-24"
"26" "ChapmanAndWilliams_1990" "Ballantrae" "MtBarker" 76.1816053125 "1982-04-24"
"27" "ChapmanAndWilliams_1990" "Ballantrae" "Tallarook" 76.9155678125 "1982-04-24"
"28" "Honglund_1990" "Carvossa" "Trikkala" 95.531311125 "1981-05-01"
"29" "Honglund_1990" "Carvossa" "Woogenellup" 102.079033 "1981-05-01"
"30" "Honglund_1990" "Carvossa" "Clare" 102.079033 "1981-05-01"
"31" "Honglund_1990" "Carvossa" "Howard" 102.079033 "1981-05-01"
"32" "Honglund_1990" "Carvossa" "Nangeela" 102.079033 "1981-05-01"
"33" "Honglund_1990" "Carvossa" "SeatonPark" 102.079033 "1981-05-01"
"34" "Honglund_1990" "Carvossa" "MtBarker" 102.079033 "1981-05-01"
"35" "Honglund_1990" "Carvossa" "Tallarook" 104.690348 "1981-05-01"
