SowTreat	Cultivar	Block 	Plot	SowingDate	ReadingDate 	DAS	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10
S1	Antas 	1	1	19/02/2016	21/03/16	31	0	0	0	0	0	0	0	0	0	0
S1	Monti	1	2	19/02/2016	21/03/16	31	0	0	0	0	0	0	0	0	0	0
S1	Denmark	1	3	19/02/2016	21/03/16	31	0	0	0	0	0	0	0	0	0	0
S1	Leura	1	4	19/02/2016	21/03/16	31	0	0	0	0	0	0	0	0	0	0
S1	Narrikup	1	5	19/02/2016	21/03/16	31	0	0	0	0	0	0	0	0	0	0
S1	Woogenellup	1	6	19/02/2016	21/03/16	31	0	0	0	0	0	0	0	0	0	0
S1	Antas 	2	7	19/02/2016	21/03/16	31	0	0	0	0	0	0	0	0	0	0
S1	Woogenellup	2	8	19/02/2016	21/03/16	31	0	0	0	0	0	0	0	0	0	0
S1	Denmark	2	9	19/02/2016	21/03/16	31	0	0	0	0	0	0	0	0	0	0
S1	Monti	2	10	19/02/2016	21/03/16	31	0	0	0	0	0	0	0	0	0	0
S1	Narrikup	2	11	19/02/2016	21/03/16	31	0	0	0	0	0	0	0	0	0	0
S1	Leura	2	12	19/02/2016	21/03/16	31	0	0	0	0	0	0	0	0	0	0
S1	Woogenellup	3	13	19/02/2016	21/03/16	31	0	0	0	0	0	0	0	0	0	0
S1	Antas 	3	14	19/02/2016	21/03/16	31	0	0	0	0	0	0	0	0	0	0
S1	Monti	3	15	19/02/2016	21/03/16	31	0	0	0	0	0	0	0	0	0	0
S1	Narrikup	3	16	19/02/2016	21/03/16	31	0	0	0	0	0	0	0	0	0	0
S1	Denmark	3	17	19/02/2016	21/03/16	31	0	0	0	0	0	0	0	0	0	0
S1	Leura	3	18	19/02/2016	21/03/16	31	0	0	0	0	0	0	0	0	0	0
S1	Antas 	1	1	19/02/2016	8/04/16	49	0	1	1	1	0	1	1	1	0	0
S1	Monti	1	2	19/02/2016	8/04/16	49	0	0	1	0	0	0	0	0	0	0
S1	Denmark	1	3	19/02/2016	8/04/16	49	1	0	0	1	0	0	0	0	0	0
S1	Leura	1	4	19/02/2016	8/04/16	49	0	0	0	0	0	0	0	0	0	0
S1	Narrikup	1	5	19/02/2016	8/04/16	49	0	0	0	0	0	0	0	0	0	0
S1	Woogenellup	1	6	19/02/2016	8/04/16	49	0	1	0	0	0	0	1	1	1	0
S1	Antas 	2	7	19/02/2016	8/04/16	49	1	1	1	1	1	1	0	0	1	1
S1	Woogenellup	2	8	19/02/2016	8/04/16	49	1	0	0	0	1	0	0	1	1	0
S1	Denmark	2	9	19/02/2016	8/04/16	49	0	0	1	0	0	0	0	0	0	0
S1	Monti	2	10	19/02/2016	8/04/16	49	0	0	0	0	0	0	0	0	0	0
S1	Narrikup	2	11	19/02/2016	8/04/16	49	0	0	0	0	0	0	0	0	0	0
S1	Leura	2	12	19/02/2016	8/04/16	49	0	0	0	0	0	0	0	0	0	0
S1	Woogenellup	3	13	19/02/2016	8/04/16	49	0	1	0	1	1	0	1	1	1	1
S1	Antas 	3	14	19/02/2016	8/04/16	49	1	1	0	0	1	1	1	1	1	1
S1	Monti	3	15	19/02/2016	8/04/16	49	0	0	1	0	0	0	0	0	0	0
S1	Narrikup	3	16	19/02/2016	8/04/16	49	0	0	0	0	0	0	0	0	0	0
S1	Denmark	3	17	19/02/2016	8/04/16	49	0	0	0	0	0	0	0	0	0	0
S1	Leura	3	18	19/02/2016	8/04/16	49	0	1	0	0	0	0	0	0	0	0
S1	Antas 	1	1	19/02/2016	11/04/16	52	0	1	1	1	1	1	1	1	1	1
S1	Monti	1	2	19/02/2016	11/04/16	52	0	0	1	1	0	0	0	1	1	0
S1	Denmark	1	3	19/02/2016	11/04/16	52	0	0	0	1	0	0	0	0	0	0
S1	Leura	1	4	19/02/2016	11/04/16	52	0	0	1	0	0	0	1	0	0	0
S1	Narrikup	1	5	19/02/2016	11/04/16	52	0	0	0	0	1	0	0	0	0	1
S1	Woogenellup	1	6	19/02/2016	11/04/16	52	1	1	0	0	1	1	1	1	1	1
S1	Antas 	2	7	19/02/2016	11/04/16	52	1	1	1	1	1	1	0	0	1	1
S1	Woogenellup	2	8	19/02/2016	11/04/16	52	1	1	1	1	1	0	0	1	1	1
S1	Denmark	2	9	19/02/2016	11/04/16	52	0	1	0	1	0	0	0	0	0	0
S1	Monti	2	10	19/02/2016	11/04/16	52	1	0	0	0	0	0	0	0	1	0
S1	Narrikup	2	11	19/02/2016	11/04/16	52	1	0	1	1	0	0	0	0	0	0
S1	Leura	2	12	19/02/2016	11/04/16	52	0	0	0	0	0	0	0	0	0	0
S1	Woogenellup	3	13	19/02/2016	11/04/16	52	0	0	1	1	1	0	1	1	1	1
S1	Antas 	3	14	19/02/2016	11/04/16	52	1	1	0	1	0	1	1	1	1	1
S1	Monti	3	15	19/02/2016	11/04/16	52	1	0	0	0	0	0	0	0	0	0
S1	Narrikup	3	16	19/02/2016	11/04/16	52	0	0	0	1	0	0	0	0	1	0
S1	Denmark	3	17	19/02/2016	11/04/16	52	1	0	0	0	0	0	0	0	0	0
S1	Leura	3	18	19/02/2016	11/04/16	52	1	0	0	0	0	0	0	0	0	0
S1	Antas 	1	1	19/02/2016	19/04/16	60	1	1	1	1	1	1	1	1	1	1
S1	Monti	1	2	19/02/2016	19/04/16	60	0	1	1	1	1	1	1	1	1	1
S1	Denmark	1	3	19/02/2016	19/04/16	60	1	0	1	1	1	1	1	1	1	1
S1	Leura	1	4	19/02/2016	19/04/16	60	0	0	1	1	1	1	0	1	1	1
S1	Narrikup	1	5	19/02/2016	19/04/16	60	0	1	1	1	1	1	1	1	1	1
S1	Woogenellup	1	6	19/02/2016	19/04/16	60	1	1	0	0	1	1	1	1	1	1
S1	Antas 	2	7	19/02/2016	19/04/16	60	1	1	1	1	1	1	1	1	1	1
S1	Woogenellup	2	8	19/02/2016	19/04/16	60	1	1	1	1	1	1	1	1	1	1
S1	Denmark	2	9	19/02/2016	19/04/16	60	1	0	1	1	0	1	0	0	0	1
S1	Monti	2	10	19/02/2016	19/04/16	60	1	0	1	1	0	1	1	1	1	1
S1	Narrikup	2	11	19/02/2016	19/04/16	60	1	1	1	1	1	1	1	1	1	1
S1	Leura	2	12	19/02/2016	19/04/16	60	1	1	1	1	1	1	1	0	1	0
S1	Woogenellup	3	13	19/02/2016	19/04/16	60	1	1	1	1	1	1	1	1	1	1
S1	Antas 	3	14	19/02/2016	19/04/16	60	1	1	1	1	1	1	1	1	1	1
S1	Monti	3	15	19/02/2016	19/04/16	60	1	0	1	1	1	1	1	0	1	1
S1	Narrikup	3	16	19/02/2016	19/04/16	60	1	1	1	1	0	1	1	1	1	1
S1	Denmark	3	17	19/02/2016	19/04/16	60	1	1	1	0	1	1	1	1	1	1
S1	Leura	3	18	19/02/2016	19/04/16	60	1	1	1	0	0	1	1	1	0	1
S1	Antas 	1	1	19/02/2016	30/05/16	101	1	1	1	1	1	1	1	1	1	1
S1	Monti	1	2	19/02/2016	30/05/16	101	0	1	1	1	1	1	1	1	1	1
S1	Denmark	1	3	19/02/2016	30/05/16	101	1	0	1	1	1	1	1	1	1	1
S1	Leura	1	4	19/02/2016	30/05/16	101	0	1	1	1	1	1	0	1	1	1
S1	Narrikup	1	5	19/02/2016	30/05/16	101	0	1	1	1	1	1	1	1	1	1
S1	Woogenellup	1	6	19/02/2016	30/05/16	101	1	1	0	0	1	1	1	1	1	1
S1	Antas 	2	7	19/02/2016	30/05/16	101	1	1	1	1	1	1	1	1	1	1
S1	Woogenellup	2	8	19/02/2016	30/05/16	101	1	1	1	1	1	1	1	1	1	1
S1	Denmark	2	9	19/02/2016	30/05/16	101	1	0	1	1	0	1	1	0	0	1
S1	Monti	2	10	19/02/2016	30/05/16	101	1	0	1	1	0	1	1	1	1	1
