Block	Cultivar	SowTreat	SowingD	DAS	sample_area_m2	Layer	bur_total_weight_g	bur_no_subSample	bur_weight_subSample_g	seedNo	seed_weight_g
1	Antas 	S1	24/06/2015	230	2	Buried	3.00	10.00	0.80	27.00	0.354
1	Monti	S1	24/06/2015	230	2	Buried	33.70	50.00	3.00	87.00	0.732
1	Denmark	S1	24/06/2015	230	2	Buried	20.70	50.00	3.20	122.00	0.914
1	Leura	S1	24/06/2015	230	2	Buried	51.10	50.00	2.60	104.00	0.632
1	Narrikup	S1	24/06/2015	230	2	Buried	31.70	50.00	2.60	96.00	0.692
1	Woogenellup	S1	24/06/2015	230	2	Buried	29.30	50.00	2.20	158.00	0.740
2	Antas 	S1	24/06/2015	230	2	Buried	5.70	8.00	0.65	34.00	0.556
2	Woogenellup	S1	24/06/2015	230	2	Buried	109.10	50.00	2.60	142.00	0.898
2	Denmark	S1	24/06/2015	230	2	Buried	37.10	50.00	3.60	110.00	0.980
2	Monti	S1	24/06/2015	230	2	Buried	38.30	50.00	2.70	80.00	0.769
2	Narrikup	S1	24/06/2015	230	2	Buried	45.50	50.00	3.20	134.00	1.190
2	Leura	S1	24/06/2015	230	2	Buried	178.90	50.00	3.20	114.00	0.944
3	Woogenellup	S1	24/06/2015	230	2	Buried	40.50	50.00	2.60	170.00	1.036
3	Antas 	S1	24/06/2015	230	2	Buried	11.00	50.00	3.60	124.00	1.126
3	Monti	S1	24/06/2015	230	2	Buried	78.40	50.00	3.00	88.00	0.750
3	Narrikup	S1	24/06/2015	230	2	Buried	52.90	50.00	3.00	124.00	0.898
3	Denmark	S1	24/06/2015	230	2	Buried	65.20	50.00	3.20	166.00	1.240
3	Leura	S1	24/06/2015	230	2	Buried	152.80	50.00	2.20	126.00	0.891
1	Narrikup	S2	28/07/2015	214	0.3	Buried	52.25	50.00	2.90	150.00	0.837
1	Monti	S2	28/07/2015	214	0.3	Buried	49.61	50.00	2.70	139.00	1.001
1	Woogenellup	S2	28/07/2015	214	0.3	Buried	92.90	50.00	2.40	194.00	1.034
1	Leura	S2	28/07/2015	214	0.3	Buried	41.60	50.00	3.40	170.00	1.326
1	Denmark	S2	28/07/2015	214	0.3	Buried	71.52	50.00	4.50	140.00	1.225
1	Antas 	S2	28/07/2015	214	0.3	Buried	18.20	50.00	6.60	174.00	1.993
2	Leura	S2	28/07/2015	214	0.3	Buried	19.59	50.00	3.50	174.00	1.088
2	Woogenellup	S2	28/07/2015	214	0.3	Buried	74.02	50.00	2.30	204.00	1.271
2	Denmark	S2	28/07/2015	214	0.3	Buried	23.36	50.00	4.80	153.00	1.295
2	Narrikup	S2	28/07/2015	214	0.3	Buried	55.50	50.00	3.60	150.00	1.260
2	Antas 	S2	28/07/2015	214	0.3	Buried	32.58	50.00	5.10	138.00	1.548
2	Monti	S2	28/07/2015	214	0.3	Buried	12.34	50.00	2.80	127.00	1.179
3	Denmark	S2	28/07/2015	214	0.3	Buried	68.29	50.00	4.60	150.00	1.335
3	Antas 	S2	28/07/2015	214	0.3	Buried	40.80	50.00	6.20	143.00	1.895
3	Monti	S2	28/07/2015	214	0.3	Buried	15.50	50.00	2.40	122.00	1.011
3	Woogenellup	S2	28/07/2015	214	0.3	Buried	54.23	50.00	2.60	169.00	1.070
3	Leura	S2	28/07/2015	214	0.3	Buried	117.20	50.00	5.40	162.00	1.480
3	Narrikup	S2	28/07/2015	214	0.3	Buried	25.91	50.00	3.40	138.00	1.187
1	Denmark	S3	15/09/2015	191	0.2	Buried	35.13	50.00	5.53	203.00	1.656
1	Antas 	S3	15/09/2015	182	0.2	Buried	42.54	50.00	4.94	147.00	1.375
1	Woogenellup	S3	15/09/2015	182	0.2	Buried	91.87	50.00	3.37	237.00	1.589
1	Leura	S3	15/09/2015	191	0.2	Buried	78.69	50.00	3.19	163.00	1.444
1	Narrikup	S3	15/09/2015	174	0.2	Buried	71.50	50.00	4.00	158.00	1.493
1	Monti	S3	15/09/2015	174	0.2	Buried	53.60	50.00	4.10	133.00	1.553
2	Woogenellup	S3	15/09/2015	182	0.2	Buried	31.20	50.00	2.70	222.00	1.340
2	Leura	S3	15/09/2015	191	0.2	Buried	87.00	50.00	3.00	177.00	1.500
2	Narrikup	S3	15/09/2015	174	0.2	Buried	83.10	50.00	3.70	164.00	1.567
2	Antas 	S3	15/09/2015	182	0.2	Buried	125.12	50.00	5.92	138.00	1.599
2	Denmark	S3	15/09/2015	191	0.2	Buried	35.20	50.00	4.20	169.00	1.623
2	Monti	S3	15/09/2015	174	0.2	Buried	40.30	50.00	4.10	142.00	1.382
3	Leura	S3	15/09/2015	191	0.2	Buried	78.20	50.00	3.90	189.00	1.577
3	Woogenellup	S3	15/09/2015	182	0.2	Buried	54.73	50.00	2.73	228.00	1.298
3	Antas 	S3	15/09/2015	182	0.2	Buried	38.02	50.00	7.51	179.00	2.295
3	Monti	S3	15/09/2015	174	0.2	Buried	10.10	50.00	2.80	125.00	1.133
3	Narrikup	S3	15/09/2015	174	0.2	Buried	87.70	50.00	2.70	150.00	1.372
3	Denmark	S3	15/09/2015	191	0.2	Buried	45.46	50.00	2.46	143.00	0.944
1	Narrikup	S4	5/11/2015	197	0.1	Buried	12.10	50.00	3.83	186.00	1.860
1	Antas 	S4	5/11/2015	197	0.1	Buried	0.49	13.00	0.49	32.00	0.285
1	Denmark	S4	5/11/2015	197	0.1	Buried	1.50	35.00	1.50	113.00	0.448
1	Leura	S4	5/11/2015	197	0.1	Buried	0.09	6.00	0.09	17.00	0.058
1	Monti	S4	5/11/2015	197	0.1	Buried	26.14	50.00	2.97	118.00	1.432
1	Woogenellup	S4	5/11/2015	197	0.1	Buried	0.44	27.00	0.44	73.00	0.285
2	Antas 	S4	5/11/2015	197	0.1	Buried	2.36	39.00	2.36	151.00	1.241
