Plot	Block	Cultivar	SowTreat	DAS	sample_area_m2	Layer	bur_total_weight_g	bur_no_subSample	bur_weight_subSample_g	seedNo	seed_weight_g	IndividualBurrWeight_g	TotalNumberofBurrs	Percent_Burrsburied 	IndividualSeedWeight_g	Seedsperbur	NumberTotalBurrs	TotalNumberSeeds	Seedsperm2	gseedsperm2	TSW_g
1	1	Antas 	S1	230	2	Up	24.1	50	5	128	1.206	0.1	241	13.46499102	0.009	2.560	241.000	616.960	308.480	789.709	9.422
1	1	Antas 	S1	230	2	Down	3	10	0.8	27	0.354	0.08	37.5	*	0.013	2.700	37.500	101.250	50.625	136.688	13.111
2	1	Monti	S1	230	2	Up	27.8	50	3.1	125	1.18	0.062	448.3870968	55.607601	0.009	2.500	448.387	1120.968	560.484	1401.210	9.440
2	1	Monti	S1	230	2	Down	33.7	50	3	87	0.732	0.06	561.6666667	*	0.008	1.740	561.667	977.300	488.650	850.251	8.414
3	1	Denmark	S1	230	2	Up	16.5	50	3	134	0.836	0.06	275	54.04699739	0.006	2.680	275.000	737.000	368.500	987.580	6.239
3	1	Denmark	S1	230	2	Down	20.7	50	3.2	122	0.914	0.064	323.4375	*	0.007	2.440	323.438	789.188	394.594	962.809	7.492
4	1	Leura	S1	230	2	Up	60	50	3.8	140	1.2	0.076	789.4736842	55.45148209	0.009	2.800	789.474	2210.526	1105.263	3094.737	8.571
4	1	Leura	S1	230	2	Down	51.1	50	2.6	104	0.632	0.052	982.6923077	*	0.006	2.080	982.692	2044.000	1022.000	2125.760	6.077
5	1	Narrikup	S1	230	2	Up	46.9	50	2.8	114	0.89	0.056	837.5	42.12624585	0.008	2.280	837.500	1909.500	954.750	2176.830	7.807
5	1	Narrikup	S1	230	2	Down	31.7	50	2.6	96	0.692	0.052	609.6153846	*	0.007	1.920	609.615	1170.462	585.231	1123.643	7.208
6	1	Woogenellup	S1	230	2	Up	27.1	50	2.4	118	0.38	0.048	564.5833333	54.1172849	0.003	2.360	564.583	1332.417	666.208	1572.252	3.220
6	1	Woogenellup	S1	230	2	Down	29.3	50	2.2	158	0.74	0.044	665.9090909	*	0.005	3.160	665.909	2104.273	1052.136	3324.751	4.684
7	2	Antas 	S1	230	2	Up	256.4	50	5.4	154	1.336	0.108	2374.074074	2.870184305	0.009	3.080	2374.074	7312.148	3656.074	11260.708	8.675
7	2	Antas 	S1	230	2	Down	5.7	8	0.65	34	0.556	0.08125	70.15384615	*	0.016	4.250	70.154	298.154	149.077	633.577	16.353
8	2	Woogenellup	S1	230	2	Up	59.9	50	2.6	148	0.86	0.052	1151.923077	64.55621302	0.006	2.960	1151.923	3409.692	1704.846	5046.345	5.811
8	2	Woogenellup	S1	230	2	Down	109.1	50	2.6	142	0.898	0.052	2098.076923	*	0.006	2.840	2098.077	5958.538	2979.269	8461.125	6.324
9	2	Denmark	S1	230	2	Up	33.8	50	3.8	120	0.992	0.076	444.7368421	53.67395112	0.008	2.400	444.737	1067.368	533.684	1280.842	8.267
9	2	Denmark	S1	230	2	Down	37.1	50	3.6	110	0.98	0.072	515.2777778	*	0.009	2.200	515.278	1133.611	566.806	1246.972	8.909
10	2	Monti	S1	230	2	Up	35	50	3	102	0.789	0.06	583.3333333	54.87106017	0.008	2.040	583.333	1190.000	595.000	1213.800	7.735
