Temp	Cv	rep	startDate 	DateRead	CountedGerm 	HoursofTest	PercentGerm	DOT
10	Antas	1	15/07/2015	15/07/2015	0	0	0	0
10	Antas	2	15/07/2015	15/07/2015	0	0	0	0
10	Antas	3	15/07/2015	15/07/2015	0	0	0	0
10	Antas	4	15/07/2015	15/07/2015	0	0	0	0
10	Denmark	1	15/07/2015	15/07/2015	0	0	0	0
10	Denmark	2	15/07/2015	15/07/2015	0	0	0	0
10	Denmark	3	15/07/2015	15/07/2015	0	0	0	0
10	Denmark	4	15/07/2015	15/07/2015	0	0	0	0
10	Monti	1	15/07/2015	15/07/2015	0	0	0	0
10	Monti	2	15/07/2015	15/07/2015	0	0	0	0
10	Monti	3	15/07/2015	15/07/2015	0	0	0	0
10	Monti	4	15/07/2015	15/07/2015	0	0	0	0
10	Narrikup	1	15/07/2015	15/07/2015	0	0	0	0
10	Narrikup	2	15/07/2015	15/07/2015	0	0	0	0
10	Narrikup	3	15/07/2015	15/07/2015	0	0	0	0
10	Narrikup	4	15/07/2015	15/07/2015	0	0	0	0
10	Antas	1	15/07/2015	18/07/2015	26	72	52	3
10	Antas	2	15/07/2015	18/07/2015	22	72	44	3
10	Antas	3	15/07/2015	18/07/2015	25	72	50	3
10	Antas	4	15/07/2015	18/07/2015	23	72	46	3
10	Denmark	1	15/07/2015	18/07/2015	3	72	6	3
10	Denmark	2	15/07/2015	18/07/2015	3	72	6	3
10	Denmark	3	15/07/2015	18/07/2015	1	72	2	3
10	Denmark	4	15/07/2015	18/07/2015	2	72	4	3
10	Monti	1	15/07/2015	18/07/2015	8	72	16	3
10	Monti	2	15/07/2015	18/07/2015	10	72	20	3
10	Monti	3	15/07/2015	18/07/2015	6	72	12	3
10	Monti	4	15/07/2015	18/07/2015	8	72	16	3
10	Narrikup	1	15/07/2015	18/07/2015	8	72	16	3
10	Narrikup	2	15/07/2015	18/07/2015	5	72	10	3
10	Narrikup	3	15/07/2015	18/07/2015	4	72	8	3
10	Narrikup	4	15/07/2015	18/07/2015	2	72	4	3
10	Antas	1	15/07/2015	19/07/2015	13	96	26	4
10	Antas	2	15/07/2015	19/07/2015	19	96	38	4
10	Antas	3	15/07/2015	19/07/2015	19	96	38	4
10	Antas	4	15/07/2015	19/07/2015	21	96	42	4
10	Denmark	1	15/07/2015	19/07/2015	18	96	36	4
10	Denmark	2	15/07/2015	19/07/2015	21	96	42	4
10	Denmark	3	15/07/2015	19/07/2015	16	96	32	4
10	Denmark	4	15/07/2015	19/07/2015	22	96	44	4
10	Monti	1	15/07/2015	19/07/2015	19	96	38	4
10	Monti	2	15/07/2015	19/07/2015	17	96	34	4
10	Monti	3	15/07/2015	19/07/2015	13	96	26	4
10	Monti	4	15/07/2015	19/07/2015	16	96	32	4
10	Narrikup	1	15/07/2015	19/07/2015	24	96	48	4
10	Narrikup	2	15/07/2015	19/07/2015	30	96	60	4
10	Narrikup	3	15/07/2015	19/07/2015	21	96	42	4
10	Narrikup	4	15/07/2015	19/07/2015	28	96	56	4
10	Antas	1	15/07/2015	20/07/2015	9	120	18	5
10	Antas	2	15/07/2015	20/07/2015	7	120	14	5
10	Antas	3	15/07/2015	20/07/2015	4	120	8	5
10	Antas	4	15/07/2015	20/07/2015	5	120	10	5
10	Denmark	1	15/07/2015	20/07/2015	16	120	32	5
10	Denmark	2	15/07/2015	20/07/2015	13	120	26	5
10	Denmark	3	15/07/2015	20/07/2015	20	120	40	5
10	Denmark	4	15/07/2015	20/07/2015	10	120	20	5
