Date	Plot	Block	Cultivar	SowTreat	SowingD	DAS	sample_area_m2	Depth	bur_total_weight_g	bur_no_subSample	bur_weight_subSample_g	seedNo	seed_weight_g
9/02/2016	1	1	Antas 	S1	24/06/2015	230	2	Above	24.10	50.00	5.00	128.00	1.206
9/02/2016	1	1	Antas 	S1	24/06/2015	230	2	Below	3.00	10.00	0.80	27.00	0.354
9/02/2016	2	1	Monti	S1	24/06/2015	230	2	Above	27.80	50.00	3.10	125.00	1.180
9/02/2016	2	1	Monti	S1	24/06/2015	230	2	Below	33.70	50.00	3.00	87.00	0.732
9/02/2016	3	1	Denmark	S1	24/06/2015	230	2	Above	16.50	50.00	3.00	134.00	0.836
9/02/2016	3	1	Denmark	S1	24/06/2015	230	2	Below	20.70	50.00	3.20	122.00	0.914
9/02/2016	4	1	Leura	S1	24/06/2015	230	2	Above	60.00	50.00	3.80	140.00	1.200
9/02/2016	4	1	Leura	S1	24/06/2015	230	2	Below	51.10	50.00	2.60	104.00	0.632
9/02/2016	5	1	Narrikup	S1	24/06/2015	230	2	Above	46.90	50.00	2.80	114.00	0.890
9/02/2016	5	1	Narrikup	S1	24/06/2015	230	2	Below	31.70	50.00	2.60	96.00	0.692
9/02/2016	6	1	Woogenellup	S1	24/06/2015	230	2	Above	27.10	50.00	2.40	118.00	0.380
9/02/2016	6	1	Woogenellup	S1	24/06/2015	230	2	Below	29.30	50.00	2.20	158.00	0.740
9/02/2016	7	2	Antas 	S1	24/06/2015	230	2	Above	256.40	50.00	5.40	154.00	1.336
9/02/2016	7	2	Antas 	S1	24/06/2015	230	2	Below	5.70	8.00	0.65	34.00	0.556
9/02/2016	8	2	Woogenellup	S1	24/06/2015	230	2	Above	59.90	50.00	2.60	148.00	0.860
9/02/2016	8	2	Woogenellup	S1	24/06/2015	230	2	Below	109.10	50.00	2.60	142.00	0.898
9/02/2016	9	2	Denmark	S1	24/06/2015	230	2	Above	33.80	50.00	3.80	120.00	0.992
9/02/2016	9	2	Denmark	S1	24/06/2015	230	2	Below	37.10	50.00	3.60	110.00	0.980
9/02/2016	10	2	Monti	S1	24/06/2015	230	2	Above	35.00	50.00	3.00	102.00	0.789
9/02/2016	10	2	Monti	S1	24/06/2015	230	2	Below	38.30	50.00	2.70	80.00	0.769
9/02/2016	11	2	Narrikup	S1	24/06/2015	230	2	Above	85.00	50.00	3.80	120.00	0.842
9/02/2016	11	2	Narrikup	S1	24/06/2015	230	2	Below	45.50	50.00	3.20	134.00	1.190
9/02/2016	12	2	Leura	S1	24/06/2015	230	2	Above	24.10	50.00	2.80	126.00	0.870
9/02/2016	12	2	Leura	S1	24/06/2015	230	2	Below	178.90	50.00	3.20	114.00	0.944
9/02/2016	13	3	Woogenellup	S1	24/06/2015	230	2	Above	65.20	50.00	2.00	144.00	0.742
9/02/2016	13	3	Woogenellup	S1	24/06/2015	230	2	Below	40.50	50.00	2.60	170.00	1.036
9/02/2016	14	3	Antas 	S1	24/06/2015	230	2	Above	272.20	50.00	6.20	150.00	1.290
9/02/2016	14	3	Antas 	S1	24/06/2015	230	2	Below	11.00	50.00	3.60	124.00	1.126
9/02/2016	15	3	Monti	S1	24/06/2015	230	2	Above	62.10	50.00	2.80	127.00	1.150
9/02/2016	15	3	Monti	S1	24/06/2015	230	2	Below	78.40	50.00	3.00	88.00	0.750
9/02/2016	16	3	Narrikup	S1	24/06/2015	230	2	Above	39.00	50.00	2.40	136.00	0.864
9/02/2016	16	3	Narrikup	S1	24/06/2015	230	2	Below	52.90	50.00	3.00	124.00	0.898
9/02/2016	17	3	Denmark	S1	24/06/2015	230	2	Above	25.50	50.00	2.80	124.00	0.894
9/02/2016	17	3	Denmark	S1	24/06/2015	230	2	Below	65.20	50.00	3.20	166.00	1.240
9/02/2016	18	3	Leura	S1	24/06/2015	230	2	Above	26.30	50.00	2.80	168.00	1.120
9/02/2016	18	3	Leura	S1	24/06/2015	230	2	Below	152.80	50.00	2.20	126.00	0.891
27/02/2016	19	1	Narrikup	S2	28/07/2015	214	0.3	Above	39.91	50.00	2.80	149.00	1.070
27/02/2016	19	1	Narrikup	S2	28/07/2015	214	0.3	Below	52.25	50.00	2.90	150.00	0.837
27/02/2016	20	1	Monti	S2	28/07/2015	214	0.3	Above	39.40	50.00	2.80	125.00	1.100
27/02/2016	20	1	Monti	S2	28/07/2015	214	0.3	Below	49.61	50.00	2.70	139.00	1.001
27/02/2016	21	1	Woogenellup	S2	28/07/2015	214	0.3	Above	45.16	50.00	2.60	227.00	1.265
27/02/2016	21	1	Woogenellup	S2	28/07/2015	214	0.3	Below	92.90	50.00	2.40	194.00	1.034
27/02/2016	22	1	Leura	S2	28/07/2015	214	0.3	Above	39.78	50.00	4.00	185.00	1.542
27/02/2016	22	1	Leura	S2	28/07/2015	214	0.3	Below	41.60	50.00	3.40	170.00	1.326
27/02/2016	23	1	Denmark	S2	28/07/2015	214	0.3	Above	43.73	50.00	3.70	171.00	1.522
27/02/2016	23	1	Denmark	S2	28/07/2015	214	0.3	Below	71.52	50.00	4.50	140.00	1.225
27/02/2016	24	1	Antas 	S2	28/07/2015	214	0.3	Above	127.62	50.00	6.10	184.00	2.165
27/02/2016	24	1	Antas 	S2	28/07/2015	214	0.3	Below	18.20	50.00	6.60	174.00	1.993
27/02/2016	25	2	Leura	S2	28/07/2015	214	0.3	Above	10.33	50.00	2.70	146.00	0.726
27/02/2016	25	2	Leura	S2	28/07/2015	214	0.3	Below	19.59	50.00	3.50	174.00	1.088
27/02/2016	26	2	Woogenellup	S2	28/07/2015	214	0.3	Above	10.54	50.00	3.10	206.00	1.106
27/02/2016	26	2	Woogenellup	S2	28/07/2015	214	0.3	Below	74.02	50.00	2.30	204.00	1.271
27/02/2016	27	2	Denmark	S2	28/07/2015	214	0.3	Above	7.42	50.00	3.10	164.00	1.234
27/02/2016	27	2	Denmark	S2	28/07/2015	214	0.3	Below	23.36	50.00	4.80	153.00	1.295
