"Plot" "Cultivar" "SowingD" "SowTreat" "sample_area_m2" "Block" "Depth" "bur_total_weight_g" "bur_no_subSample" "bur_weight_subSample_g" "seed_weight_g" "Seedskg_ha"
1 "Antas" "24/06/2015" "S1" 2 1 "Above" 24.1 50 5 1.206 29.0646
1 "Antas" "24/06/2015" "S1" 2 1 "Below" 3 10 0.8 0.354 6.6375
2 "Monti" "24/06/2015" "S1" 2 1 "Above" 27.8 50 3.1 1.18 52.9096774193548
2 "Monti" "24/06/2015" "S1" 2 1 "Below" 33.7 50 3 0.732 41.114
3 "Denmark" "24/06/2015" "S1" 2 1 "Above" 16.5 50 3 0.836 22.99
3 "Denmark" "24/06/2015" "S1" 2 1 "Below" 20.7 50 3.2 0.914 29.5621875
4 "Leura" "24/06/2015" "S1" 2 1 "Above" 60 50 3.8 1.2 94.7368421052632
4 "Leura" "24/06/2015" "S1" 2 1 "Below" 51.1 50 2.6 0.632 62.1061538461538
5 "Narrikup" "24/06/2015" "S1" 2 1 "Above" 46.9 50 2.8 0.89 74.5375
5 "Narrikup" "24/06/2015" "S1" 2 1 "Below" 31.7 50 2.6 0.692 42.1853846153846
6 "Woogenellup" "24/06/2015" "S1" 2 1 "Above" 27.1 50 2.4 0.38 21.4541666666667
6 "Woogenellup" "24/06/2015" "S1" 2 1 "Below" 29.3 50 2.2 0.74 49.2772727272727
7 "Antas" "24/06/2015" "S1" 2 2 "Above" 256.4 50 5.4 1.336 317.176296296296
7 "Antas" "24/06/2015" "S1" 2 2 "Below" 5.7 8 0.65 0.556 24.3784615384615
8 "Woogenellup" "24/06/2015" "S1" 2 2 "Above" 59.9 50 2.6 0.86 99.0653846153846
8 "Woogenellup" "24/06/2015" "S1" 2 2 "Below" 109.1 50 2.6 0.898 188.407307692308
9 "Denmark" "24/06/2015" "S1" 2 2 "Above" 33.8 50 3.8 0.992 44.1178947368421
9 "Denmark" "24/06/2015" "S1" 2 2 "Below" 37.1 50 3.6 0.98 50.4972222222222
10 "Monti" "24/06/2015" "S1" 2 2 "Above" 35 50 3 0.789 46.025
10 "Monti" "24/06/2015" "S1" 2 2 "Below" 38.3 50 2.7 0.769 54.542037037037
11 "Narrikup" "24/06/2015" "S1" 2 2 "Above" 85 50 3.8 0.842 94.1710526315789
