Cultivar 	Wavelength	Absorbance
Antas 	3997.74114	0.00342
Antas 	3995.81266	0.00342
Antas 	3993.88418	0.00342
Antas 	3991.9557	0.00342
Antas 	3990.02722	0.00342
Antas 	3988.09874	0.00342
Antas 	3986.17025	0.00343
Antas 	3984.24177	0.00341
Antas 	3982.31329	0.00339
Antas 	3980.38481	0.0034
Antas 	3978.45633	0.00343
Antas 	3976.52785	0.00345
Antas 	3974.59937	0.00343
Antas 	3972.67089	0.00341
Antas 	3970.74241	0.00342
Antas 	3968.81393	0.00343
Antas 	3966.88544	0.00342
Antas 	3964.95696	0.00342
Antas 	3963.02848	0.00343
Antas 	3961.1	0.00342
Antas 	3959.17152	0.00341
Antas 	3957.24304	0.00343
Antas 	3955.31456	0.00343
Antas 	3953.38608	0.00341
Antas 	3951.4576	0.00339
Antas 	3949.52912	0.00337
Antas 	3947.60063	0.00336
Antas 	3945.67215	0.00341
Antas 	3943.74367	0.00342
Antas 	3941.81519	0.00336
Antas 	3939.88671	0.00333
Antas 	3937.95823	0.00335
Antas 	3936.02975	0.00337
Antas 	3934.10127	0.00341
Antas 	3932.17279	0.00337
Antas 	3930.24431	0.00328
Antas 	3928.31582	0.00326
Antas 	3926.38734	0.00333
Antas 	3924.45886	0.00337
Antas 	3922.53038	0.00338
Antas 	3920.6019	0.00341
Antas 	3918.67342	0.00341
Antas 	3916.74494	0.00333
Antas 	3914.81646	0.00327
Antas 	3912.88798	0.0033
Antas 	3910.9595	0.00333
Antas 	3909.03101	0.00337
Antas 	3907.10253	0.00345
Antas 	3905.17405	0.00348
Antas 	3903.24557	0.00344
Antas 	3901.31709	0.00337
Antas 	3899.38861	0.00328
Antas 	3897.46013	0.00325
Antas 	3895.53165	0.00335
Antas 	3893.60317	0.00344
Antas 	3891.67469	0.00336
Antas 	3889.7462	0.00329
Antas 	3887.81772	0.00339
Antas 	3885.88924	0.00341
Antas 	3883.96076	0.00332
Antas 	3882.03228	0.00329
Antas 	3880.1038	0.0032
Antas 	3878.17532	0.00321
Antas 	3876.24684	0.00339
Antas 	3874.31836	0.00349
Antas 	3872.38987	0.00346
Antas 	3870.46139	0.00335
Antas 	3868.53291	0.00321
Antas 	3866.60443	0.00326
Antas 	3864.67595	0.00328
Antas 	3862.74747	0.00317
Antas 	3860.81899	0.00317
Antas 	3858.89051	0.00332
Antas 	3856.96203	0.00353
Antas 	3855.03355	0.00362
Antas 	3853.10506	0.00319
Antas 	3851.17658	0.00285
Antas 	3849.2481	0.00298
Antas 	3847.31962	0.00319
Antas 	3845.39114	0.00336
Antas 	3843.46266	0.00343
Antas 	3841.53418	0.0034
Antas 	3839.6057	0.00327
Antas 	3837.67722	0.00304
Antas 	3835.74874	0.00297
Antas 	3833.82025	0.00305
Antas 	3831.89177	0.00309
Antas 	3829.96329	0.00315
Antas 	3828.03481	0.00325
Antas 	3826.10633	0.00332
Antas 	3824.17785	0.00342
Antas 	3822.24937	0.00343
Antas 	3820.32089	0.00321
Antas 	3818.39241	0.00317
Antas 	3816.46393	0.00318
Antas 	3814.53544	0.00308
Antas 	3812.60696	0.00315
Antas 	3810.67848	0.0033
Antas 	3808.75	0.00338
Antas 	3806.82152	0.00331
Antas 	3804.89304	0.00332
Antas 	3802.96456	0.00338
Antas 	3801.03608	0.00321
Antas 	3799.1076	0.0031
Antas 	3797.17912	0.00314
Antas 	3795.25063	0.00313
Antas 	3793.32215	0.00317
Antas 	3791.39367	0.00326
Antas 	3789.46519	0.00331
Antas 	3787.53671	0.00333
Antas 	3785.60823	0.00333
Antas 	3783.67975	0.00332
Antas 	3781.75127	0.00335
Antas 	3779.82279	0.0033
Antas 	3777.89431	0.00318
Antas 	3775.96582	0.00321
Antas 	3774.03734	0.00334
Antas 	3772.10886	0.00341
Antas 	3770.18038	0.00334
Antas 	3768.2519	0.00324
Antas 	3766.32342	0.00324
Antas 	3764.39494	0.00327
Antas 	3762.46646	0.00336
Antas 	3760.53798	0.00342
Antas 	3758.6095	0.00334
Antas 	3756.68101	0.00329
Antas 	3754.75253	0.00339
Antas 	3752.82405	0.00353
Antas 	3750.89557	0.0034
Antas 	3748.96709	0.0032
Antas 	3747.03861	0.00328
Antas 	3745.11013	0.00323
Antas 	3743.18165	0.00304
Antas 	3741.25317	0.00314
Antas 	3739.32469	0.0034
Antas 	3737.3962	0.00357
Antas 	3735.46772	0.00347
Antas 	3733.53924	0.00318
Antas 	3731.61076	0.00312
Antas 	3729.68228	0.0033
Antas 	3727.7538	0.00348
Antas 	3725.82532	0.00349
Antas 	3723.89684	0.00338
Antas 	3721.96836	0.00329
Antas 	3720.03987	0.00325
Antas 	3718.11139	0.00332
Antas 	3716.18291	0.00348
Antas 	3714.25443	0.00363
Antas 	3712.32595	0.00359
Antas 	3710.39747	0.00331
Antas 	3708.46899	0.00325
Antas 	3706.54051	0.0034
Antas 	3704.61203	0.00357
Antas 	3702.68355	0.00362
Antas 	3700.75506	0.00359
Antas 	3698.82658	0.00362
Antas 	3696.8981	0.0037
Antas 	3694.96962	0.00381
Antas 	3693.04114	0.00392
Antas 	3691.11266	0.00393
Antas 	3689.18418	0.00366
Antas 	3687.2557	0.00349
Antas 	3685.32722	0.0036
Antas 	3683.39874	0.0038
Antas 	3681.47025	0.00401
Antas 	3679.54177	0.0042
Antas 	3677.61329	0.0043
Antas 	3675.68481	0.00412
Antas 	3673.75633	0.00401
Antas 	3671.82785	0.00419
Antas 	3669.89937	0.0042
Antas 	3667.97089	0.00414
Antas 	3666.04241	0.00431
Antas 	3664.11393	0.00454
Antas 	3662.18544	0.00473
Antas 	3660.25696	0.00492
Antas 	3658.32848	0.00511
Antas 	3656.4	0.00519
Antas 	3654.47152	0.00528
Antas 	3652.54304	0.00553
Antas 	3650.61456	0.00575
Antas 	3648.68608	0.00562
Antas 	3646.7576	0.00557
Antas 	3644.82912	0.00584
Antas 	3642.90063	0.00615
Antas 	3640.97215	0.00641
Antas 	3639.04367	0.00663
Antas 	3637.11519	0.00684
Antas 	3635.18671	0.00705
Antas 	3633.25823	0.00729
Antas 	3631.32975	0.00757
Antas 	3629.40127	0.00769
Antas 	3627.47279	0.00764
Antas 	3625.54431	0.00783
Antas 	3623.61582	0.00816
Antas 	3621.68734	0.00847
Antas 	3619.75886	0.00866
Antas 	3617.83038	0.00877
Antas 	3615.9019	0.00899
Antas 	3613.97342	0.00921
Antas 	3612.04494	0.00936
Antas 	3610.11646	0.00956
Antas 	3608.18798	0.00977
Antas 	3606.2595	0.00995
Antas 	3604.33101	0.01021
Antas 	3602.40253	0.01051
Antas 	3600.47405	0.01074
Antas 	3598.54557	0.01097
Antas 	3596.61709	0.01124
Antas 	3594.68861	0.01147
Antas 	3592.76013	0.01167
Antas 	3590.83165	0.01193
Antas 	3588.90317	0.01219
Antas 	3586.97468	0.01235
Antas 	3585.0462	0.01256
Antas 	3583.11772	0.01288
Antas 	3581.18924	0.0132
Antas 	3579.26076	0.01346
Antas 	3577.33228	0.01367
Antas 	3575.4038	0.01389
Antas 	3573.47532	0.01419
Antas 	3571.54684	0.01455
Antas 	3569.61836	0.01493
Antas 	3567.68987	0.01522
Antas 	3565.76139	0.01535
Antas 	3563.83291	0.01554
Antas 	3561.90443	0.01584
Antas 	3559.97595	0.01613
Antas 	3558.04747	0.01643
Antas 	3556.11899	0.01675
Antas 	3554.19051	0.01702
Antas 	3552.26203	0.01725
Antas 	3550.33355	0.01754
Antas 	3548.40506	0.01791
Antas 	3546.47658	0.01823
Antas 	3544.5481	0.01848
Antas 	3542.61962	0.01876
Antas 	3540.69114	0.01906
Antas 	3538.76266	0.01935
Antas 	3536.83418	0.01962
Antas 	3534.9057	0.01987
Antas 	3532.97722	0.02016
Antas 	3531.04874	0.02047
Antas 	3529.12025	0.02075
Antas 	3527.19177	0.02104
Antas 	3525.26329	0.02136
Antas 	3523.33481	0.02165
Antas 	3521.40633	0.02191
Antas 	3519.47785	0.02221
Antas 	3517.54937	0.0225
Antas 	3515.62089	0.02276
Antas 	3513.69241	0.02302
Antas 	3511.76393	0.0233
Antas 	3509.83544	0.02355
Antas 	3507.90696	0.02381
Antas 	3505.97848	0.02411
Antas 	3504.05	0.02442
Antas 	3502.12152	0.02469
Antas 	3500.19304	0.02495
Antas 	3498.26456	0.02522
Antas 	3496.33608	0.02547
Antas 	3494.4076	0.02571
Antas 	3492.47912	0.02596
Antas 	3490.55063	0.02626
Antas 	3488.62215	0.02657
Antas 	3486.69367	0.02686
Antas 	3484.76519	0.02714
Antas 	3482.83671	0.02741
Antas 	3480.90823	0.02769
Antas 	3478.97975	0.02797
Antas 	3477.05127	0.02824
Antas 	3475.12279	0.02852
Antas 	3473.19431	0.02877
Antas 	3471.26582	0.02902
Antas 	3469.33734	0.02928
Antas 	3467.40886	0.02956
Antas 	3465.48038	0.02987
Antas 	3463.5519	0.03018
