Cultivar	IncubationDays 	Wavelenght	Absorbance
Antas 	0	3997.74114	-0.00394
Antas 	0	3995.81266	-0.00397
Antas 	0	3993.88418	-0.00394
Antas 	0	3991.9557	-0.0039
Antas 	0	3990.02722	-0.00387
Antas 	0	3988.09874	-0.0039
Antas 	0	3986.17025	-0.00398
Antas 	0	3984.24177	-0.004
Antas 	0	3982.31329	-0.00391
Antas 	0	3980.38481	-0.0038
Antas 	0	3978.45633	-0.00376
Antas 	0	3976.52785	-0.00377
Antas 	0	3974.59937	-0.00378
Antas 	0	3972.67089	-0.00378
Antas 	0	3970.74241	-0.00379
Antas 	0	3968.81393	-0.00382
Antas 	0	3966.88544	-0.00389
Antas 	0	3964.95696	-0.004
Antas 	0	3963.02848	-0.00408
Antas 	0	3961.1	-0.00408
Antas 	0	3959.17152	-0.00408
Antas 	0	3957.24304	-0.0041
Antas 	0	3955.31456	-0.00409
Antas 	0	3953.38608	-0.0041
Antas 	0	3951.4576	-0.00415
Antas 	0	3949.52912	-0.00416
Antas 	0	3947.60063	-0.00406
Antas 	0	3945.67215	-0.00404
Antas 	0	3943.74367	-0.00407
Antas 	0	3941.81519	-0.00395
Antas 	0	3939.88671	-0.00386
Antas 	0	3937.95823	-0.00394
Antas 	0	3936.02975	-0.00412
Antas 	0	3934.10127	-0.00428
Antas 	0	3932.17279	-0.00423
Antas 	0	3930.24431	-0.00401
Antas 	0	3928.31582	-0.00398
Antas 	0	3926.38734	-0.00407
Antas 	0	3924.45886	-0.00407
Antas 	0	3922.53038	-0.00403
Antas 	0	3920.6019	-0.00412
Antas 	0	3918.67342	-0.00417
Antas 	0	3916.74494	-0.00403
Antas 	0	3914.81646	-0.00387
Antas 	0	3912.88798	-0.00389
Antas 	0	3910.9595	-0.00401
Antas 	0	3909.03101	-0.00417
Antas 	0	3907.10253	-0.00439
Antas 	0	3905.17405	-0.00448
Antas 	0	3903.24557	-0.00426
Antas 	0	3901.31709	-0.00408
Antas 	0	3899.38861	-0.00406
Antas 	0	3897.46013	-0.00403
Antas 	0	3895.53165	-0.00413
Antas 	0	3893.60317	-0.0043
Antas 	0	3891.67469	-0.00418
Antas 	0	3889.7462	-0.00399
Antas 	0	3887.81772	-0.00417
Antas 	0	3885.88924	-0.00435
Antas 	0	3883.96076	-0.00434
Antas 	0	3882.03228	-0.00433
Antas 	0	3880.1038	-0.00412
Antas 	0	3878.17532	-0.00399
Antas 	0	3876.24684	-0.00417
Antas 	0	3874.31836	-0.00429
Antas 	0	3872.38987	-0.00424
Antas 	0	3870.46139	-0.00409
Antas 	0	3868.53291	-0.004
Antas 	0	3866.60443	-0.00423
Antas 	0	3864.67595	-0.00437
Antas 	0	3862.74747	-0.00417
Antas 	0	3860.81899	-0.00406
Antas 	0	3858.89051	-0.00422
Antas 	0	3856.96203	-0.00457
Antas 	0	3855.03355	-0.00489
Antas 	0	3853.10506	-0.00437
Antas 	0	3851.17658	-0.00369
Antas 	0	3849.2481	-0.00374
Antas 	0	3847.31962	-0.00402
Antas 	0	3845.39114	-0.00432
Antas 	0	3843.46266	-0.00457
Antas 	0	3841.53418	-0.00471
Antas 	0	3839.6057	-0.00466
Antas 	0	3837.67722	-0.00429
Antas 	0	3835.74874	-0.004
Antas 	0	3833.82025	-0.00393
Antas 	0	3831.89177	-0.00391
Antas 	0	3829.96329	-0.00402
Antas 	0	3828.03481	-0.00423
Antas 	0	3826.10633	-0.00431
Antas 	0	3824.17785	-0.00438
Antas 	0	3822.24937	-0.00441
Antas 	0	3820.32089	-0.00412
Antas 	0	3818.39241	-0.0041
Antas 	0	3816.46393	-0.0041
Antas 	0	3814.53544	-0.00384
Antas 	0	3812.60696	-0.00388
Antas 	0	3810.67848	-0.0042
Antas 	0	3808.75	-0.00449
Antas 	0	3806.82152	-0.00445
Antas 	0	3804.89304	-0.00437
Antas 	0	3802.96456	-0.00447
Antas 	0	3801.03608	-0.00424
Antas 	0	3799.1076	-0.00402
Antas 	0	3797.17912	-0.00406
Antas 	0	3795.25063	-0.00398
Antas 	0	3793.32215	-0.00394
Antas 	0	3791.39367	-0.00397
Antas 	0	3789.46519	-0.004
Antas 	0	3787.53671	-0.00407
Antas 	0	3785.60823	-0.00414
Antas 	0	3783.67975	-0.00421
Antas 	0	3781.75127	-0.00432
Antas 	0	3779.82279	-0.00426
Antas 	0	3777.89431	-0.00401
Antas 	0	3775.96582	-0.00392
Antas 	0	3774.03734	-0.00406
Antas 	0	3772.10886	-0.00427
Antas 	0	3770.18038	-0.0043
Antas 	0	3768.2519	-0.00417
Antas 	0	3766.32342	-0.00415
Antas 	0	3764.39494	-0.00416
Antas 	0	3762.46646	-0.00423
Antas 	0	3760.53798	-0.00436
Antas 	0	3758.6095	-0.00433
Antas 	0	3756.68101	-0.00427
Antas 	0	3754.75253	-0.00442
Antas 	0	3752.82405	-0.00463
Antas 	0	3750.89557	-0.00445
Antas 	0	3748.96709	-0.00419
Antas 	0	3747.03861	-0.00445
Antas 	0	3745.11013	-0.00452
Antas 	0	3743.18165	-0.00415
Antas 	0	3741.25317	-0.00417
Antas 	0	3739.32469	-0.0045
Antas 	0	3737.3962	-0.00477
Antas 	0	3735.46772	-0.00458
Antas 	0	3733.53924	-0.00392
Antas 	0	3731.61076	-0.00363
Antas 	0	3729.68228	-0.00378
Antas 	0	3727.7538	-0.00398
Antas 	0	3725.82532	-0.00398
Antas 	0	3723.89684	-0.00392
Antas 	0	3721.96836	-0.00389
Antas 	0	3720.03987	-0.00382
Antas 	0	3718.11139	-0.00382
Antas 	0	3716.18291	-0.00398
Antas 	0	3714.25443	-0.00425
Antas 	0	3712.32595	-0.00431
Antas 	0	3710.39747	-0.00374
Antas 	0	3708.46899	-0.00331
Antas 	0	3706.54051	-0.00336
Antas 	0	3704.61203	-0.00358
Antas 	0	3702.68355	-0.00365
Antas 	0	3700.75506	-0.00346
Antas 	0	3698.82658	-0.00338
Antas 	0	3696.8981	-0.00344
Antas 	0	3694.96962	-0.00353
Antas 	0	3693.04114	-0.00368
Antas 	0	3691.11266	-0.00371
Antas 	0	3689.18418	-0.00317
Antas 	0	3687.2557	-0.0027
Antas 	0	3685.32722	-0.00282
Antas 	0	3683.39874	-0.00311
Antas 	0	3681.47025	-0.00333
Antas 	0	3679.54177	-0.00348
Antas 	0	3677.61329	-0.00362
Antas 	0	3675.68481	-0.00341
Antas 	0	3673.75633	-0.00302
Antas 	0	3671.82785	-0.00304
Antas 	0	3669.89937	-0.00272
Antas 	0	3667.97089	-0.00208
Antas 	0	3666.04241	-0.00189
Antas 	0	3664.11393	-0.0019
Antas 	0	3662.18544	-0.00187
Antas 	0	3660.25696	-0.00182
Antas 	0	3658.32848	-0.00175
Antas 	0	3656.4	-0.00147
Antas 	0	3654.47152	-0.00127
Antas 	0	3652.54304	-0.00155
Antas 	0	3650.61456	-0.00181
Antas 	0	3648.68608	-0.00096
Antas 	0	3646.7576	0.00011
Antas 	0	3644.82912	0.00035
Antas 	0	3642.90063	0.00039
Antas 	0	3640.97215	0.00052
Antas 	0	3639.04367	0.00075
Antas 	0	3637.11519	0.00095
Antas 	0	3635.18671	0.0011
Antas 	0	3633.25823	0.00119
