wavelength	spc
4497.49600	0.02399
4495.56740	0.02396
4493.63880	0.02394
4491.71020	0.02401
4489.78160	0.02409
4487.85300	0.02408
4485.92440	0.02401
4483.99580	0.02401
4482.06720	0.02410
4480.13860	0.02411
4478.21000	0.02401
4476.28140	0.02394
4474.35280	0.02398
4472.42420	0.02407
4470.49560	0.02414
4468.56700	0.02422
4466.63840	0.02427
4464.70980	0.02422
4462.78120	0.02413
4460.85260	0.02404
4458.92400	0.02400
4456.99540	0.02401
4455.06680	0.02405
4453.13820	0.02409
4451.20960	0.02416
4449.28100	0.02422
4447.35240	0.02425
4445.42379	0.02425
4443.49519	0.02429
4441.56659	0.02435
4439.63799	0.02428
4437.70939	0.02420
4435.78079	0.02424
4433.85219	0.02428
4431.92359	0.02424
4429.99499	0.02420
4428.06639	0.02416
4426.13779	0.02410
4424.20919	0.02407
4422.28059	0.02411
4420.35199	0.02423
4418.42339	0.02430
4416.49479	0.02423
4414.56619	0.02413
4412.63759	0.02415
4410.70899	0.02427
4408.78039	0.02436
4406.85179	0.02437
4404.92319	0.02438
4402.99459	0.02443
4401.06599	0.02449
4399.13739	0.02451
4397.20879	0.02448
4395.28019	0.02441
4393.35159	0.02431
4391.42299	0.02425
4389.49438	0.02433
4387.56578	0.02446
4385.63718	0.02442
4383.70858	0.02428
4381.77998	0.02424
4379.85138	0.02433
4377.92278	0.02442
4375.99418	0.02444
4374.06558	0.02443
4372.13698	0.02444
4370.20838	0.02448
4368.27978	0.02452
4366.35118	0.02452
4364.42258	0.02450
4362.49398	0.02445
4360.56538	0.02442
4358.63678	0.02445
4356.70818	0.02454
4354.77958	0.02461
4352.85098	0.02459
4350.92238	0.02456
4348.99378	0.02455
4347.06518	0.02458
4345.13658	0.02462
4343.20798	0.02458
4341.27938	0.02449
4339.35078	0.02446
4337.42218	0.02449
4335.49358	0.02459
4333.56497	0.02468
4331.63637	0.02475
4329.70777	0.02476
4327.77917	0.02469
4325.85057	0.02463
4323.92197	0.02461
4321.99337	0.02458
4320.06477	0.02451
4318.13617	0.02443
4316.20757	0.02434
4314.27897	0.02428
4312.35037	0.02426
4310.42177	0.02429
4308.49317	0.02434
4306.56457	0.02438
4304.63597	0.02440
4302.70737	0.02441
4300.77877	0.02439
4298.85017	0.02426
4296.92157	0.02413
4294.99297	0.02417
4293.06437	0.02428
4291.13577	0.02427
4289.20717	0.02417
4287.27857	0.02414
4285.34997	0.02424
4283.42137	0.02433
4281.49277	0.02430
4279.56417	0.02421
4277.63556	0.02418
4275.70696	0.02421
4273.77836	0.02425
4271.84976	0.02429
4269.92116	0.02430
4267.99256	0.02428
4266.06396	0.02428
4264.13536	0.02433
4262.20676	0.02437
4260.27816	0.02436
4258.34956	0.02435
4256.42096	0.02434
4254.49236	0.02433
4252.56376	0.02436
4250.63516	0.02435
4248.70656	0.02428
4246.77796	0.02425
4244.84936	0.02427
4242.92076	0.02429
4240.99216	0.02427
4239.06356	0.02419
4237.13496	0.02412
4235.20636	0.02414
4233.27776	0.02427
4231.34916	0.02437
4229.42056	0.02433
4227.49196	0.02429
4225.56336	0.02425
4223.63476	0.02415
4221.70615	0.02409
4219.77755	0.02410
4217.84895	0.02413
4215.92035	0.02422
4213.99175	0.02432
4212.06315	0.02433
4210.13455	0.02423
4208.20595	0.02412
4206.27735	0.02411
4204.34875	0.02410
4202.42015	0.02399
4200.49155	0.02393
4198.56295	0.02405
4196.63435	0.02421
4194.70575	0.02423
4192.77715	0.02419
4190.84855	0.02419
4188.91995	0.02416
4186.99135	0.02409
4185.06275	0.02407
4183.13415	0.02409
4181.20555	0.02409
4179.27695	0.02408
4177.34835	0.02405
4175.41975	0.02401
4173.49115	0.02405
4171.56255	0.02411
4169.63395	0.02409
4167.70535	0.02404
4165.77674	0.02407
4163.84814	0.02411
4161.91954	0.02411
4159.99094	0.02410
4158.06234	0.02410
4156.13374	0.02406
4154.20514	0.02400
4152.27654	0.02398
4150.34794	0.02398
4148.41934	0.02403
4146.49074	0.02410
4144.56214	0.02413
4142.63354	0.02405
4140.70494	0.02395
4138.77634	0.02392
4136.84774	0.02398
4134.91914	0.02401
4132.99054	0.02397
4131.06194	0.02393
4129.13334	0.02395
4127.20474	0.02395
4125.27614	0.02391
4123.34754	0.02391
4121.41894	0.02397
4119.49034	0.02401
4117.56174	0.02394
4115.63314	0.02381
4113.70454	0.02378
4111.77594	0.02390
4109.84733	0.02399
4107.91873	0.02394
4105.99013	0.02380
4104.06153	0.02373
4102.13293	0.02381
4100.20433	0.02394
4098.27573	0.02400
4096.34713	0.02400
4094.41853	0.02398
4092.48993	0.02393
4090.56133	0.02390
4088.63273	0.02389
4086.70413	0.02391
4084.77553	0.02393
4082.84693	0.02391
4080.91833	0.02385
4078.98973	0.02380
4077.06113	0.02376
4075.13253	0.02374
4073.20393	0.02372
4071.27533	0.02373
4069.34673	0.02377
4067.41813	0.02378
4065.48953	0.02379
4063.56093	0.02382
4061.63233	0.02385
4059.70373	0.02387
4057.77513	0.02386
4055.84653	0.02383
4053.91792	0.02382
4051.98932	0.02383
4050.06072	0.02380
4048.13212	0.02371
4046.20352	0.02369
4044.27492	0.02382
4042.34632	0.02397
4040.41772	0.02406
4038.48912	0.02407
4036.56052	0.02398
4034.63192	0.02375
4032.70332	0.02353
4030.77472	0.02343
4028.84612	0.02345
4026.91752	0.02353
4024.98892	0.02361
4023.06032	0.02362
4021.13172	0.02362
4019.20312	0.02367
4017.27452	0.02375
4015.34592	0.02380
4013.41732	0.02378
4011.48872	0.02372
4009.56012	0.02365
4007.63152	0.02361
4005.70292	0.02357
4003.77432	0.02353
4001.84572	0.02352
3999.91712	0.02356
3997.98851	0.02356
3996.05991	0.02353
3994.13131	0.02354
3992.20271	0.02361
3990.27411	0.02366
3988.34551	0.02364
3986.41691	0.02356
3984.48831	0.02350
3982.55971	0.02348
3980.63111	0.02348
3978.70251	0.02346
3976.77391	0.02347
3974.84531	0.02349
3972.91671	0.02348
3970.98811	0.02344
3969.05951	0.02337
3967.13091	0.02333
3965.20231	0.02334
