"Date" "TT"
"1" 2015-06-24 13.055375
"2" 2015-06-25 25.49954891
"3" 2015-06-26 36.12669475
"4" 2015-06-27 46.12669475
"5" 2015-06-28 53.051861417
"6" 2015-06-29 62.426007251
"7" 2015-06-30 77.893007251
"8" 2015-07-01 90.660007251
"9" 2015-07-02 100.242507251
"10" 2015-07-03 109.837507251
"11" 2015-07-04 116.992007251
"12" 2015-07-05 126.198507251
"13" 2015-07-06 131.518507251
"14" 2015-07-07 134.993007251
"15" 2015-07-08 138.430007251
"16" 2015-07-09 143.073507251
"17" 2015-07-10 146.211007251
"18" 2015-07-11 147.942507251
"19" 2015-07-12 149.614507251
"20" 2015-07-13 152.930507251
"21" 2015-07-14 161.325507251
"22" 2015-07-15 172.604007251
"23" 2015-07-16 180.419007251
"24" 2015-07-17 186.430007251
"25" 2015-07-18 191.730007251
"26" 2015-07-19 196.859507251
"27" 2015-07-20 201.152007251
"28" 2015-07-21 206.970007251
"29" 2015-07-22 214.864507251
"30" 2015-07-23 222.562007251
"31" 2015-07-24 230.932507251
"32" 2015-07-25 240.890507251
"33" 2015-07-26 255.132507251
"34" 2015-07-27 266.256007251
"35" 2015-07-28 275.032507251
"36" 2015-07-29 281.584507251
"37" 2015-07-30 286.132507251
"38" 2015-07-31 292.710007251
"39" 2015-08-01 302.041007251
"40" 2015-08-02 314.103007251
"41" 2015-08-03 326.841507251
"42" 2015-08-04 337.516007251
"43" 2015-08-05 343.532507251
"44" 2015-08-06 350.071007251
"45" 2015-08-07 355.416507251
"46" 2015-08-08 360.315507251
"47" 2015-08-09 362.516007251
"48" 2015-08-10 366.330507251
"49" 2015-08-11 370.627007251
"50" 2015-08-12 375.269507251
"51" 2015-08-13 384.389507251
"52" 2015-08-14 394.732007251
"53" 2015-08-15 405.609507251
"54" 2015-08-16 413.208007251
"55" 2015-08-17 420.251007251
"56" 2015-08-18 432.174507251
"57" 2015-08-19 441.630007251
"58" 2015-08-20 447.526007251
"59" 2015-08-21 452.739007251
"60" 2015-08-22 459.495007251
"61" 2015-08-23 466.452007251
"62" 2015-08-24 475.478007251
"63" 2015-08-25 480.668007251
"64" 2015-08-26 486.784007251
"65" 2015-08-27 493.052007251
"66" 2015-08-28 496.296507251
"67" 2015-08-29 504.393507251
"68" 2015-08-30 510.928007251
"69" 2015-08-31 516.983007251
"70" 2015-09-01 523.145507251
"71" 2015-09-02 534.993007251
"72" 2015-09-03 542.826007251
"73" 2015-09-04 549.465507251
"74" 2015-09-05 559.155507251
"75" 2015-09-06 564.663007251
"76" 2015-09-07 570.571007251
"77" 2015-09-08 575.521007251
"78" 2015-09-09 581.413507251
"79" 2015-09-10 593.443007251
"80" 2015-09-11 600.303007251
"81" 2015-09-12 607.509507251
"82" 2015-09-13 615.596507251
"83" 2015-09-14 623.560507251
"84" 2015-09-15 638.008507251
"85" 2015-09-16 653.221507251
"86" 2015-09-17 668.137507251
"87" 2015-09-18 680.203507251
"88" 2015-09-19 687.553007251
"89" 2015-09-20 694.291507251
"90" 2015-09-21 699.932007251
"91" 2015-09-22 705.058507251
"92" 2015-09-23 715.103507251
"93" 2015-09-24 723.722507251
"94" 2015-09-25 730.559507251
"95" 2015-09-26 739.235507251
"96" 2015-09-27 746.926007251
"97" 2015-09-28 753.619507251
"98" 2015-09-29 765.030507251
"99" 2015-09-30 777.128007251
"100" 2015-10-01 791.957007251
"101" 2015-10-02 804.286007251
"102" 2015-10-03 814.724007251
"103" 2015-10-04 832.281507251
"104" 2015-10-05 843.853507251
"105" 2015-10-06 859.652507251
"106" 2015-10-07 879.334007251
"107" 2015-10-08 887.969007251
"108" 2015-10-09 897.143507251
"109" 2015-10-10 907.811007251
"110" 2015-10-11 921.698007251
"111" 2015-10-12 936.574007251
"112" 2015-10-13 947.336507251
"113" 2015-10-14 958.066507251
"114" 2015-10-15 968.360507251
"115" 2015-10-16 985.191507251
"116" 2015-10-17 999.739007251
"117" 2015-10-18 1014.203507251
"118" 2015-10-19 1024.754507251
"119" 2015-10-20 1036.223507251
"120" 2015-10-21 1053.026507251
"121" 2015-10-22 1064.057507251
"122" 2015-10-23 1075.387007251
"123" 2015-10-24 1086.819007251
"124" 2015-10-25 1096.651507251
"125" 2015-10-26 1112.329007251
"126" 2015-10-27 1123.235507251
"127" 2015-10-28 1133.650507251
"128" 2015-10-29 1142.219007251
"129" 2015-10-30 1152.047007251
"130" 2015-10-31 1162.504507251
"131" 2015-11-01 1174.775007251
"132" 2015-11-02 1189.550007251
"133" 2015-11-03 1202.625007251
"134" 2015-11-04 1208.526007251
"135" 2015-11-05 1216.135507251
"136" 2015-11-06 1227.698007251
"137" 2015-11-07 1240.455507251
"138" 2015-11-08 1255.852007251
"139" 2015-11-09 1269.649007251
"140" 2015-11-10 1285.131007251
"141" 2015-11-11 1295.502007251
"142" 2015-11-12 1304.754007251
"143" 2015-11-13 1315.833507251
"144" 2015-11-14 1329.680507251
"145" 2015-11-15 1340.536507251
"146" 2015-11-16 1350.695507251
"147" 2015-11-17 1363.167007251
"148" 2015-11-18 1372.955507251
"149" 2015-11-19 1380.774007251
"150" 2015-11-20 1397.312007251
"151" 2015-11-21 1409.062007251
"152" 2015-11-22 1420.745507251
"153" 2015-11-23 1435.748507251
"154" 2015-11-24 1456.499507251
"155" 2015-11-25 1476.207507251
"156" 2015-11-26 1494.825507251
"157" 2015-11-27 1512.666507251
"158" 2015-11-28 1529.345007251
"159" 2015-11-29 1541.838507251
"160" 2015-11-30 1557.547007251
"161" 2015-12-01 1574.906507251
"162" 2015-12-02 1599.021007251
"163" 2015-12-03 1618.908507251
"164" 2015-12-04 1635.010507251
"165" 2015-12-05 1651.720007251
"166" 2015-12-06 1662.709507251
"167" 2015-12-07 1675.749507251
"168" 2015-12-08 1688.364007251
"169" 2015-12-09 1702.522507251
"170" 2015-12-10 1722.497007251
"171" 2015-12-11 1736.539007251
"172" 2015-12-12 1755.108007251
"173" 2015-12-13 1767.131007251
"174" 2015-12-14 1782.068007251
"175" 2015-12-15 1798.596507251
"176" 2015-12-16 1809.794507251
"177" 2015-12-17 1821.048007251
"178" 2015-12-18 1832.935507251
"179" 2015-12-19 1845.109507251
"180" 2015-12-20 1858.936007251
"181" 2015-12-21 1882.685507251
"182" 2015-12-22 1897.779007251
"183" 2015-12-23 1907.963507251
"184" 2015-12-24 1923.367507251
"185" 2015-12-25 1940.015507251
"186" 2015-12-26 1954.154007251
"187" 2015-12-27 1969.939007251
"188" 2015-12-28 1986.462507251
"189" 2015-12-29 1998.897507251
"190" 2015-12-30 2009.430507251
"191" 2015-12-31 2023.980007251
"192" 2016-01-01 2041.658507251
"193" 2016-01-02 2058.059507251
"194" 2016-01-03 2070.680007251
"195" 2016-01-04 2082.616007251
"196" 2016-01-05 2094.311007251
"197" 2016-01-06 2108.140007251
"198" 2016-01-07 2125.328007251
"199" 2016-01-08 2143.246507251
"200" 2016-01-09 2157.104507251
"201" 2016-01-10 2171.903007251
"202" 2016-01-11 2185.523007251
"203" 2016-01-12 2203.037507251
"204" 2016-01-13 2215.848007251
"205" 2016-01-14 2229.410507251
