"Date" "TT"
"1" 2015-06-24 5.66
"2" 2015-06-25 10.28
"3" 2015-06-26 16.64
"4" 2015-06-27 21.98
"5" 2015-06-28 27.86
"6" 2015-06-29 34.08
"7" 2015-06-30 47.13
"8" 2015-07-01 59.25
"9" 2015-07-02 68.13
"10" 2015-07-03 74.85
"11" 2015-07-04 80.63
"12" 2015-07-05 87.13
"13" 2015-07-06 91.61
"14" 2015-07-07 94.03
"15" 2015-07-08 96.05
"16" 2015-07-09 100.34
"17" 2015-07-10 104.64
"18" 2015-07-11 107.07
"19" 2015-07-12 108.96
"20" 2015-07-13 112.19
"21" 2015-07-14 116.94
"22" 2015-07-15 125
"23" 2015-07-16 132.48
"24" 2015-07-17 139.29
"25" 2015-07-18 143.99
"26" 2015-07-19 147.44
"27" 2015-07-20 150.43
"28" 2015-07-21 153.62
"29" 2015-07-22 158.77
"30" 2015-07-23 165.54
"31" 2015-07-24 172.38
"32" 2015-07-25 179.81
"33" 2015-07-26 188.45
"34" 2015-07-27 196.21
"35" 2015-07-28 204.92
"36" 2015-07-29 211.29
"37" 2015-07-30 216.25
"38" 2015-07-31 221.22
"39" 2015-08-01 228.79
"40" 2015-08-02 237.4
"41" 2015-08-03 247.31
"42" 2015-08-04 256.4
"43" 2015-08-05 262.53
"44" 2015-08-06 268.28
"45" 2015-08-07 275.24
"46" 2015-08-08 280.24
"47" 2015-08-09 282.66
"48" 2015-08-10 286.66
"49" 2015-08-11 291.7
"50" 2015-08-12 297.16
"51" 2015-08-13 304.37
"52" 2015-08-14 313.12
"53" 2015-08-15 323.64
"54" 2015-08-16 331.51
"55" 2015-08-17 338.47
"56" 2015-08-18 345.69
"57" 2015-08-19 354.37
"58" 2015-08-20 361.47
"59" 2015-08-21 366.92
"60" 2015-08-22 373.05
"61" 2015-08-23 379.13
"62" 2015-08-24 385.24
"63" 2015-08-25 390.68
"64" 2015-08-26 396.57
"65" 2015-08-27 402.73
"66" 2015-08-28 407.79
"67" 2015-08-29 414.86
"68" 2015-08-30 422.27
"69" 2015-08-31 430.61
"70" 2015-09-01 437.61
"71" 2015-09-02 446.97
"72" 2015-09-03 456.1
"73" 2015-09-04 462.64
"74" 2015-09-05 469.83
"75" 2015-09-06 475.93
"76" 2015-09-07 481.82
"77" 2015-09-08 488.67
"78" 2015-09-09 496.17
"79" 2015-09-10 505.13
"80" 2015-09-11 513.07
"81" 2015-09-12 521.73
"82" 2015-09-13 530.13
"83" 2015-09-14 539.91
"84" 2015-09-15 551.64
"85" 2015-09-16 563.33
"86" 2015-09-17 574.03
"87" 2015-09-18 585.35
"88" 2015-09-19 593.17
"89" 2015-09-20 601.28
"90" 2015-09-21 609.97
"91" 2015-09-22 619.19
"92" 2015-09-23 630.64
"93" 2015-09-24 641.88
"94" 2015-09-25 652.63
"95" 2015-09-26 664.08
"96" 2015-09-27 673.84
"97" 2015-09-28 684.96
"98" 2015-09-29 697.04
"99" 2015-09-30 709.12
"100" 2015-10-01 721.84
"101" 2015-10-02 734.18
"102" 2015-10-03 747.03
"103" 2015-10-04 759.41
"104" 2015-10-05 770.7
"105" 2015-10-06 784.5
"106" 2015-10-07 799.71
"107" 2015-10-08 811.94
"108" 2015-10-09 823.56
"109" 2015-10-10 835.7
"110" 2015-10-11 848.96
"111" 2015-10-12 862.02
"112" 2015-10-13 874.7
"113" 2015-10-14 887.51
"114" 2015-10-15 900.08
"115" 2015-10-16 914.74
"116" 2015-10-17 927.85
"117" 2015-10-18 941.56
"118" 2015-10-19 954.73
"119" 2015-10-20 967.36
"120" 2015-10-21 981.73
"121" 2015-10-22 994.46
"122" 2015-10-23 1007.22
"123" 2015-10-24 1020.28
"124" 2015-10-25 1032.77
"125" 2015-10-26 1047.1
"126" 2015-10-27 1059.73
"127" 2015-10-28 1071.71
"128" 2015-10-29 1083.08
"129" 2015-10-30 1095.28
"130" 2015-10-31 1107.82
"131" 2015-11-01 1121.83
"132" 2015-11-02 1137.6
"133" 2015-11-03 1150.7
"134" 2015-11-04 1161.21
"135" 2015-11-05 1172.58
"136" 2015-11-06 1185.71
"137" 2015-11-07 1200.35
"138" 2015-11-08 1215.18
"139" 2015-11-09 1230.43
"140" 2015-11-10 1249.04
"141" 2015-11-11 1262.85
"142" 2015-11-12 1275.69
"143" 2015-11-13 1292.9
"144" 2015-11-14 1307.67
"145" 2015-11-15 1322.23
"146" 2015-11-16 1339.88
"147" 2015-11-17 1355.54
"148" 2015-11-18 1371.01
"149" 2015-11-19 1386.74
"150" 2015-11-20 1402.2
"151" 2015-11-21 1419.33
"152" 2015-11-22 1437.58
"153" 2015-11-23 1453.72
"154" 2015-11-24 1471.96
"155" 2015-11-25 1492.56
"156" 2015-11-26 1513.31
"157" 2015-11-27 1531.22
"158" 2015-11-28 1549.3
"159" 2015-11-29 1567.77
"160" 2015-11-30 1587.85
"161" 2015-12-01 1607.93
"162" 2015-12-02 1629.7
"163" 2015-12-03 1647.85
"164" 2015-12-04 1669.24
"165" 2015-12-05 1688.68
"166" 2015-12-06 1704.83
"167" 2015-12-07 1721.31
"168" 2015-12-08 1738.36
"169" 2015-12-09 1757.05
"170" 2015-12-10 1776.67
"171" 2015-12-11 1795.2
"172" 2015-12-12 1814.27
"173" 2015-12-13 1828.88
"174" 2015-12-14 1846.38
"175" 2015-12-15 1865.28
"176" 2015-12-16 1880.81
"177" 2015-12-17 1895.66
"178" 2015-12-18 1912.62
"179" 2015-12-19 1929.06
"180" 2015-12-20 1944.63
"181" 2015-12-21 1965.33
"182" 2015-12-22 1980.9
"183" 2015-12-23 1996.8
"184" 2015-12-24 2016.13
"185" 2015-12-25 2036.85
"186" 2015-12-26 2057.2
"187" 2015-12-27 2076.68
"188" 2015-12-28 2096.79
"189" 2015-12-29 2115.97
"190" 2015-12-30 2131.79
"191" 2015-12-31 2149.69
"192" 2016-01-01 2170.18
"193" 2016-01-02 2188.73
"194" 2016-01-03 2204.8
"195" 2016-01-04 2220.5
"196" 2016-01-05 2237.87
"197" 2016-01-06 2255.25
"198" 2016-01-07 2273.44
"199" 2016-01-08 2292.11
"200" 2016-01-09 2308.62
"201" 2016-01-10 2324.91
"202" 2016-01-11 2341.13
"203" 2016-01-12 2360.53
"204" 2016-01-13 2378.14
"205" 2016-01-14 2394.45
"206" 2016-01-15 2410.61
"207" 2016-01-16 2426.66
"208" 2016-01-17 2443.07
"209" 2016-01-18 2459.57
"210" 2016-01-19 2476.66
"211" 2016-01-20 2495.78
"212" 2016-01-21 2515.42
"213" 2016-01-22 2535.97
"214" 2016-01-23 2556.24
"215" 2016-01-24 2575.57
"216" 2016-01-25 2594.7
"217" 2016-01-26 2612.29
"218" 2016-01-27 2628.85
"219" 2016-01-28 2645.33
"220" 2016-01-29 2662.44
"221" 2016-01-30 2679.65
"222" 2016-01-31 2696.54
"223" 2016-02-01 2715.68
"224" 2016-02-02 2737.93
"225" 2016-02-03 2759.03
"226" 2016-02-04 2781.99
"227" 2016-02-05 2802.42
"228" 2016-02-06 2821.57
"229" 2016-02-07 2841.42
"230" 2016-02-08 2863.35
"231" 2016-02-09 2883.1
"232" 2016-02-10 2902.83
"233" 2016-02-11 2923.65
"234" 2016-02-12 2946.09
"235" 2016-02-13 2966.44
"236" 2016-02-14 2987.96
"237" 2016-02-15 3009.97
"238" 2016-02-16 3031.61
"239" 2016-02-17 3052.3
"240" 2016-02-18 3071.4
"241" 2016-02-19 3089.85
"242" 2016-02-20 3109.73
"243" 2016-02-21 3129.12
"244" 2016-02-22 3147.88
"245" 2016-02-23 3167.32
"246" 2016-02-24 3188.91
"247" 2016-02-25 3209.78
"248" 2016-02-26 3231.4
"249" 2016-02-27 3253.77
"250" 2016-02-28 3274.2
"251" 2016-02-29 3289.96
"252" 2016-03-01 3307.45
"253" 2016-03-02 3325.32
"254" 2016-03-03 3343.54
"255" 2016-03-04 3362.31
"256" 2016-03-05 3383.13
"257" 2016-03-06 3403.78
"258" 2016-03-07 3421.92
"259" 2016-03-08 3438.56
"260" 2016-03-09 3455.54
"261" 2016-03-10 3475.2
"262" 2016-03-11 3490.39
"263" 2016-03-12 3504.55
"264" 2016-03-13 3521.56
"265" 2016-03-14 3539.3
"266" 2016-03-15 3555.36
"267" 2016-03-16 3567.66
"268" 2016-03-17 3581.58
"269" 2016-03-18 3597.35
"270" 2016-03-19 3615.83
"271" 2016-03-20 3634.84
"272" 2016-03-21 3654.11
"273" 2016-03-22 3672.56
"274" 2016-03-23 3690.1
"275" 2016-03-24 3708.26
"276" 2016-03-25 3723.95
"277" 2016-03-26 3738.7
"278" 2016-03-27 3754.82
"279" 2016-03-28 3770.69
"280" 2016-03-29 3785.69
"281" 2016-03-30 3799.95
"282" 2016-03-31 3814.41
"283" 2016-04-01 3830.84
"284" 2016-04-02 3847.76
"285" 2016-04-03 3865.23
"286" 2016-04-04 3879.29
"287" 2016-04-05 3891.68
"288" 2016-04-06 3905.19
"289" 2016-04-07 3920.84
"290" 2016-04-08 3935.07
"291" 2016-04-09 3948.47
"292" 2016-04-10 3962.29
"293" 2016-04-11 3976.73
"294" 2016-04-12 3990.13
"295" 2016-04-13 4000.92
"296" 2016-04-14 4013.04
"297" 2016-04-15 4025.1
"298" 2016-04-16 4039.34
"299" 2016-04-17 4052.12
"300" 2016-04-18 4065.42
"301" 2016-04-19 4077.38
"302" 2016-04-20 4089.53
"303" 2016-04-21 4101.66
"304" 2016-04-22 4115.16
"305" 2016-04-23 4128.14
"306" 2016-04-24 4138.78
"307" 2016-04-25 4150.17
"308" 2016-04-26 4161.15
"309" 2016-04-27 4172.68
"310" 2016-04-28 4184.56
"311" 2016-04-29 4194.63
"312" 2016-04-30 4206.51
"313" 2016-05-01 4220.28
"314" 2016-05-02 4233.96
"315" 2016-05-03 4248.71
"316" 2016-05-04 4263.88
"317" 2016-05-05 4279.13
"318" 2016-05-06 4291.36
"319" 2016-05-07 4302.86
"320" 2016-05-08 4316.42
"321" 2016-05-09 4327.7
"322" 2016-05-10 4340.98
"323" 2016-05-11 4356.95
"324" 2016-05-12 4371.04
"325" 2016-05-13 4383.11
"326" 2016-05-14 4394.7
"327" 2016-05-15 4406.15
"328" 2016-05-16 4417.66
"329" 2016-05-17 4425.93
"330" 2016-05-18 4436.03
"331" 2016-05-19 4443.58
"332" 2016-05-20 4452.48
"333" 2016-05-21 4461.02
"334" 2016-05-22 4468.28
"335" 2016-05-23 4476.8
"336" 2016-05-24 4485.12
"337" 2016-05-25 4494.06
"338" 2016-05-26 4503
"339" 2016-05-27 4510.57
"340" 2016-05-28 4519.58
"341" 2016-05-29 4527.88
"342" 2016-05-30 4534.89
"343" 2016-05-31 4541.78
"344" 2016-06-01 4549.34
"345" 2016-06-02 4554.47
"346" 2016-06-03 4559.31
"347" 2016-06-04 4564.6
"348" 2016-06-05 4570.56
"349" 2016-06-06 4574.75
"350" 2016-06-07 4581.15
"351" 2016-06-08 4588.35
"352" 2016-06-09 4597.68
"353" 2016-06-10 4609.78
"354" 2016-06-11 4618.35
"355" 2016-06-12 4625.58
"356" 2016-06-13 4630.39
"357" 2016-06-14 4637.42
"358" 2016-06-15 4646.11
"359" 2016-06-16 4651.98
"360" 2016-06-17 4657.34
"361" 2016-06-18 4662.49
"362" 2016-06-19 4670.52
"363" 2016-06-20 4679.36
"364" 2016-06-21 4688.81
"365" 2016-06-22 4700.81
"366" 2016-06-23 4712.19
"367" 2016-06-24 4721.74
"368" 2016-06-25 4727.84
"369" 2016-06-26 4736.06
"370" 2016-06-27 4745.15
"371" 2016-06-28 4753.84
"372" 2016-06-29 4760.24
"373" 2016-06-30 4766.36
"374" 2016-07-01 4771.52
"375" 2016-07-02 4775.57
"376" 2016-07-03 4781.9
"377" 2016-07-04 4788.86
"378" 2016-07-05 4795.78
"379" 2016-07-06 4800.45
"380" 2016-07-07 4806.14
"381" 2016-07-08 4813.64
"382" 2016-07-09 4818.46
"383" 2016-07-10 4822.56
"384" 2016-07-11 4825.67
"385" 2016-07-12 4830.45
"386" 2016-07-13 4838.68
"387" 2016-07-14 4845.73
"388" 2016-07-15 4851.98
"389" 2016-07-16 4856.56
"390" 2016-07-17 4862.74
"391" 2016-07-18 4869.29
"392" 2016-07-19 4875.63
"393" 2016-07-20 4881
"394" 2016-07-21 4886.45
"395" 2016-07-22 4892.12
