Date	Plot	Depth	Block	Cultivar	SowTreat	SowingD	DAS	SampleArea_m2	WaterAct	MoistureEstimate
9/02/2016	1	Above	1	Antas	S1	24/06/2015	230	2	0.53	8
9/02/2016	2	Above	1	Monti	S1	24/06/2015	230	2	0.544	8.216186
9/02/2016	3	Above	1	Denmark	S1	24/06/2015	230	2	0.549	8.334771712
9/02/2016	4	Above	1	Leura	S1	24/06/2015	230	2	0.55	8.380402582
9/02/2016	5	Above	1	Narrikup	S1	24/06/2015	230	2	0.521	8.38975
9/02/2016	6	Above	1	Woogenellup	S1	24/06/2015	230	2	0.514	8.146412798
9/02/2016	7	Above	2	Antas	S1	24/06/2015	230	2	0.541	8.095243792
9/02/2016	8	Above	2	Woogenellup	S1	24/06/2015	230	2	0.547	8.308252678
9/02/2016	9	Above	2	Denmark	S1	24/06/2015	230	2	0.578	8.361931114
9/02/2016	10	Above	2	Monti	S1	24/06/2015	230	2	0.56	8.684677136
9/02/2016	11	Above	2	Narrikup	S1	24/06/2015	230	2	0.555	8.487488
9/02/2016	12	Above	2	Leura	S1	24/06/2015	230	2	0.56	8.43763225
9/02/2016	13	Above	3	Woogenellup	S1	24/06/2015	230	2	0.512	8.487488
9/02/2016	14	Above	3	Antas	S1	24/06/2015	230	2	0.54	8.081083904
9/02/2016	15	Above	3	Monti	S1	24/06/2015	230	2	0.55	8.299552
9/02/2016	16	Above	3	Narrikup	S1	24/06/2015	230	2	0.547	8.38975
9/02/2016	17	Above	3	Denmark	S1	24/06/2015	230	2	0.598	8.361931114
9/02/2016	18	Above	3	Leura	S1	24/06/2015	230	2	0.599	8.940140656
9/02/2016	1	Below	1	Antas	S1	24/06/2015	230	2	0.51	8.954015282
9/02/2016	2	Below	1	Monti	S1	24/06/2015	230	2	0.61	8.067118
9/02/2016	3	Below	1	Denmark	S1	24/06/2015	230	2	0.581	9.114058
9/02/2016	4	Below	1	Leura	S1	24/06/2015	230	2	0.54	8.720430038
9/02/2016	5	Below	1	Narrikup	S1	24/06/2015	230	2	0.521	8.299552
9/02/2016	6	Below	1	Woogenellup	S1	24/06/2015	230	2	0.509	8.146412798
9/02/2016	7	Below	2	Antas	S1	24/06/2015	230	2	0.55	8.060206022
9/02/2016	8	Below	2	Woogenellup	S1	24/06/2015	230	2	0.542	8.38975
9/02/2016	9	Below	2	Denmark	S1	24/06/2015	230	2	0.58	8.317022384
9/02/2016	10	Below	2	Monti	S1	24/06/2015	230	2	0.56	8.708416
9/02/2016	11	Below	2	Narrikup	S1	24/06/2015	230	2	0.502	8.487488
9/02/2016	12	Below	2	Leura	S1	24/06/2015	230	2	0.554	8.013080944
9/02/2016	13	Below	3	Woogenellup	S1	24/06/2015	230	2	0.51	8.427900752
9/02/2016	14	Below	3	Antas	S1	24/06/2015	230	2	0.53	8.067118
9/02/2016	15	Below	3	Monti	S1	24/06/2015	230	2	0.56	8.216186
9/02/2016	16	Below	3	Narrikup	S1	24/06/2015	230	2	0.515	8.487488
9/02/2016	17	Below	3	Denmark	S1	24/06/2015	230	2	0.578	8.10239825
9/02/2016	18	Below	3	Leura	S1	24/06/2015	230	2	0.557	8.684677136
27/02/2016	19	Above	1	Narrikup	S2	28/07/2015	214	0.3	0.597	8.457332774
27/02/2016	20	Above	1	Monti	S2	28/07/2015	214	0.3	0.584	8.926375414
27/02/2016	21	Above	1	Woogenellup	S2	28/07/2015	214	0.3	0.589	8.757059072
27/02/2016	22	Above	1	Leura	S2	28/07/2015	214	0.3	0.585	8.820106342
27/02/2016	23	Above	1	Denmark	S2	28/07/2015	214	0.3	0.59	8.76946675
27/02/2016	24	Above	1	Antas	S2	28/07/2015	214	0.3	0.544	8.833022
27/02/2016	25	Above	2	Leura	S2	28/07/2015	214	0.3	0.595	8.334771712
27/02/2016	26	Above	2	Woogenellup	S2	28/07/2015	214	0.3	0.576	8.89917025
27/02/2016	27	Above	2	Denmark	S2	28/07/2015	214	0.3	0.596	8.661319168
27/02/2016	28	Above	2	Narrikup	S2	28/07/2015	214	0.3	0.592	8.912718848
27/02/2016	29	Above	2	Antas	S2	28/07/2015	214	0.3	0.565	8.859165184
27/02/2016	30	Above	2	Monti	S2	28/07/2015	214	0.3	0.57	8.53940575
27/02/2016	31	Above	3	Denmark	S2	28/07/2015	214	0.3	0.589	8.593474
27/02/2016	32	Above	3	Antas	S2	28/07/2015	214	0.3	0.592	8.820106342
27/02/2016	33	Above	3	Monti	S2	28/07/2015	214	0.3	0.578	8.859165184
27/02/2016	34	Above	3	Woogenellup	S2	28/07/2015	214	0.3	0.599	8.684677136
27/02/2016	35	Above	3	Leura	S2	28/07/2015	214	0.3	0.585	8.954015282
27/02/2016	36	Above	3	Narrikup	S2	28/07/2015	214	0.3	0.445	8.76946675
27/02/2016	19	Below	1	Narrikup	S2	28/07/2015	214	0.3	0.538	7.68336775
27/02/2016	20	Below	1	Monti	S2	28/07/2015	214	0.3	0.584	8.282354896
27/02/2016	21	Below	1	Woogenellup	S2	28/07/2015	214	0.3	0.596	8.757059072
27/02/2016	22	Below	1	Leura	S2	28/07/2015	214	0.3	0.579	8.912718848
27/02/2016	23	Below	1	Denmark	S2	28/07/2015	214	0.3	0.596	8.696498602
27/02/2016	24	Below	1	Antas	S2	28/07/2015	214	0.3	0.585	8.912718848
27/02/2016	25	Below	2	Leura	S2	28/07/2015	214	0.3	0.579	8.76946675
27/02/2016	26	Below	2	Woogenellup	S2	28/07/2015	214	0.3	0.568	8.696498602
27/02/2016	27	Below	2	Denmark	S2	28/07/2015	214	0.3	0.589	8.571582976
27/02/2016	28	Below	2	Narrikup	S2	28/07/2015	214	0.3	0.572	8.820106342
27/02/2016	29	Below	2	Antas	S2	28/07/2015	214	0.3	0.597	8.615723264
27/02/2016	30	Below	2	Monti	S2	28/07/2015	214	0.3	0.594	8.926375414
27/02/2016	31	Below	3	Denmark	S2	28/07/2015	214	0.3	0.59	8.885728912
27/02/2016	32	Below	3	Antas	S2	28/07/2015	214	0.3	0.581	8.833022
27/02/2016	33	Below	3	Monti	S2	28/07/2015	214	0.3	0.573	8.720430038
27/02/2016	34	Below	3	Woogenellup	S2	28/07/2015	214	0.3	0.581	8.626984006
27/02/2016	35	Below	3	Leura	S2	28/07/2015	214	0.3	0.594	8.720430038
27/02/2016	36	Below	3	Narrikup	S2	28/07/2015	214	0.3	0.507	8.885728912
24/03/2016	37	Above	1	Denmark	S3	15/09/2015	191	0.2	0.486	8.046520474
24/03/2016	38	Above	1	Antas	S3	15/09/2015	191	0.2	0.585	7.912596208
15/03/2016	39	Above	1	Woogenellup	S3	15/09/2015	182	0.2	0.482	8.76946675
15/03/2016	40	Above	1	Leura	S3	15/09/2015	182	0.2	0.454	7.888791824
15/03/2016	41	Above	1	Narrikup	S3	15/09/2015	182	0.2	0.522	7.731834352
15/03/2016	42	Above	1	Monti	S3	15/09/2015	182	0.2	0.468	8.153936464
24/03/2016	43	Above	2	Woogenellup	S3	15/09/2015	191	0.2	0.485	7.808613376
24/03/2016	44	Above	2	Leura	S3	15/09/2015	191	0.2	0.467	7.90660175
7/03/2016	45	Above	2	Narrikup	S3	15/09/2015	174	0.2	0.491	7.803039434
7/03/2016	46	Above	2	Antas	S3	15/09/2015	174	0.2	0.533	7.943033978
7/03/2016	47	Above	2	Denmark	S3	15/09/2015	174	0.2	0.49	8.240520566
7/03/2016	48	Above	2	Monti	S3	15/09/2015	174	0.2	0.47	7.936882
15/03/2016	49	Above	3	Leura	S3	15/09/2015	182	0.2	0.449	7.819814
15/03/2016	50	Above	3	Woogenellup	S3	15/09/2015	182	0.2	0.562	7.704867182
24/03/2016	51	Above	3	Antas	S3	15/09/2015	191	0.2	0.535	8.508002704
24/03/2016	52	Above	3	Monti	S3	15/09/2015	191	0.2	0.47	8.25705925
7/03/2016	53	Above	3	Narrikup	S3	15/09/2015	174	0.2	0.489	7.819814
7/03/2016	54	Above	3	Denmark	S3	15/09/2015	174	0.2	0.488	7.930762942
15/03/2016	37	Below	1	Denmark	S3	15/09/2015	182	0.2	0.5	7.924676096
15/03/2016	38	Below	1	Antas	S3	15/09/2015	182	0.2	0.591	8
24/03/2016	39	Below	1	Woogenellup	S3	15/09/2015	191	0.2	0.48	8.846041378
24/03/2016	40	Below	1	Leura	S3	15/09/2015	191	0.2	0.459	7.877056
7/03/2016	41	Below	1	Narrikup	S3	15/09/2015	174	0.2	0.52	7.758987322
7/03/2016	42	Below	1	Monti	S3	15/09/2015	174	0.2	0.471	8.138944
24/03/2016	43	Below	2	Woogenellup	S3	15/09/2015	191	0.2	0.481	7.825442098
24/03/2016	44	Below	2	Leura	S3	15/09/2015	191	0.2	0.47	7.882910638
15/03/2016	45	Below	2	Narrikup	S3	15/09/2015	182	0.2	0.491	7.819814
15/03/2016	46	Below	2	Antas	S3	15/09/2015	182	0.2	0.53	7.943033978
15/03/2016	47	Below	2	Denmark	S3	15/09/2015	182	0.2	0.489	8.216186
15/03/2016	48	Below	2	Monti	S3	15/09/2015	182	0.2	0.469	7.930762942
7/03/2016	49	Below	3	Leura	S3	15/09/2015	174	0.2	0.447	7.814204662
7/03/2016	50	Below	3	Woogenellup	S3	15/09/2015	174	0.2	0.568	7.694112514
7/03/2016	51	Below	3	Antas	S3	15/09/2015	174	0.2	0.528	8.571582976
7/03/2016	52	Below	3	Monti	S3	15/09/2015	174	0.2	0.465	8.200270336
24/03/2016	53	Below	3	Narrikup	S3	15/09/2015	191	0.2	0.493	7.79194075
24/03/2016	54	Below	3	Denmark	S3	15/09/2015	191	0.2	0.485	7.955439526
20/05/2016	55	Above	1	Narrikup	S4	5/11/2015	-197	0.1	0.397	7.90660175
20/05/2016	56	Above	1	Antas	S4	5/11/2015	197	0.1	0.427	7.413738214
20/05/2016	57	Above	1	Denmark	S4	5/11/2015	197	0.1	0.415	7.586175994
20/05/2016	58	Above	1	Leura	S4	5/11/2015	197	0.1	0.394	7.51953325
20/05/2016	59	Above	1	Monti	S4	5/11/2015	197	0.1	0.372	7.395180112
20/05/2016	60	Above	1	Woogenellup	S4	5/11/2015	197	0.1	0.371	7.248216064
20/05/2016	61	Above	2	Antas	S4	5/11/2015	197	0.1	0.43	7.241010698
20/05/2016	62	Above	2	Woogenellup	S4	5/11/2015	197	0.1	0.383	7.602526
20/05/2016	63	Above	2	Narrikup	S4	5/11/2015	197	0.1	0.4	7.324289666
20/05/2016	64	Above	2	Leura	S4	5/11/2015	197	0.1	0.395	7.432
20/05/2016	65	Above	2	Denmark	S4	5/11/2015	197	0.1	0.42	7.40140025
20/05/2016	66	Above	2	Monti	S4	5/11/2015	197	0.1	0.369	7.547584
20/05/2016	67	Above	3	Leura	S4	5/11/2015	197	0.1	0.401	7.226445262
20/05/2016	68	Above	3	Monti	S4	5/11/2015	197	0.1	0.382	7.438024718
20/05/2016	69	Above	3	Narrikup	S4	5/11/2015	197	0.1	0.41	7.317602224
20/05/2016	70	Above	3	Antas	S4	5/11/2015	197	0.1	0.425	7.490978
20/05/2016	71	Above	3	Woogenellup	S4	5/11/2015	197	0.1	0.385	7.57521875
20/05/2016	72	Above	3	Denmark	S4	5/11/2015	197	0.1	0.414	7.33753675
20/05/2016	55	Below	1	Narrikup	S4	5/11/2015	197	0.1	0.4	7.513865392
20/05/2016	56	Below	1	Antas	S4	5/11/2015	197	0.1	0.43	7.432
20/05/2016	57	Below	1	Denmark	S4	5/11/2015	197	0.1	0.415	7.602526
20/05/2016	58	Below	1	Leura	S4	5/11/2015	197	0.1	0.4	7.51953325
20/05/2016	59	Below	1	Monti	S4	5/11/2015	197	0.1	0.369	7.432
