"Cultivar" "SowTreat" "Variable" "Date" "SowingD" "DAS" "av_Perc" "av_TT" "av_DAS"
"1" "Antas" "S1" "Bud" 2015-10-12 2015-06-24 110 0 1044.2 110
"2" "Antas" "S1" "Bud" 2015-10-16 2015-06-24 114 0 1060.8 114
"3" "Antas" "S1" "Bud" 2015-10-19 2015-06-24 117 0 1078.2 117
"4" "Antas" "S1" "Bud" 2015-10-27 2015-06-24 125 0 1124.55 125
"5" "Antas" "S1" "Bud" 2015-11-02 2015-06-24 131 6.66666666666667 1172.4 131
"6" "Antas" "S1" "Bud" 2015-11-04 2015-06-24 133 6.66666666666667 1189.25 133
"7" "Antas" "S1" "Bud" 2015-11-09 2015-06-24 138 80 1228.95 138
"8" "Antas" "S1" "Bud" 2015-11-13 2015-06-24 142 80 1257.75 142
"9" "Antas" "S1" "Bud" 2015-11-18 2015-06-24 147 73.3333333333333 1288.55 147
"10" "Antas" "S1" "Bud" 2015-11-23 2015-06-24 152 20 1340.85 152
"11" "Antas" "S1" "Bud" 2015-11-27 2015-06-24 156 46.6666666666667 1380.45 156
"12" "Antas" "S1" "Bud" 2015-12-07 2015-06-24 166 55 1462.05 166
"13" "Antas" "S1" "Bud" 2015-12-10 2015-06-24 169 46.6666666666667 1489.5 169
"14" "Antas" "S1" "Bud" 2015-12-18 2015-06-24 177 13.3333333333333 1566.05 177
"15" "Antas" "S1" "Bud" 2015-12-29 2015-06-24 188 0 1685.45 188
"16" "Antas" "S1" "Bud" 2016-01-04 2015-06-24 194 NA 1770.85 194
"17" "Antas" "S1" "Bud" 2016-01-15 2015-06-24 205 NA 1899.45 205
"18" "Antas" "S1" "Bur" 2015-10-12 2015-06-24 110 0 1044.2 110
"19" "Antas" "S1" "Bur" 2015-10-16 2015-06-24 114 0 1060.8 114
"20" "Antas" "S1" "Bur" 2015-10-19 2015-06-24 117 0 1078.2 117
"21" "Antas" "S1" "Bur" 2015-10-27 2015-06-24 125 0 1124.55 125
"22" "Antas" "S1" "Bur" 2015-11-02 2015-06-24 131 0 1172.4 131
"23" "Antas" "S1" "Bur" 2015-11-04 2015-06-24 133 0 1189.25 133
"24" "Antas" "S1" "Bur" 2015-11-09 2015-06-24 138 13.3333333333333 1228.95 138
"25" "Antas" "S1" "Bur" 2015-11-13 2015-06-24 142 20 1257.75 142
"26" "Antas" "S1" "Bur" 2015-11-18 2015-06-24 147 33.3333333333333 1288.55 147
"27" "Antas" "S1" "Bur" 2015-11-23 2015-06-24 152 53.3333333333333 1340.85 152
"28" "Antas" "S1" "Bur" 2015-11-27 2015-06-24 156 73.3333333333333 1380.45 156
"29" "Antas" "S1" "Bur" 2015-12-07 2015-06-24 166 100 1462.05 166
"30" "Antas" "S1" "Bur" 2015-12-10 2015-06-24 169 100 1489.5 169
"31" "Antas" "S1" "Bur" 2015-12-18 2015-06-24 177 100 1566.05 177
"32" "Antas" "S1" "Bur" 2015-12-29 2015-06-24 188 100 1685.45 188
"33" "Antas" "S1" "Bur" 2016-01-04 2015-06-24 194 NA 1770.85 194
"34" "Antas" "S1" "Bur" 2016-01-15 2015-06-24 205 NA 1899.45 205
"35" "Antas" "S1" "Flowering" 2015-10-12 2015-06-24 110 0 1044.2 110
"36" "Antas" "S1" "Flowering" 2015-10-16 2015-06-24 114 0 1060.8 114
