"Cultivar" "SowTreat" "DAS" "av_Perc" "av_TT" "av_DAS"
"1" "Antas" "S1" 0 0 0 0
"2" "Antas" "S1" 3 0 70.49955616 3
"3" "Antas" "S1" 7 0 164.73789674 7
"4" "Antas" "S1" 10 0 191.06989674 10
"5" "Antas" "S1" 13 0 209.07089674 13
"6" "Antas" "S1" 19 0 227.00839674 19
"7" "Antas" "S1" 27 0 281.04789674 27
"8" "Antas" "S1" 30 8.58666666666667 305.01039674 30
"9" "Antas" "S1" 34 14.95 349.11039674 34
"10" "Antas" "S1" 43 53.3333333333333 424.14889674 43
"11" "Antas" "S1" 47 60 440.40839674 47
"12" "Antas" "S1" 51 63.4366666666667 468.80989674 51
"13" "Antas" "S1" 58 82.02 526.81689674 58
"14" "Antas" "S1" 65 90.91 570.37439674 65
"15" "Antas" "S1" 68 75.86 591.06089674 68
"16" "Antas" "S1" 72 75.86 623.54339674 72
"17" "Antas" "S1" 75 75.86 644.64889674 75
"18" "Antas" "S2" 0 0 0 0
"19" "Antas" "S2" 2 0 11.1 2
"20" "Antas" "S2" 4 0 27.0085 4
"21" "Antas" "S2" 6 0 51.809 6
"22" "Antas" "S2" 10 27.5133333333333 80.384 10
"23" "Antas" "S2" 13 46.2133333333333 91.298 13
"24" "Antas" "S2" 18 64.19 130.577 18
"25" "Antas" "S2" 23 83.0766666666667 172.4935 23
"26" "Antas" "S2" 29 69.7766666666667 211.7515 29
"27" "Antas" "S2" 36 79.85 259.9605 36
"28" "Antas" "S2" 43 96.7733333333333 306.381 43
"29" "Antas" "S2" 47 96.7733333333333 340.564 47
"30" "Antas" "S3" 0 0 0 0
"31" "Antas" "S3" 2 0 30.129 2
"32" "Antas" "S3" 4 7.82 49.5445000000001 4
"33" "Antas" "S3" 6 68.5066666666667 61.9235 6
"34" "Antas" "S3" 9 93.8133333333333 85.7140000000001 9
"35" "Antas" "S3" 13 96.8666666666667 115.611 13
"36" "Antas" "S3" 16 98.75 153.9485 16
"37" "Antas" "S3" 20 98.3 205.845 20
"38" "Antas" "S4" 0 0 0 0
"39" "Antas" "S4" 2 0 24.3200000000002 2
"40" "Antas" "S4" 4 21.4033333333333 53.5135 4
"41" "Antas" "S4" 6 47.3 79.3665000000001 6
"42" "Antas" "S4" 9 58.3633333333333 113.545 9
"43" "Antas" "S4" 12 67.7066666666667 147.0315 12
"44" "Antas" "S4" 14 74.76 164.6385 14
"45" "Antas" "S4" 17 85.8266666666667 204.61 17
"46" "Antas" "S4" 20 95.1666666666667 260.072 20
"47" "Antas" "S4" 23 100 313.2095 23
"48" "Antas" "S4" 25 100 341.4115 25
"49" "Antas" "S5" 0 0 0 0
"50" "Antas" "S5" 2 0 22.4515000000001 2
"51" "Antas" "S5" 3 9.77 34.3390000000002 3
"52" "Antas" "S5" 5 67.34 60.3395 5
"53" "Antas" "S5" 8 93.4666666666667 109.367 8
"54" "Antas" "S5" 11 98.4566666666667 155.5575 11
"55" "Antas" "S5" 14 95.63 200.301 14
"56" "Antas" "S5" 16 95.63 225.3835 16
"57" "Antas" "S5" 19 95.63 272.0835 19
"58" "Antas" "S6" 0 0 0 0
"59" "Antas" "S6" 5 41.9533333333333 94.395 5
"60" "Antas" "S6" 7 50.6966666666667 134.7865 7
"61" "Antas" "S6" 9 85.2066666666667 183.7295 9
"62" "Antas" "S6" 11 77.3366666666667 224.2655 11
"63" "Antas" "S6" 13 94.61 251.6395 13
"64" "Antas" "S6" 16 100 297.294 16
"65" "Antas" "S6" 19 94.6833333333333 355.146 19
"66" "Antas" "S7" 0 0 0 0
"67" "Antas" "S7" 2 0 22.4110000000001 2
"68" "Antas" "S7" 5 12.3833333333333 83.471 5
"69" "Antas" "S7" 7 47.5533333333333 125.8575 7
"70" "Antas" "S7" 9 83.6933333333333 161.373 9
"71" "Antas" "S7" 10 98.3866666666667 173.9405 10
"72" "Antas" "S7" 11 96.6166666666667 186.613 11
"73" "Antas" "S7" 17 96.6166666666667 276.5555 17
"74" "Antas" "S8" 0 0 0 0
"75" "Antas" "S8" 7 1.75333333333333 103.0635 7
"76" "Antas" "S8" 9 15.83 136.5005 9
"77" "Antas" "S8" 12 52.9766666666667 177.7455 12
"78" "Antas" "S8" 14 47.4433333333333 197.7555 14
"79" "Antas" "S8" 16 61 219.129 16
"80" "Antas" "S8" 18 77.7766666666667 237.186000000001 18
"81" "Antas" "S8" 20 98.9233333333333 254.043500000001 20
"82" "Antas" "S8" 22 89.2433333333333 272.726000000001 22
"83" "Antas" "S8" 25 88.2233333333333 298.7955 25
"84" "Denmark" "S1" 0 0 0 0
"85" "Denmark" "S1" 3 0 70.49955616 3
"86" "Denmark" "S1" 7 0 164.73789674 7
"87" "Denmark" "S1" 10 0 191.06989674 10
"88" "Denmark" "S1" 13 0 209.07089674 13
"89" "Denmark" "S1" 19 0 227.00839674 19
"90" "Denmark" "S1" 27 0 281.04789674 27
"91" "Denmark" "S1" 30 3.03 305.01039674 30
"92" "Denmark" "S1" 34 9.69666666666667 349.11039674 34
"93" "Denmark" "S1" 43 23.74 424.14889674 43
"94" "Denmark" "S1" 47 30.4066666666667 440.40839674 47
"95" "Denmark" "S1" 51 42.6266666666667 468.80989674 51
"96" "Denmark" "S1" 58 63.4366666666667 526.81689674 58
"97" "Denmark" "S1" 65 66.4666666666667 570.37439674 65
"98" "Denmark" "S1" 68 100 591.06089674 68
"99" "Denmark" "S1" 72 100 623.54339674 72
"100" "Denmark" "S1" 75 100 644.64889674 75
"101" "Denmark" "S2" 0 0 0 0
"102" "Denmark" "S2" 2 0 11.1 2
"103" "Denmark" "S2" 4 0 27.0085 4
"104" "Denmark" "S2" 6 0 51.809 6
