"SowingDate" "ReadingDate" "SowTreat" "Cultivar" "Block" "Plot" "DAS" "Sub1" "Sub2" "Sub3" "PlantPop" "PercEmerg" "TT_Reading" "TT_SowingDate" "TT_FromSow"
"1" 2015-06-24 2015-06-24 "S1" "Antas" "1" "1" 0 0 0 0 0 0 13.055375 13.055375 0
"2" 2015-06-24 2015-06-24 "S1" "Monti" "1" "2" 0 0 0 0 0 0 13.055375 13.055375 0
"3" 2015-06-24 2015-06-24 "S1" "Denmark" "1" "3" 0 0 0 0 0 0 13.055375 13.055375 0
"4" 2015-06-24 2015-06-24 "S1" "Leura" "1" "4" 0 0 0 0 0 0 13.055375 13.055375 0
"5" 2015-06-24 2015-06-24 "S1" "Narrikup" "1" "5" 0 0 0 0 0 0 13.055375 13.055375 0
"6" 2015-06-24 2015-06-24 "S1" "Woogenellup" "1" "6" 0 0 0 0 0 0 13.055375 13.055375 0
"7" 2015-06-24 2015-06-24 "S1" "Antas" "2" "7" 0 0 0 0 0 0 13.055375 13.055375 0
"8" 2015-06-24 2015-06-24 "S1" "Woogenellup" "2" "8" 0 0 0 0 0 0 13.055375 13.055375 0
"9" 2015-06-24 2015-06-24 "S1" "Denmark" "2" "9" 0 0 0 0 0 0 13.055375 13.055375 0
"10" 2015-06-24 2015-06-24 "S1" "Monti" "2" "10" 0 0 0 0 0 0 13.055375 13.055375 0
"11" 2015-06-24 2015-06-24 "S1" "Narrikup" "2" "11" 0 0 0 0 0 0 13.055375 13.055375 0
"12" 2015-06-24 2015-06-24 "S1" "Leura" "2" "12" 0 0 0 0 0 0 13.055375 13.055375 0
"13" 2015-06-24 2015-06-24 "S1" "Woogenellup" "3" "13" 0 0 0 0 0 0 13.055375 13.055375 0
"14" 2015-06-24 2015-06-24 "S1" "Antas" "3" "14" 0 0 0 0 0 0 13.055375 13.055375 0
"15" 2015-06-24 2015-06-24 "S1" "Monti" "3" "15" 0 0 0 0 0 0 13.055375 13.055375 0
"16" 2015-06-24 2015-06-24 "S1" "Narrikup" "3" "16" 0 0 0 0 0 0 13.055375 13.055375 0
"17" 2015-06-24 2015-06-24 "S1" "Denmark" "3" "17" 0 0 0 0 0 0 13.055375 13.055375 0
"18" 2015-06-24 2015-06-24 "S1" "Leura" "3" "18" 0 0 0 0 0 0 13.055375 13.055375 0
"19" 2015-06-24 2015-06-27 "S1" "Antas" "1" "1" 3 0 0 0 0 0 83.55493116 13.055375 70.49955616
"20" 2015-06-24 2015-06-27 "S1" "Monti" "1" "2" 3 0 0 0 0 0 83.55493116 13.055375 70.49955616
"21" 2015-06-24 2015-06-27 "S1" "Denmark" "1" "3" 3 0 0 0 0 0 83.55493116 13.055375 70.49955616
"22" 2015-06-24 2015-06-27 "S1" "Leura" "1" "4" 3 0 0 0 0 0 83.55493116 13.055375 70.49955616
"23" 2015-06-24 2015-06-27 "S1" "Narrikup" "1" "5" 3 0 0 0 0 0 83.55493116 13.055375 70.49955616
"24" 2015-06-24 2015-06-27 "S1" "Woogenellup" "1" "6" 3 0 0 0 0 0 83.55493116 13.055375 70.49955616
"25" 2015-06-24 2015-06-27 "S1" "Antas" "2" "7" 3 0 0 0 0 0 83.55493116 13.055375 70.49955616
"26" 2015-06-24 2015-06-27 "S1" "Woogenellup" "2" "8" 3 0 0 0 0 0 83.55493116 13.055375 70.49955616
"27" 2015-06-24 2015-06-27 "S1" "Denmark" "2" "9" 3 0 0 0 0 0 83.55493116 13.055375 70.49955616
"28" 2015-06-24 2015-06-27 "S1" "Monti" "2" "10" 3 0 0 0 0 0 83.55493116 13.055375 70.49955616
"29" 2015-06-24 2015-06-27 "S1" "Narrikup" "2" "11" 3 0 0 0 0 0 83.55493116 13.055375 70.49955616
"30" 2015-06-24 2015-06-27 "S1" "Leura" "2" "12" 3 0 0 0 0 0 83.55493116 13.055375 70.49955616
"31" 2015-06-24 2015-06-27 "S1" "Woogenellup" "3" "13" 3 0 0 0 0 0 83.55493116 13.055375 70.49955616
"32" 2015-06-24 2015-06-27 "S1" "Antas" "3" "14" 3 0 0 0 0 0 83.55493116 13.055375 70.49955616
"33" 2015-06-24 2015-06-27 "S1" "Monti" "3" "15" 3 0 0 0 0 0 83.55493116 13.055375 70.49955616
"34" 2015-06-24 2015-06-27 "S1" "Narrikup" "3" "16" 3 0 0 0 0 0 83.55493116 13.055375 70.49955616
"35" 2015-06-24 2015-06-27 "S1" "Denmark" "3" "17" 3 0 0 0 0 0 83.55493116 13.055375 70.49955616
"36" 2015-06-24 2015-06-27 "S1" "Leura" "3" "18" 3 0 0 0 0 0 83.55493116 13.055375 70.49955616
"37" 2015-06-24 2015-07-01 "S1" "Antas" "1" "1" 7 0 0 0 0 0 177.79327174 13.055375 164.73789674
"38" 2015-06-24 2015-07-01 "S1" "Monti" "1" "2" 7 0 0 0 0 0 177.79327174 13.055375 164.73789674
"39" 2015-06-24 2015-07-01 "S1" "Denmark" "1" "3" 7 0 0 0 0 0 177.79327174 13.055375 164.73789674
"40" 2015-06-24 2015-07-01 "S1" "Leura" "1" "4" 7 0 0 0 0 0 177.79327174 13.055375 164.73789674
"41" 2015-06-24 2015-07-01 "S1" "Narrikup" "1" "5" 7 0 0 0 0 0 177.79327174 13.055375 164.73789674
"42" 2015-06-24 2015-07-01 "S1" "Woogenellup" "1" "6" 7 0 0 0 0 0 177.79327174 13.055375 164.73789674
"43" 2015-06-24 2015-07-01 "S1" "Antas" "2" "7" 7 0 0 0 0 0 177.79327174 13.055375 164.73789674
"44" 2015-06-24 2015-07-01 "S1" "Woogenellup" "2" "8" 7 0 0 0 0 0 177.79327174 13.055375 164.73789674
"45" 2015-06-24 2015-07-01 "S1" "Denmark" "2" "9" 7 0 0 0 0 0 177.79327174 13.055375 164.73789674
"46" 2015-06-24 2015-07-01 "S1" "Monti" "2" "10" 7 0 0 0 0 0 177.79327174 13.055375 164.73789674
"47" 2015-06-24 2015-07-01 "S1" "Narrikup" "2" "11" 7 0 0 0 0 0 177.79327174 13.055375 164.73789674
"48" 2015-06-24 2015-07-01 "S1" "Leura" "2" "12" 7 0 0 0 0 0 177.79327174 13.055375 164.73789674
"49" 2015-06-24 2015-07-01 "S1" "Woogenellup" "3" "13" 7 0 0 0 0 0 177.79327174 13.055375 164.73789674
"50" 2015-06-24 2015-07-01 "S1" "Antas" "3" "14" 7 0 0 0 0 0 177.79327174 13.055375 164.73789674
"51" 2015-06-24 2015-07-01 "S1" "Monti" "3" "15" 7 0 0 0 0 0 177.79327174 13.055375 164.73789674
"52" 2015-06-24 2015-07-01 "S1" "Narrikup" "3" "16" 7 0 0 0 0 0 177.79327174 13.055375 164.73789674
"53" 2015-06-24 2015-07-01 "S1" "Denmark" "3" "17" 7 0 0 0 0 0 177.79327174 13.055375 164.73789674
"54" 2015-06-24 2015-07-01 "S1" "Leura" "3" "18" 7 0 0 0 0 0 177.79327174 13.055375 164.73789674
"55" 2015-06-24 2015-07-04 "S1" "Antas" "1" "1" 10 0 0 0 0 0 204.12527174 13.055375 191.06989674
"56" 2015-06-24 2015-07-04 "S1" "Monti" "1" "2" 10 0 0 0 0 0 204.12527174 13.055375 191.06989674
"57" 2015-06-24 2015-07-04 "S1" "Denmark" "1" "3" 10 0 0 0 0 0 204.12527174 13.055375 191.06989674
"58" 2015-06-24 2015-07-04 "S1" "Leura" "1" "4" 10 0 0 0 0 0 204.12527174 13.055375 191.06989674
"59" 2015-06-24 2015-07-04 "S1" "Narrikup" "1" "5" 10 0 0 0 0 0 204.12527174 13.055375 191.06989674
"60" 2015-06-24 2015-07-04 "S1" "Woogenellup" "1" "6" 10 0 0 0 0 0 204.12527174 13.055375 191.06989674
"61" 2015-06-24 2015-07-04 "S1" "Antas" "2" "7" 10 0 0 0 0 0 204.12527174 13.055375 191.06989674
"62" 2015-06-24 2015-07-04 "S1" "Woogenellup" "2" "8" 10 0 0 0 0 0 204.12527174 13.055375 191.06989674
"63" 2015-06-24 2015-07-04 "S1" "Denmark" "2" "9" 10 0 0 0 0 0 204.12527174 13.055375 191.06989674
"64" 2015-06-24 2015-07-04 "S1" "Monti" "2" "10" 10 0 0 0 0 0 204.12527174 13.055375 191.06989674
"65" 2015-06-24 2015-07-04 "S1" "Narrikup" "2" "11" 10 0 0 0 0 0 204.12527174 13.055375 191.06989674
"66" 2015-06-24 2015-07-04 "S1" "Leura" "2" "12" 10 0 0 0 0 0 204.12527174 13.055375 191.06989674
"67" 2015-06-24 2015-07-04 "S1" "Woogenellup" "3" "13" 10 0 0 0 0 0 204.12527174 13.055375 191.06989674
"68" 2015-06-24 2015-07-04 "S1" "Antas" "3" "14" 10 0 0 0 0 0 204.12527174 13.055375 191.06989674
"69" 2015-06-24 2015-07-04 "S1" "Monti" "3" "15" 10 0 0 0 0 0 204.12527174 13.055375 191.06989674
"70" 2015-06-24 2015-07-04 "S1" "Narrikup" "3" "16" 10 0 0 0 0 0 204.12527174 13.055375 191.06989674
"71" 2015-06-24 2015-07-04 "S1" "Denmark" "3" "17" 10 0 0 0 0 0 204.12527174 13.055375 191.06989674
"72" 2015-06-24 2015-07-04 "S1" "Leura" "3" "18" 10 0 0 0 0 0 204.12527174 13.055375 191.06989674
"73" 2015-06-24 2015-07-07 "S1" "Antas" "1" "1" 13 0 0 0 0 0 222.12627174 13.055375 209.07089674
"74" 2015-06-24 2015-07-07 "S1" "Monti" "1" "2" 13 0 0 0 0 0 222.12627174 13.055375 209.07089674
"75" 2015-06-24 2015-07-07 "S1" "Denmark" "1" "3" 13 0 0 0 0 0 222.12627174 13.055375 209.07089674
"76" 2015-06-24 2015-07-07 "S1" "Leura" "1" "4" 13 0 0 0 0 0 222.12627174 13.055375 209.07089674
"77" 2015-06-24 2015-07-07 "S1" "Narrikup" "1" "5" 13 0 0 0 0 0 222.12627174 13.055375 209.07089674
"78" 2015-06-24 2015-07-07 "S1" "Woogenellup" "1" "6" 13 0 0 0 0 0 222.12627174 13.055375 209.07089674
"79" 2015-06-24 2015-07-07 "S1" "Antas" "2" "7" 13 0 0 0 0 0 222.12627174 13.055375 209.07089674
"80" 2015-06-24 2015-07-07 "S1" "Woogenellup" "2" "8" 13 0 0 0 0 0 222.12627174 13.055375 209.07089674
"81" 2015-06-24 2015-07-07 "S1" "Denmark" "2" "9" 13 0 0 0 0 0 222.12627174 13.055375 209.07089674
"82" 2015-06-24 2015-07-07 "S1" "Monti" "2" "10" 13 0 0 0 0 0 222.12627174 13.055375 209.07089674
"83" 2015-06-24 2015-07-07 "S1" "Narrikup" "2" "11" 13 0 0 0 0 0 222.12627174 13.055375 209.07089674
"84" 2015-06-24 2015-07-07 "S1" "Leura" "2" "12" 13 0 0 0 0 0 222.12627174 13.055375 209.07089674
"85" 2015-06-24 2015-07-07 "S1" "Woogenellup" "3" "13" 13 0 0 0 0 0 222.12627174 13.055375 209.07089674
"86" 2015-06-24 2015-07-07 "S1" "Antas" "3" "14" 13 0 0 0 0 0 222.12627174 13.055375 209.07089674
