"SowingDate" "ReadingDate" "SowTreat" "Cultivar" "Block" "Plot" "DAS" "Sub1" "Sub2" "Sub3" "PlantPop" "PercEmerg" "TT.x" "TT.y" "TT_to_emerg"
"1" 2016-02-19 2016-02-19 "S1" "Monti" "3" "15" 0 0 0 0 0 0 3089.85 3089.85 0
"2" 2016-02-19 2016-02-19 "S1" "Woogenellup" "2" "8" 0 0 0 0 0 0 3089.85 3089.85 0
"3" 2016-02-19 2016-02-19 "S1" "Denmark" "2" "9" 0 0 0 0 0 0 3089.85 3089.85 0
"4" 2016-02-19 2016-02-19 "S1" "Monti" "2" "10" 0 0 0 0 0 0 3089.85 3089.85 0
"5" 2016-02-19 2016-02-19 "S1" "Narrikup" "2" "11" 0 0 0 0 0 0 3089.85 3089.85 0
"6" 2016-02-19 2016-02-19 "S1" "Leura" "2" "12" 0 0 0 0 0 0 3089.85 3089.85 0
"7" 2016-02-19 2016-02-19 "S1" "Woogenellup" "3" "13" 0 0 0 0 0 0 3089.85 3089.85 0
"8" 2016-02-19 2016-02-19 "S1" "Antas" "3" "14" 0 0 0 0 0 0 3089.85 3089.85 0
"9" 2016-02-19 2016-02-19 "S1" "Antas" "1" "1" 0 0 0 0 0 0 3089.85 3089.85 0
"10" 2016-02-19 2016-02-19 "S1" "Narrikup" "3" "16" 0 0 0 0 0 0 3089.85 3089.85 0
"11" 2016-02-19 2016-02-19 "S1" "Denmark" "3" "17" 0 0 0 0 0 0 3089.85 3089.85 0
"12" 2016-02-19 2016-02-19 "S1" "Leura" "3" "18" 0 0 0 0 0 0 3089.85 3089.85 0
"13" 2016-02-19 2016-02-19 "S1" "Narrikup" "1" "5" 0 0 0 0 0 0 3089.85 3089.85 0
"14" 2016-02-19 2016-02-19 "S1" "Woogenellup" "1" "6" 0 0 0 0 0 0 3089.85 3089.85 0
"15" 2016-02-19 2016-02-19 "S1" "Antas" "2" "7" 0 0 0 0 0 0 3089.85 3089.85 0
"16" 2016-02-19 2016-02-19 "S1" "Denmark" "1" "3" 0 0 0 0 0 0 3089.85 3089.85 0
"17" 2016-02-19 2016-02-19 "S1" "Leura" "1" "4" 0 0 0 0 0 0 3089.85 3089.85 0
"18" 2016-02-19 2016-02-19 "S1" "Monti" "1" "2" 0 0 0 0 0 0 3089.85 3089.85 0
"19" 2016-02-19 2016-03-01 "S1" "Woogenellup" "1" "6" 11 0 4 0 133.333333333333 16.67 3307.45 3089.85 217.6
"20" 2016-02-19 2016-03-01 "S1" "Leura" "1" "4" 11 0 1 0 33.3333333333333 3.7 3307.45 3089.85 217.6
"21" 2016-02-19 2016-03-01 "S1" "Narrikup" "1" "5" 11 1 1 0 66.6666666666667 7.14 3307.45 3089.85 217.6
"22" 2016-02-19 2016-03-01 "S1" "Monti" "2" "10" 11 0 0 0 0 0 3307.45 3089.85 217.6
"23" 2016-02-19 2016-03-01 "S1" "Antas" "2" "7" 11 2 2 4 266.666666666667 14.81 3307.45 3089.85 217.6
"24" 2016-02-19 2016-03-01 "S1" "Woogenellup" "2" "8" 11 1 1 1 100 12 3307.45 3089.85 217.6
"25" 2016-02-19 2016-03-01 "S1" "Denmark" "2" "9" 11 0 0 0 0 0 3307.45 3089.85 217.6
"26" 2016-02-19 2016-03-01 "S1" "Antas" "1" "1" 11 0 0 2 66.6666666666667 6.9 3307.45 3089.85 217.6
"27" 2016-02-19 2016-03-01 "S1" "Monti" "1" "2" 11 0 0 0 0 0 3307.45 3089.85 217.6
"28" 2016-02-19 2016-03-01 "S1" "Denmark" "1" "3" 11 0 0 0 0 0 3307.45 3089.85 217.6
"29" 2016-02-19 2016-03-01 "S1" "Narrikup" "3" "16" 11 0 0 0 0 0 3307.45 3089.85 217.6
"30" 2016-02-19 2016-03-01 "S1" "Denmark" "3" "17" 11 0 0 0 0 0 3307.45 3089.85 217.6
"31" 2016-02-19 2016-03-01 "S1" "Leura" "3" "18" 11 0 0 0 0 0 3307.45 3089.85 217.6
"32" 2016-02-19 2016-03-01 "S1" "Antas" "3" "14" 11 0 0 0 0 0 3307.45 3089.85 217.6
"33" 2016-02-19 2016-03-01 "S1" "Narrikup" "2" "11" 11 0 0 0 0 0 3307.45 3089.85 217.6
"34" 2016-02-19 2016-03-01 "S1" "Leura" "2" "12" 11 0 0 0 0 0 3307.45 3089.85 217.6
"35" 2016-02-19 2016-03-01 "S1" "Woogenellup" "3" "13" 11 0 0 0 0 0 3307.45 3089.85 217.6
"36" 2016-02-19 2016-03-01 "S1" "Monti" "3" "15" 11 0 0 0 0 0 3307.45 3089.85 217.6
"37" 2016-02-19 2016-03-04 "S1" "Narrikup" "3" "16" 14 0 0 0 0 0 3362.31 3089.85 272.46
"38" 2016-02-19 2016-03-04 "S1" "Leura" "3" "18" 14 0 0 0 0 0 3362.31 3089.85 272.46
"39" 2016-02-19 2016-03-04 "S1" "Leura" "1" "4" 14 0 0 0 0 0 3362.31 3089.85 272.46
"40" 2016-02-19 2016-03-04 "S1" "Narrikup" "1" "5" 14 0 1 1 66.6666666666667 7.14 3362.31 3089.85 272.46
"41" 2016-02-19 2016-03-04 "S1" "Denmark" "3" "17" 14 0 0 0 0 0 3362.31 3089.85 272.46
"42" 2016-02-19 2016-03-04 "S1" "Woogenellup" "3" "13" 14 0 0 0 0 0 3362.31 3089.85 272.46
"43" 2016-02-19 2016-03-04 "S1" "Antas" "3" "14" 14 0 0 1 33.3333333333333 2.33 3362.31 3089.85 272.46
"44" 2016-02-19 2016-03-04 "S1" "Monti" "3" "15" 14 1 0 0 33.3333333333333 3.03 3362.31 3089.85 272.46
"45" 2016-02-19 2016-03-04 "S1" "Antas" "1" "1" 14 0 0 0 0 0 3362.31 3089.85 272.46
"46" 2016-02-19 2016-03-04 "S1" "Monti" "1" "2" 14 0 0 0 0 0 3362.31 3089.85 272.46
"47" 2016-02-19 2016-03-04 "S1" "Denmark" "1" "3" 14 0 0 0 0 0 3362.31 3089.85 272.46
"48" 2016-02-19 2016-03-04 "S1" "Woogenellup" "2" "8" 14 1 2 0 100 12 3362.31 3089.85 272.46
"49" 2016-02-19 2016-03-04 "S1" "Denmark" "2" "9" 14 0 1 0 33.3333333333333 3.33 3362.31 3089.85 272.46
"50" 2016-02-19 2016-03-04 "S1" "Woogenellup" "1" "6" 14 5 1 0 200 25 3362.31 3089.85 272.46
