"Cultivar" "SowTreat" "Variable" "DateMeasure" "SowingD" "avP" "avTT"
"1" "Antas" "S1" "Bud" 2015-10-12 2015-06-24 0 NA
"2" "Antas" "S1" "Bud" 2015-10-16 2015-06-24 0 NA
"3" "Antas" "S1" "Bud" 2015-10-19 2015-06-24 0 NA
"4" "Antas" "S1" "Bud" 2015-10-27 2015-06-24 0 NA
"5" "Antas" "S1" "Bud" 2015-11-02 2015-06-24 6.66666666666667 NA
"6" "Antas" "S1" "Bud" 2015-11-04 2015-06-24 6.66666666666667 NA
"7" "Antas" "S1" "Bud" 2015-11-09 2015-06-24 80 NA
"8" "Antas" "S1" "Bud" 2015-11-13 2015-06-24 80 NA
"9" "Antas" "S1" "Bud" 2015-11-18 2015-06-24 73.3333333333333 NA
"10" "Antas" "S1" "Bud" 2015-11-23 2015-06-24 20 NA
"11" "Antas" "S1" "Bud" 2015-11-27 2015-06-24 46.6666666666667 NA
"12" "Antas" "S1" "Bud" 2015-12-07 2015-06-24 55 NA
"13" "Antas" "S1" "Bud" 2015-12-10 2015-06-24 46.6666666666667 NA
"14" "Antas" "S1" "Bud" 2015-12-18 2015-06-24 13.3333333333333 NA
"15" "Antas" "S1" "Bud" 2015-12-29 2015-06-24 0 NA
"16" "Antas" "S1" "Bur1" 2015-11-09 2015-06-24 13.3333333333333 NA
"17" "Antas" "S1" "Bur1" 2015-11-13 2015-06-24 20 NA
"18" "Antas" "S1" "Bur1" 2015-11-18 2015-06-24 33.3333333333333 NA
"19" "Antas" "S1" "Bur1" 2015-11-23 2015-06-24 46.6666666666667 NA
"20" "Antas" "S1" "Bur1" 2015-11-27 2015-06-24 73.3333333333333 NA
"21" "Antas" "S1" "Bur1" 2015-12-07 2015-06-24 93.3333333333333 NA
"22" "Antas" "S1" "Bur1" 2015-12-10 2015-06-24 93.3333333333333 NA
"23" "Antas" "S1" "Bur1" 2015-12-18 2015-06-24 93.3333333333333 NA
