"Cultivar" "PercEmerg" "SowTreat" "Plot" "Block" "DAS50E" "TT50E"
"1" "Antas" 0 "S1" "1" "1" 49.6666666666667 298.64
"2" "Monti" 0 "S1" "2" "1" 47 281
"3" "Denmark" 0 "S1" "3" "1" 56.25 344.5775
"4" "Leura" 0 "S1" "4" "1" 58 354.795
"5" "Narrikup" 0 "S1" "5" "1" 52.6235561778089 319.942912145607
"6" "Woogenellup" 0 "S1" "6" "1" 52.6256562828141 321.024669233462
"7" "Antas" 0 "S1" "7" "2" 45 271.81
"8" "Woogenellup" 0 "S1" "8" "2" 47 281
"9" "Denmark" 0 "S1" "9" "2" 56.25 344.5775
"10" "Monti" 0 "S1" "10" "2" 41.875 251.1725
"11" "Narrikup" 0 "S1" "11" "2" 45 271.81
"12" "Leura" 0 "S1" "12" "2" 43.0994280686318 256.474403871535
"13" "Woogenellup" 0 "S1" "13" "3" 58.3333333333333 359.748518518518
"14" "Antas" 0 "S1" "14" "3" 45.8992520897492 274.995239771227
"15" "Monti" 0 "S1" "15" "3" 49.75 303.085
"16" "Narrikup" 0 "S1" "16" "3" 51 307.46
"17" "Denmark" 0 "S1" "17" "3" 45.498680158381 273.614139169966
"18" "Leura" 0 "S1" "18" "3" 47 281
"19" "Narrikup" 0 "S2" "19" "1" 18.4977090492554 122.019810996564
"20" "Monti" 0 "S2" "20" "1" 18.556592039801 122.931175373134
"21" "Woogenellup" 0 "S2" "21" "1" 13.6240310077519 86.3906950904393
"22" "Leura" 0 "S2" "22" "1" 12.6993281075028 80.5954423292273
"23" "Denmark" 0 "S2" "23" "1" 15.1875 97.91875
"24" "Antas" 0 "S2" "24" "1" 15.1419185282523 97.581629434954
"25" "Leura" 0 "S2" "25" "2" 17.1671388101983 112.560158640227
"26" "Woogenellup" 0 "S2" "26" "2" 13.5546666666667 85.8423146666667
"27" "Denmark" 0 "S2" "27" "2" 16.9279437609842 110.791072056239
"28" "Narrikup" 0 "S2" "28" "2" 13.4171528588098 84.8252625437573
"29" "Antas" 0 "S2" "29" "2" 12.307582260372 79.1041964711493
"30" "Monti" 0 "S2" "30" "2" 19.8742655699177 132.900693301998
"31" "Denmark" 0 "S2" "31" "3" 23.75 160.9375
"32" "Antas" 0 "S2" "32" "3" 16.0006199628022 103.932585244885
"33" "Monti" 0 "S2" "33" "3" 15.0831319478009 97.1468438859352
"34" "Woogenellup" 0 "S2" "34" "3" 12.5501710376283 80.0276510832383
"35" "Leura" 0 "S2" "35" "3" 13.9994597514857 89.1320043219881
"36" "Narrikup" 0 "S2" "36" "3" 19.6666666666667 131.33
"37" "Denmark" 0 "S3" "37" "1" 8.06290322580645 80.2724139784946
"38" "Antas" 0 "S3" "38" "1" 5.57145374449339 54.7302114537445
"39" "Woogenellup" 0 "S3" "39" "1" 9.47653958944282 95.3723313782991
"40" "Leura" 0 "S3" "40" "1" 9.57142857142857 96.3942857142857
"41" "Narrikup" 0 "S3" "41" "1" 6.34131075110457 61.9604086892489
"42" "Monti" 0 "S3" "42" "1" 6.70596330275229 65.8390963302752
"43" "Woogenellup" 0 "S3" "43" "2" 6.63129973474801 65.0449248452697
"44" "Leura" 0 "S3" "44" "2" 5.84358390280942 57.0161047835991
"45" "Narrikup" 0 "S3" "45" "2" 6.32594235033259 61.7969401330377
"46" "Antas" 0 "S3" "46" "2" 5.39130434782609 53.2169565217391
"47" "Denmark" 0 "S3" "47" "2" 6.24961656441718 60.9850881901841
"48" "Monti" 0 "S3" "48" "2" 6.97046212482134 68.6524821343497
"49" "Leura" 0 "S3" "49" "3" 5.92600712523979 57.7084598520142
"50" "Woogenellup" 0 "S3" "50" "3" 6.63157894736842 65.0478947368421
"51" "Antas" 0 "S3" "51" "3" 5.23728063707418 51.9231573514231
"52" "Monti" 0 "S3" "52" "3" 7.78120021242698 77.2760329261816
"53" "Narrikup" 0 "S3" "53" "3" 5.96961112541849 58.0747334535153
"54" "Denmark" 0 "S3" "54" "3" 8.07754442649435 80.4281475498115
"55" "Narrikup" 0 "S4" "55" "1" 6.21428571428571 93.4714285714286
"56" "Antas" 0 "S4" "56" "1" 6.74926253687316 101.463982300885
"57" "Denmark" 0 "S4" "57" "1" 6 90.27
"58" "Leura" 0 "S4" "58" "1" 6.21428571428571 93.4714285714286
"59" "Monti" 0 "S4" "59" "1" 6 90.27
"60" "Woogenellup" 0 "S4" "60" "1" 5.90881823635273 88.7919436112777
"61" "Antas" 0 "S4" "61" "2" 7.5 112.68
"62" "Woogenellup" 0 "S4" "62" "2" 7 105.21
"63" "Narrikup" 0 "S4" "63" "2" 6 90.27
"64" "Leura" 0 "S4" "64" "2" 6 90.27
"65" "Denmark" 0 "S4" "65" "2" 6 90.27
"66" "Monti" 0 "S4" "66" "2" 6.37463414634146 95.8670341463415
"67" "Leura" 0 "S4" "67" "3" 6.25071225071225 94.015641025641
"68" "Monti" 0 "S4" "68" "3" 6 90.27
"69" "Narrikup" 0 "S4" "69" "3" 6.4992 97.728048
"70" "Antas" 0 "S4" "70" "3" 6 90.27
"71" "Woogenellup" 0 "S4" "71" "3" 5.84624378836597 87.7776118094125
"72" "Denmark" 0 "S4" "72" "3" 6.49968334388854 97.7352691576947
"73" "Woogenellup" 0 "S5" "73" "1" 4.58328541307265 72.6804830362278
"74" "Leura" 0 "S5" "74" "1" 4.68572555205047 74.3200374605679
"75" "Antas" 0 "S5" "75" "1" 4.84380234505863 76.8500565326634
"76" "Narrikup" 0 "S5" "76" "1" 4.9615 78.7338075000001
"77" "Monti" 0 "S5" "77" "1" 4.40548722800378 69.8348230842006
"78" "Denmark" 0 "S5" "78" "1" 5.2255039193729 83.4777239641658
"79" "Denmark" 0 "S5" "79" "2" 4.35476878612717 69.0230744219653
"80" "Monti" 0 "S5" "80" "2" 4.47061937533086 70.8772631021705
"81" "Leura" 0 "S5" "81" "2" 4.28571428571429 67.9178571428572
"82" "Woogenellup" 0 "S5" "82" "2" 4.18921461044051 66.3733798401003
"83" "Antas" 0 "S5" "83" "2" 4.20506804317222 66.6271140309714
"84" "Narrikup" 0 "S5" "84" "2" 4.30758047767394 68.2678255451714
"85" "Leura" 0 "S5" "85" "3" 4.20575865415723 66.6381672597865
"86" "Antas" 0 "S5" "86" "3" 4.25008194034743 67.3475614552606
"87" "Monti" 0 "S5" "87" "3" 4.50009643201543 71.349043394407
"88" "Denmark" 0 "S5" "88" "3" 5.44133476856835 87.0248116254037
"89" "Narrikup" 0 "S5" "89" "3" 4.95995839833593 78.7091341653667
"90" "Woogenellup" 0 "S5" "90" "3" 4.44728116710875 70.5037350795756
"91" "Denmark" 0 "S6" "91" "1" 6.38474795346833 123.988104265403
"92" "Monti" 0 "S6" "92" "1" 6.84631008801625 133.457051455653
"93" "Woogenellup" 0 "S6" "93" "1" 7.66641480921798 151.716919783403
"94" "Leura" 0 "S6" "94" "1" 5.88037634408602 114.759744623656
"95" "Antas" 0 "S6" "95" "1" 5.62516556291391 108.405271523179
"96" "Narrikup" 0 "S6" "96" "1" 9.26362416107382 185.343500671141
"97" "Leura" 0 "S6" "97" "2" 5.8004158004158 112.00053014553
"98" "Monti" 0 "S6" "98" "2" 7.62550771730301 149.947388302193
"99" "Woogenellup" 0 "S6" "99" "2" 7 137.34
"100" "Denmark" 0 "S6" "100" "2" 6.7776 132.696288
"101" "Narrikup" 0 "S6" "101" "2" 5.51963412710929 108.295221573884
"102" "Antas" 0 "S6" "102" "2" 7.46192893401015 146.459479695431
"103" "Woogenellup" 0 "S6" "103" "3" 7.58836265223275 149.62501217862
"104" "Leura" 0 "S6" "104" "3" 8.75 174.53
"105" "Antas" 0 "S6" "105" "3" 5.78978779840849 112.207665782493
"106" "Denmark" 0 "S6" "106" "3" 4.64252553389044 88.7465181058495
"107" "Narrikup" 0 "S6" "107" "3" 7.62503516174402 150.390734177215
"108" "Monti" 0 "S6" "108" "3" 7.24976873265495 141.935693802035
"109" "Denmark" 0 "S7" "109" "1" 6.7776 113.005536
"110" "Antas" 0 "S7" "110" "1" 6.73896713615023 112.276920187793
"111" "Woogenellup" 0 "S7" "111" "1" 7.6497774008904 128.517822768709
"112" "Leura" 0 "S7" "112" "1" 5.57186937516071 89.9766623810748
"113" "Narrikup" 0 "S7" "113" "1" 6.6 109.656
"114" "Monti" 0 "S7" "114" "1" 6.6 109.656
"115" "Woogenellup" 0 "S7" "115" "2" 6.86687116564417 114.689190184049
"116" "Leura" 0 "S7" "116" "2" 5.97779911196448 97.9212912516501
"117" "Narrikup" 0 "S7" "117" "2" 6.95987232102143 116.443191974464
"118" "Antas" 0 "S7" "118" "2" 7.23080591320935 121.319885550787
"119" "Denmark" 0 "S7" "119" "2" 6.95440414507772 116.340062176166
"120" "Monti" 0 "S7" "120" "2" 7.10678307588986 119.029194089993
"121" "Leura" 0 "S7" "121" "3" 6.41657292838395 106.196565429321
"122" "Woogenellup" 0 "S7" "122" "3" 7.240625 121.39120625
"123" "Antas" 0 "S7" "123" "3" 7.41642986308447 124.633273056058
"124" "Monti" 0 "S7" "124" "3" 6.90312434472636 115.372925141539
"125" "Narrikup" 0 "S7" "125" "3" 7 117.2
"126" "Denmark" 0 "S7" "126" "3" 6.79152605924259 113.268181477315
"127" "Antas" 0 "S8" "127" "1" 14.8890420399724 179.462370778773
"128" "Leura" 0 "S8" "128" "1" 16.6666666666667 193.65
"129" "Denmark" 0 "S8" "129" "1" 15.124278251306 179.921597470442
"130" "Monti" 0 "S8" "130" "1" 15.5294553538348 184.481233790293
"131" "Narrikup" 0 "S8" "131" "1" 15.4997050147493 184.485073746312
"132" "Woogenellup" 0 "S8" "132" "1" 16.6363338788871 193.627037643207
"133" "Denmark" 0 "S8" "133" "2" 15.7144244779019 185.812268091306
"134" "Woogenellup" 0 "S8" "134" "2" 15.1111111111111 180.862222222221
"135" "Narrikup" 0 "S8" "135" "2" 13.8680263947211 170.753191361728
"136" "Leura" 0 "S8" "136" "2" 14.9334524341224 178.516337650737
"137" "Monti" 0 "S8" "137" "2" 11.7355085039917 150.733939604304
"138" "Antas" 0 "S8" "138" "2" 12.8042131350682 159.493791821561
"139" "Leura" 0 "S8" "139" "3" 14.6254295532646 177.294158075601
"140" "Monti" 0 "S8" "140" "3" 14.2229259024699 173.947340088664
"141" "Woogenellup" 0 "S8" "141" "3" 8.83773291925466 117.08527173913
"142" "Antas" 0 "S8" "142" "3" 15.2501437607821 182.432432432432
"143" "Denmark" 0 "S8" "143" "3" 14.1671583087512 173.524877089479
"144" "Narrikup" 0 "S8" "144" "3" 14.59968 177.082368
